qid	order	query	bm25.map
301	-1	international organized crime	0.0096
301	pred.refiner.1	international organized crime constitutional law public international law criminal law international law extortion mafia money laundering organized crime	0.0422
301	pred.refiner.10	international organized crime constitutional law public international law criminal law international law extortion mafia money laundering organized crime	0.0422
301	pred.refiner.2	international organized crime constitutional law public international law criminal law international law extortion mafia money laundering organized crime	0.0422
301	pred.refiner.3	international organized crime constitutional law public international law criminal law international law extortion mafia money laundering organized crime	0.0422
301	pred.refiner.4	international organized crime constitutional law public international law criminal law international law extortion mafia money laundering organized crime	0.0422
301	pred.refiner.5	international organized crime constitutional law public international law criminal law international law extortion mafia money laundering organized crime	0.0422
301	pred.refiner.6	international organized crime constitutional law public international law criminal law international law extortion mafia money laundering organized crime	0.0422
301	pred.refiner.7	international organized crime constitutional law public international law criminal law international law extortion mafia money laundering organized crime	0.0422
301	pred.refiner.8	international organized crime constitutional law public international law criminal law international law extortion mafia money laundering organized crime	0.0422
301	pred.refiner.9	international organized crime constitutional law public international law criminal law international law extortion mafia money laundering organized crime	0.0422
302	-1	poliomyelitis and post-polio	0.5026
302	pred.refiner.1	poliomyelitis and post polio case polio i health hi vaccin china percent	0.5532
302	pred.refiner.10	poliomyelitis and post polio case polio i health hi vaccin china percent	0.5532
302	pred.refiner.2	poliomyelitis and post polio case polio i health hi vaccin china percent	0.5532
302	pred.refiner.3	poliomyelitis and post polio case polio i health hi vaccin china percent	0.5532
302	pred.refiner.4	poliomyelitis and post polio case polio i health hi vaccin china percent	0.5532
302	pred.refiner.5	poliomyelitis and post polio case polio i health hi vaccin china percent	0.5532
302	pred.refiner.6	poliomyelitis and post polio case polio i health hi vaccin china percent	0.5532
302	pred.refiner.7	poliomyelitis and post polio case polio i health hi vaccin china percent	0.5532
302	pred.refiner.8	poliomyelitis and post polio case polio i health hi vaccin china percent	0.5532
302	pred.refiner.9	poliomyelitis and post polio case polio i health hi vaccin china percent	0.5532
303	-1	hubble telescope achievements	0.1663
