qid	order	query	bm25.map
301	-1	International Organized Crime	0.0096
302	-1	Poliomyelitis and Post-Polio	0.5026
303	-1	Hubble Telescope Achievements	0.1663
303	bt_nllb_swahili	The results of the Hubble Telescope	0.2221
304	-1	Endangered Species (Mammals)	0.0591
304	bt_nllb_swahili	Endangered Species Animals	0.0698
304	bt_nllb_korean	Endangered species	0.0624
304	bt_nllb_persian	Endangered species clover	0.06
305	-1	Most Dangerous Vehicles	0.0013
306	-1	African Civilian Deaths	0.0486
307	-1	New Hydroelectric Projects	0.1656
308	-1	Implant Dentistry	0.2833
308	bt_nllb_german	Implant teeth	0.4167
308	bt_nllb_malay	Dental Implantation	0.4167
308	bt_nllb_persian	Dental implant	0.4167
309	-1	Rap and Crime	0.0
310	-1	Radio Waves and Brain Cancer	0.1455
310	bt_nllb_chinese_yue	Radiation and brain cancer	0.1576
310	bt_nllb_korean	Radiation and Brain Cancer	0.1576
311	-1	Industrial Espionage	0.2708
312	-1	Hydroponics	0.8553
313	-1	Magnetic Levitation-Maglev	0.7034
314	-1	Marine Vegetation	0.0007
314	bt_nllb_persian	Seaweed	0.2075
314	bt_nllb_swahili	Seaweed	0.2075
314	bt_nllb_russian	Sea vegetation	0.0251
314	bt_nllb_arabic	Marine plants	0.0133
314	bt_nllb_german	Protection of the seas	0.0114
314	bt_nllb_chinese_yue	Sea plants	0.0016
314	bt_nllb_korean	Sea plants	0.0016
314	bt_nllb_malay	Sea plants	0.0016
314	bt_nllb_tamil	Sea plants	0.0016
315	-1	Unexplained Highway Accidents	0.0136
315	bt_nllb_chinese_yue	The cause of the accident is unknown	0.0419
316	-1	Polygamy Polyandry Polygyny	0.5935
316	bt_nllb_chinese_yue	Polygamy polygamy polygamy and polygamy	0.6448
316	bt_nllb_french	Polygamy and polygamy	0.6448
316	bt_nllb_german	Polygamy and polygamy	0.6448
316	bt_nllb_malay	Polygamy Polygamy	0.6448
317	-1	Unsolicited Faxes	0.525
318	-1	Best Retirement Country	0.0016
319	-1	New Fuel Sources	0.037
320	-1	Undersea Fiber Optic Cable	0.0301
320	bt_nllb_french	Submarine fibre optic cable	0.1055
320	bt_nllb_arabic	The fiber optic cable is underwater	0.0357
320	bt_nllb_malay	Underwater fiber optic cables	0.0357
320	bt_nllb_german	Subsea fibre optic cables	0.0324
321	-1	Women in Parliaments	0.1742
322	-1	International Art Crime	0.0004
322	bt_nllb_french	International crime against art	0.0007
323	-1	Literary/Journalistic Plagiarism	0.217
323	bt_nllb_malay	Literary plagiarism	0.277
324	-1	Argentine/British Relations	0.3428
325	-1	Cult Lifestyles	0.0495
326	-1	Ferry Sinkings	0.5265
327	-1	Modern Slavery	0.1376
327	bt_nllb_malay	Modern day Slavery	0.1428
328	-1	Pope Beatifications	0.6158
329	-1	Mexican Air Pollution	0.2746
329	bt_nllb_arabic	Air pollution in Mexico	0.4065
329	bt_nllb_chinese_yue	Air pollution in Mexico	0.4065
329	bt_nllb_french	Air Pollution in Mexico	0.4065
329	bt_nllb_german	Air pollution in Mexico	0.4065
329	bt_nllb_korean	Air Pollution in Mexico	0.4065
329	bt_nllb_malay	Air Pollution in Mexico	0.4065
329	bt_nllb_persian	Air pollution in Mexico	0.4065
329	bt_nllb_russian	Air pollution in Mexico	0.4065
329	bt_nllb_swahili	Air Pollution in Mexico	0.4065
330	-1	Iran-Iraq Cooperation	0.0267
330	bt_nllb_german	Cooperation between Iran and Iraq	0.0346
331	-1	World Bank Criticism	0.1867
332	-1	Income Tax Evasion	0.0348
333	-1	Antibiotics Bacteria Disease	0.2255
333	bt_nllb_french	Antibiotics for bacteria	0.26
334	-1	Export Controls Cryptography	0.1111
334	bt_nllb_arabic	Export control Encryption	0.5611
334	bt_nllb_tamil	Encryption of export controls	0.5611
334	bt_nllb_chinese_yue	Export controls the password	0.2222
335	-1	Adoptive Biological Parents	0.2591
336	-1	Black Bear Attacks	0.033
337	-1	Viral Hepatitis	0.1614
338	-1	Risk of Aspirin	0.375
338	bt_nllb_persian	The risks of aspirin use	0.4167
338	bt_nllb_russian	Risks of using aspirin	0.4167
339	-1	Alzheimer's Drug Treatment	0.2031
340	-1	Land Mine Ban	0.0848
340	bt_nllb_arabic	The landmine ban	0.1375
340	bt_nllb_french	Prohibition of landmines	0.1119
340	bt_nllb_german	Prohibition of landmines	0.1119
340	bt_nllb_persian	Prohibition of landmines	0.1119
340	bt_nllb_chinese_yue	Banned mines	0.0869
340	bt_nllb_korean	Mine ban	0.0869
341	-1	Airport Security	0.1908
342	-1	Diplomatic Expulsion	0.0897
343	-1	Police Deaths	0.0007
343	bt_nllb_malay	Death of a cop	0.0046
343	bt_nllb_chinese_yue	The police are dead	0.0009
343	bt_nllb_korean	Police dead	0.0009
343	bt_nllb_persian	The police are dead	0.0009
343	bt_nllb_russian	The police are dead	0.0009
344	-1	Abuses of E-Mail	0.1473
344	bt_nllb_malay	Breach of e mail	0.2841
345	-1	Overseas Tobacco Sales	0.0707
345	bt_nllb_arabic	Tobacco sales outside	0.0775
346	-1	Educational Standards	0.043
347	-1	Wildlife Extinction	0.0339
347	bt_nllb_chinese_yue	Wildlife is disappearing	0.0784
347	bt_nllb_korean	Extinction of the Wild	0.0771
347	bt_nllb_persian	Extinction of the wild	0.0771
347	bt_nllb_russian	Extinction of the wild	0.0771
348	-1	Agoraphobia	0.81
349	-1	Metabolism	0.1629
350	-1	Health and Computer Terminals	0.062
351	-1	Falkland petroleum exploration	0.3606
351	bt_nllb_arabic	Oil exploration in the Falkland Islands	0.6225
351	bt_nllb_french	Oil exploration in the Falkland Islands	0.6225
351	bt_nllb_german	Oil exploration in the Falkland Islands	0.6225
351	bt_nllb_russian	Oil exploration in the Falkland Islands	0.6225
351	bt_nllb_chinese_yue	The Falkland oil exploration	0.5919
351	bt_nllb_persian	The Falkland oil exploration	0.5919
