qid	order	query	bm25.map
301	-1	International Organized Crime	0.0096
301	bt_nllb_arabic	International organized crime	0.0096
301	bt_nllb_chinese_yue	International organized crime	0.0096
301	bt_nllb_french	International organized crime	0.0096
301	bt_nllb_korean	International organized crime	0.0096
301	bt_nllb_persian	International organized crime	0.0096
301	bt_nllb_russian	International organized crime	0.0096
301	bt_nllb_tamil	International organized crime	0.0096
301	bt_nllb_german	International organised crime	0.0055
301	bt_nllb_swahili	International Crime	0.0029
301	bt_nllb_malay	Integrated Crime	0.0008
302	-1	Poliomyelitis and Post-Polio	0.5026
302	bt_nllb_chinese_yue	After polio and polio	0.4324
302	bt_nllb_malay	Polio and after polio	0.4324
302	bt_nllb_tamil	After polio and polio	0.4324
302	bt_nllb_french	Polio and the Post Polio	0.4228
302	bt_nllb_arabic	Polio and polio	0.4208
302	bt_nllb_german	Polio and postpolio	0.4208
302	bt_nllb_russian	Polio and postpolio	0.4208
302	bt_nllb_swahili	Polio and Afterpolio	0.4208
302	bt_nllb_persian	Polyamide and then polio	0.3043
302	bt_nllb_korean	Polyamylitis and polyochondrosis	0.0
303	-1	Hubble Telescope Achievements	0.1663
303	bt_nllb_swahili	The results of the Hubble Telescope	0.2221
303	bt_nllb_arabic	The achievements of the Hubble Telescope	0.1663
303	bt_nllb_french	The achievements of the Hubble Telescope	0.1663
303	bt_nllb_german	Achievements of the Hubble Telescope	0.1663
303	bt_nllb_malay	The achievements of the Hubble Telescope	0.1663
303	bt_nllb_persian	The achievements of the Hubble Telescope	0.1663
303	bt_nllb_russian	The achievements of the Hubble Telescope	0.1663
303	bt_nllb_tamil	Hubble s telescope achievements	0.1644
303	bt_nllb_chinese_yue	The Hubble Telescope has achieved this	0.1643
303	bt_nllb_korean	The Hubble Telescope was completed	0.1121
304	-1	Endangered Species (Mammals)	0.0591
304	bt_nllb_swahili	Endangered Species Animals	0.0698
304	bt_nllb_korean	Endangered species	0.0624
304	bt_nllb_persian	Endangered species clover	0.06
304	bt_nllb_arabic	Endangered species mammals	0.0591
304	bt_nllb_french	Endangered species mammal	0.0591
304	bt_nllb_german	Endangered species mammal	0.0591
304	bt_nllb_malay	Endangered species mammal	0.0591
304	bt_nllb_chinese_yue	They are endangered	0.0564
304	bt_nllb_tamil	The species in danger of extinction type	0.0194
304	bt_nllb_russian	Threatened species self miners	0.0028
305	-1	Most Dangerous Vehicles	0.0013
305	bt_nllb_french	The most dangerous vehicles	0.0013
305	bt_nllb_german	Most dangerous vehicles	0.0013
305	bt_nllb_korean	The most dangerous vehicle	0.0013
305	bt_nllb_malay	The Most Dangerous Vehicle	0.0013
305	bt_nllb_persian	The most dangerous vehicles	0.0013
305	bt_nllb_russian	The most dangerous vehicles	0.0013
305	bt_nllb_tamil	The most dangerous vehicles	0.0013
305	bt_nllb_arabic	The most dangerous cars	0.0011
305	bt_nllb_chinese_yue	The most dangerous car	0.0011
305	bt_nllb_swahili	The Most Dangerous Cars	0.0011
306	-1	African Civilian Deaths	0.0486
306	bt_nllb_french	The deaths of African civilians	0.0486
306	bt_nllb_german	African civilian deaths	0.0486
306	bt_nllb_arabic	The killing of civilians in Africa	0.0454
306	bt_nllb_russian	Death of civilians in Africa	0.032
306	bt_nllb_korean	African citizens killed	0.0103
306	bt_nllb_malay	The Death of African Citizens	0.0063
306	bt_nllb_persian	Death of African citizens	0.0063
306	bt_nllb_tamil	The death of African citizens	0.0063
306	bt_nllb_swahili	The Deaths of Politicians in Africa	0.0062
306	bt_nllb_chinese_yue	African citizens dying	0.0009
307	-1	New Hydroelectric Projects	0.1656
307	bt_nllb_chinese_yue	New hydroelectric projects	0.1656
307	bt_nllb_french	New hydroelectric projects	0.1656
307	bt_nllb_malay	New Hydroelectric Project	0.1656
307	bt_nllb_persian	New projects for hydroelectricity	0.1656
307	bt_nllb_russian	New hydroelectric projects	0.1656
307	bt_nllb_tamil	New hydroelectric projects	0.1656
307	bt_nllb_arabic	New hydropower projects	0.0572
307	bt_nllb_korean	A new hydropower project	0.0572
307	bt_nllb_german	New hydropower plants	0.0329
307	bt_nllb_swahili	New Water Power Projects	0.0215
308	-1	Implant Dentistry	0.2833
308	bt_nllb_german	Implant teeth	0.4167
308	bt_nllb_malay	Dental Implantation	0.4167
308	bt_nllb_persian	Dental implant	0.4167
308	bt_nllb_chinese_yue	Dentistry of implants	0.2833
308	bt_nllb_french	Dentistry by implant	0.2833
308	bt_nllb_russian	Dentistry of implants	0.2833
308	bt_nllb_swahili	Tooth disease of the gums	0.125
308	bt_nllb_korean	Implantation surgery	0.0231
308	bt_nllb_arabic	Hosted dentistry	0.0156
308	bt_nllb_tamil	Surgery	0.0
309	-1	Rap and Crime	0.0
309	bt_nllb_arabic	Rape and murder	0.0
309	bt_nllb_chinese_yue	Rape and crime	0.0
309	bt_nllb_french	Rap and crime	0.0
309	bt_nllb_german	Rap and crime	0.0
309	bt_nllb_korean	Rape and crime	0.0
309	bt_nllb_malay	Rap and Crime	0.0
309	bt_nllb_persian	Rap and crime	0.0
309	bt_nllb_russian	Rape and Crime	0.0
309	bt_nllb_swahili	Crime and Crime	0.0
309	bt_nllb_tamil	Sexual abuse	0.0
310	-1	Radio Waves and Brain Cancer	0.1455
310	bt_nllb_chinese_yue	Radiation and brain cancer	0.1576
310	bt_nllb_korean	Radiation and Brain Cancer	0.1576
310	bt_nllb_arabic	Radio waves and brain cancer	0.1455
310	bt_nllb_french	Radio waves and brain cancer	0.1455
310	bt_nllb_german	Radio waves and brain cancer	0.1455
310	bt_nllb_malay	Radio waves and brain cancer	0.1455
310	bt_nllb_persian	Radio waves and brain cancer	0.1455
310	bt_nllb_russian	Radio waves and brain cancer	0.1455
310	bt_nllb_swahili	Radio Waves and Brain Cancer	0.1455
310	bt_nllb_tamil	Radio waves and brain cancer	0.1455
311	-1	Industrial Espionage	0.2708
311	bt_nllb_arabic	Industrial espionage	0.2708
311	bt_nllb_french	Industrial espionage	0.2708
311	bt_nllb_russian	Industrial espionage	0.2708
311	bt_nllb_chinese_yue	Industrial spy	0.0277
311	bt_nllb_korean	The spy industry	0.0277
311	bt_nllb_persian	Industrial spy	0.0277
311	bt_nllb_swahili	Industrial Intelligence	0.0274
311	bt_nllb_tamil	Industrial intelligence	0.0274
311	bt_nllb_malay	Industrial surveillance	0.0049
311	bt_nllb_german	The Commission has also adopted a number of proposals	0.0
312	-1	Hydroponics	0.8553
312	bt_nllb_arabic	The hydroponics	0.8553
312	bt_nllb_french	Hydroponics	0.8553
312	bt_nllb_malay	Hydroponics	0.8553
312	bt_nllb_persian	Hydroponics	0.8553
312	bt_nllb_russian	Hydroponics	0.8553
312	bt_nllb_swahili	Hydroponics	0.8553
312	bt_nllb_chinese_yue	Hydromechanics	0.0
312	bt_nllb_german	Hydrogen	0.0
312	bt_nllb_korean	Fish	0.0
312	bt_nllb_tamil	The waterfall	0.0
313	-1	Magnetic Levitation-Maglev	0.7034
313	bt_nllb_chinese_yue	The magnetic Levitation Maglev	0.7034
313	bt_nllb_german	Magnetic levitation maglev	0.7034
313	bt_nllb_malay	Magnetic levitation of the Maglev	0.7034
313	bt_nllb_russian	Magnetic levitation of the Maglev	0.7034
313	bt_nllb_swahili	Magnetic Levitation Maglev	0.7034
313	bt_nllb_tamil	Magnetic levitation McLav	0.6508
313	bt_nllb_korean	Self levitization Maghreb	0.0489
313	bt_nllb_french	Magnetic lift	0.0178
313	bt_nllb_arabic	Magnetic distortion	0.0082
313	bt_nllb_persian	Magnetic Lithium Magluff	0.0044
314	-1	Marine Vegetation	0.0007
