,qid,order,query,qld.recip_rank
0,701,-1,U.S. oil industry history,0.2
1,701,bertqe.topn10.qld,e nvir onment al dv,0.1667
2,701,glove.topn3,u s oil industry history us u s crude petroleum business historical ever,0.125
3,701,word2vec.topn3,u s oil industry history usa u s american petroleum industy history,0.1111
4,701,sensedisambiguation,U S united states government oil vegetable oil industry history,0.0769
5,701,conceptnet.topn3,u s oil industry history liquid black fuel commercial enterprise past subject school,0.0625
6,701,wiki.topn3,u s oil industry history glassforming liquids melts oil natural gas petroleum,0.0625
7,701,wordnet.topn3,u s oil industry history USA United States United States government rock oil petroleum oil color manufacture diligence account chronicle,0.0625
8,701,rm3.topn10.10.0.5.bm25,u s oil industry history energi opec,0.0526
9,701,sensedisambiguation.replace,united states government vegetable oil industry history,0.0227
10,701,word2vec.topn3.replace,usa u s american petroleum industy history,0.0105
11,701,anchor.topn3,u s oil industry history us c alphabet elektrivõrgud sooju recuyel seeg théodrat,0.0
12,701,anchor.topn3.replace,us c alphabet elektrivõrgud sooju industry recuyel seeg théodrat,0.0
13,701,conceptnet.topn3.replace,u s liquid black fuel commercial enterprise past subject school,0.0
14,701,glove.topn3.replace,us u s crude petroleum business historical ever,0.0
15,701,stem.lovins,u s oil industr histor,0.0
16,701,stem.paicehusk,u s oil industry hist,0.0
17,701,stem.trunc4,u s oil indu hist,0.0
18,701,stem.trunc5,u s oil indus histo,0.0
19,701,tagmee.topn3.replace,Petroleum,0.0
20,701,wiki.topn3.replace,glassforming liquids melts oil natural gas petroleum,0.0
21,701,wordnet.topn3.replace,United States government USA US anoint vegetable oil crude manufacture story chronicle,0.0
22,702,-1,Pearl farming,1.0
23,702,relevancefeedback.topn10.qld,pearl farming japan farm jerri option irrig,0.5
24,702,rm3.topn10.10.0.5.bm25,pearl farming coliform cumberland option japan our jerri ocean,0.5
25,702,rm3.topn10.10.0.5.qld,pearl farming farm japan jerri product,0.5
26,702,bt_nllb_arabic,The pearl planting,0.3333
27,702,termluster.topn5.3.qld,pearl farming product fish,0.25
28,702,wiki.topn3,pearl farming pearls jewellery components gemstone pearl,0.25
29,702,wiki.topn3.replace,pearls jewellery components gemstone pearl,0.25
30,702,docluster.topn10.3.qld,pearl farming farm,0.1667
31,702,anchor.topn3,pearl farming nanyou namro madlen,0.0588
32,702,conceptnet.topn3,pearl farming land crop,0.0303
33,702,glove.topn3,pearl farming harbor http www oklahomacitynationalmemorial org agricultural farmers,0.0217
34,702,bt_bing_persian,Pearl Agriculture,0.0185
35,702,conceptnet.topn3.replace,pearl land crop,0.0128
36,702,anchor.topn3.replace,nanyou namro madlen farming,0.0
37,702,bertqe.topn10.bm25,potato program regulatori test servic,0.0
38,702,bertqe.topn10.qld,seed farm,0.0
39,702,bt_nllb_persian,The Pearl of the Caribbean,0.0
40,702,glove.topn3.replace,harbor http www oklahomacitynationalmemorial org agricultural farmers,0.0
41,702,stem.trunc4,pear farm,0.0
42,702,stem.trunc5,pearl farmi,0.0
43,702,word2vec.topn3.replace,necklace agriculture agricultural,0.0
44,702,wordnet.topn3.replace,off white bead agricultural agrarian,0.0
45,704,-1,Green party political views,0.5
46,704,anchor.topn3.replace,green windi treekrem k cup party political views,0.3333
47,704,sensedisambiguation,Green party political views view,0.3333
48,704,stem.lovins,green part polit view,0.3333
49,704,word2vec.topn3,green party political views yellow blue red party economic social socio political viewpoints viewpoint,0.3333
50,704,conceptluster.topn5.3.qld,green party political views ideology politics political party green party united states,0.25
51,704,tagmee.topn3,green party political views Green Party of the United States Political party Politics Ideology,0.25
52,704,wiki.topn3.replace,natural law party united states green national committee maria elizabeth muñoz green party united states political parties portal politics dieter nohlen political party society politics political science politics schools thought social equality egalitarianism ideology,0.25
53,704,wiki.topn3,green party political views natural law party united states green national committee maria elizabeth muñoz green party united states political parties portal politics dieter nohlen political party society politics political science politics schools thought social equality egalitarianism ideology,0.2
54,704,tagmee.topn3.replace,Green Party of the United States Political party Politics Ideology,0.1667
55,704,wordnet.topn3,green party political views immature super C honey oil political party company regard take in reckon,0.1667
56,704,glove.topn3,green party political views red purple democratic politicians opinions,0.0556
