qid	order	query	qld.recip_rank
301	-1	International Organized Crime	0.25
301	bt_nllb_swahili	International Crime	0.1429
302	-1	Poliomyelitis and Post-Polio	1.0
302	bt_nllb_arabic	Polio and polio	0.5
302	bt_nllb_chinese_yue	After polio and polio	0.5
302	bt_nllb_french	Polio and the Post Polio	0.5
302	bt_nllb_german	Polio and postpolio	0.5
302	bt_nllb_malay	Polio and after polio	0.5
302	bt_nllb_russian	Polio and postpolio	0.5
302	bt_nllb_swahili	Polio and Afterpolio	0.5
302	bt_nllb_tamil	After polio and polio	0.5
302	bt_nllb_korean	Polyamylitis and polyochondrosis	0.0
303	-1	Hubble Telescope Achievements	0.5
303	bt_nllb_korean	The Hubble Telescope was completed	0.2
304	-1	Endangered Species (Mammals)	0.25
304	bt_nllb_russian	Threatened species self miners	0.1
305	-1	Most Dangerous Vehicles	0.0833
306	-1	African Civilian Deaths	1.0
306	bt_nllb_malay	The Death of African Citizens	0.3333
306	bt_nllb_persian	Death of African citizens	0.3333
306	bt_nllb_tamil	The death of African citizens	0.3333
306	bt_nllb_chinese_yue	African citizens dying	0.25
306	bt_nllb_korean	African citizens killed	0.25
306	bt_nllb_swahili	The Deaths of Politicians in Africa	0.2
307	-1	New Hydroelectric Projects	1.0
307	bt_nllb_german	New hydropower plants	0.5
307	bt_nllb_swahili	New Water Power Projects	0.5
308	-1	Implant Dentistry	1.0
308	bt_nllb_swahili	Tooth disease of the gums	0.5
308	bt_nllb_korean	Implantation surgery	0.1111
308	bt_nllb_arabic	Hosted dentistry	0.1
308	bt_nllb_tamil	Surgery	0.0
309	-1	Rap and Crime	0.0
310	-1	Radio Waves and Brain Cancer	1.0
310	bt_nllb_chinese_yue	Radiation and brain cancer	0.5
310	bt_nllb_korean	Radiation and Brain Cancer	0.5
311	-1	Industrial Espionage	1.0
311	bt_nllb_malay	Industrial surveillance	0.5
311	bt_nllb_chinese_yue	Industrial spy	0.3333
311	bt_nllb_korean	The spy industry	0.3333
311	bt_nllb_persian	Industrial spy	0.3333
311	bt_nllb_german	The Commission has also adopted a number of proposals	0.0
312	-1	Hydroponics	1.0
312	bt_nllb_chinese_yue	Hydromechanics	0.0
312	bt_nllb_german	Hydrogen	0.0
312	bt_nllb_korean	Fish	0.0
312	bt_nllb_tamil	The waterfall	0.0
313	-1	Magnetic Levitation-Maglev	1.0
313	bt_nllb_korean	Self levitization Maghreb	0.5
313	bt_nllb_french	Magnetic lift	0.1667
313	bt_nllb_persian	Magnetic Lithium Magluff	0.0909
313	bt_nllb_arabic	Magnetic distortion	0.05
314	-1	Marine Vegetation	0.0303
315	-1	Unexplained Highway Accidents	0.1667
315	bt_nllb_chinese_yue	The cause of the accident is unknown	0.0833
315	bt_nllb_tamil	Unidentified road accidents	0.0833
315	bt_nllb_german	Unexplained car accidents	0.0278
315	bt_nllb_arabic	Unexplained road accidents	0.0217
315	bt_nllb_french	Unexplained Road Accidents	0.0217
315	bt_nllb_malay	Unexplained Road Accidents	0.0217
315	bt_nllb_swahili	Unreported Road Accidents	0.02
315	bt_nllb_russian	Unexplained Accidents	0.0
316	-1	Polygamy Polyandry Polygyny	1.0
316	bt_nllb_russian	Polygamy of the Polygons	0.5
316	bt_nllb_arabic	Polygamous Polygamous	0.3333
316	bt_nllb_korean	I m getting married I m getting married I m getting married I m getting married I m getting married I m getting married I m getting married I m getting married I m getting married I m getting married I m getting married I m getting married I m getting married I m getting married I m getting married I m getting married I m getting married I m getting married I m getting married I m getting married I m getting married I m getting married I m getting married I m getting married I m getting married I m getting married I m getting married I m getting married I m getting married I m getting married I m getting married I m getting married I m getting married I m getting married	0.0
316	bt_nllb_persian	A few wives a few wives a few wives	0.0
316	bt_nllb_swahili	Parenting	0.0
316	bt_nllb_tamil	The number of times a person is called a multiple	0.0
317	-1	Unsolicited Faxes	1.0
317	bt_nllb_french	Faxes not requested	0.25
317	bt_nllb_german	Faxes not requested	0.25
317	bt_nllb_korean	Unsolicited Parks	0.25
317	bt_nllb_swahili	Faxes not requested	0.25
317	bt_nllb_chinese_yue	Fax that nobody asked for	0.1
317	bt_nllb_malay	Fax that you don t want	0.0476
317	bt_nllb_tamil	Unnecessary Faxes	0.0222
318	-1	Best Retirement Country	0.1429
318	bt_nllb_swahili	A Better Land to Leave	0.0217
