,qid,order,query,bm25.recip_rank
0,701,-1,U.S. oil industry history,0.125
1,701,bertqe.topn10.qld,e nvir onment al dv,0.0714
2,701,sensedisambiguation,U S united states government oil vegetable oil industry history,0.0526
3,701,glove.topn3.replace,us u s crude petroleum business historical ever,0.0417
4,701,rm3.topn10.10.0.5.qld,u s oil industry history fuel ga energi price,0.0323
5,701,conceptnet.topn3,u s oil industry history liquid black fuel commercial enterprise past subject school,0.0286
6,701,word2vec.topn3.replace,usa u s american petroleum industy history,0.0256
7,701,glove.topn3,u s oil industry history us u s crude petroleum business historical ever,0.0233
8,701,rm3.topn10.10.0.5.bm25,u s oil industry history energi opec,0.02
9,701,stem.paicehusk,u s oil industry hist,0.0133
10,701,anchor.topn3,u s oil industry history us c alphabet elektrivõrgud sooju recuyel seeg théodrat,0.0
11,701,anchor.topn3.replace,us c alphabet elektrivõrgud sooju industry recuyel seeg théodrat,0.0
12,701,conceptnet.topn3.replace,u s liquid black fuel commercial enterprise past subject school,0.0
13,701,sensedisambiguation.replace,united states government vegetable oil industry history,0.0
14,701,stem.lovins,u s oil industr histor,0.0
15,701,stem.trunc4,u s oil indu hist,0.0
16,701,stem.trunc5,u s oil indus histo,0.0
17,701,tagmee.topn3.replace,Petroleum,0.0
18,701,wiki.topn3.replace,glassforming liquids melts oil natural gas petroleum,0.0
19,701,wordnet.topn3.replace,United States government USA US anoint vegetable oil crude manufacture story chronicle,0.0
20,702,-1,Pearl farming,1.0
21,702,rm3.topn10.10.0.5.qld,pearl farming farm japan jerri product,0.5
22,702,word2vec.topn3,pearl farming necklace agriculture agricultural,0.5
23,702,wordnet.topn3,pearl farming drop ivory off white agricultural land raise,0.5
24,702,wiki.topn3.replace,pearls jewellery components gemstone pearl,0.25
25,702,anchor.topn3,pearl farming nanyou namro madlen,0.2
26,702,rm3.topn10.10.0.5.bm25,pearl farming coliform cumberland option japan our jerri ocean,0.1667
27,702,bt_nllb_arabic,The pearl planting,0.0769
28,702,bt_bing_arabic,Pearl cultivation,0.0588
29,702,bt_nllb_french,Cultivation of pearls,0.0588
30,702,relevancefeedback.topn10.qld,pearl farming japan farm jerri option irrig,0.0588
31,702,stem.trunc5,pearl farmi,0.0323
32,702,glove.topn3,pearl farming harbor http www oklahomacitynationalmemorial org agricultural farmers,0.0294
33,702,conceptnet.topn3,pearl farming land crop,0.0256
34,702,conceptnet.topn3.replace,pearl land crop,0.0222
35,702,bt_bing_persian,Pearl Agriculture,0.0104
36,702,anchor.topn3.replace,nanyou namro madlen farming,0.0
37,702,bertqe.topn10.bm25,potato program regulatori test servic,0.0
38,702,bertqe.topn10.qld,seed farm,0.0
39,702,bt_nllb_persian,The Pearl of the Caribbean,0.0
40,702,glove.topn3.replace,harbor http www oklahomacitynationalmemorial org agricultural farmers,0.0
41,702,stem.trunc4,pear farm,0.0
42,702,word2vec.topn3.replace,necklace agriculture agricultural,0.0
43,702,wordnet.topn3.replace,off white bead agricultural agrarian,0.0
44,704,-1,Green party political views,1.0
45,704,conceptluster.topn5.3.qld,green party political views ideology politics political party green party united states,0.5
46,704,tagmee.topn3,green party political views Green Party of the United States Political party Politics Ideology,0.5
47,704,wiki.topn3.replace,natural law party united states green national committee maria elizabeth muñoz green party united states political parties portal politics dieter nohlen political party society politics political science politics schools thought social equality egalitarianism ideology,0.5
48,704,tagmee.topn3.replace,Green Party of the United States Political party Politics Ideology,0.3333
49,704,bt_bing_persian,The Green Party s Political Views,0.25
50,704,bt_nllb_chinese_yue,The Green Party s political views,0.25
51,704,word2vec.topn3,green party political views yellow blue red party economic social socio political viewpoints viewpoint,0.1667
52,704,anchor.topn3,green party political views green windi treekrem k cup,0.1429
