qid	order	query	qld.map
301	-1	International Organized Crime	0.0104
301	glove.topn3	international organized crime global which organised criminal	0.0203
301	anchor.topn3	international organized crime confédérat föderat kanusport anti corruption anti econom drug	0.0194
301	word2vec.topn3	international organized crime national global domestic organised criminality	0.0156
301	wiki.topn3	international organized crime constitutional law public international law criminal law international law extortion mafia money laundering organized crime	0.0135
301	wiki.topn3.replace	constitutional law public international law criminal law international law extortion mafia money laundering organized crime	0.0134
302	-1	Poliomyelitis and Post-Polio	0.5115
302	relevancefeedback.topn10.qld	poliomyelitis and post polio case polio i health hi vaccin china percent	0.5762
302	relevancefeedback.topn10.bm25	poliomyelitis and post polio case polio i health vaccin china aid	0.5478
302	wordnet.topn3	poliomyelitis post polio polio acute anterior poliomyelitis	0.5277
302	tagmee.topn3	poliomyelitis post polio Poliomyelitis Post polio syndrome	0.518
303	-1	Hubble Telescope Achievements	0.1915
303	wiki.topn3	hubble telescope achievements great observatories program hubble space telescope standard candles hubble space telescope	0.2933
303	wiki.topn3.replace	great observatories program hubble space telescope standard candles hubble space telescope	0.2863
303	bt_nllb_swahili	The results of the Hubble Telescope	0.2495
303	wordnet.topn3	hubble telescope achievements Edwin Hubble Edwin Powell Hubble scope accomplishment	0.1966
304	-1	Endangered Species (Mammals)	0.037
304	bt_nllb_swahili	Endangered Species Animals	0.0606
304	bt_nllb_chinese_yue	They are endangered	0.0513
304	conceptluster.topn5.3.bm25	endangered species mammals endangered species	0.0471
304	conceptluster.topn5.3.qld	endangered species mammals endangered species	0.0471
304	bt_bing_malay	Endangered Species Mamalia	0.0457
304	bt_nllb_korean	Endangered species	0.0457
304	stem.lovins	endanger speci mam	0.0455
304	stem.paicehusk	endang specy mam	0.0455
304	bt_nllb_persian	Endangered species clover	0.04
305	-1	Most Dangerous Vehicles	0.0044
305	conceptluster.topn5.3.bm25	dangerous vehicles risk	0.0173
305	conceptluster.topn5.3.qld	dangerous vehicles risk	0.0173
305	wordnet.topn3	dangerous vehicles life threatening unsafe fomite	0.0159
305	sensedisambiguation	Most Dangerous Vehicles vehicle	0.0098
305	termluster.topn5.3.bm25	dangerous vehicles	0.0071
305	termluster.topn5.3.qld	dangerous vehicles	0.0071
305	thesaurus.topn3	dangerous vehicles	0.0071
305	thesaurus.topn3.replace	dangerous vehicles	0.0071
305	wiki.topn3	dangerous vehicles risk assessment optimism bias risk management risk truck semi trailer motor vehicle vehicle	0.006
305	wiki.topn3.replace	risk assessment optimism bias risk management risk truck semi trailer motor vehicle vehicle	0.0059
305	tagmee.topn3.replace	Risk Vehicle	0.0051
305	tagmee.topn3	dangerous vehicles Risk Vehicle	0.0049
306	-1	African Civilian Deaths	0.0527
307	-1	New Hydroelectric Projects	0.2124
307	tagmee.topn3	new hydroelectric projects Hydroelectricity Project	0.214
307	tagmee.topn3.replace	Hydroelectricity Project	0.2136
308	-1	Implant Dentistry	0.2812
308	bt_bing_arabic	Dental implants	0.5
308	bt_bing_persian	Dental implant	0.5
308	bt_bing_swahili	Dental implants	0.5
308	bt_nllb_german	Implant teeth	0.5
308	bt_nllb_malay	Dental Implantation	0.5
308	bt_nllb_persian	Dental implant	0.5
308	conceptluster.topn5.3.bm25	implant dentistry dental implant	0.5
308	conceptluster.topn5.3.qld	implant dentistry dental implant	0.5
308	word2vec.topn3.replace	implant dental dentists	0.5
308	wiki.topn3	implant dentistry soft tissue sinus lift sinus surgery dental implant cardiology physical therapy otolaryngology dentistry	0.3333
308	wiki.topn3.replace	soft tissue sinus lift sinus surgery dental implant cardiology physical therapy otolaryngology dentistry	0.3125
308	wordnet.topn3	implant dentistry embed plant odontology dental medicine	0.3056
309	-1	Rap and Crime	0.0
309	conceptnet.topn3	rap crime music hip hop	0.0076
309	wiki.topn3	rap crime reggaeton underground hip hop gangsta rap rapping	0.006
309	wiki.topn3.replace	reggaeton underground hip hop gangsta rap rapping	0.006
309	word2vec.topn3	rap crime hip hop hiphop criminality	0.0057
309	conceptnet.topn3.replace	music hip hop crime	0.0048
310	-1	Radio Waves and Brain Cancer	0.1362
311	-1	Industrial Espionage	0.2058
312	-1	Hydroponics	0.8553
313	-1	Magnetic Levitation-Maglev	0.768
313	relevancefeedback.topn10.bm25	magnetic levitation maglev magnet la would railwai project train car said	0.78
313	relevancefeedback.topn10.qld	magnetic levitation maglev magnet train railwai la said would project	0.7767
314	-1	Marine Vegetation	0.0019
314	bt_nllb_persian	Seaweed	0.1828
314	bt_nllb_swahili	Seaweed	0.1828
314	conceptluster.topn5.3.bm25	marine vegetation ocean	0.0489
314	conceptluster.topn5.3.qld	marine vegetation ocean	0.0489
314	wiki.topn3	marine vegetation ocean current seabed continental shelf ocean ecosystem biome biomes vegetation	0.0419
314	tagmee.topn3.replace	Ocean Vegetation	0.0318
314	tagmee.topn3	marine vegetation Ocean Vegetation	0.029
314	bt_nllb_russian	Sea vegetation	0.0254
314	bt_bing_korean	Marine Plants	0.0246
314	bt_bing_malay	Marine plants	0.0246
314	bt_bing_tamil	Marine plants	0.0246
314	bt_nllb_arabic	Marine plants	0.0246
314	wiki.topn3.replace	ocean current seabed continental shelf ocean ecosystem biome biomes vegetation	0.0246
314	bt_nllb_german	Protection of the seas	0.0234
314	bt_nllb_chinese_yue	Sea plants	0.006
314	bt_nllb_korean	Sea plants	0.006
314	bt_nllb_malay	Sea plants	0.006
314	bt_nllb_tamil	Sea plants	0.006
315	-1	Unexplained Highway Accidents	0.0035
315	conceptluster.topn5.3.bm25	unexplained highway accidents traffic collision	0.0099
315	conceptluster.topn5.3.qld	unexplained highway accidents traffic collision	0.0099
315	bt_nllb_chinese_yue	The cause of the accident is unknown	0.0085
315	tagmee.topn3	unexplained highway accidents Highway Traffic collision	0.0075
315	tagmee.topn3.replace	Highway Traffic collision	0.0056
315	wordnet.topn3	unexplained highway accidents main road chance event stroke	0.0052
315	glove.topn3	unexplained highway accidents inexplicable road fatalities	0.0046
315	bt_nllb_tamil	Unidentified road accidents	0.0044
315	sensedisambiguation	Unexplained Highway Accidents accident	0.0042
315	word2vec.topn3.replace	inexplicable mysterious roadway road fatalities incidents	0.0039
316	-1	Polygamy Polyandry Polygyny	0.579
316	bt_bing_chinese_simplified	Polygamy Polyandry polyandry	0.6897
316	bt_bing_arabic	Polygamy Polyandry Polygamy	0.6831
316	bt_bing_french	Polygamy Polyandry Polygamy	0.6831
316	bt_bing_malay	Polygamous Polygamy Polygamy Polygamy	0.6814
316	bt_bing_korean	polygamy polygamy polygamy	0.6569
316	bt_bing_persian	Polygini Polygini Polygamy	0.6569
316	bt_bing_tamil	Polygamy Polygamy	0.6569
316	bt_nllb_chinese_yue	Polygamy polygamy polygamy and polygamy	0.6569
316	bt_nllb_french	Polygamy and polygamy	0.6569
316	bt_nllb_german	Polygamy and polygamy	0.6569
316	bt_nllb_malay	Polygamy Polygamy	0.6569
316	word2vec.topn3	polygamy polyandry polygyny polygyny polygamous polygyny polyandrous polygamy polyandry	0.5826
317	-1	Unsolicited Faxes	0.5036
317	sensedisambiguation	Unsolicited unasked Faxes facsimile	0.5514
318	-1	Best Retirement Country	0.0061
318	sensedisambiguation	Best Retirement Country state	0.0136
319	-1	New Fuel Sources	0.0564
319	anchor.topn3	new fuel sources bibalayeva forms new yappin fuel inject mixed oxid gas motor	0.0879
319	anchor.topn3.replace	bibalayeva forms new yappin fuel inject mixed oxid gas motor sources	0.0676
320	-1	Undersea Fiber Optic Cable	0.0462
320	bt_nllb_french	Submarine fibre optic cable	0.0849
320	anchor.topn3	undersea fiber optic cable uuv samayamaayi adventure queu fibr cable nowiki disappearing fila itmo spbsu	0.0819
320	bt_bing_swahili	Undersea optical cable	0.0735
320	word2vec.topn3	undersea fiber optic cable deep sea underwater fibre cable TV	0.0571
320	relevancefeedback.topn10.qld	undersea fiber optic cable system cabl sprint data stc	0.0564
321	-1	Women in Parliaments	0.1544
322	-1	International Art Crime	0.0
322	word2vec.topn3.replace	national global domestic artwork artworks criminality	0.0105
322	word2vec.topn3	international art crime national global domestic artwork artworks criminality	0.0099
322	sensedisambiguation	International Art artwork Crime	0.0029
322	wordnet.topn3	international art crime external artwork artistry artistic creation criminal offense criminal offence law breaking	0.0021
322	sensedisambiguation.replace	international artwork crime	0.0017
322	wordnet.topn3.replace	external artwork artistry artistic creation criminal offense criminal offence law breaking	0.0017
322	tagmee.topn3.replace	Art and Crime	0.0013
322	conceptnet.topn3	international art crime painting paint paintings	0.0007
322	conceptluster.topn5.3.bm25	international art crime art crime	0.0004
322	conceptluster.topn5.3.qld	international art crime art crime	0.0004
322	tagmee.topn3	international art crime Art and Crime	0.0004
322	glove.topn3.replace	global which museum criminal	0.0003
323	-1	Literary/Journalistic Plagiarism	0.2354
323	stem.lovins	liter journ plagiar	0.3459
323	bt_nllb_malay	Literary plagiarism	0.3243
323	tagmee.topn3	literary journalistic plagiarism Literature Journalism Plagiarism	0.3124
324	-1	Argentine/British Relations	0.2779
324	stem.krovetz	argentina britain relations	0.3095
324	relevancefeedback.topn10.bm25	argentine british relations uk di argentina deputi oil	0.2928
325	-1	Cult Lifestyles	0.0471
325	bt_bing_swahili	Cult life	0.0834
325	stem.trunc4	cult life	0.0834
325	stem.trunc5	cult lifes	0.0834
325	glove.topn3	cult lifestyles followers sect sedentary	0.0711
325	anchor.topn3	cult lifestyles genestealer reproduct cult tsumbubura	0.0651
326	-1	Ferry Sinkings	0.6066
326	relevancefeedback.topn10.qld	ferry sinkings last ship safeti titan estonia ferri pound	0.6505
326	relevancefeedback.topn10.bm25	ferry sinkings estonia safeti titan ro ferri ship	0.61
327	-1	Modern Slavery	0.0613
327	wordnet.topn3	modern slavery Bodoni modernistic bondage slaveholding	0.2601
327	tagmee.topn3.replace	Slavery Slavery in the United States	0.184
327	relevancefeedback.topn10.bm25	modern slavery murder india iv econom slaveri our westwood r rep d	0.1824
327	anchor.topn3.replace	burdah jardot originalité slavery	0.144
327	tagmee.topn3	modern slavery Slavery Slavery in the United States	0.1354
327	bt_nllb_malay	Modern day Slavery	0.1015
327	word2vec.topn3	modern slavery contemporary modern day ancient slaves enslavement	0.1009
327	conceptluster.topn5.3.bm25	modern slavery slavery united states	0.0855
327	conceptluster.topn5.3.qld	modern slavery slavery united states	0.0855
327	wiki.topn3	modern slavery slave trade slavery civil war slavery emancipation proclamation frederick douglass jefferson davis slavery united states	0.0618
328	-1	Pope Beatifications	0.6622
328	sensedisambiguation	Pope Beatifications beatification	0.7354
329	-1	Mexican Air Pollution	0.0956
329	bt_bing_chinese_simplified	Air pollution in Mexico	0.1766
329	bt_bing_french	Air Pollution in Mexico	0.1766
329	bt_bing_german	Air pollution in Mexico	0.1766
329	bt_bing_korean	Air pollution in Mexico	0.1766
329	bt_bing_russian	Air pollution in Mexico	0.1766
329	bt_bing_swahili	Air pollution of Mexico	0.1766
329	bt_nllb_arabic	Air pollution in Mexico	0.1766
329	bt_nllb_chinese_yue	Air pollution in Mexico	0.1766
329	bt_nllb_french	Air Pollution in Mexico	0.1766
329	bt_nllb_german	Air pollution in Mexico	0.1766
329	bt_nllb_korean	Air Pollution in Mexico	0.1766
329	bt_nllb_malay	Air Pollution in Mexico	0.1766
329	bt_nllb_persian	Air pollution in Mexico	0.1766
329	bt_nllb_russian	Air pollution in Mexico	0.1766
329	bt_nllb_swahili	Air Pollution in Mexico	0.1766
329	stem.krovetz	mexico air pollution	0.1766
329	word2vec.topn3	mexican air pollution mexico air water	0.1536
329	relevancefeedback.topn10.bm25	mexican air pollution economist border from citi mexico commun over restaur fight	0.1494
329	relevancefeedback.topn10.qld	mexican air pollution from economist new citi develop dollar he	0.1332
329	glove.topn3	mexican air pollution mexico force flying environmental	0.1314
330	-1	Iran-Iraq Cooperation	0.0542
330	bt_bing_arabic	Iranian Iraqi cooperation	0.1012
330	bt_bing_german	Iranian Iraqi cooperation	0.1012
330	anchor.topn3	iran iraq cooperation iran iraq iran iraq eritrean ethiopian	0.0857
330	stem.trunc4	iran iraq coop	0.0808
330	stem.trunc5	iran iraq coope	0.0808
330	bt_bing_chinese_simplified	Iran Iraqi cooperation	0.0795
330	anchor.topn3.replace	iran iraq iran iraq eritrean ethiopian cooperation	0.0633
331	-1	World Bank Criticism	0.1496
332	-1	Income Tax Evasion	0.005
332	wiki.topn3	income tax evasion bank fraud arrest warrant plea bargain tax evasion bank fraud arrest warrant plea bargain tax evasion	0.0857
332	bertqe.topn10.bm25	tax evas connect j david	0.0638
332	wiki.topn3.replace	bank fraud arrest warrant plea bargain tax evasion bank fraud arrest warrant plea bargain tax evasion	0.0425
332	relevancefeedback.topn10.bm25	income tax evasion both yuan incom rmb hunter sturman	0.0229
