qid	order	query	bm25.ndcg
100653	-1	how do I go about getting copies of letters of commendation prsented to me from city of san diego?	0.6356
100653	docluster.topn10.3.bm25	how do i go about getting copies of letters of commendation prsented to me from city of san diego	0.6356
100653	docluster.topn10.3.qld	how do i go about getting copies of letters of commendation prsented to me from city of san diego	0.6356
100653	rm3.topn10.10.0.5.bm25	how do I go about getting copies of letters of commendation prsented to me from city of san diego?	0.6356
100653	rm3.topn10.10.0.5.qld	how do I go about getting copies of letters of commendation prsented to me from city of san diego?	0.6356
100653	stem.krovetz	how do i go about get copy of letters of commendation prsente to me from city of san diego	0.6356
100653	stem.porter2	how do i go about get copi of letter of commend prsent to me from citi of san diego	0.6356
100653	stem.sstemmer	how do i go about getting copy of letter of commendation prsented to me from city of san diego	0.6356
100653	stem.trunc5	how do i go about getti copie of lette of comme prsen to me from city of san diego	0.6262
100653	stem.porter	how do i go about gett copi of letter of commend prsent to me from citi of san diego	0.6252
100653	termluster.topn5.3.bm25	go getting copies letters commendation prsented city san diego	0.5878
100653	termluster.topn5.3.qld	go getting copies letters commendation prsented city san diego	0.5878
100653	thesaurus.topn3	go getting copies letters commendation prsented city san diego	0.5878
100653	thesaurus.topn3.replace	go getting copies letters commendation prsented city san diego	0.5878
100653	stem.paicehusk	how do i go about get cop of let of commend prsent to me from city of san diego	0.5761
100653	bt_nllb_arabic	How do I get copies of the letters of encouragement I sent her from the city of San Diego	0.5492
100653	bt_nllb_french	How do I get copies of congratulatory letters sent by the city of San Diego	0.5407
100653	relevancefeedback.topn10.bm25	how do i go about getting copies of letters of commendation prsented to me from city of san diego you alwai diego court	0.5315
100653	sensedisambiguation.replace	how do I travel about experience transcript of letter of citation prsented to me from city of san diego	0.4991
100653	bt_nllb_russian	How can I get copies of the complimentary letters sent to me from the city of San Diego	0.4917
100653	relevancefeedback.topn10.qld	how do i go about getting copies of letters of commendation prsented to me from city of san diego http gum immigr diego court you gold	0.4896
100653	bt_nllb_korean	How do we get compliments from the city of San Diego	0.4889
100653	conceptluster.topn5.3.bm25	go getting copies letters commendation prsented city san diego ignatius antioch san diego go film commendation ceremony getting	0.4838
100653	conceptluster.topn5.3.qld	go getting copies letters commendation prsented city san diego go film commendation ceremony san diego getting ignatius antioch	0.4838
100653	anchor.topn3	go getting copies letters commendation prsented city san diego c yalag noise a go teeley pyszczynski hnatiw royal san baghdatí srisamart vahinetua	0.4737
100653	bt_nllb_persian	How do I get the mail from San Diego City that s been sent to me	0.4736
100653	tagmee.topn3	go getting copies letters commendation prsented city san diego Go film Getting In Ignatius of Antioch Commendation ceremony San Diego San Diego	0.4615
100653	sensedisambiguation	how do I go travel about getting experience copies transcript of letters letter of commendation citation prsented to me from city of san diego	0.4547
100653	bt_nllb_malay	How do I get a copy of the letter of credit sent from the city of San Diego	0.4395
100653	bt_nllb_swahili	How can I get copies of congratulatory letters from San Diego	0.4348
100653	bt_nllb_chinese_yue	How do I get letters from San Diego	0.4188
