qid	order	query	qld.ndcg
100653	-1	how do I go about getting copies of letters of commendation prsented to me from city of san diego?	0.3464
100653	bt_bing_korean	How do I get a copy of a letter of commendation from the City of San Diego to me	0.3427
100653	bt_bing_persian	How about getting copies of letters of praise prsented to me from San Diego County	0.3379
100653	bt_nllb_chinese_yue	How do I get letters from San Diego	0.3366
100653	bt_nllb_malay	How do I get a copy of the letter of credit sent from the city of San Diego	0.3349
100653	bt_nllb_german	How do I get copies of the San Diego letter of credit	0.3297
100653	bt_nllb_arabic	How do I get copies of the letters of encouragement I sent her from the city of San Diego	0.3295
100653	bt_nllb_swahili	How can I get copies of congratulatory letters from San Diego	0.3281
100653	bt_bing_chinese_simplified	How do I get a copy of the letter of commendation that the City of San Diego sent me	0.3149
100653	bt_bing_arabic	How can I get copies of letters of praise sent to me from the City of San Diego	0.3098
100653	bt_nllb_tamil	How can I get copies of congratulatory letters sent to me from San Diego	0.308
100653	bt_nllb_russian	How can I get copies of the complimentary letters sent to me from the city of San Diego	0.302
1015624	-1	What's the Definition of a bloody mary?	0.7924
1015624	bt_bing_swahili	What is the meaning of the blood mary	0.6339
1015624	bt_nllb_german	What s the definition of a fucking Mary	0.2494
1015624	bt_nllb_french	What s the definition of a holy Mary	0.1538
1015624	bt_nllb_chinese_yue	What is the definition of a virgin	0.0326
1017690	-1	what is the history of indian music?	0.5123
1017690	bt_bing_persian	What is India s music history	0.1377
1035857	-1	Why are liberals so quick to defend Saddam?	0.5941
1035857	bt_bing_chinese_simplified	Why were liberals so quick to defend Saddam	0.5939
1035857	bt_bing_persian	Why are liberals defending Saddam so quickly	0.5753
1035857	bt_nllb_french	Why are the Liberals defending Saddam so fast	0.5698
1035857	bt_bing_tamil	Why are liberals in such a hurry to defend Saddam	0.5427
1035857	bt_bing_arabic	Why are liberals rushing to defend Saddam	0.5188
1035857	bt_nllb_chinese_yue	Why did liberals defend Saddam so quickly	0.4744
1035857	bt_nllb_russian	Why are the liberals protecting Saddam so quickly	0.3072
1035857	bt_nllb_persian	Why are the liberals defending my voice so quickly	0.218
1035857	bt_bing_korean	Why are liberals so quick to defend Saddam Hussein	0.1983
103830	-1	Why do man Arabs hate the west ?	0.4862
103830	bt_nllb_arabic	Why are Arabs turning to the West	0.2932
1063812	-1	How do I grow taller?	0.6383
1063812	bt_nllb_korean	How can you grow taller	0.6343
1063812	bt_bing_swahili	How can I grow taller	0.6265
1063812	bt_bing_arabic	How do I get taller	0.4363
1063812	bt_bing_german	How do I get taller	0.4363
1063812	bt_bing_korean	How do I get taller	0.4363
1063812	bt_bing_persian	How to get taller	0.4195
1063812	bt_bing_malay	How can I get taller	0.4129
1063812	bt_nllb_persian	How can I get taller	0.4129
1063812	bt_nllb_malay	How can I be taller	0.4085
1063812	bt_nllb_swahili	How can I be taller	0.4085
1063812	bt_bing_french	How can I grow	0.077
1063812	bt_nllb_arabic	How do I get to the height	0.0681
