,qid,order,query,qld.map
0,701,-1,U.S. oil industry history,0.008
1,701,sensedisambiguation,U S united states government oil vegetable oil industry history,0.0039
2,701,rm3.topn10.10.0.5.qld,u s oil industry history fuel ga energi price,0.0036
3,701,bertqe.topn10.bm25,f ossil nergi e nvir,0.0033
4,701,wiki.topn3,u s oil industry history glassforming liquids melts oil natural gas petroleum,0.0024
5,701,word2vec.topn3,u s oil industry history usa u s american petroleum industy history,0.0021
6,701,bertqe.topn10.qld,e nvir onment al dv,0.0018
7,701,sensedisambiguation.replace,united states government vegetable oil industry history,0.0013
8,701,glove.topn3,u s oil industry history us u s crude petroleum business historical ever,0.0008
9,701,rm3.topn10.10.0.5.bm25,u s oil industry history energi opec,0.0007
10,701,conceptnet.topn3,u s oil industry history liquid black fuel commercial enterprise past subject school,0.0005
11,701,wordnet.topn3,u s oil industry history USA United States United States government rock oil petroleum oil color manufacture diligence account chronicle,0.0004
12,701,word2vec.topn3.replace,usa u s american petroleum industy history,0.0001
13,701,anchor.topn3,u s oil industry history us c alphabet elektrivõrgud sooju recuyel seeg théodrat,0.0
14,701,anchor.topn3.replace,us c alphabet elektrivõrgud sooju industry recuyel seeg théodrat,0.0
15,701,conceptnet.topn3.replace,u s liquid black fuel commercial enterprise past subject school,0.0
16,701,glove.topn3.replace,us u s crude petroleum business historical ever,0.0
17,701,stem.lovins,u s oil industr histor,0.0
18,701,stem.paicehusk,u s oil industry hist,0.0
19,701,stem.trunc4,u s oil indu hist,0.0
20,701,stem.trunc5,u s oil indus histo,0.0
21,701,tagmee.topn3.replace,Petroleum,0.0
22,701,wiki.topn3.replace,glassforming liquids melts oil natural gas petroleum,0.0
23,701,wordnet.topn3.replace,United States government USA US anoint vegetable oil crude manufacture story chronicle,0.0
24,702,-1,Pearl farming,0.0264
25,702,docluster.topn10.3.qld,pearl farming farm,0.0184
26,702,rm3.topn10.10.0.5.bm25,pearl farming coliform cumberland option japan our jerri ocean,0.018
27,702,word2vec.topn3,pearl farming necklace agriculture agricultural,0.0174
28,702,wordnet.topn3,pearl farming drop ivory off white agricultural land raise,0.0138
29,702,anchor.topn3,pearl farming nanyou namro madlen,0.0088
30,702,relevancefeedback.topn10.qld,pearl farming japan farm jerri option irrig,0.0043
31,702,bt_nllb_arabic,The pearl planting,0.0035
32,702,bt_bing_persian,Pearl Agriculture,0.0007
33,702,conceptnet.topn3,pearl farming land crop,0.0006
34,702,conceptnet.topn3.replace,pearl land crop,0.0002
35,702,glove.topn3,pearl farming harbor http www oklahomacitynationalmemorial org agricultural farmers,0.0002
36,702,anchor.topn3.replace,nanyou namro madlen farming,0.0
37,702,bertqe.topn10.bm25,potato program regulatori test servic,0.0
38,702,bertqe.topn10.qld,seed farm,0.0
39,702,bt_nllb_persian,The Pearl of the Caribbean,0.0
40,702,glove.topn3.replace,harbor http www oklahomacitynationalmemorial org agricultural farmers,0.0
41,702,stem.trunc4,pear farm,0.0
42,702,stem.trunc5,pearl farmi,0.0
43,702,word2vec.topn3.replace,necklace agriculture agricultural,0.0
44,702,wordnet.topn3.replace,off white bead agricultural agrarian,0.0
45,704,-1,Green party political views,0.0489
46,704,docluster.topn10.3.qld,green party political views parti,0.0372
47,704,relevancefeedback.topn10.qld,green party political views parti,0.0372
48,704,rm3.topn10.10.0.5.qld,green party political views parti,0.0372
49,704,bt_bing_persian,The Green Party s Political Views,0.0277
50,704,bt_nllb_chinese_yue,The Green Party s political views,0.0277
51,704,conceptluster.topn5.3.qld,green party political views ideology politics political party green party united states,0.0223
52,704,tagmee.topn3,green party political views Green Party of the United States Political party Politics Ideology,0.0223
53,704,tagmee.topn3.replace,Green Party of the United States Political party Politics Ideology,0.0133
54,704,wiki.topn3,green party political views natural law party united states green national committee maria elizabeth muñoz green party united states political parties portal politics dieter nohlen political party society politics political science politics schools thought social equality egalitarianism ideology,0.0113
55,704,rm3.topn10.10.0.5.bm25,green party political views indonesia parti polit,0.0111
56,704,anchor.topn3,green party political views green windi treekrem k cup,0.0092
57,704,wiki.topn3.replace,natural law party united states green national committee maria elizabeth muñoz green party united states political parties portal politics dieter nohlen political party society politics political science politics schools thought social equality egalitarianism ideology,0.0083
58,704,word2vec.topn3,green party political views yellow blue red party economic social socio political viewpoints viewpoint,0.0079
59,704,glove.topn3,green party political views red purple democratic politicians opinions,0.0075
60,704,anchor.topn3.replace,green windi treekrem k cup party political views,0.0067
61,704,bt_bing_chinese_simplified,The Greens political views,0.0048
62,704,bt_bing_german,Political views of the Greens,0.0048
63,704,bt_nllb_german,Political views of the Greens,0.0048
64,704,wordnet.topn3,green party political views immature super C honey oil political party company regard take in reckon,0.0039
65,704,sensedisambiguation,Green party political views view,0.0036
66,704,stem.lovins,green part polit view,0.0027
67,704,wordnet.topn3.replace,commons unripened viridity company political party political perspective sentiment panorama,0.0011
68,704,glove.topn3.replace,red purple democratic politicians opinions,0.0002
69,704,word2vec.topn3.replace,yellow blue red party economic social socio political viewpoints viewpoint,0.0002
70,704,bertqe.topn10.bm25,n warren lisa chac n,0.0
71,704,bertqe.topn10.qld,n warren lisa chac n,0.0
72,704,conceptnet.topn3,green party political views apple plant a color celebration gathering birthday,0.0
73,704,conceptnet.topn3.replace,apple plant a color celebration gathering birthday political views,0.0
74,704,stem.trunc4,gree part poli view,0.0
75,705,-1,Iraq foreign debt reduction,0.1034
76,705,glove.topn3,iraq foreign debt reduction iraqi baghdad overseas ministry repay reducing,0.0929
77,705,bt_bing_swahili,Reducing Iraq s foreign debt,0.0924
78,705,bt_nllb_persian,Reducing Iraq s foreign debt,0.0924
79,705,bt_nllb_swahili,Reducing Iraq s foreign debt,0.0924
80,705,bt_bing_chinese_simplified,Iraq s external debt relief,0.0921
81,705,bt_bing_korean,Reduction of Iraq s foreign debt,0.0683
82,705,bt_bing_malay,Reduction of Iraq s foreign debt,0.0683
83,705,bt_nllb_korean,Iraq s foreign debt reduction,0.0683
84,705,bt_nllb_tamil,Iraq s foreign debt reduction,0.0683
85,705,termluster.topn5.3.qld,iraq foreign debt reduction debt depart state depart iraq state unit state servic,0.0633
86,705,relevancefeedback.topn10.qld,iraq foreign debt reduction develop,0.0588
87,705,rm3.topn10.10.0.5.qld,iraq foreign debt reduction develop,0.0588
88,705,glove.topn3.replace,iraqi baghdad overseas ministry repay reducing,0.0471
89,705,word2vec.topn3,iraq foreign debt reduction iraq afghanistan iraqi domestic international indebtedness reducing,0.0393
90,705,bt_nllb_arabic,Cut the foreign debt in Iraq,0.0352
91,705,stem.trunc5,iraq forei debt reduc,0.0336
92,705,conceptluster.topn5.3.qld,iraq foreign debt reduction debt external debt,0.0172
93,705,wiki.topn3,iraq foreign debt reduction iraq mesopotamia syria iraq internal debt portfolio investment fixed investment external debt credit finance collateral finance interest debt,0.0172
94,705,conceptnet.topn3,iraq foreign debt reduction a country a country in the middle east war other money spending money paying by credit card,0.0045
95,705,word2vec.topn3.replace,iraq afghanistan iraqi domestic international indebtedness reducing,0.0042
96,705,wordnet.topn3,iraq foreign debt reduction Irak Al Iraq extraneous alien simplification step down,0.0041
97,705,wordnet.topn3.replace,Republic of Iraq Irak extraneous strange alien debt simplification step down diminution,0.0008
