qid	order	query	qld.ndcg
701	-1	U.S. oil industry history	0.0615
701	termluster.topn5.3.qld	u s oil industry history industri field oil field state social region	0.1826
701	docluster.topn10.3.qld	u s oil industry history industri counti	0.14
701	conceptluster.topn5.3.qld	u s oil industry history petroleum	0.1273
701	tagmee.topn3	u s oil industry history Petroleum	0.1273
701	relevancefeedback.topn10.qld	u s oil industry history industri counti ga	0.1076
701	stem.krovetz	u s oil industry history	0.0615
701	stem.porter	u s oil industri histori	0.0615
701	stem.porter2	u s oil industri histori	0.0615
701	stem.sstemmer	u s oil industry history	0.0615
701	thesaurus.topn3	u s oil industry history	0.0615
701	thesaurus.topn3.replace	u s oil industry history	0.0615
702	-1	Pearl farming	0.1479
702	termluster.topn5.3.qld	pearl farming product fish	0.2205
702	wiki.topn3	pearl farming pearls jewellery components gemstone pearl	0.1697
702	tagmee.topn3	pearl farming Pearl	0.1522
702	conceptluster.topn5.3.qld	pearl farming	0.1479
702	sensedisambiguation	Pearl farming	0.1479
702	sensedisambiguation.replace	pearl farming	0.1479
702	stem.krovetz	pearl farming	0.1479
702	stem.lovins	pearl farm	0.1479
702	stem.paicehusk	pearl farm	0.1479
702	stem.porter	pearl farm	0.1479
702	stem.porter2	pearl farm	0.1479
702	stem.sstemmer	pearl farming	0.1479
702	thesaurus.topn3	pearl farming	0.1479
702	thesaurus.topn3.replace	pearl farming	0.1479
704	-1	Green party political views	0.1567
704	termluster.topn5.3.qld	green party political views libertarian parti polit state polit nation state parti nation	0.1878
704	sensedisambiguation.replace	green party political view	0.1567
704	stem.krovetz	green party politics view	0.1567
704	stem.paicehusk	green party polit view	0.1567
704	stem.porter	green parti polit view	0.1567
704	stem.porter2	green parti polit view	0.1567
704	stem.sstemmer	green party political view	0.1567
704	stem.trunc5	green party polit views	0.1567
704	thesaurus.topn3	green party political views	0.1567
704	thesaurus.topn3.replace	green party political views	0.1567
705	-1	Iraq foreign debt reduction	0.2549
705	tagmee.topn3	iraq foreign debt reduction Iraq External debt Debt	0.3895
705	tagmee.topn3.replace	Iraq External debt Debt	0.3569
705	docluster.topn10.3.qld	iraq foreign debt reduction	0.2549
705	sensedisambiguation	Iraq foreign debt reduction	0.2549
705	sensedisambiguation.replace	iraq foreign debt reduction	0.2549
705	stem.krovetz	iraq foreign debt reduction	0.2549
705	stem.porter	iraq foreign debt reduct	0.2549
705	stem.porter2	iraq foreign debt reduct	0.2549
705	stem.sstemmer	iraq foreign debt reduction	0.2549
705	thesaurus.topn3	iraq foreign debt reduction	0.2549
705	thesaurus.topn3.replace	iraq foreign debt reduction	0.2549
706	-1	Controlling type II diabetes	0.1284
706	sensedisambiguation.replace	see type two diabetes	0.1453
706	stem.krovetz	control type ii diabetes	0.1284
706	stem.porter	control type ii diabet	0.1284
706	stem.porter2	control type ii diabet	0.1284
706	stem.sstemmer	controlling type ii diabete	0.1284
706	thesaurus.topn3	controlling type ii diabetes	0.1284
706	thesaurus.topn3.replace	controlling type ii diabetes	0.1284
707	-1	Aspirin cancer prevention	0.5656
707	docluster.topn10.3.qld	aspirin cancer prevention	0.5656
707	rm3.topn10.10.0.5.qld	aspirin cancer prevention	0.5656
707	sensedisambiguation	Aspirin cancer prevention	0.5656
707	sensedisambiguation.replace	aspirin cancer prevention	0.5656
707	stem.krovetz	aspirin cancer prevention	0.5656
707	stem.porter	aspirin cancer prevent	0.5656
707	stem.porter2	aspirin cancer prevent	0.5656
707	stem.sstemmer	aspirin cancer prevention	0.5656
707	thesaurus.topn3	aspirin cancer prevention	0.5656
707	thesaurus.topn3.replace	aspirin cancer prevention	0.5656
708	-1	Decorative slate sources	0.3663
708	docluster.topn10.3.qld	decorative slate sources	0.3663
708	stem.krovetz	decorative slate source	0.3663
708	stem.porter	decor slate sourc	0.3663
708	stem.porter2	decor slate sourc	0.3663
708	stem.sstemmer	decorative slate source	0.3663
708	stem.trunc5	decor slate sourc	0.3663
708	thesaurus.topn3	decorative slate sources	0.3663
708	thesaurus.topn3.replace	decorative slate sources	0.3663
709	-1	Horse racing jockey weight	0.677
709	sensedisambiguation	Horse sawhorse racing rush jockey weight weight unit	0.7006
709	stem.krovetz	horse racing jockey weight	0.677
709	stem.sstemmer	horse racing jockey weight	0.677
709	thesaurus.topn3	horse racing jockey weight	0.677
709	thesaurus.topn3.replace	horse racing jockey weight	0.677
710	-1	Prostate cancer treatments	0.3479
710	stem.krovetz	prostate cancer treatment	0.3479
710	stem.porter	prostat cancer treatment	0.3479
710	stem.porter2	prostat cancer treatment	0.3479
710	stem.sstemmer	prostate cancer treatment	0.3479
710	thesaurus.topn3	prostate cancer treatments	0.3479
710	thesaurus.topn3.replace	prostate cancer treatments	0.3479
711	-1	Train station security measures	0.2085
711	relevancefeedback.topn10.qld	train station security measures measur naval amtrak secur transport	0.4967
711	rm3.topn10.10.0.5.qld	train station security measures measur transit transport naval amtrak y	0.2526
711	rm3.topn10.10.0.5.bm25	train station security measures transport bart y emerg polic secur transit	0.2414
711	glove.topn3	train station security measures bus operated adding ensure steps	0.2189
711	stem.krovetz	train station security measure	0.2085
711	stem.porter	train station secur measur	0.2085
711	stem.porter2	train station secur measur	0.2085
711	stem.sstemmer	train station security measure	0.2085
711	thesaurus.topn3	train station security measures	0.2085
711	thesaurus.topn3.replace	train station security measures	0.2085
712	-1	Pyramid scheme	0.3531
712	word2vec.topn3	pyramid scheme pyramid like	0.3581
712	sensedisambiguation	Pyramid scheme system	0.3548
712	conceptluster.topn5.3.qld	pyramid scheme	0.3531
712	docluster.topn10.3.qld	pyramid scheme	0.3531
712	stem.krovetz	pyramid scheme	0.3531
712	stem.porter	pyramid scheme	0.3531
712	stem.porter2	pyramid scheme	0.3531
712	stem.sstemmer	pyramid scheme	0.3531
712	tagmee.topn3	pyramid scheme Pyramid scheme	0.3531
712	tagmee.topn3.replace	Pyramid scheme	0.3531
712	thesaurus.topn3	pyramid scheme	0.3531
712	thesaurus.topn3.replace	pyramid scheme	0.3531
713	-1	Chesapeake Bay Maryland clean	0.2295
713	sensedisambiguation	Chesapeake Bay true laurel Maryland clean clean and jerk	0.2498
713	relevancefeedback.topn10.qld	chesapeake bay maryland clean http marina bai	0.2459
713	conceptluster.topn5.3.qld	chesapeake bay maryland clean	0.2295
713	stem.krovetz	chesapeake bay maryland clean	0.2295
713	stem.lovins	chesapeak bay maryland clean	0.2295
713	stem.porter	chesapeak bai maryland clean	0.2295
713	stem.porter2	chesapeak bay maryland clean	0.2295
713	stem.sstemmer	chesapeake bay maryland clean	0.2295
713	thesaurus.topn3	chesapeake bay maryland clean	0.2295
713	thesaurus.topn3.replace	chesapeake bay maryland clean	0.2295
714	-1	License restrictions older drivers	0.3261
714	docluster.topn10.3.qld	license restrictions older drivers renew driver restrict licens	0.4318
714	relevancefeedback.topn10.qld	license restrictions older drivers renew licens driver restrict	0.4318
714	rm3.topn10.10.0.5.qld	license restrictions older drivers driver renew licens	0.3894
714	stem.sstemmer	license restriction older driver	0.3261
714	thesaurus.topn3	license restrictions older drivers	0.3261
714	thesaurus.topn3.replace	license restrictions older drivers	0.3261
715	-1	Schizophrenia drugs	0.2424
715	docluster.topn10.3.qld	schizophrenia drugs patient	0.2954
715	sensedisambiguation.replace	schizophrenia drug	0.2424
715	stem.krovetz	schizophrenia drug	0.2424
715	stem.porter	schizophrenia drug	0.2424
715	stem.porter2	schizophrenia drug	0.2424
715	stem.sstemmer	schizophrenia drug	0.2424
715	thesaurus.topn3	schizophrenia drugs	0.2424
