qid	order	query	bm25.ndcg
701	-1	U.S. oil industry history	0.0338
701	bt_nllb_german	The history of the US oil industry	0.1973
701	termluster.topn5.3.qld	u s oil industry history industri field oil field state social region	0.1557
701	relevancefeedback.topn10.qld	u s oil industry history industri counti ga	0.1247
701	docluster.topn10.3.qld	u s oil industry history industri counti	0.1239
701	bt_bing_arabic	History of the American oil industry	0.1071
701	bt_nllb_arabic	The history of the American oil industry	0.1071
701	bt_nllb_french	The history of the American oil industry	0.1071
701	conceptluster.topn5.3.qld	u s oil industry history petroleum	0.0527
701	tagmee.topn3	u s oil industry history Petroleum	0.0527
701	wordnet.topn3	u s oil industry history USA United States United States government rock oil petroleum oil color manufacture diligence account chronicle	0.0466
702	-1	Pearl farming	0.1361
702	bt_bing_tamil	Pearl culture	0.385
702	termluster.topn5.3.qld	pearl farming product fish	0.2593
702	wiki.topn3	pearl farming pearls jewellery components gemstone pearl	0.1863
702	tagmee.topn3	pearl farming Pearl	0.1564
702	rm3.topn10.10.0.5.qld	pearl farming farm japan jerri product	0.153
702	rm3.topn10.10.0.5.bm25	pearl farming coliform cumberland option japan our jerri ocean	0.141
702	wiki.topn3.replace	pearls jewellery components gemstone pearl	0.1383
704	-1	Green party political views	0.1912
704	docluster.topn10.3.qld	green party political views parti	0.2482
704	relevancefeedback.topn10.qld	green party political views parti	0.2482
704	rm3.topn10.10.0.5.qld	green party political views parti	0.2482
704	termluster.topn5.3.qld	green party political views libertarian parti polit state polit nation state parti nation	0.239
705	-1	Iraq foreign debt reduction	0.2949
705	tagmee.topn3	iraq foreign debt reduction Iraq External debt Debt	0.4538
705	bt_nllb_malay	Reduction of external debt to Iraq	0.4394
705	tagmee.topn3.replace	Iraq External debt Debt	0.4002
705	bt_bing_tamil	Iraqi Foreign Debt Reduction	0.3907
705	stem.trunc5	iraq forei debt reduc	0.3806
705	bt_bing_arabic	Iraq s external debt reduction	0.3772
705	bt_bing_french	Reduction of Iraq s external debt	0.3772
705	bt_bing_german	Reduction of Iraq s external debt	0.3772
705	bt_bing_russian	Reduction of Iraq s external debt	0.3772
705	bt_nllb_french	Reduction of Iraq s external debt	0.3772
705	rm3.topn10.10.0.5.bm25	iraq foreign debt reduction develop we	0.3339
705	bt_bing_persian	Reducing Iraq s External Debt	0.3242
705	bt_nllb_russian	Reducing Iraq s external debt	0.3242
705	termluster.topn5.3.qld	iraq foreign debt reduction debt depart state depart iraq state unit state servic	0.3182
705	stem.trunc4	iraq fore debt redu	0.3169
705	conceptluster.topn5.3.qld	iraq foreign debt reduction debt external debt	0.3117
