qid	order	query	qld.ndcg
301	-1	International Organized Crime	0.064
301	bt_nllb_arabic	International organized crime	0.064
301	bt_nllb_chinese_yue	International organized crime	0.064
301	bt_nllb_french	International organized crime	0.064
301	bt_nllb_korean	International organized crime	0.064
301	bt_nllb_persian	International organized crime	0.064
301	bt_nllb_russian	International organized crime	0.064
301	bt_nllb_tamil	International organized crime	0.064
301	bt_nllb_swahili	International Crime	0.0431
301	bt_nllb_german	International organised crime	0.0429
301	bt_nllb_malay	Integrated Crime	0.0378
302	-1	Poliomyelitis and Post-Polio	0.7466
302	bt_nllb_french	Polio and the Post Polio	0.6564
302	bt_nllb_arabic	Polio and polio	0.6559
302	bt_nllb_german	Polio and postpolio	0.6559
302	bt_nllb_russian	Polio and postpolio	0.6559
302	bt_nllb_swahili	Polio and Afterpolio	0.6559
302	bt_nllb_chinese_yue	After polio and polio	0.6354
302	bt_nllb_malay	Polio and after polio	0.6354
302	bt_nllb_tamil	After polio and polio	0.6354
302	bt_nllb_persian	Polyamide and then polio	0.5642
302	bt_nllb_korean	Polyamylitis and polyochondrosis	0.0
303	-1	Hubble Telescope Achievements	0.5359
303	bt_nllb_swahili	The results of the Hubble Telescope	0.6248
303	bt_nllb_arabic	The achievements of the Hubble Telescope	0.5359
303	bt_nllb_french	The achievements of the Hubble Telescope	0.5359
303	bt_nllb_german	Achievements of the Hubble Telescope	0.5359
303	bt_nllb_malay	The achievements of the Hubble Telescope	0.5359
303	bt_nllb_persian	The achievements of the Hubble Telescope	0.5359
303	bt_nllb_russian	The achievements of the Hubble Telescope	0.5359
303	bt_nllb_tamil	Hubble s telescope achievements	0.5347
303	bt_nllb_chinese_yue	The Hubble Telescope has achieved this	0.5326
303	bt_nllb_korean	The Hubble Telescope was completed	0.4634
304	-1	Endangered Species (Mammals)	0.1457
304	bt_nllb_swahili	Endangered Species Animals	0.1974
304	bt_nllb_chinese_yue	They are endangered	0.1859
304	bt_nllb_korean	Endangered species	0.1802
304	bt_nllb_persian	Endangered species clover	0.1654
304	bt_nllb_arabic	Endangered species mammals	0.1457
304	bt_nllb_french	Endangered species mammal	0.1457
304	bt_nllb_german	Endangered species mammal	0.1457
304	bt_nllb_malay	Endangered species mammal	0.1457
304	bt_nllb_tamil	The species in danger of extinction type	0.106
304	bt_nllb_russian	Threatened species self miners	0.0405
305	-1	Most Dangerous Vehicles	0.0469
305	bt_nllb_french	The most dangerous vehicles	0.0469
305	bt_nllb_german	Most dangerous vehicles	0.0469
305	bt_nllb_korean	The most dangerous vehicle	0.0469
305	bt_nllb_malay	The Most Dangerous Vehicle	0.0469
305	bt_nllb_persian	The most dangerous vehicles	0.0469
305	bt_nllb_russian	The most dangerous vehicles	0.0469
305	bt_nllb_tamil	The most dangerous vehicles	0.0469
305	bt_nllb_arabic	The most dangerous cars	0.0275
305	bt_nllb_chinese_yue	The most dangerous car	0.0275
305	bt_nllb_swahili	The Most Dangerous Cars	0.0275
306	-1	African Civilian Deaths	0.1628
306	bt_nllb_french	The deaths of African civilians	0.1628
306	bt_nllb_german	African civilian deaths	0.1628
306	bt_nllb_arabic	The killing of civilians in Africa	0.1408
306	bt_nllb_russian	Death of civilians in Africa	0.1226
306	bt_nllb_korean	African citizens killed	0.0705
306	bt_nllb_malay	The Death of African Citizens	0.0668
306	bt_nllb_persian	Death of African citizens	0.0668
306	bt_nllb_tamil	The death of African citizens	0.0668
306	bt_nllb_swahili	The Deaths of Politicians in Africa	0.0363
306	bt_nllb_chinese_yue	African citizens dying	0.0291
307	-1	New Hydroelectric Projects	0.384
307	bt_nllb_chinese_yue	New hydroelectric projects	0.384
307	bt_nllb_french	New hydroelectric projects	0.384
307	bt_nllb_malay	New Hydroelectric Project	0.384
307	bt_nllb_persian	New projects for hydroelectricity	0.384
307	bt_nllb_russian	New hydroelectric projects	0.384
307	bt_nllb_tamil	New hydroelectric projects	0.384
307	bt_nllb_arabic	New hydropower projects	0.1946
307	bt_nllb_korean	A new hydropower project	0.1946
307	bt_nllb_german	New hydropower plants	0.1408
307	bt_nllb_swahili	New Water Power Projects	0.132
308	-1	Implant Dentistry	0.4859
308	bt_nllb_german	Implant teeth	0.6367
308	bt_nllb_malay	Dental Implantation	0.6367
308	bt_nllb_persian	Dental implant	0.6367
308	bt_nllb_chinese_yue	Dentistry of implants	0.4859
308	bt_nllb_french	Dentistry by implant	0.4859
308	bt_nllb_russian	Dentistry of implants	0.4859
308	bt_nllb_swahili	Tooth disease of the gums	0.2463
308	bt_nllb_korean	Implantation surgery	0.2264
308	bt_nllb_arabic	Hosted dentistry	0.1128
308	bt_nllb_tamil	Surgery	0.0
309	-1	Rap and Crime	0.0
309	bt_nllb_arabic	Rape and murder	0.0
309	bt_nllb_chinese_yue	Rape and crime	0.0
309	bt_nllb_french	Rap and crime	0.0
309	bt_nllb_german	Rap and crime	0.0
309	bt_nllb_korean	Rape and crime	0.0
309	bt_nllb_malay	Rap and Crime	0.0
309	bt_nllb_persian	Rap and crime	0.0
309	bt_nllb_russian	Rape and Crime	0.0
309	bt_nllb_swahili	Crime and Crime	0.0
309	bt_nllb_tamil	Sexual abuse	0.0
310	-1	Radio Waves and Brain Cancer	0.3448
310	bt_nllb_arabic	Radio waves and brain cancer	0.3448
310	bt_nllb_french	Radio waves and brain cancer	0.3448
310	bt_nllb_german	Radio waves and brain cancer	0.3448
310	bt_nllb_malay	Radio waves and brain cancer	0.3448
310	bt_nllb_persian	Radio waves and brain cancer	0.3448
310	bt_nllb_russian	Radio waves and brain cancer	0.3448
310	bt_nllb_swahili	Radio Waves and Brain Cancer	0.3448
310	bt_nllb_tamil	Radio waves and brain cancer	0.3448
310	bt_nllb_chinese_yue	Radiation and brain cancer	0.2771
310	bt_nllb_korean	Radiation and Brain Cancer	0.2771
311	-1	Industrial Espionage	0.3748
311	bt_nllb_arabic	Industrial espionage	0.3748
311	bt_nllb_french	Industrial espionage	0.3748
311	bt_nllb_russian	Industrial espionage	0.3748
311	bt_nllb_chinese_yue	Industrial spy	0.0883
311	bt_nllb_korean	The spy industry	0.0883
311	bt_nllb_persian	Industrial spy	0.0883
311	bt_nllb_swahili	Industrial Intelligence	0.0771
311	bt_nllb_tamil	Industrial intelligence	0.0771
311	bt_nllb_malay	Industrial surveillance	0.0483
311	bt_nllb_german	The Commission has also adopted a number of proposals	0.0
312	-1	Hydroponics	0.9559
312	bt_nllb_arabic	The hydroponics	0.9559
312	bt_nllb_french	Hydroponics	0.9559
312	bt_nllb_malay	Hydroponics	0.9559
312	bt_nllb_persian	Hydroponics	0.9559
312	bt_nllb_russian	Hydroponics	0.9559
312	bt_nllb_swahili	Hydroponics	0.9559
312	bt_nllb_chinese_yue	Hydromechanics	0.0
312	bt_nllb_german	Hydrogen	0.0
312	bt_nllb_korean	Fish	0.0
312	bt_nllb_tamil	The waterfall	0.0
313	-1	Magnetic Levitation-Maglev	0.8784
313	bt_nllb_chinese_yue	The magnetic Levitation Maglev	0.8784
313	bt_nllb_german	Magnetic levitation maglev	0.8784
313	bt_nllb_malay	Magnetic levitation of the Maglev	0.8784
313	bt_nllb_russian	Magnetic levitation of the Maglev	0.8784
313	bt_nllb_swahili	Magnetic Levitation Maglev	0.8784
313	bt_nllb_tamil	Magnetic levitation McLav	0.84
313	bt_nllb_korean	Self levitization Maghreb	0.2911
313	bt_nllb_french	Magnetic lift	0.109
313	bt_nllb_arabic	Magnetic distortion	0.0639
313	bt_nllb_persian	Magnetic Lithium Magluff	0.0477
314	-1	Marine Vegetation	0.0426
314	bt_nllb_persian	Seaweed	0.462
314	bt_nllb_swahili	Seaweed	0.462
314	bt_nllb_russian	Sea vegetation	0.1048
314	bt_nllb_arabic	Marine plants	0.1028
314	bt_nllb_german	Protection of the seas	0.0985
314	bt_nllb_chinese_yue	Sea plants	0.0601
314	bt_nllb_korean	Sea plants	0.0601
314	bt_nllb_malay	Sea plants	0.0601
314	bt_nllb_tamil	Sea plants	0.0601
314	bt_nllb_french	marine vegetation	0.0426
315	-1	Unexplained Highway Accidents	0.0432
315	bt_nllb_chinese_yue	The cause of the accident is unknown	0.0848
315	bt_nllb_tamil	Unidentified road accidents	0.06
315	bt_nllb_korean	An unexplained highway accident	0.0432
315	bt_nllb_persian	Unexplained highway accidents	0.0432
315	bt_nllb_german	Unexplained car accidents	0.032
315	bt_nllb_arabic	Unexplained road accidents	0.0216
315	bt_nllb_french	Unexplained Road Accidents	0.0216
315	bt_nllb_malay	Unexplained Road Accidents	0.0216
315	bt_nllb_swahili	Unreported Road Accidents	0.0112
315	bt_nllb_russian	Unexplained Accidents	0.0
316	-1	Polygamy Polyandry Polygyny	0.7342
316	bt_nllb_chinese_yue	Polygamy polygamy polygamy and polygamy	0.7793
316	bt_nllb_french	Polygamy and polygamy	0.7793
316	bt_nllb_german	Polygamy and polygamy	0.7793
316	bt_nllb_malay	Polygamy Polygamy	0.7793
316	bt_nllb_russian	Polygamy of the Polygons	0.6364
316	bt_nllb_arabic	Polygamous Polygamous	0.0502
316	bt_nllb_korean	I m getting married I m getting married I m getting married I m getting married I m getting married I m getting married I m getting married I m getting married I m getting married I m getting married I m getting married I m getting married I m getting married I m getting married I m getting married I m getting married I m getting married I m getting married I m getting married I m getting married I m getting married I m getting married I m getting married I m getting married I m getting married I m getting married I m getting married I m getting married I m getting married I m getting married I m getting married I m getting married I m getting married I m getting married	0.0
316	bt_nllb_persian	A few wives a few wives a few wives	0.0
316	bt_nllb_swahili	Parenting	0.0
316	bt_nllb_tamil	The number of times a person is called a multiple	0.0
317	-1	Unsolicited Faxes	0.7038
317	bt_nllb_korean	Unsolicited Parks	0.342
317	bt_nllb_arabic	The unwanted fax	0.3222
317	bt_nllb_persian	Unwanted fax	0.3222
317	bt_nllb_russian	Unwanted Faxes	0.3222
317	bt_nllb_chinese_yue	Fax that nobody asked for	0.1352
317	bt_nllb_french	Faxes not requested	0.1348
317	bt_nllb_german	Faxes not requested	0.1348
317	bt_nllb_swahili	Faxes not requested	0.1348
317	bt_nllb_tamil	Unnecessary Faxes	0.0912
317	bt_nllb_malay	Fax that you don t want	0.04
318	-1	Best Retirement Country	0.053
318	bt_nllb_arabic	The best retirement country	0.053
318	bt_nllb_chinese_yue	The best retired countries	0.053
318	bt_nllb_french	The best country for retirement	0.053
318	bt_nllb_german	Best retirement country	0.053
318	bt_nllb_korean	The best retirement country	0.053
318	bt_nllb_malay	The Best Retirement Countries	0.053
318	bt_nllb_persian	The best country is retired	0.053
318	bt_nllb_russian	The best country to retire	0.053
318	bt_nllb_tamil	The country with the best pension	0.0259
318	bt_nllb_swahili	A Better Land to Leave	0.0079
319	-1	New Fuel Sources	0.1826
319	bt_nllb_german	New fuels	0.1841
319	bt_nllb_arabic	New fuel sources	0.1826
319	bt_nllb_chinese_yue	The new fuel source	0.1826
319	bt_nllb_french	New sources of fuel	0.1826
319	bt_nllb_korean	A new fuel source	0.1826
319	bt_nllb_malay	New Fuel Sources	0.1826
319	bt_nllb_persian	New fuel sources	0.1826
319	bt_nllb_russian	New Fuel Sources	0.1826
319	bt_nllb_tamil	New sources of fuel	0.1826
319	bt_nllb_swahili	A New Source of Oil	0.033
320	-1	Undersea Fiber Optic Cable	0.2511
320	bt_nllb_french	Submarine fibre optic cable	0.286
320	bt_nllb_korean	Undersea fiber optic cable	0.2511
320	bt_nllb_arabic	The fiber optic cable is underwater	0.1601
320	bt_nllb_malay	Underwater fiber optic cables	0.1601
320	bt_nllb_tamil	Sea glass fiber cable	0.1414
320	bt_nllb_swahili	Before the Undersea Fiber Optic	0.1184
320	bt_nllb_persian	Subsea fiber optic cables	0.1162
320	bt_nllb_german	Subsea fibre optic cables	0.0955
320	bt_nllb_russian	Subsea optical cable made of fibres	0.0955
320	bt_nllb_chinese_yue	The subsea fiber	0.0
321	-1	Women in Parliaments	0.3181
321	bt_nllb_arabic	Women in parliaments	0.3181
321	bt_nllb_chinese_yue	Women in the Parliament	0.3181
321	bt_nllb_french	Women in Parliament	0.3181
321	bt_nllb_german	Women in Parliament	0.3181
321	bt_nllb_malay	Women in Parliament	0.3181
321	bt_nllb_persian	Women in Parliament	0.3181
321	bt_nllb_russian	Women in parliaments	0.3181
321	bt_nllb_swahili	Women in Parliament	0.3181
321	bt_nllb_tamil	Women in parliaments	0.3181
321	bt_nllb_korean	Women in Congress	0.1411
322	-1	International Art Crime	0.0
322	bt_nllb_arabic	The crime of international art	0.0
322	bt_nllb_chinese_yue	International art crime	0.0
322	bt_nllb_french	International crime against art	0.0
322	bt_nllb_german	International art crime	0.0
322	bt_nllb_korean	International art crime	0.0
322	bt_nllb_malay	International Art Crimes	0.0
322	bt_nllb_persian	International crime of art	0.0
322	bt_nllb_russian	International crime in the field of art	0.0
322	bt_nllb_swahili	Modern Art Crime	0.0
322	bt_nllb_tamil	International art crime	0.0
323	-1	Literary/Journalistic Plagiarism	0.4955
323	bt_nllb_malay	Literary plagiarism	0.5595
323	bt_nllb_french	Literary and journalistic plagiarism	0.4955
323	bt_nllb_german	Literary and journalistic plagiarism	0.4955
323	bt_nllb_russian	Literary journalistic plagiarism	0.4955
323	bt_nllb_chinese_yue	Literary and news copying	0.0669
323	bt_nllb_swahili	Literary journalistic fraud	0.0324
323	bt_nllb_korean	Literary and historical parallels	0.0301
323	bt_nllb_persian	A literary journalistic plague	0.0106
323	bt_nllb_arabic	Literary and journalistic manipulation	0.0
323	bt_nllb_tamil	Literary fictional literature	0.0
324	-1	Argentine/British Relations	0.4472
324	bt_nllb_arabic	Argentine British relations	0.4472
324	bt_nllb_russian	Argentine British relations	0.4472
324	bt_nllb_malay	The Argentine British relationship	0.4352
324	bt_nllb_persian	Relations between Argentina and Britain	0.4323
324	bt_nllb_swahili	Argentina s relationship with Britain	0.3725
324	bt_nllb_chinese_yue	Argentina UK relations	0.3489
324	bt_nllb_french	Relations between Argentina and the United Kingdom	0.1966
324	bt_nllb_korean	Relations between Argentina and the United Kingdom	0.1966
324	bt_nllb_tamil	The United States and Argentina have a long history of cooperation	0.0769
324	bt_nllb_german	The Commission has also adopted a proposal for a regulation on the	0.0
325	-1	Cult Lifestyles	0.2154
325	bt_nllb_german	The cult lifestyle	0.2154
325	bt_nllb_arabic	The cult s way of life	0.1559
325	bt_nllb_chinese_yue	The cult s way of life	0.1559
325	bt_nllb_malay	Sect Lifestyle	0.0425
325	bt_nllb_russian	Sect lifestyle	0.0425
325	bt_nllb_french	Worship	0.0
325	bt_nllb_korean	How to Live in Worship	0.0
325	bt_nllb_persian	Religious lifestyle	0.0
325	bt_nllb_swahili	A Life of Worship	0.0
325	bt_nllb_tamil	What is the meaning of this article	0.0
326	-1	Ferry Sinkings	0.7825
326	bt_nllb_arabic	Sink in the ferry	0.7825
326	bt_nllb_german	Ferry sinks	0.7825
326	bt_nllb_korean	Ferry sinking	0.7825
326	bt_nllb_chinese_yue	The ferry sank	0.6321
326	bt_nllb_persian	The ship sank	0.2177
326	bt_nllb_tamil	The bus is sinking	0.0804
326	bt_nllb_russian	The boat sinks	0.0278
326	bt_nllb_swahili	A Sinking Boat	0.0278
326	bt_nllb_french	The shipwrecks of the ferry	0.0
326	bt_nllb_malay	Stop Stop	0.0
327	-1	Modern Slavery	0.3102
327	bt_nllb_malay	Modern day Slavery	0.396
327	bt_nllb_arabic	Modern slavery	0.3102
