qid	order	query	qld.map
301	-1	International Organized Crime	0.0104
301	glove.topn3	international organized crime global which organised criminal	0.0203
301	anchor.topn3	international organized crime confédérat föderat kanusport anti corruption anti econom drug	0.0194
301	word2vec.topn3	international organized crime national global domestic organised criminality	0.0156
301	wiki.topn3	international organized crime constitutional law public international law criminal law international law extortion mafia money laundering organized crime	0.0135
301	wiki.topn3.replace	constitutional law public international law criminal law international law extortion mafia money laundering organized crime	0.0134
301	docluster.topn10.3.bm25	international organized crime	0.0104
301	docluster.topn10.3.qld	international organized crime	0.0104
301	rm3.topn10.10.0.5.bm25	International Organized Crime	0.0104
301	rm3.topn10.10.0.5.qld	International Organized Crime	0.0104
301	stem.krovetz	international organized crime	0.0104
301	stem.porter2	intern organ crime	0.0104
301	stem.sstemmer	international organized crime	0.0104
301	termluster.topn5.3.bm25	international organized crime	0.0104
301	termluster.topn5.3.qld	international organized crime	0.0104
301	thesaurus.topn3	international organized crime	0.0104
301	thesaurus.topn3.replace	international organized crime	0.0104
301	conceptnet.topn3	international organized crime re formed reorganised	0.01
301	anchor.topn3.replace	confédérat föderat kanusport organized anti corruption anti econom drug	0.0075
301	stem.trunc5	inter organ crime	0.0073
301	sensedisambiguation	International Organized unionize Crime	0.0067
301	conceptluster.topn5.3.bm25	international organized crime international law organized crime	0.0051
301	conceptluster.topn5.3.qld	international organized crime international law organized crime	0.0051
301	tagmee.topn3	international organized crime International law Organized crime	0.0051
301	glove.topn3.replace	global which organised criminal	0.0049
301	word2vec.topn3.replace	national global domestic organised criminality	0.0029
301	relevancefeedback.topn10.qld	international organized crime protect organ it feder compens intellectu	0.0027
301	wordnet.topn3	international organized crime external unionise prepare unionize criminal offense criminal offence law breaking	0.0026
301	tagmee.topn3.replace	International law Organized crime	0.0025
301	sensedisambiguation.replace	international unionize crime	0.002
301	stem.porter	intern organiz crime	0.0018
301	relevancefeedback.topn10.bm25	international organized crime state trade govern issu japan us	0.0016
301	conceptnet.topn3.replace	international re formed reorganised crime	0.0009
301	stem.lovins	intern organ crim	0.0007
301	bertqe.topn10.qld	intern affair materi from report	0.0002
301	wordnet.topn3.replace	external unionise prepare unionize criminal offense criminal offence law breaking	0.0001
301	bertqe.topn10.bm25	jansatta hindi cso articl chitra	0.0
301	stem.paicehusk	intern org crim	0.0
301	stem.trunc4	inte orga crim	0.0
302	-1	Poliomyelitis and Post-Polio	0.5115
302	relevancefeedback.topn10.qld	poliomyelitis and post polio case polio i health hi vaccin china percent	0.5762
302	relevancefeedback.topn10.bm25	poliomyelitis and post polio case polio i health vaccin china aid	0.5478
302	wordnet.topn3	poliomyelitis post polio polio acute anterior poliomyelitis	0.5277
302	tagmee.topn3	poliomyelitis post polio Poliomyelitis Post polio syndrome	0.518
302	anchor.topn3	poliomyelitis post polio kentuckyon rwjbarnaba lcmc	0.5115
302	conceptnet.topn3	poliomyelitis post polio	0.5115
302	conceptnet.topn3.replace	poliomyelitis post polio	0.5115
302	docluster.topn10.3.bm25	poliomyelitis and post polio	0.5115
302	docluster.topn10.3.qld	poliomyelitis and post polio	0.5115
302	rm3.topn10.10.0.5.bm25	Poliomyelitis and Post-Polio	0.5115
302	rm3.topn10.10.0.5.qld	Poliomyelitis and Post-Polio	0.5115
302	sensedisambiguation	Poliomyelitis and Post Polio	0.5115
302	sensedisambiguation.replace	poliomyelitis and Post Polio	0.5115
302	stem.krovetz	poliomyeliti and post polio	0.5115
302	stem.porter	poliomyel and post polio	0.5115
302	stem.porter2	poliomyel and post polio	0.5115
302	stem.sstemmer	poliomyeliti and post polio	0.5115
302	termluster.topn5.3.bm25	poliomyelitis post polio	0.5115
302	termluster.topn5.3.qld	poliomyelitis post polio	0.5115
302	thesaurus.topn3	poliomyelitis post polio	0.5115
302	thesaurus.topn3.replace	poliomyelitis post polio	0.5115
302	glove.topn3	poliomyelitis post polio polio measles mangxamba http www kasparovchess com	0.5
302	conceptluster.topn5.3.bm25	poliomyelitis post polio post polio syndrome	0.4524
302	conceptluster.topn5.3.qld	poliomyelitis post polio post polio syndrome	0.4524
302	stem.trunc5	polio and post polio	0.4514
302	stem.paicehusk	poliomyelit and post polio	0.4418
302	tagmee.topn3.replace	Poliomyelitis Post polio syndrome	0.4392
302	wordnet.topn3.replace	polio acute anterior poliomyelitis post polio	0.4383
302	word2vec.topn3	poliomyelitis post polio polio poliovirus Guillain Barr amyotrophy	0.3996
302	glove.topn3.replace	polio measles mangxamba http www kasparovchess com	0.3081
302	wiki.topn3	poliomyelitis post polio thrombosis encephalitis renal failure poliomyelitis rett syndrome deep brain stimulation national perinatal epidemiology unit post polio syndrome	0.2691
302	word2vec.topn3.replace	polio poliovirus Guillain Barr amyotrophy	0.227
302	anchor.topn3.replace	poliomyelitis kentuckyon rwjbarnaba lcmc	0.1565
302	wiki.topn3.replace	thrombosis encephalitis renal failure poliomyelitis rett syndrome deep brain stimulation national perinatal epidemiology unit post polio syndrome	0.0599
302	bertqe.topn10.bm25	reflect i m probabl most independ	0.0013
302	bertqe.topn10.qld	franklin roosevelt geoffrei c ward	0.0
302	stem.lovins	poliomyelit and post poli	0.0
302	stem.trunc4	poli and post poli	0.0
303	-1	Hubble Telescope Achievements	0.1915
303	wiki.topn3	hubble telescope achievements great observatories program hubble space telescope standard candles hubble space telescope	0.2933
303	wiki.topn3.replace	great observatories program hubble space telescope standard candles hubble space telescope	0.2863
303	wordnet.topn3	hubble telescope achievements Edwin Hubble Edwin Powell Hubble scope accomplishment	0.1966
303	anchor.topn3	hubble telescope achievements	0.1915
303	anchor.topn3.replace	hubble telescope achievements	0.1915
303	docluster.topn10.3.bm25	hubble telescope achievements	0.1915
303	docluster.topn10.3.qld	hubble telescope achievements	0.1915
303	rm3.topn10.10.0.5.bm25	Hubble Telescope Achievements	0.1915
303	rm3.topn10.10.0.5.qld	Hubble Telescope Achievements	0.1915
303	stem.krovetz	hubble telescope achievement	0.1915
303	stem.lovins	hubbl telescop achievement	0.1915
303	stem.paicehusk	hubbl telescop achiev	0.1915
303	stem.porter	hubbl telescop achiev	0.1915
303	stem.porter2	hubbl telescop achiev	0.1915
303	stem.sstemmer	hubble telescope achievement	0.1915
303	termluster.topn5.3.bm25	hubble telescope achievements	0.1915
303	termluster.topn5.3.qld	hubble telescope achievements	0.1915
303	thesaurus.topn3	hubble telescope achievements	0.1915
303	thesaurus.topn3.replace	hubble telescope achievements	0.1915
303	sensedisambiguation	Hubble Telescope Achievements accomplishment	0.1852
303	conceptnet.topn3	hubble telescope achievements Edwin Powell Hubble scotland heap	0.1821
303	conceptnet.topn3.replace	Edwin Powell Hubble scotland heap telescope achievements	0.1767
303	conceptluster.topn5.3.bm25	hubble telescope achievements hubble space telescope	0.174
303	conceptluster.topn5.3.qld	hubble telescope achievements hubble space telescope	0.174
303	tagmee.topn3	hubble telescope achievements Hubble Space Telescope	0.174
303	sensedisambiguation.replace	hubble telescope accomplishment	0.1667
303	wordnet.topn3.replace	Edwin Hubble Edwin Powell Hubble scope accomplishment	0.1603
303	relevancefeedback.topn10.qld	hubble telescope achievements telescop have univers hubbl mirror space	0.1592
303	relevancefeedback.topn10.bm25	hubble telescope achievements launch space mirror have report telescop univers hubbl	0.1393
303	word2vec.topn3	hubble telescope achievements kepler milkyway moon observatory accomplishments successes	0.1339
303	tagmee.topn3.replace	Hubble Space Telescope	0.1265
303	stem.trunc5	hubbl teles achie	0.1097
303	glove.topn3	hubble telescope achievements telescope nasa hubble accomplishments	0.0919
303	glove.topn3.replace	telescope nasa hubble accomplishments	0.0661
303	word2vec.topn3.replace	kepler milkyway moon observatory accomplishments successes	0.0012
303	bertqe.topn10.bm25	see full complex movi like	0.0
303	bertqe.topn10.qld	wednesdai home edit column on	0.0
303	stem.trunc4	hubb tele achi	0.0
304	-1	Endangered Species (Mammals)	0.037
304	conceptluster.topn5.3.bm25	endangered species mammals endangered species	0.0471
304	conceptluster.topn5.3.qld	endangered species mammals endangered species	0.0471
304	stem.lovins	endanger speci mam	0.0455
304	stem.paicehusk	endang specy mam	0.0455
304	docluster.topn10.3.bm25	endangered species mammals	0.037
304	docluster.topn10.3.qld	endangered species mammals	0.037
304	rm3.topn10.10.0.5.bm25	Endangered Species (Mammals)	0.037
304	rm3.topn10.10.0.5.qld	Endangered Species (Mammals)	0.037
304	stem.krovetz	endanger species mammal	0.037
304	stem.porter	endang speci mammal	0.037
304	stem.porter2	endang speci mammal	0.037
304	stem.sstemmer	endangered specy mammal	0.037
304	tagmee.topn3	endangered species mammals Endangered species Mammal	0.037
304	tagmee.topn3.replace	Endangered species Mammal	0.037
304	termluster.topn5.3.bm25	endangered species mammals	0.037
304	termluster.topn5.3.qld	endangered species mammals	0.037
304	thesaurus.topn3	endangered species mammals	0.037
304	thesaurus.topn3.replace	endangered species mammals	0.037
304	anchor.topn3	endangered species mammals abs dissé sous le lud aaaaaaah	0.0337
304	sensedisambiguation	Endangered queer Species coinage Mammals mammal	0.0312
304	relevancefeedback.topn10.bm25	endangered species mammals other dolphin dune lion wildlif net fox bear whale	0.0309
304	wiki.topn3	endangered species mammals iucn red list biota conservation status iucn red list endangered species mammals therapsids synapsids mammal	0.028
304	conceptnet.topn3	endangered species mammals plant vulnerable dolphins fur dogs	0.0266
304	wordnet.topn3	endangered species mammals queer imperil metal money mintage mammalian	0.0229
304	wiki.topn3.replace	iucn red list biota conservation status iucn red list endangered species mammals therapsids synapsids mammal	0.0204
304	anchor.topn3.replace	endangered abs dissé sous le lud aaaaaaah mammals	0.0183
304	glove.topn3	endangered species mammals imperiled wildlife endangered mammals reptiles amphibians	0.0157
304	word2vec.topn3	endangered species mammals imperiled endagered subspecies genus genera vertebrates reptiles	0.0125
304	relevancefeedback.topn10.qld	endangered species mammals wildlif dune oil fox other dolphin we bear lion	0.0108
304	conceptnet.topn3.replace	plant vulnerable species dolphins fur dogs	0.0087
304	stem.trunc5	endan speci mamma	0.0047
304	glove.topn3.replace	imperiled wildlife endangered mammals reptiles amphibians	0.0046
304	bertqe.topn10.bm25	develop wildlif offici proud work	0.0018
304	word2vec.topn3.replace	imperiled endagered subspecies genus genera vertebrates reptiles	0.001
304	bertqe.topn10.qld	suitcas thai intern sundai night	0.0004
304	sensedisambiguation.replace	queer coinage mammal	0.0
304	stem.trunc4	enda spec mamm	0.0
304	wordnet.topn3.replace	queer imperil metal money mintage mammalian	0.0
305	-1	Most Dangerous Vehicles	0.0044
305	conceptluster.topn5.3.bm25	dangerous vehicles risk	0.0173
305	conceptluster.topn5.3.qld	dangerous vehicles risk	0.0173
305	wordnet.topn3	dangerous vehicles life threatening unsafe fomite	0.0159
305	sensedisambiguation	Most Dangerous Vehicles vehicle	0.0098
305	termluster.topn5.3.bm25	dangerous vehicles	0.0071
305	termluster.topn5.3.qld	dangerous vehicles	0.0071
305	thesaurus.topn3	dangerous vehicles	0.0071
305	thesaurus.topn3.replace	dangerous vehicles	0.0071
305	wiki.topn3	dangerous vehicles risk assessment optimism bias risk management risk truck semi trailer motor vehicle vehicle	0.006
305	wiki.topn3.replace	risk assessment optimism bias risk management risk truck semi trailer motor vehicle vehicle	0.0059
305	tagmee.topn3.replace	Risk Vehicle	0.0051
305	tagmee.topn3	dangerous vehicles Risk Vehicle	0.0049
305	docluster.topn10.3.bm25	most dangerous vehicles	0.0044
305	docluster.topn10.3.qld	most dangerous vehicles	0.0044
305	rm3.topn10.10.0.5.bm25	Most Dangerous Vehicles	0.0044
305	rm3.topn10.10.0.5.qld	Most Dangerous Vehicles	0.0044
305	sensedisambiguation.replace	Most dangerous vehicle	0.0044
305	stem.krovetz	most dangerous vehicle	0.0044
305	stem.lovins	most danger vehicl	0.0044
305	stem.porter	most danger vehicl	0.0044
305	stem.porter2	most danger vehicl	0.0044
305	stem.sstemmer	most dangerous vehicle	0.0044
305	conceptnet.topn3	dangerous vehicles Explosives driving Some people	0.0028
305	conceptnet.topn3.replace	Explosives driving Some people vehicles	0.0024
305	anchor.topn3.replace	idhún deadston aud vehicles	0.0016
305	glove.topn3	dangerous vehicles potentially difficult cars	0.0012
305	glove.topn3.replace	potentially difficult cars	0.0011
305	anchor.topn3	dangerous vehicles idhún deadston aud	0.001
305	wordnet.topn3.replace	life threatening unsafe fomite	0.0007
305	word2vec.topn3	dangerous vehicles hazardous risky perilous cars trucks	0.0005
305	bertqe.topn10.bm25	smirnov gener cleanup space must	0.0
305	bertqe.topn10.qld	counti edit measur school perform	0.0
305	relevancefeedback.topn10.bm25	most dangerous vehicles vote govern over close arab space control system plan	0.0
305	relevancefeedback.topn10.qld	most dangerous vehicles control govern system pound vote dollar	0.0
305	stem.paicehusk	most dang vehic	0.0
