qid	order	query	qld.recip_rank
301	-1	International Organized Crime	0.25
301	conceptnet.topn3	international organized crime re formed reorganised	1.0
301	glove.topn3	international organized crime global which organised criminal	1.0
301	glove.topn3.replace	global which organised criminal	1.0
301	word2vec.topn3	international organized crime national global domestic organised criminality	1.0
301	word2vec.topn3.replace	national global domestic organised criminality	1.0
301	anchor.topn3	international organized crime confédérat föderat kanusport anti corruption anti econom drug	0.5
301	relevancefeedback.topn10.bm25	international organized crime state trade govern issu japan us	0.5
301	stem.trunc5	inter organ crime	0.5
301	anchor.topn3.replace	confédérat föderat kanusport organized anti corruption anti econom drug	0.25
301	docluster.topn10.3.bm25	international organized crime	0.25
301	docluster.topn10.3.qld	international organized crime	0.25
301	rm3.topn10.10.0.5.bm25	International Organized Crime	0.25
301	rm3.topn10.10.0.5.qld	International Organized Crime	0.25
301	stem.krovetz	international organized crime	0.25
301	stem.porter2	intern organ crime	0.25
301	stem.sstemmer	international organized crime	0.25
301	termluster.topn5.3.bm25	international organized crime	0.25
301	termluster.topn5.3.qld	international organized crime	0.25
301	thesaurus.topn3	international organized crime	0.25
301	thesaurus.topn3.replace	international organized crime	0.25
301	wiki.topn3.replace	constitutional law public international law criminal law international law extortion mafia money laundering organized crime	0.25
301	conceptluster.topn5.3.bm25	international organized crime international law organized crime	0.2
301	conceptluster.topn5.3.qld	international organized crime international law organized crime	0.2
301	sensedisambiguation	International Organized unionize Crime	0.2
301	stem.porter	intern organiz crime	0.2
301	tagmee.topn3	international organized crime International law Organized crime	0.2
301	tagmee.topn3.replace	International law Organized crime	0.2
301	wiki.topn3	international organized crime constitutional law public international law criminal law international law extortion mafia money laundering organized crime	0.2
301	conceptnet.topn3.replace	international re formed reorganised crime	0.125
301	wordnet.topn3	international organized crime external unionise prepare unionize criminal offense criminal offence law breaking	0.1111
301	sensedisambiguation.replace	international unionize crime	0.1
301	relevancefeedback.topn10.qld	international organized crime protect organ it feder compens intellectu	0.0588
301	wordnet.topn3.replace	external unionise prepare unionize criminal offense criminal offence law breaking	0.0345
301	stem.lovins	intern organ crim	0.0278
301	bertqe.topn10.qld	intern affair materi from report	0.0175
301	bertqe.topn10.bm25	jansatta hindi cso articl chitra	0.0
301	stem.paicehusk	intern org crim	0.0
301	stem.trunc4	inte orga crim	0.0
302	-1	Poliomyelitis and Post-Polio	1.0
302	anchor.topn3	poliomyelitis post polio kentuckyon rwjbarnaba lcmc	1.0
302	anchor.topn3.replace	poliomyelitis kentuckyon rwjbarnaba lcmc	1.0
302	conceptluster.topn5.3.bm25	poliomyelitis post polio post polio syndrome	1.0
302	conceptluster.topn5.3.qld	poliomyelitis post polio post polio syndrome	1.0
302	conceptnet.topn3	poliomyelitis post polio	1.0
302	conceptnet.topn3.replace	poliomyelitis post polio	1.0
302	docluster.topn10.3.bm25	poliomyelitis and post polio	1.0
302	docluster.topn10.3.qld	poliomyelitis and post polio	1.0
302	glove.topn3	poliomyelitis post polio polio measles mangxamba http www kasparovchess com	1.0
302	relevancefeedback.topn10.bm25	poliomyelitis and post polio case polio i health vaccin china aid	1.0
302	relevancefeedback.topn10.qld	poliomyelitis and post polio case polio i health hi vaccin china percent	1.0
302	rm3.topn10.10.0.5.bm25	Poliomyelitis and Post-Polio	1.0
302	rm3.topn10.10.0.5.qld	Poliomyelitis and Post-Polio	1.0
302	sensedisambiguation	Poliomyelitis and Post Polio	1.0
302	sensedisambiguation.replace	poliomyelitis and Post Polio	1.0
