qid	order	query	qld.map
301	-1	International Organized Crime	0.0104
301	bt_nllb_german	International organised crime	0.0062
301	bt_nllb_malay	Integrated Crime	0.0058
301	bt_nllb_swahili	International Crime	0.0052
302	-1	Poliomyelitis and Post-Polio	0.5115
302	bt_nllb_arabic	Polio and polio	0.4514
302	bt_nllb_french	Polio and the Post Polio	0.4514
302	bt_nllb_german	Polio and postpolio	0.4514
302	bt_nllb_russian	Polio and postpolio	0.4514
302	bt_nllb_swahili	Polio and Afterpolio	0.4514
302	bt_nllb_chinese_yue	After polio and polio	0.4356
302	bt_nllb_malay	Polio and after polio	0.4356
302	bt_nllb_tamil	After polio and polio	0.4356
302	bt_nllb_persian	Polyamide and then polio	0.2752
302	bt_nllb_korean	Polyamylitis and polyochondrosis	0.0
303	-1	Hubble Telescope Achievements	0.1915
303	bt_nllb_chinese_yue	The Hubble Telescope has achieved this	0.1899
303	bt_nllb_tamil	Hubble s telescope achievements	0.1896
303	bt_nllb_korean	The Hubble Telescope was completed	0.1427
304	-1	Endangered Species (Mammals)	0.037
304	bt_nllb_tamil	The species in danger of extinction type	0.0161
304	bt_nllb_russian	Threatened species self miners	0.0034
305	-1	Most Dangerous Vehicles	0.0044
305	bt_nllb_arabic	The most dangerous cars	0.0026
305	bt_nllb_chinese_yue	The most dangerous car	0.0026
305	bt_nllb_swahili	The Most Dangerous Cars	0.0026
306	-1	African Civilian Deaths	0.0527
306	bt_nllb_arabic	The killing of civilians in Africa	0.0379
306	bt_nllb_russian	Death of civilians in Africa	0.0352
306	bt_nllb_korean	African citizens killed	0.0118
306	bt_nllb_malay	The Death of African Citizens	0.0108
306	bt_nllb_persian	Death of African citizens	0.0108
306	bt_nllb_tamil	The death of African citizens	0.0108
306	bt_nllb_swahili	The Deaths of Politicians in Africa	0.004
306	bt_nllb_chinese_yue	African citizens dying	0.0028
307	-1	New Hydroelectric Projects	0.2124
307	bt_nllb_arabic	New hydropower projects	0.0719
307	bt_nllb_korean	A new hydropower project	0.0719
307	bt_nllb_swahili	New Water Power Projects	0.0382
307	bt_nllb_german	New hydropower plants	0.036
308	-1	Implant Dentistry	0.2812
308	bt_nllb_swahili	Tooth disease of the gums	0.125
308	bt_nllb_korean	Implantation surgery	0.0732
308	bt_nllb_arabic	Hosted dentistry	0.025
308	bt_nllb_tamil	Surgery	0.0
309	-1	Rap and Crime	0.0
310	-1	Radio Waves and Brain Cancer	0.1362
310	bt_nllb_chinese_yue	Radiation and brain cancer	0.0979
310	bt_nllb_korean	Radiation and Brain Cancer	0.0979
311	-1	Industrial Espionage	0.2058
311	bt_nllb_chinese_yue	Industrial spy	0.0142
311	bt_nllb_korean	The spy industry	0.0142
311	bt_nllb_persian	Industrial spy	0.0142
311	bt_nllb_swahili	Industrial Intelligence	0.0142
311	bt_nllb_tamil	Industrial intelligence	0.0142
311	bt_nllb_malay	Industrial surveillance	0.008
311	bt_nllb_german	The Commission has also adopted a number of proposals	0.0
312	-1	Hydroponics	0.8553
312	bt_nllb_chinese_yue	Hydromechanics	0.0
312	bt_nllb_german	Hydrogen	0.0
312	bt_nllb_korean	Fish	0.0
312	bt_nllb_tamil	The waterfall	0.0
313	-1	Magnetic Levitation-Maglev	0.768
