qid	order	query	qld.recip_rank
INEX_LD-2009022	-1	Szechwan dish food cuisine	1.0
INEX_LD-2009022	bt_nllb_korean	Cooking the dishes	0.0417
INEX_LD-2009022	bt_nllb_german	Chequan buffalo cuisine	0.0303
INEX_LD-2009022	bt_nllb_arabic	Seizuan food	0.0
INEX_LD-2009022	bt_nllb_chinese_yue	The recipe	0.0
INEX_LD-2009022	bt_nllb_persian	Cooking Sheep s Meals	0.0
INEX_LD-2009022	bt_nllb_russian	The kitchen of the sequoia	0.0
INEX_LD-2009022	bt_nllb_tamil	The food is cooked by Tshuang	0.0
INEX_LD-2009039	-1	roman architecture	1.0
INEX_LD-2009053	-1	finland car industry manufacturer saab sisu	0.3333
INEX_LD-2009053	bt_nllb_korean	Finnish car manufacturer Sava Saassu	0.1111
INEX_LD-2009061	-1	france second world war normandy	1.0
INEX_LD-2009061	bt_nllb_arabic	France World War II Normandy and the French and Indian War	0.5
INEX_LD-2009061	bt_nllb_chinese_yue	France World War II Normandy and the French	0.5
INEX_LD-2009061	bt_nllb_korean	France during World War II Normandy	0.3333
INEX_LD-2009062	-1	social network group selection	0.1667
INEX_LD-2009062	bt_nllb_persian	Choosing a social media group	0.1429
INEX_LD-2009062	bt_nllb_malay	Choice of social networking group	0.0667
INEX_LD-2009062	bt_nllb_arabic	Choosing social network groups	0.0385
INEX_LD-2009062	bt_nllb_korean	Choose a social network group	0.0385
INEX_LD-2009062	bt_nllb_swahili	Choosing a social networking group	0.0385
INEX_LD-2009063	-1	D-Day normandy invasion	1.0
INEX_LD-2009063	bt_nllb_chinese_yue	The Norman invasion of D Day	0.1429
INEX_LD-2009063	bt_nllb_tamil	The D Day Norman invasion	0.1429
INEX_LD-2009074	-1	web ranking scoring algorithm	1.0
INEX_LD-2009074	bt_nllb_russian	algorithm for rating of websites	0.0833
INEX_LD-2009074	bt_nllb_german	The following is the list of the categories of users of the service	0.0
INEX_LD-2009096	-1	Eiffel	1.0
INEX_LD-2009096	bt_nllb_french	The Eiffel fire	0.125
INEX_LD-2009096	bt_nllb_arabic	I m not	0.0
INEX_LD-2009096	bt_nllb_chinese_yue	I m not sure	0.0
INEX_LD-2009096	bt_nllb_german	Eggs	0.0
INEX_LD-2009096	bt_nllb_korean	The Epel	0.0
INEX_LD-2009096	bt_nllb_persian	I m going to the hospital	0.0
INEX_LD-2009096	bt_nllb_tamil	the ifel	0.0
INEX_LD-2009111	-1	europe solar power facility	1.0
INEX_LD-2009111	bt_nllb_swahili	Europe solar power station	0.3333
INEX_LD-2009111	bt_nllb_french	The European Union	0.0
INEX_LD-2009115	-1	virtual museums	1.0
INEX_LD-2009115	bt_nllb_malay	The Mayan Museum	0.0
INEX_LD-2010004	-1	Indian food	1.0
INEX_LD-2010014	-1	composer museum	0.1667
INEX_LD-2010014	bt_nllb_swahili	museums of the writer	0.0769
INEX_LD-2010014	bt_nllb_chinese_yue	The Musicians Museum	0.0714
INEX_LD-2010014	bt_nllb_persian	The Musical Museum	0.0385
INEX_LD-2010014	bt_nllb_tamil	The Musical Museum	0.0385
INEX_LD-2010014	bt_nllb_german	The composer s museum	0.0286
INEX_LD-2010014	bt_nllb_korean	The composer s museum	0.0286
INEX_LD-2010014	bt_nllb_malay	The Composer s Museum	0.0286
INEX_LD-2010014	bt_nllb_arabic	The Museum of the Author	0.025
INEX_LD-2010019	-1	gallo roman architecture in paris	0.0172
INEX_LD-2010019	bt_nllb_arabic	Gallo Romanesque architecture in Paris	0.0
INEX_LD-2010019	bt_nllb_persian	The architecture of the Gallo Rome in Paris	0.0
INEX_LD-2010019	bt_nllb_tamil	The architecture of the Calo Romanesque in Paris	0.0
INEX_LD-2010020	-1	electricity source in France	0.2
INEX_LD-2010020	bt_nllb_persian	Power supply in France	0.1667
INEX_LD-2010020	bt_nllb_chinese_yue	French power supply	0.0769
INEX_LD-2010020	bt_nllb_arabic	Electricity supply in France	0.0323
INEX_LD-2010020	bt_nllb_korean	The electricity supply in France	0.0323
INEX_LD-2010037	-1	social network API	1.0
INEX_LD-2010037	bt_nllb_russian	API of social media	0.5
INEX_LD-2010043	-1	List of films from the surrealist category	1.0
INEX_LD-2010043	bt_nllb_chinese_yue	A list of movies in the surrealist category	0.1667
INEX_LD-2010057	-1	Einstein Relativity theory	1.0
INEX_LD-2010057	bt_nllb_tamil	The theory of Einstein s theory of relativity is that the universe is made up of all things	0.5
INEX_LD-2010057	bt_nllb_swahili	Einstein s Theory of Relation	0.1667
INEX_LD-2010069	-1	summer flowers	0.2
INEX_LD-2010100	-1	house concrete wood	1.0
INEX_LD-2010100	bt_nllb_chinese_yue	Concrete for the room	0.0833
INEX_LD-2010100	bt_nllb_persian	The house is concrete	0.04
INEX_LD-2010100	bt_nllb_arabic	Home wood	0.0
INEX_LD-2010100	bt_nllb_german	Other of a kind used for the manufacture of goods of heading	0.0
INEX_LD-2010100	bt_nllb_swahili	a concrete wooden house	0.0
INEX_LD-2010106	-1	organic food advantages disadvantages	0.0
INEX_LD-20120111	-1	vietnam war movie	1.0
INEX_LD-20120111	bt_nllb_french	Vietnamese war film	0.5
INEX_LD-20120111	bt_nllb_swahili	Vietnamese war film	0.5
INEX_LD-20120111	bt_nllb_korean	A film about the Vietnam War	0.3333
INEX_LD-20120112	-1	vietnam war facts	1.0
INEX_LD-20120112	bt_nllb_tamil	The Vietnam War was a war of attrition	0.5
INEX_LD-20120112	bt_nllb_swahili	The Truth About the Vietnam War	0.3333
INEX_LD-20120121	-1	vietnam food recipes	1.0
INEX_LD-20120121	bt_nllb_arabic	Vietnamese recipes	0.3333
INEX_LD-20120121	bt_nllb_german	Vietnamese recipes	0.3333
INEX_LD-20120121	bt_nllb_russian	Vietnamese recipes	0.3333
INEX_LD-20120122	-1	vietnamese food blog	0.1667
INEX_LD-20120131	-1	vietnam travel national park	0.25
INEX_LD-20120131	bt_nllb_malay	Vietnamese Travel National Park	0.125
INEX_LD-20120131	bt_nllb_chinese_yue	Vietnamese National Park for tourism	0.0909
INEX_LD-20120132	-1	vietnam travel airports	1.0
INEX_LD-20120132	bt_nllb_chinese_yue	Vietnamese tourist airport	0.5
INEX_LD-20120211	-1	guitar chord tuning	1.0
INEX_LD-20120211	bt_nllb_chinese_yue	The guitar strings	0.5
INEX_LD-20120211	bt_nllb_russian	the guitar chord setup	0.25
INEX_LD-20120211	bt_nllb_korean	Guitar	0.2
INEX_LD-20120212	-1	guitar chord minor	1.0
INEX_LD-20120212	bt_nllb_persian	A small chord guitar	0.5
INEX_LD-20120212	bt_nllb_swahili	small chord guitar	0.5
INEX_LD-20120212	bt_nllb_tamil	The guitar is a small print	0.0147
INEX_LD-20120212	bt_nllb_german	Guitar recorder	0.0123
INEX_LD-20120221	-1	guitar classical flamenco	1.0
INEX_LD-20120222	-1	guitar classical bach	1.0
INEX_LD-20120222	bt_nllb_persian	The classical guitar	0.3333
INEX_LD-20120222	bt_nllb_arabic	It s a classic guitar	0.1667
INEX_LD-20120222	bt_nllb_french	The classic bass guitar	0.0714
INEX_LD-20120222	bt_nllb_korean	The classic guitar barch	0.0256
INEX_LD-20120231	-1	guitar origin Russia	0.1
INEX_LD-20120231	bt_nllb_korean	Other origin Russia	0.0
INEX_LD-20120232	-1	guitar origin blues	1.0
INEX_LD-20120232	bt_nllb_persian	The Nile guitar	0.0
INEX_LD-20120311	-1	tango culture movies	0.5
INEX_LD-20120311	bt_nllb_swahili	the movie culture of the cucumber	0.0
INEX_LD-20120312	-1	tango culture countries	1.0
INEX_LD-20120312	bt_nllb_swahili	Countries of the cucumber culture	0.0
INEX_LD-20120312	bt_nllb_tamil	The country of the Tang culture	0.0
INEX_LD-20120321	-1	tango music  composers	1.0
INEX_LD-20120321	bt_nllb_arabic	Tango musicians	0.3333
INEX_LD-20120321	bt_nllb_tamil	The first is the Tango of the singer	0.0714
INEX_LD-20120321	bt_nllb_swahili	Composers of the cucumber music	0.0
INEX_LD-20120322	-1	tango music instruments	1.0
INEX_LD-20120322	bt_nllb_malay	tangos	0.5
INEX_LD-20120322	bt_nllb_russian	Tangos and other musical instruments	0.5
INEX_LD-20120322	bt_nllb_tamil	The first is the tango	0.1
INEX_LD-20120322	bt_nllb_german	Other instruments for the musical use of instruments	0.0
INEX_LD-20120322	bt_nllb_swahili	Cucumber musical instruments	0.0
INEX_LD-20120331	-1	tango dance styles	1.0
INEX_LD-20120331	bt_nllb_german	Dancing styles	0.3333
INEX_LD-20120332	-1	tango dance history	1.0
INEX_LD-20120332	bt_nllb_swahili	The history of the cucumber dance	0.0256
INEX_LD-20120411	-1	bicycle sport races	1.0
INEX_LD-20120411	bt_nllb_german	Cycling	0.0526
INEX_LD-20120412	-1	bicycle sport disciplines	1.0
INEX_LD-20120412	bt_nllb_tamil	Cycling sports fields	0.1667
INEX_LD-20120412	bt_nllb_arabic	Cycling	0.05
INEX_LD-20120412	bt_nllb_chinese_yue	Cycling	0.05
INEX_LD-20120412	bt_nllb_swahili	Cycling classes	0.0263
INEX_LD-20120421	-1	bicycle holiday towns	0.05
INEX_LD-20120421	bt_nllb_french	cities for holiday by bicycle	0.04
INEX_LD-20120421	bt_nllb_malay	city holiday bicycle	0.04
INEX_LD-20120421	bt_nllb_tamil	Cycling holiday cities	0.04
INEX_LD-20120421	bt_nllb_german	Cycling holiday towns	0.0286
INEX_LD-20120421	bt_nllb_persian	Cycling holiday towns	0.0286
INEX_LD-20120421	bt_nllb_korean	A bicycle resort town	0.0213
INEX_LD-20120421	bt_nllb_arabic	Bike holiday towns	0.0167
INEX_LD-20120421	bt_nllb_chinese_yue	Cycling cities	0.0
INEX_LD-20120421	bt_nllb_russian	cities for cycling	0.0
INEX_LD-20120422	-1	bicycle holiday nature	0.3333
INEX_LD-20120422	bt_nllb_chinese_yue	The nature of cycling vacation	0.0588
INEX_LD-20120422	bt_nllb_german	Cycling leave	0.0
INEX_LD-20120422	bt_nllb_swahili	the origin of bicycle holidays	0.0
INEX_LD-20120431	-1	bicycle benefits health	0.1111
INEX_LD-20120431	bt_nllb_german	Bicycles for Health	0.0385
INEX_LD-20120431	bt_nllb_chinese_yue	Bicycles are good for health	0.01
INEX_LD-20120431	bt_nllb_persian	Bicycles are good for health	0.01
INEX_LD-20120431	bt_nllb_russian	Bicycles are good for health	0.01
INEX_LD-20120431	bt_nllb_french	Health Benefits	0.0
INEX_LD-20120432	-1	bicycle benefits environment	1.0
INEX_LD-20120432	bt_nllb_malay	environmental benefits of bicycles	0.3333
INEX_LD-20120432	bt_nllb_swahili	environmental benefits of bicycles	0.3333
INEX_LD-20120432	bt_nllb_arabic	The benefits of bicycles	0.1667
INEX_LD-20120432	bt_nllb_chinese_yue	The benefits of cycling are environmental	0.1429
INEX_LD-20120432	bt_nllb_french	environmental benefits	0.0
INEX_LD-20120511	-1	female rock singers	0.5
INEX_LD-20120511	bt_nllb_arabic	A female rock song	0.3333
INEX_LD-20120511	bt_nllb_french	rock singers	0.3333
INEX_LD-20120511	bt_nllb_swahili	rock musicians	0.0417
INEX_LD-20120512	-1	south korean girl groups	1.0
INEX_LD-20120521	-1	electronic music genres	1.0
INEX_LD-20120521	bt_nllb_german	Music genres	0.25
INEX_LD-20120522	-1	digital music notation formats	0.3333
INEX_LD-20120522	bt_nllb_chinese_yue	Digital music recording format	0.0256
INEX_LD-20120522	bt_nllb_korean	Digital music label format	0.0244
INEX_LD-20120522	bt_nllb_arabic	The digital music signal forms	0.0106
INEX_LD-20120522	bt_nllb_tamil	Digital music reference forms	0.0
INEX_LD-20120531	-1	music conferences	1.0
INEX_LD-20120531	bt_nllb_chinese_yue	The concert	0.0435
INEX_LD-20120531	bt_nllb_korean	I m going to a music conference	0.0189
INEX_LD-20120531	bt_nllb_french	music lectures	0.0
INEX_LD-20120531	bt_nllb_swahili	music meetings	0.0
INEX_LD-20120531	bt_nllb_tamil	Music conventions	0.0
INEX_LD-20120532	-1	intellectual property rights lobby	0.5
INEX_LD-20120532	bt_nllb_korean	Intellectual property lobby	0.2
INEX_LD-2012301	-1	Niagara falls origin lake	1.0
INEX_LD-2012301	bt_nllb_korean	Niagara Falls the source lake	0.5
INEX_LD-2012301	bt_nllb_tamil	Niagara Falls is the source of the lake	0.5
INEX_LD-2012301	bt_nllb_chinese_yue	Niagara the source of the lake	0.0556
INEX_LD-2012303	-1	 Valley fever fungal infection San Joaquin	0.3333
INEX_LD-2012303	bt_nllb_persian	The San Joaquin fungal infection	0.25
INEX_LD-2012303	bt_nllb_russian	Spring fever fungal infection San Joaquin	0.25
INEX_LD-2012303	bt_nllb_swahili	The plague of San Joaquin	0.0833
INEX_LD-2012303	bt_nllb_chinese_yue	Valley fever infection by bacteria St Joaquin	0.0435
