qid	order	query	bm25.ndcg
701	-1	U.S. oil industry history	0.0338
702	-1	Pearl farming	0.1361
704	-1	Green party political views	0.1912
705	-1	Iraq foreign debt reduction	0.2949
706	-1	Controlling type II diabetes	0.1037
707	-1	Aspirin cancer prevention	0.4535
708	-1	Decorative slate sources	0.3088
709	-1	Horse racing jockey weight	0.722
710	-1	Prostate cancer treatments	0.3634
711	-1	Train station security measures	0.2482
712	-1	Pyramid scheme	0.3626
713	-1	Chesapeake Bay Maryland clean	0.2573
714	-1	License restrictions older drivers	0.3352
715	-1	Schizophrenia drugs	0.1867
716	-1	Spammer arrest sue	0.2416
717	-1	Gifted talented student programs	0.2203
718	-1	Controlling acid rain	0.1929
719	-1	Cruise ship damage sea life	0.0921
720	-1	Federal welfare reform	0.137
721	-1	Census data applications	0.0453
722	-1	Iran terrorism	0.3995
723	-1	Executive privilege	0.3498
724	-1	Iran Contra	0.344
725	-1	Low white blood cell count	0.282
726	-1	Hubble telescope repairs	0.2842
727	-1	Church arson	0.4789
728	-1	whales save endangered	0.2008
729	-1	Whistle blower department of defense	0.0
730	-1	Gastric bypass complications	0.6458
731	-1	Kurds history	0.121
732	-1	U.S. cheese production	0.0374
733	-1	Airline overbooking	0.424
734	-1	Recycling successes	0.1656
735	-1	Afghan women condition	0.214
736	-1	location BSE infections	0.285
737	-1	Enron California energy crisis	0.4216
738	-1	Anthrax hoaxes	0.5801
739	-1	Habitat for Humanity	0.2258
740	-1	regulate assisted living Maryland	0.4069
741	-1	Artificial Intelligence	0.0776
742	-1	hedge funds fraud protection	0.3937
743	-1	Freighter ship registration	0.0251
744	-1	Counterfeit ID punishments	0.0169
745	-1	Doomsday cults	0.3729
746	-1	Outsource job India	0.4034
747	-1	Library computer oversight	0.1373
748	-1	Nuclear reactor types	0.3351
749	-1	Puerto Rico state	0.4631
750	-1	John Edwards womens issues	0.3014
751	-1	Scrabble Players	0.4644
752	-1	Dam removal	0.382
753	-1	bullying prevention programs	0.2951
754	-1	domestic adoption laws	0.1136
755	-1	Scottish Highland Games	0.7084
756	-1	Volcanic Activity	0.1013
757	-1	Murals	0.1277
758	-1	Embryonic stem cells	0.3214
759	-1	civil war battle reenactments	0.5008
760	-1	american muslim mosques schools	0.299
761	-1	Problems of Hmong Immigrants	0.3853
762	-1	History of Physicians in America	0.0913
763	-1	Hunting deaths	0.2146
764	-1	Increase mass transit use	0.1439
765	-1	ephedra ma huang deaths	0.4186
766	-1	diamond smuggling	0.3965
767	-1	Pharmacist License requirements	0.235
768	-1	Women in state legislatures	0.2604
769	-1	Kroll Associates Employees	0.0364
770	-1	Kyrgyzstan-United States relations	0.3277
771	-1	deformed leopard frogs	0.5151
772	-1	flag display rules	0.4109
773	-1	Pennsylvania slot machine gambling	0.6378
774	-1	Causes of Homelessness	0.1458
775	-1	Commercial candy makers	0.0848
776	-1	Magnet schools success	0.3438
777	-1	hybrid alternative fuel cars	0.202
778	-1	golden ratio	0.3475
779	-1	Javelinas range and description	0.4186
780	-1	Arable land	0.1466
781	-1	Squirrel control and protections	0.2599
782	-1	Orange varieties seasons	0.4709
783	-1	school mercury poisoning	0.1372
784	-1	mersenne primes	0.8051
785	-1	Ivory-billed woodpecker	0.4207
786	-1	Yew trees	0.2924
787	-1	Sunflower Cultivation	0.3787
788	-1	Reverse mortgages	0.5672
789	-1	abandoned mine reclamation	0.1902
790	-1	women's rights in Saudi Arabia	0.6419
791	-1	Gullah geechee language culture	0.5997
792	-1	Social Security means test	0.2726
793	-1	Bagpipe Bands	0.3378
794	-1	pet therapy	0.3324
795	-1	notable cocker spaniels	0.1182
796	-1	Blue Grass Music Festival history	0.2924
797	-1	reintroduction of gray wolves	0.402
798	-1	Massachusetts textile mills	0.3214
799	-1	Animals in Alzheimer's research	0.1684
800	-1	Ovarian Cancer Treatment	0.2047
801	-1	Kudzu Pueraria lobata	0.3719
802	-1	Volcano eruptions global temperature	0.4645
803	-1	May Day	0.0
804	-1	ban on human cloning	0.4039
805	-1	Identity Theft Passport	0.2704
806	-1	Doctors Without Borders	0.3462
807	-1	Sugar tariff-rate quotas	0.5616
808	-1	North Korean Counterfeiting	0.7013
809	-1	wetlands wastewater treatment	0.3311
810	-1	timeshare resales	0.5225
811	-1	handwriting recognition	0.426
812	-1	total knee replacement surgery	0.5661
813	-1	Atlantic Intracoastal Waterway	0.3632
814	-1	Johnstown flood	0.4739
815	-1	Coast Guard rescues	0.2543
816	-1	USAID assistance to Galapagos	0.9033
817	-1	sports stadium naming rights	0.4718
818	-1	Chaco Culture National Park	0.4551
819	-1	1890 Census	0.005
820	-1	imported fire ants	0.4091
821	-1	Internet work-at-home scams	0.3581
822	-1	Custer's Last Stand	0.1437
823	-1	Continuing care retirement communities	0.3129
824	-1	Civil Air Patrol	0.2065
825	-1	National Guard Involvement in Iraq	0.0974
826	-1	Florida Seminole Indians	0.2732
827	-1	Hidden Markov Modeling HMM	0.4681
828	-1	secret shoppers	0.3413
829	-1	Spanish Civil War support	0.2682
830	-1	model railroads	0.1992
831	-1	Dulles Airport security	0.4823
832	-1	labor union activity	0.1245
833	-1	Iceland government	0.5459
834	-1	Global positioning system earthquakes	0.2779
835	-1	Big Dig pork	0.2368
836	-1	illegal immigrant wages	0.4707
837	-1	Eskimo History	0.1036
838	-1	urban suburban coyotes	0.5015
839	-1	textile dyeing techniques	0.4075
