qid	order	query	bm25.recip_rank
100653	-1	how do I go about getting copies of letters of commendation prsented to me from city of san diego?	1.0
100653	bt_bing_arabic	How can I get copies of letters of praise sent to me from the City of San Diego	0.5
100653	bt_bing_malay	How can I get a copy of the letter of praise given to me from the city of San Diego	0.5
100653	bt_nllb_malay	How do I get a copy of the letter of credit sent from the city of San Diego	0.5
100653	bt_nllb_russian	How can I get copies of the complimentary letters sent to me from the city of San Diego	0.5
100653	bt_nllb_swahili	How can I get copies of congratulatory letters from San Diego	0.5
100653	bt_nllb_tamil	How can I get copies of congratulatory letters sent to me from San Diego	0.5
100653	bt_bing_persian	How about getting copies of letters of praise prsented to me from San Diego County	0.3333
1015624	-1	What's the Definition of a bloody mary?	1.0
1015624	bt_bing_swahili	What is the meaning of the blood mary	0.3333
1015624	bt_nllb_german	What s the definition of a fucking Mary	0.0278
1015624	bt_nllb_french	What s the definition of a holy Mary	0.0233
1015624	bt_nllb_chinese_yue	What is the definition of a virgin	0.0
1017690	-1	what is the history of indian music?	1.0
1017690	bt_bing_persian	What is India s music history	0.5
1035857	-1	Why are liberals so quick to defend Saddam?	1.0
1035857	bt_nllb_persian	Why are the liberals defending my voice so quickly	0.5
103830	-1	Why do man Arabs hate the west ?	1.0
1063812	-1	How do I grow taller?	1.0
1063812	bt_nllb_malay	How can I be taller	0.5
1063812	bt_nllb_swahili	How can I be taller	0.5
1063812	bt_bing_arabic	How do I get taller	0.3333
1063812	bt_bing_german	How do I get taller	0.3333
1063812	bt_bing_korean	How do I get taller	0.3333
1063812	bt_nllb_arabic	How do I get to the height	0.1111
1063812	bt_bing_french	How can I grow	0.0
1063812	bt_nllb_french	How can I get bigger	0.0
1063812	bt_nllb_german	How do I get bigger	0.0
1063812	bt_nllb_russian	How can I grow up	0.0
1063812	bt_nllb_tamil	How can I get high	0.0
1077370	-1	Why do only Humans have Finger prints?	1.0
1077370	bt_nllb_korean	Why is it that only humans have fingerprints	0.5
1077370	bt_nllb_russian	Why are only people having fingerprints	0.2
1077370	bt_nllb_german	Why are only people fingerprinted	0.1
1077370	bt_nllb_persian	Why do only humans have fingers	0.0169
1082595	-1	what is meant by mobile technology?	0.5
1119420	-1	Well the black light is UV light.So if it is "black" how can it be "light" ?	1.0
1119420	bt_nllb_korean	So black light is ultraviolet so if it s black how can it be light	0.5
1119420	bt_nllb_malay	So if it s black how can it be light	0.25
1119420	bt_nllb_tamil	So if it s black how can it be light	0.25
1152934	-1	Why don't fat people have to pay more for air travel?	1.0
1152934	bt_nllb_french	Why don t the big guys pay more for the thefts	0.5
1152934	bt_nllb_arabic	Why shouldn t fat people be allowed to pay more to fly	0.125
1167882	-1	What are the different types of sins and how are they caused?	1.0
1167882	bt_bing_arabic	What are the different types of sins and how do they cause them	0.5
1167882	bt_nllb_arabic	What are the different types of sins and how do they cause them	0.5
1167882	bt_nllb_german	What are the different kinds of sins and how are they caused	0.25
1167882	bt_bing_tamil	What are the different types of sins and how do they occur	0.2
1167882	bt_nllb_french	What are the different types of sins and how do they result	0.2
1167882	bt_nllb_persian	What are the different types of sins and how do they result	0.2
1167882	bt_bing_persian	What are the different types of sins and how are they created	0.1
1167882	bt_nllb_chinese_yue	What kind of sin what causes it	0.0833
1167882	bt_nllb_tamil	What is sin and how does it occur	0.0417
1167882	bt_nllb_russian	What are the different sins and how do they occur	0.025
1167882	bt_nllb_swahili	What are the kinds of sins and how do they result	0.0118
1199639	-1	How to "LOSE"all body fat ?	1.0
1199639	bt_nllb_malay	How do you MEDIATE all the body fat	0.5
1199639	bt_nllb_tamil	How can you lose body fat	0.5
1199639	bt_bing_malay	How to LOSS all body fat	0.3333
1199639	bt_nllb_arabic	How do you check all the fat in your body	0.25
