qid	order	query	bm25.ndcg
301	-1	International Organized Crime	0.0586
301	bt_nllb_arabic	International organized crime	0.0586
301	bt_nllb_chinese_yue	International organized crime	0.0586
301	bt_nllb_french	International organized crime	0.0586
301	bt_nllb_korean	International organized crime	0.0586
301	bt_nllb_persian	International organized crime	0.0586
301	bt_nllb_russian	International organized crime	0.0586
301	bt_nllb_tamil	International organized crime	0.0586
301	bt_nllb_german	International organised crime	0.0361
301	bt_nllb_swahili	International Crime	0.0276
301	bt_nllb_malay	Integrated Crime	0.0118
302	-1	Poliomyelitis and Post-Polio	0.7405
302	bt_nllb_chinese_yue	After polio and polio	0.6761
302	bt_nllb_malay	Polio and after polio	0.6761
302	bt_nllb_tamil	After polio and polio	0.6761
302	bt_nllb_arabic	Polio and polio	0.6645
302	bt_nllb_german	Polio and postpolio	0.6645
302	bt_nllb_russian	Polio and postpolio	0.6645
302	bt_nllb_swahili	Polio and Afterpolio	0.6645
302	bt_nllb_french	Polio and the Post Polio	0.6521
302	bt_nllb_persian	Polyamide and then polio	0.5531
302	bt_nllb_korean	Polyamylitis and polyochondrosis	0.0
303	-1	Hubble Telescope Achievements	0.5126
303	bt_nllb_swahili	The results of the Hubble Telescope	0.5694
303	bt_nllb_arabic	The achievements of the Hubble Telescope	0.5126
303	bt_nllb_french	The achievements of the Hubble Telescope	0.5126
303	bt_nllb_german	Achievements of the Hubble Telescope	0.5126
303	bt_nllb_malay	The achievements of the Hubble Telescope	0.5126
303	bt_nllb_persian	The achievements of the Hubble Telescope	0.5126
303	bt_nllb_russian	The achievements of the Hubble Telescope	0.5126
303	bt_nllb_tamil	Hubble s telescope achievements	0.5104
303	bt_nllb_chinese_yue	The Hubble Telescope has achieved this	0.5084
303	bt_nllb_korean	The Hubble Telescope was completed	0.4211
304	-1	Endangered Species (Mammals)	0.2081
304	bt_nllb_arabic	Endangered species mammals	0.2081
304	bt_nllb_french	Endangered species mammal	0.2081
304	bt_nllb_german	Endangered species mammal	0.2081
304	bt_nllb_malay	Endangered species mammal	0.2081
304	bt_nllb_swahili	Endangered Species Animals	0.2043
304	bt_nllb_korean	Endangered species	0.2009
304	bt_nllb_persian	Endangered species clover	0.1966
304	bt_nllb_chinese_yue	They are endangered	0.1859
304	bt_nllb_tamil	The species in danger of extinction type	0.1116
304	bt_nllb_russian	Threatened species self miners	0.0338
305	-1	Most Dangerous Vehicles	0.0323
305	bt_nllb_french	The most dangerous vehicles	0.0323
305	bt_nllb_german	Most dangerous vehicles	0.0323
305	bt_nllb_korean	The most dangerous vehicle	0.0323
305	bt_nllb_malay	The Most Dangerous Vehicle	0.0323
305	bt_nllb_persian	The most dangerous vehicles	0.0323
305	bt_nllb_russian	The most dangerous vehicles	0.0323
305	bt_nllb_tamil	The most dangerous vehicles	0.0323
305	bt_nllb_arabic	The most dangerous cars	0.021
305	bt_nllb_chinese_yue	The most dangerous car	0.021
305	bt_nllb_swahili	The Most Dangerous Cars	0.021
306	-1	African Civilian Deaths	0.1539
306	bt_nllb_french	The deaths of African civilians	0.1539
306	bt_nllb_german	African civilian deaths	0.1539
306	bt_nllb_arabic	The killing of civilians in Africa	0.14
306	bt_nllb_russian	Death of civilians in Africa	0.1118
306	bt_nllb_korean	African citizens killed	0.0697
306	bt_nllb_malay	The Death of African Citizens	0.0534
306	bt_nllb_persian	Death of African citizens	0.0534
306	bt_nllb_tamil	The death of African citizens	0.0534
306	bt_nllb_swahili	The Deaths of Politicians in Africa	0.0493
306	bt_nllb_chinese_yue	African citizens dying	0.0142
307	-1	New Hydroelectric Projects	0.3366
307	bt_nllb_chinese_yue	New hydroelectric projects	0.3366
307	bt_nllb_french	New hydroelectric projects	0.3366
307	bt_nllb_malay	New Hydroelectric Project	0.3366
307	bt_nllb_persian	New projects for hydroelectricity	0.3366
307	bt_nllb_russian	New hydroelectric projects	0.3366
307	bt_nllb_tamil	New hydroelectric projects	0.3366
307	bt_nllb_arabic	New hydropower projects	0.1761
307	bt_nllb_korean	A new hydropower project	0.1761
307	bt_nllb_german	New hydropower plants	0.1237
307	bt_nllb_swahili	New Water Power Projects	0.1196
308	-1	Implant Dentistry	0.488
308	bt_nllb_german	Implant teeth	0.5856
308	bt_nllb_malay	Dental Implantation	0.5856
308	bt_nllb_persian	Dental implant	0.5856
308	bt_nllb_chinese_yue	Dentistry of implants	0.488
308	bt_nllb_french	Dentistry by implant	0.488
308	bt_nllb_russian	Dentistry of implants	0.488
308	bt_nllb_swahili	Tooth disease of the gums	0.2463
308	bt_nllb_korean	Implantation surgery	0.1565
308	bt_nllb_arabic	Hosted dentistry	0.0955
308	bt_nllb_tamil	Surgery	0.0
309	-1	Rap and Crime	0.0
309	bt_nllb_arabic	Rape and murder	0.0
309	bt_nllb_chinese_yue	Rape and crime	0.0
309	bt_nllb_french	Rap and crime	0.0
309	bt_nllb_german	Rap and crime	0.0
309	bt_nllb_korean	Rape and crime	0.0
309	bt_nllb_malay	Rap and Crime	0.0
309	bt_nllb_persian	Rap and crime	0.0
309	bt_nllb_russian	Rape and Crime	0.0
309	bt_nllb_swahili	Crime and Crime	0.0
309	bt_nllb_tamil	Sexual abuse	0.0
310	-1	Radio Waves and Brain Cancer	0.3509
310	bt_nllb_chinese_yue	Radiation and brain cancer	0.3672
310	bt_nllb_korean	Radiation and Brain Cancer	0.3672
310	bt_nllb_arabic	Radio waves and brain cancer	0.3509
310	bt_nllb_french	Radio waves and brain cancer	0.3509
310	bt_nllb_german	Radio waves and brain cancer	0.3509
310	bt_nllb_malay	Radio waves and brain cancer	0.3509
310	bt_nllb_persian	Radio waves and brain cancer	0.3509
310	bt_nllb_russian	Radio waves and brain cancer	0.3509
310	bt_nllb_swahili	Radio Waves and Brain Cancer	0.3509
310	bt_nllb_tamil	Radio waves and brain cancer	0.3509
311	-1	Industrial Espionage	0.4199
311	bt_nllb_arabic	Industrial espionage	0.4199
311	bt_nllb_french	Industrial espionage	0.4199
311	bt_nllb_russian	Industrial espionage	0.4199
