,qid,order,query,qld.ndcg
0,701,-1,U.S. oil industry history,0.0615
1,701,sensedisambiguation,U S united states government oil vegetable oil industry history,0.0495
2,701,word2vec.topn3,u s oil industry history usa u s american petroleum industy history,0.04
3,701,rm3.topn10.10.0.5.qld,u s oil industry history fuel ga energi price,0.0355
4,701,wiki.topn3,u s oil industry history glassforming liquids melts oil natural gas petroleum,0.0286
5,701,sensedisambiguation.replace,united states government vegetable oil industry history,0.0264
6,701,rm3.topn10.10.0.5.bm25,u s oil industry history energi opec,0.0174
7,701,bertqe.topn10.bm25,f ossil nergi e nvir,0.017
8,701,glove.topn3,u s oil industry history us u s crude petroleum business historical ever,0.014
9,701,bertqe.topn10.qld,e nvir onment al dv,0.0134
10,701,conceptnet.topn3,u s oil industry history liquid black fuel commercial enterprise past subject school,0.0088
11,701,word2vec.topn3.replace,usa u s american petroleum industy history,0.0068
12,701,wordnet.topn3,u s oil industry history USA United States United States government rock oil petroleum oil color manufacture diligence account chronicle,0.0054
13,701,anchor.topn3,u s oil industry history us c alphabet elektrivõrgud sooju recuyel seeg théodrat,0.0
14,701,anchor.topn3.replace,us c alphabet elektrivõrgud sooju industry recuyel seeg théodrat,0.0
15,701,conceptnet.topn3.replace,u s liquid black fuel commercial enterprise past subject school,0.0
16,701,glove.topn3.replace,us u s crude petroleum business historical ever,0.0
17,701,stem.lovins,u s oil industr histor,0.0
18,701,stem.paicehusk,u s oil industry hist,0.0
19,701,stem.trunc4,u s oil indu hist,0.0
20,701,stem.trunc5,u s oil indus histo,0.0
21,701,tagmee.topn3.replace,Petroleum,0.0
22,701,wiki.topn3.replace,glassforming liquids melts oil natural gas petroleum,0.0
23,701,wordnet.topn3.replace,United States government USA US anoint vegetable oil crude manufacture story chronicle,0.0
24,702,-1,Pearl farming,0.1479
25,702,bt_bing_arabic,Pearl cultivation,0.1469
26,702,bt_nllb_french,Cultivation of pearls,0.1469
27,702,rm3.topn10.10.0.5.qld,pearl farming farm japan jerri product,0.1456
28,702,wiki.topn3.replace,pearls jewellery components gemstone pearl,0.1456
29,702,tagmee.topn3.replace,Pearl,0.1282
30,702,rm3.topn10.10.0.5.bm25,pearl farming coliform cumberland option japan our jerri ocean,0.1168
31,702,word2vec.topn3,pearl farming necklace agriculture agricultural,0.1094
32,702,docluster.topn10.3.qld,pearl farming farm,0.0966
33,702,wordnet.topn3,pearl farming drop ivory off white agricultural land raise,0.0754
34,702,anchor.topn3,pearl farming nanyou namro madlen,0.0753
35,702,relevancefeedback.topn10.qld,pearl farming japan farm jerri option irrig,0.0596
36,702,bt_nllb_arabic,The pearl planting,0.0438
37,702,bt_bing_persian,Pearl Agriculture,0.0231
38,702,conceptnet.topn3,pearl farming land crop,0.0128
39,702,glove.topn3,pearl farming harbor http www oklahomacitynationalmemorial org agricultural farmers,0.0079
40,702,conceptnet.topn3.replace,pearl land crop,0.0073
41,702,anchor.topn3.replace,nanyou namro madlen farming,0.0
42,702,bertqe.topn10.bm25,potato program regulatori test servic,0.0
43,702,bertqe.topn10.qld,seed farm,0.0
44,702,bt_nllb_persian,The Pearl of the Caribbean,0.0
45,702,glove.topn3.replace,harbor http www oklahomacitynationalmemorial org agricultural farmers,0.0
46,702,stem.trunc4,pear farm,0.0
47,702,stem.trunc5,pearl farmi,0.0
48,702,word2vec.topn3.replace,necklace agriculture agricultural,0.0
49,702,wordnet.topn3.replace,off white bead agricultural agrarian,0.0
50,704,-1,Green party political views,0.1567
51,704,docluster.topn10.3.qld,green party political views parti,0.1259
52,704,relevancefeedback.topn10.qld,green party political views parti,0.1259
53,704,rm3.topn10.10.0.5.qld,green party political views parti,0.1259
54,704,bt_bing_persian,The Green Party s Political Views,0.1182
55,704,bt_nllb_chinese_yue,The Green Party s political views,0.1182
56,704,conceptluster.topn5.3.qld,green party political views ideology politics political party green party united states,0.0998
57,704,tagmee.topn3,green party political views Green Party of the United States Political party Politics Ideology,0.0998
58,704,tagmee.topn3.replace,Green Party of the United States Political party Politics Ideology,0.08
59,704,wiki.topn3,green party political views natural law party united states green national committee maria elizabeth muñoz green party united states political parties portal politics dieter nohlen political party society politics political science politics schools thought social equality egalitarianism ideology,0.0681
60,704,anchor.topn3,green party political views green windi treekrem k cup,0.0646
61,704,rm3.topn10.10.0.5.bm25,green party political views indonesia parti polit,0.0634
62,704,wiki.topn3.replace,natural law party united states green national committee maria elizabeth muñoz green party united states political parties portal politics dieter nohlen political party society politics political science politics schools thought social equality egalitarianism ideology,0.062
63,704,glove.topn3,green party political views red purple democratic politicians opinions,0.0604
64,704,word2vec.topn3,green party political views yellow blue red party economic social socio political viewpoints viewpoint,0.0595
65,704,anchor.topn3.replace,green windi treekrem k cup party political views,0.0441
66,704,wordnet.topn3,green party political views immature super C honey oil political party company regard take in reckon,0.0362
67,704,bt_bing_chinese_simplified,The Greens political views,0.0303
68,704,bt_bing_german,Political views of the Greens,0.0303
69,704,bt_nllb_german,Political views of the Greens,0.0303
70,704,sensedisambiguation,Green party political views view,0.0237
71,704,stem.lovins,green part polit view,0.0213
72,704,wordnet.topn3.replace,commons unripened viridity company political party political perspective sentiment panorama,0.0168
73,704,glove.topn3.replace,red purple democratic politicians opinions,0.0103
74,704,word2vec.topn3.replace,yellow blue red party economic social socio political viewpoints viewpoint,0.0075
75,704,bertqe.topn10.bm25,n warren lisa chac n,0.0
76,704,bertqe.topn10.qld,n warren lisa chac n,0.0
77,704,conceptnet.topn3,green party political views apple plant a color celebration gathering birthday,0.0
78,704,conceptnet.topn3.replace,apple plant a color celebration gathering birthday political views,0.0
79,704,stem.trunc4,gree part poli view,0.0
80,705,-1,Iraq foreign debt reduction,0.2549
81,705,rm3.topn10.10.0.5.bm25,iraq foreign debt reduction develop we,0.25
82,705,stem.lovins,iraq foreign debt reduc,0.2385
83,705,stem.paicehusk,iraq foreign debt reduc,0.2385
84,705,glove.topn3,iraq foreign debt reduction iraqi baghdad overseas ministry repay reducing,0.2383
85,705,bt_bing_swahili,Reducing Iraq s foreign debt,0.2154
86,705,bt_nllb_persian,Reducing Iraq s foreign debt,0.2154
87,705,bt_nllb_swahili,Reducing Iraq s foreign debt,0.2154
88,705,bt_bing_chinese_simplified,Iraq s external debt relief,0.2139
89,705,termluster.topn5.3.qld,iraq foreign debt reduction debt depart state depart iraq state unit state servic,0.1888
90,705,bt_bing_korean,Reduction of Iraq s foreign debt,0.1882
91,705,bt_bing_malay,Reduction of Iraq s foreign debt,0.1882
92,705,bt_nllb_korean,Iraq s foreign debt reduction,0.1882
93,705,bt_nllb_tamil,Iraq s foreign debt reduction,0.1882
94,705,relevancefeedback.topn10.qld,iraq foreign debt reduction develop,0.1598
