qid	order	query	bm25.ndcg
8293	-1	why do men fantasized about raping women?	0.7256
8293	pred.base.1	<extra_id_0> do men fantasize about raping women?	0.7975
8293	pred.base.2	<extra_id_0> do men fantasize about raping women ?	0.7975
8293	pred.base.7	<extra_id_0> men fantasized so often about raping women?	0.7891
8293	pred.base.4	<extra_id_0> do men fantasize around raping women?	0.7814
8293	pred.base.8	<extra_id_0> women fantasized about raping women?	0.7406
8293	pred.base.9	<extra_id_0> do hapless men fantasize so much about raping women? Canada and Australian women do not believe women should be raped?	0.7278
8293	pred.base.10	<extra_id_0> do so many philosophers fantasize about raping women — and why?	0.6236
8293	pred.base.6	<extra_id_0> men hifframe girls about raping women so thin?	0.6066
8293	pred.base.3	<extra_id_0> why do men speculated about raping women?	0.6018
8293	pred.base.5	<extra_id_0> women gossip <extra_id_1>, after all, if women fantasized, then why are they?	0.1376
23464	-1	why girls are beautiful?	0.7106
23464	pred.base.10	<extra_id_0> I <extra_id_1> beautiful girls?  <extra_id_2> why girls are beautiful?	0.7464
23464	pred.base.1	<extra_id_0> girls are beautiful?	0.7432
23464	pred.base.2	<extra_id_0> why girls are beautiful?	0.7106
23464	pred.base.4	<extra_id_0> Why girls are beautiful?	0.7106
23464	pred.base.5	<extra_id_0>... why girls are beautiful?	0.7106
23464	pred.base.6	<extra_id_0> why girls are beautiful?	0.7106
23464	pred.base.7	<extra_id_0> Why Are Girls Beautiful?	0.7106
23464	pred.base.8	<extra_id_0> So why girls are beautiful? Everyone notice?	0.4513
23464	pred.base.3	<extra_id_0> Who ever reads a book?	0.0
23464	pred.base.9	<extra_id_0>?	0.0
34041	-1	what are the symptoms of strep throat?	0.8702
34041	pred.base.4	<extra_id_0> strep throat symptoms? ? What are the symptoms of strep throat?	0.8703
34041	pred.base.3	<extra_id_0> * <extra_id_1> what are the symptoms of strep throat?	0.8702
34041	pred.base.8	<extra_id_0>. what are the symptoms of strep throat?	0.8702
34041	pred.base.2	<extra_id_0> on how are the symptoms of strep throat? four symptoms of strep throat ?	0.8689
34041	pred.base.7	<extra_id_0> The symptoms are the same for both kinds of condition. when is women diagnosed with strep throat?	0.7776
