qid	order	query	bm25.recip_rank
INEX_LD-2009022	-1	Szechwan dish food cuisine	1.0
INEX_LD-2009039	-1	roman architecture	1.0
INEX_LD-2009053	-1	finland car industry manufacturer saab sisu	0.3333
INEX_LD-2009053	anchor.topn3	finland car industry manufacturer saab sisu estonia lithuania norway mashti lc used car x turbo x drakens nalle sisu lahore iii kb	1.0
INEX_LD-2009053	bt_nllb_arabic	Finnish car manufacturing plant Sap Sisu	1.0
INEX_LD-2009053	bt_nllb_russian	Finnish manufacturer of automotive industry Saab Suzi	1.0
INEX_LD-2009053	conceptnet.topn3	finland car industry manufacturer saab sisu a country drive commercial enterprise food manufacturer saab monte carlo turbo a brand of car will finnish perseverance	1.0
INEX_LD-2009053	relevancefeedback.topn10.bm25	finland car industry manufacturer saab sisu patria motor automot associ	1.0
INEX_LD-2009053	stem.trunc4	finl car indu manu saab sisu	1.0
INEX_LD-2009053	stem.trunc5	finla car indus manuf saab sisu	1.0
INEX_LD-2009053	word2vec.topn3	finland car industry manufacturer saab sisu sweden norway scandinavia automobile vehicle industy maker supplier maruti rafi virk Finnishness perkele suomalainen	1.0
INEX_LD-2009053	anchor.topn3.replace	estonia lithuania norway mashti lc used car industry manufacturer x turbo x drakens nalle sisu lahore iii kb	0.5
INEX_LD-2009053	bt_nllb_tamil	Sappha Sysu Finnish automotive manufacturer	0.5
INEX_LD-2009053	relevancefeedback.topn10.qld	finland car industry manufacturer saab sisu motor patria automot sweden	0.5
INEX_LD-2009053	stem.lovins	finland car industr manufacturer saab sisu	0.5
INEX_LD-2009053	stem.paicehusk	finland car industry manufact saab sisu	0.5
INEX_LD-2009053	tagmee.topn3	finland car industry manufacturer saab sisu Finland Automotive industry Automotive industry Saab Automobile Sisu Auto	0.5
INEX_LD-2009053	wiki.topn3	finland car industry manufacturer saab sisu finnish speaking countries territories finland states territories established finland list automobilmanufacturers daimler ag vehiclidentification number automotive industry list automobilmanufacturers daimler ag vehiclidentification number automotive industry car manufacturers sweden motor vehicle manufacturers sweden saab saab automobile sisu motor vehicle manufacturers finland sisu ra ds sisu auto	0.5
INEX_LD-2009053	wiki.topn3.replace	finnish speaking countries territories finland states territories established finland list automobilmanufacturers daimler ag vehiclidentification number automotive industry list automobilmanufacturers daimler ag vehiclidentification number automotive industry car manufacturers sweden motor vehicle manufacturers sweden saab saab automobile sisu motor vehicle manufacturers finland sisu ra ds sisu auto	0.5
INEX_LD-2009053	wordnet.topn3	finland car industry manufacturer saab sisu Republic of Finland Suomi machine railroad car motorcar manufacture manufacturing business maker	0.5
