qid	order	query	qld.recip_rank
701	-1	U.S. oil industry history	0.2
702	-1	Pearl farming	1.0
702	bt_nllb_arabic	The pearl planting	0.3333
702	bt_bing_persian	Pearl Agriculture	0.0185
702	bt_nllb_persian	The Pearl of the Caribbean	0.0
704	-1	Green party political views	0.5
705	-1	Iraq foreign debt reduction	1.0
705	bt_bing_korean	Reduction of Iraq s foreign debt	0.5
705	bt_bing_malay	Reduction of Iraq s foreign debt	0.5
705	bt_bing_swahili	Reducing Iraq s foreign debt	0.5
705	bt_nllb_arabic	Cut the foreign debt in Iraq	0.5
705	bt_nllb_chinese_yue	Iraq s foreign debt is falling	0.5
705	bt_nllb_korean	Iraq s foreign debt reduction	0.5
705	bt_nllb_persian	Reducing Iraq s foreign debt	0.5
705	bt_nllb_swahili	Reducing Iraq s foreign debt	0.5
705	bt_nllb_tamil	Iraq s foreign debt reduction	0.5
706	-1	Controlling type II diabetes	0.2
706	bt_bing_korean	Type Diabetes Control	0.0714
706	bt_nllb_arabic	Control of type diabetes	0.0714
706	bt_nllb_chinese_yue	Control of type diabetes	0.0714
706	bt_nllb_korean	Control of type diabetes	0.0714
706	bt_nllb_persian	Control of type diabetes	0.0714
707	-1	Aspirin cancer prevention	1.0
707	bt_nllb_swahili	How to fight cancer with aspirin	0.5
707	bt_nllb_korean	Aspirin is a cancer prevention drug	0.3333
707	bt_nllb_arabic	Prevention of cancer	0.2
707	bt_nllb_persian	Spraying for cancer prevention	0.1
708	-1	Decorative slate sources	1.0
708	bt_nllb_chinese_yue	Sources of the decoration of the stone tablets	0.0286
708	bt_nllb_french	Sources of decorative clay	0.0102
708	bt_bing_korean	Slate sauce for garnish	0.0
708	bt_bing_persian	Decorative Boulder Sources	0.0
708	bt_bing_swahili	Sources of jewelry	0.0
708	bt_nllb_arabic	Sources for the decorative pages	0.0
708	bt_nllb_german	Other articles of heading	0.0
708	bt_nllb_malay	Sources of decorative plates	0.0
708	bt_nllb_persian	Sources of fertility	0.0
708	bt_nllb_russian	The sources of decorative leaves	0.0
708	bt_nllb_tamil	The decorative silk pieces	0.0
709	-1	Horse racing jockey weight	1.0
709	bt_nllb_chinese_yue	The weight of the race car	0.0312
710	-1	Prostate cancer treatments	1.0
711	-1	Train station security measures	0.5
711	bt_nllb_french	Safety measures at railway stations	0.25
711	bt_nllb_german	Safety measures for railway stations	0.25
711	bt_nllb_russian	Safety measures at railway stations	0.25
711	bt_bing_malay	Train station safety measures	0.0
711	bt_bing_swahili	Train station safety measures	0.0
711	bt_nllb_swahili	Safety measures at the train station	0.0
712	-1	Pyramid scheme	1.0
712	bt_bing_persian	Pyramid Plan	0.5
712	bt_nllb_arabic	The pyramid system	0.25
712	bt_nllb_swahili	The pyramidal system	0.25
712	bt_nllb_tamil	The Pyramid Project	0.2
712	bt_bing_arabic	Pyramid diagram	0.0
712	bt_bing_chinese_simplified	MLM	0.0
712	bt_nllb_german	The following is the list of the categories of products	0.0
713	-1	Chesapeake Bay Maryland clean	0.3333
713	bt_nllb_tamil	Chesapeake Bay is Maryland s cleanest	0.0833
713	bt_nllb_persian	Chesapeake Bay Maryland is clear	0.0588
713	bt_bing_swahili	Cherry Blossom Bay Clean	0.0
714	-1	License restrictions older drivers	1.0
714	bt_nllb_chinese_yue	The driver is a restricted driver	0.3333
714	bt_bing_swahili	Former drivers license restrictions	0.25
714	bt_bing_malay	Restrictions on old driver s licenses	0.1667
714	bt_nllb_korean	Restrictions on old driver s licenses	0.1667
714	bt_bing_german	Driving licence restrictions older drivers	0.1111
714	bt_nllb_french	Restrictions on driving licences for older drivers	0.1111
714	bt_nllb_german	Licence restrictions for older drivers	0.0833
714	bt_bing_korean	License Restriction Elderly Drivers	0.0769
715	-1	Schizophrenia drugs	1.0
715	bt_bing_arabic	Schizophrenia medications	0.5
715	bt_bing_chinese_simplified	Schizophrenia medications	0.5
715	bt_bing_french	Medications for schizophrenia	0.5
715	bt_bing_german	Medication for schizophrenia	0.5
715	bt_bing_korean	Schizophrenia Medications	0.5
715	bt_bing_russian	Medications for Schizophrenia	0.5
715	bt_bing_swahili	Schizophrenia medication	0.5
715	bt_bing_tamil	Schizophrenia Medications	0.5
715	bt_nllb_german	Schizophrenia medicines	0.25
