qid	order	query	bm25.ndcg
1	-1	obama family tree	0.4473
10	-1	cheap internet	0.1326
11	-1	gmat prep classes	0.4662
12	-1	djs	0.1652
13	-1	map	0.0788
14	-1	dinosaurs	0.0243
15	-1	espn sports	0.3206
16	-1	arizona game and fish	0.2793
17	-1	poker tournaments	0.2159
18	-1	wedding budget calculator	0.2122
19	-1	the current	0.0
2	-1	french lick resort and casino	0.4274
20	-1	defender	0.0
21	-1	volvo	0.3456
22	-1	rick warren	0.4438
23	-1	yahoo	0.014
24	-1	diversity	0.1555
25	-1	euclid	0.1608
26	-1	lower heart rate	0.1359
27	-1	starbucks	0.1632
28	-1	inuyasha	0.1236
29	-1	ps 2 games	0.0543
3	-1	getting organized	0.3551
30	-1	diabetes education	0.2833
31	-1	atari	0.3462
32	-1	website design hosting	0.1528
33	-1	elliptical trainer	0.3701
34	-1	cell phones	0.0865
35	-1	hoboken	0.2831
36	-1	gps	0.1522
37	-1	pampered chef	0.2491
38	-1	dogs for adoption	0.176
39	-1	disneyland hotel	0.1777
4	-1	toilet	0.1464
40	-1	michworks	0.1598
41	-1	orange county convention center	0.4081
42	-1	the music man	0.0
43	-1	the secret garden	0.357
44	-1	map of the united states	0.1338
45	-1	solar panels	0.3349
46	-1	alexian brothers hospital	0.5065
47	-1	indexed annuity	0.3647
48	-1	wilson antenna	0.1414
49	-1	flame designs	0.417
5	-1	mitchell college	0.0563
50	-1	dog heat	0.0905
6	-1	kcs	0.0
7	-1	air travel information	0.3302
8	-1	appraisals	0.0
9	-1	used car parts	0.1153
51	-1	horse hooves	0.2527
52	-1	avp	0.4045
53	-1	discovery channel store	0.2161
54	-1	president of the united states	0.1184
55	-1	iron	0.0204
56	-1	uss yorktown charleston sc	0.0339
57	-1	ct jobs	0.2232
58	-1	penguins	0.0952
59	-1	how to build a fence	0.0648
60	-1	bellevue	0.1521
61	-1	worm	0.1001
62	-1	texas border patrol	0.4528
63	-1	flushing	0.1926
64	-1	moths	0.1796
65	-1	korean language	0.0968
66	-1	income tax return online	0.0297
67	-1	vldl levels	0.3195
68	-1	pvc	0.1391
69	-1	sewing instructions	0.2702
70	-1	to be or not to be that is the question	0.0
71	-1	living in india	0.0068
72	-1	the sun	0.0
73	-1	neil young	0.2455
74	-1	kiwi	0.0517
