,qid,order,query,bm25.recip_rank
0,701,-1,U.S. oil industry history,0.125
1,701,bt_bing_arabic,History of the American oil industry,1.0
2,701,bt_nllb_arabic,The history of the American oil industry,1.0
3,701,bt_nllb_french,The history of the American oil industry,1.0
4,701,bt_nllb_german,The history of the US oil industry,1.0
5,701,relevancefeedback.topn10.qld,u s oil industry history industri counti ga,1.0
6,701,docluster.topn10.3.qld,u s oil industry history industri counti,0.5
7,701,termluster.topn5.3.qld,u s oil industry history industri field oil field state social region,0.5
8,701,wiki.topn3,u s oil industry history glassforming liquids melts oil natural gas petroleum,0.5
9,701,wordnet.topn3,u s oil industry history USA United States United States government rock oil petroleum oil color manufacture diligence account chronicle,0.25
10,701,bertqe.topn10.bm25,f ossil nergi e nvir,0.125
11,701,bt_bing_chinese_simplified,History of the U S oil industry,0.125
12,701,bt_bing_french,History of the U S Oil Industry,0.125
13,701,bt_bing_german,History of the U S Oil Industry,0.125
14,701,bt_bing_korean,History of the U S Oil Industry,0.125
15,701,bt_bing_malay,History of the U S oil industry,0.125
16,701,bt_bing_persian,History of the U S Oil Industry,0.125
17,701,bt_bing_russian,History of the U S Oil Industry,0.125
18,701,bt_bing_swahili,History of the U S oil industry,0.125
19,701,bt_bing_tamil,History of the U S oil industry,0.125
20,701,bt_nllb_chinese_yue,The history of the U S oil industry,0.125
21,701,bt_nllb_korean,The history of the U S oil industry,0.125
22,701,bt_nllb_malay,History of the U S oil industry,0.125
23,701,bt_nllb_persian,The history of the U S oil industry,0.125
24,701,bt_nllb_russian,The history of the U S oil industry,0.125
25,701,bt_nllb_swahili,The history of the U S oil industry,0.125
26,701,bt_nllb_tamil,The history of the U S oil industry,0.125
27,701,conceptluster.topn5.3.qld,u s oil industry history petroleum,0.125
28,701,original,U S oil industry history,0.125
29,701,stem.krovetz,u s oil industry history,0.125
30,701,stem.porter,u s oil industri histori,0.125
31,701,stem.porter2,u s oil industri histori,0.125
32,701,stem.sstemmer,u s oil industry history,0.125
33,701,tagmee.topn3,u s oil industry history Petroleum,0.125
34,701,thesaurus.topn3,u s oil industry history,0.125
35,701,thesaurus.topn3.replace,u s oil industry history,0.125
36,701,word2vec.topn3,u s oil industry history usa u s american petroleum industy history,0.125
37,702,-1,Pearl farming,1.0
38,702,bt_bing_chinese_simplified,Pearl farming,1.0
39,702,bt_bing_french,Pearl farming,1.0
40,702,bt_bing_german,Pearl farming,1.0
41,702,bt_bing_korean,Pearl Farming,1.0
42,702,bt_bing_malay,Pearl farming,1.0
43,702,bt_bing_russian,Pearl farming,1.0
44,702,bt_bing_swahili,Pearl farming,1.0
45,702,bt_bing_tamil,Pearl culture,1.0
46,702,bt_nllb_chinese_yue,Pearl farming,1.0
47,702,bt_nllb_german,Pearl farming,1.0
48,702,bt_nllb_korean,Pearl farming,1.0
49,702,bt_nllb_malay,Pearl farming,1.0
50,702,bt_nllb_russian,Pearl farming,1.0
51,702,bt_nllb_swahili,The pearl farm,1.0
52,702,bt_nllb_tamil,pearl farming,1.0
53,702,conceptluster.topn5.3.qld,pearl farming,1.0
54,702,docluster.topn10.3.qld,pearl farming farm,1.0
55,702,original,Pearl farming,1.0
56,702,sensedisambiguation,Pearl farming,1.0
57,702,sensedisambiguation.replace,pearl farming,1.0
58,702,stem.krovetz,pearl farming,1.0
59,702,stem.lovins,pearl farm,1.0
60,702,stem.paicehusk,pearl farm,1.0
61,702,stem.porter,pearl farm,1.0
62,702,stem.porter2,pearl farm,1.0
63,702,stem.sstemmer,pearl farming,1.0
64,702,tagmee.topn3,pearl farming Pearl,1.0
65,702,tagmee.topn3.replace,Pearl,1.0
66,702,termluster.topn5.3.qld,pearl farming product fish,1.0
67,702,thesaurus.topn3,pearl farming,1.0
68,702,thesaurus.topn3.replace,pearl farming,1.0
69,702,wiki.topn3,pearl farming pearls jewellery components gemstone pearl,1.0
70,704,-1,Green party political views,1.0
71,704,bt_bing_arabic,Political views of the Green Party,1.0
72,704,bt_bing_chinese_simplified,The Greens political views,1.0
73,704,bt_bing_french,Green Party Political Views,1.0
74,704,bt_bing_german,Political views of the Greens,1.0
75,704,bt_bing_korean,Political views of the Green Party,1.0
76,704,bt_bing_malay,Green party political views,1.0
77,704,bt_bing_russian,Political views of the Green Party,1.0
78,704,bt_bing_swahili,Political views of the Green Party,1.0
79,704,bt_bing_tamil,Green Party political views,1.0
80,704,bt_nllb_arabic,The political views of the Green Party,1.0
81,704,bt_nllb_french,The political views of the Green Party,1.0
82,704,bt_nllb_german,Political views of the Greens,1.0
83,704,bt_nllb_korean,The political views of the Green Party,1.0
84,704,bt_nllb_malay,Green Party political views,1.0
85,704,bt_nllb_persian,The political views of the Green Party,1.0
86,704,bt_nllb_russian,Political views of the Green Party,1.0
87,704,bt_nllb_swahili,The political views of the Green Party,1.0
88,704,bt_nllb_tamil,Green Party political views,1.0
89,704,docluster.topn10.3.qld,green party political views parti,1.0
90,704,original,Green party political views,1.0
91,704,relevancefeedback.topn10.qld,green party political views parti,1.0
92,704,rm3.topn10.10.0.5.qld,green party political views parti,1.0
93,704,sensedisambiguation,Green party political views view,1.0
94,704,sensedisambiguation.replace,green party political view,1.0
95,704,stem.krovetz,green party politics view,1.0
96,704,stem.paicehusk,green party polit view,1.0
97,704,stem.porter,green parti polit view,1.0
98,704,stem.porter2,green parti polit view,1.0
99,704,stem.sstemmer,green party political view,1.0
100,704,stem.trunc5,green party polit views,1.0
101,704,termluster.topn5.3.qld,green party political views libertarian parti polit state polit nation state parti nation,1.0
102,704,thesaurus.topn3,green party political views,1.0
103,704,thesaurus.topn3.replace,green party political views,1.0
104,704,wiki.topn3,green party political views natural law party united states green national committee maria elizabeth muñoz green party united states political parties portal politics dieter nohlen political party society politics political science politics schools thought social equality egalitarianism ideology,1.0
105,705,-1,Iraq foreign debt reduction,1.0
106,705,bt_bing_arabic,Iraq s external debt reduction,1.0
107,705,bt_bing_chinese_simplified,Iraq s external debt relief,1.0
108,705,bt_bing_french,Reduction of Iraq s external debt,1.0
109,705,bt_bing_german,Reduction of Iraq s external debt,1.0
110,705,bt_bing_persian,Reducing Iraq s External Debt,1.0
111,705,bt_bing_russian,Reduction of Iraq s external debt,1.0
112,705,bt_bing_tamil,Iraqi Foreign Debt Reduction,1.0
113,705,bt_nllb_chinese_yue,Iraq s foreign debt is falling,1.0
114,705,bt_nllb_french,Reduction of Iraq s external debt,1.0
115,705,bt_nllb_german,Reduction of foreign debt in Iraq,1.0
116,705,bt_nllb_malay,Reduction of external debt to Iraq,1.0
117,705,bt_nllb_russian,Reducing Iraq s external debt,1.0
118,705,docluster.topn10.3.qld,iraq foreign debt reduction,1.0
119,705,glove.topn3,iraq foreign debt reduction iraqi baghdad overseas ministry repay reducing,1.0
120,705,original,Iraq foreign debt reduction,1.0
121,705,relevancefeedback.topn10.qld,iraq foreign debt reduction develop,1.0
122,705,rm3.topn10.10.0.5.bm25,iraq foreign debt reduction develop we,1.0
123,705,rm3.topn10.10.0.5.qld,iraq foreign debt reduction develop,1.0
124,705,sensedisambiguation,Iraq foreign debt reduction,1.0
125,705,sensedisambiguation.replace,iraq foreign debt reduction,1.0
126,705,stem.krovetz,iraq foreign debt reduction,1.0
127,705,stem.porter,iraq foreign debt reduct,1.0
128,705,stem.porter2,iraq foreign debt reduct,1.0
129,705,stem.sstemmer,iraq foreign debt reduction,1.0
130,705,stem.trunc5,iraq forei debt reduc,1.0
131,705,tagmee.topn3,iraq foreign debt reduction Iraq External debt Debt,1.0
132,705,tagmee.topn3.replace,Iraq External debt Debt,1.0
133,705,termluster.topn5.3.qld,iraq foreign debt reduction debt depart state depart iraq state unit state servic,1.0
134,705,thesaurus.topn3,iraq foreign debt reduction,1.0
135,705,thesaurus.topn3.replace,iraq foreign debt reduction,1.0
136,705,word2vec.topn3,iraq foreign debt reduction iraq afghanistan iraqi domestic international indebtedness reducing,1.0
137,705,word2vec.topn3.replace,iraq afghanistan iraqi domestic international indebtedness reducing,1.0
138,706,-1,Controlling type II diabetes,0.1667
139,706,bt_bing_swahili,Managing Type II Diabetes,1.0
140,706,bt_nllb_malay,Managing type diabetes,1.0
141,706,sensedisambiguation.replace,see type two diabetes,1.0
142,706,bt_bing_korean,Type Diabetes Control,0.5
143,706,bt_nllb_arabic,Control of type diabetes,0.5
144,706,bt_nllb_chinese_yue,Control of type diabetes,0.5
145,706,bt_nllb_korean,Control of type diabetes,0.5
146,706,bt_nllb_persian,Control of type diabetes,0.5
147,706,sensedisambiguation,Controlling see type II two diabetes,0.5
148,706,relevancefeedback.topn10.qld,controlling type ii diabetes diabet word,0.25
149,706,conceptluster.topn5.3.qld,controlling type ii diabetes diabetes mellitus,0.2
150,706,docluster.topn10.3.qld,controlling type ii diabetes diabet,0.2
151,706,rm3.topn10.10.0.5.bm25,controlling type ii diabetes diabet,0.2
152,706,tagmee.topn3,controlling type ii diabetes Diabetes mellitus,0.2
153,706,termluster.topn5.3.qld,controlling type ii diabetes type trial studi control diabet diseas type trial studi,0.2
154,706,bt_bing_arabic,Controlling type II diabetes,0.1667
155,706,bt_bing_chinese_simplified,Control of type II diabetes,0.1667
156,706,bt_bing_french,Controlling Type II Diabetes,0.1667
157,706,bt_bing_german,Control of type II diabetes,0.1667
158,706,bt_bing_malay,Controlling type II diabetes,0.1667
159,706,bt_bing_persian,Control of Type II Diabetes,0.1667
160,706,bt_bing_russian,Controlling Type II Diabetes,0.1667
161,706,bt_bing_tamil,Control of Type II Diabetes,0.1667
162,706,bt_nllb_french,Control of type II diabetes,0.1667
163,706,bt_nllb_german,Control of type II diabetes,0.1667
164,706,bt_nllb_russian,Control of type II diabetes,0.1667
165,706,bt_nllb_swahili,Control of type II diabetes,0.1667
166,706,bt_nllb_tamil,Control of type II diabetes,0.1667
167,706,original,Controlling type II diabetes,0.1667
168,706,stem.krovetz,control type ii diabetes,0.1667
169,706,stem.porter,control type ii diabet,0.1667
170,706,stem.porter2,control type ii diabet,0.1667
171,706,stem.sstemmer,controlling type ii diabete,0.1667
172,706,thesaurus.topn3,controlling type ii diabetes,0.1667
173,706,thesaurus.topn3.replace,controlling type ii diabetes,0.1667
174,707,-1,Aspirin cancer prevention,1.0
175,707,bt_bing_arabic,Aspirin Cancer Prevention,1.0
176,707,bt_bing_chinese_simplified,Aspirin cancer prevention,1.0
177,707,bt_bing_french,Aspirin Cancer Prevention,1.0
178,707,bt_bing_german,Prevention of Aspirin Cancer,1.0
179,707,bt_bing_korean,Aspirin Cancer Prevention,1.0
180,707,bt_bing_malay,Aspirin cancer prevention,1.0
181,707,bt_bing_persian,Aspirin Cancer Prevention,1.0
182,707,bt_bing_russian,Cancer Prevention with Aspirin,1.0
183,707,bt_bing_swahili,Aspirin cancer prevention,1.0
184,707,bt_bing_tamil,Aspirin Cancer Prevention,1.0
185,707,bt_nllb_chinese_yue,The anti cancer aspirin,1.0
186,707,bt_nllb_french,Prevention of cancer by aspirin,1.0
187,707,bt_nllb_german,Aspirin for the Prevention of Cancer,1.0
188,707,bt_nllb_korean,Aspirin is a cancer prevention drug,1.0
189,707,bt_nllb_malay,Aspirin to prevent cancer,1.0
190,707,bt_nllb_russian,Prevention of cancer with aspirin,1.0
191,707,bt_nllb_tamil,Aspirin is used to prevent cancer,1.0
192,707,conceptluster.topn5.3.qld,aspirin cancer prevention cancer cancer prevention,1.0
193,707,docluster.topn10.3.qld,aspirin cancer prevention,1.0
194,707,glove.topn3,aspirin cancer prevention ibuprofen medications prostate breast combating cdc,1.0
195,707,original,Aspirin cancer prevention,1.0
196,707,relevancefeedback.topn10.qld,aspirin cancer prevention claim,1.0
197,707,rm3.topn10.10.0.5.bm25,aspirin cancer prevention i,1.0
198,707,rm3.topn10.10.0.5.qld,aspirin cancer prevention,1.0
199,707,sensedisambiguation,Aspirin cancer prevention,1.0
200,707,sensedisambiguation.replace,aspirin cancer prevention,1.0
201,707,stem.krovetz,aspirin cancer prevention,1.0
202,707,stem.porter,aspirin cancer prevent,1.0
203,707,stem.porter2,aspirin cancer prevent,1.0
204,707,stem.sstemmer,aspirin cancer prevention,1.0
205,707,tagmee.topn3,aspirin cancer prevention Aspirin Cancer Cancer prevention,1.0
206,707,tagmee.topn3.replace,Aspirin Cancer Cancer prevention,1.0
207,707,termluster.topn5.3.qld,aspirin cancer prevention cancer colon effect aspirin colon effect studi screen risk,1.0
208,707,thesaurus.topn3,aspirin cancer prevention,1.0
209,707,thesaurus.topn3.replace,aspirin cancer prevention,1.0
210,707,wordnet.topn3,aspirin cancer prevention Bayer St Joseph malignant neoplastic disease bar,1.0
211,708,-1,Decorative slate sources,1.0
212,708,anchor.topn3,decorative slate sources wirren nusstort,1.0
213,708,bt_bing_arabic,Sources of decorative slate,1.0
214,708,bt_bing_chinese_simplified,Sources of decorative slates,1.0
215,708,bt_bing_malay,Sources of decorative slate,1.0
216,708,bt_bing_tamil,Decorative slate sources,1.0
217,708,bt_nllb_korean,Decorative slate source,1.0
218,708,docluster.topn10.3.qld,decorative slate sources,1.0
219,708,original,Decorative slate sources,1.0
220,708,rm3.topn10.10.0.5.bm25,decorative slate sources roof,1.0
221,708,rm3.topn10.10.0.5.qld,decorative slate sources roof,1.0
222,708,stem.krovetz,decorative slate source,1.0
223,708,stem.porter,decor slate sourc,1.0
224,708,stem.porter2,decor slate sourc,1.0
225,708,stem.sstemmer,decorative slate source,1.0
226,708,stem.trunc5,decor slate sourc,1.0
227,708,termluster.topn5.3.qld,decorative slate sources centuri color due,1.0
