qid	order	query	bm25.map
INEX_LD-2009022	-1	szechwan dish food cuisine	0.118
INEX_LD-2009022	pred.refiner.1	sichuan szechuan szechwan province sweetheart dish out solid food food for thought culinary art	0.2855
INEX_LD-2009022	pred.refiner.10	sichuan szechuan szechwan province sweetheart dish out solid food food for thought culinary art	0.2855
INEX_LD-2009022	pred.refiner.2	sichuan szechuan szechwan province sweetheart dish out solid food food for thought culinary art	0.2855
INEX_LD-2009022	pred.refiner.3	sichuan szechuan szechwan province sweetheart dish out solid food food for thought culinary art	0.2855
INEX_LD-2009022	pred.refiner.4	sichuan szechuan szechwan province sweetheart dish out solid food food for thought culinary art	0.2855
INEX_LD-2009022	pred.refiner.5	sichuan szechuan szechwan province sweetheart dish out solid food food for thought culinary art	0.2855
INEX_LD-2009022	pred.refiner.6	sichuan szechuan szechwan province sweetheart dish out solid food food for thought culinary art	0.2855
INEX_LD-2009022	pred.refiner.7	sichuan szechuan szechwan province sweetheart dish out solid food food for thought culinary art	0.2855
INEX_LD-2009022	pred.refiner.8	sichuan szechuan szechwan province sweetheart dish out solid food food for thought culinary art	0.2855
INEX_LD-2009022	pred.refiner.9	sichuan szechuan szechwan province sweetheart dish out solid food food for thought culinary art	0.2855
INEX_LD-2009039	-1	roman architecture	0.0684
INEX_LD-2009039	pred.refiner.1	roman architecture ancient roman architecture	0.1806
INEX_LD-2009039	pred.refiner.10	roman architecture ancient roman architecture	0.1806
INEX_LD-2009039	pred.refiner.2	roman architecture ancient roman architecture	0.1806
INEX_LD-2009039	pred.refiner.3	roman architecture ancient roman architecture	0.1806
INEX_LD-2009039	pred.refiner.4	roman architecture ancient roman architecture	0.1806
INEX_LD-2009039	pred.refiner.5	roman architecture ancient roman architecture	0.1806
INEX_LD-2009039	pred.refiner.6	roman architecture ancient roman architecture	0.1806
INEX_LD-2009039	pred.refiner.7	roman architecture ancient roman architecture	0.1806
INEX_LD-2009039	pred.refiner.8	roman architecture ancient roman architecture	0.1806
INEX_LD-2009039	pred.refiner.9	roman architecture ancient roman architecture	0.1806
INEX_LD-2009053	-1	finland car industry manufacturer saab sisu	0.3173
INEX_LD-2009053	pred.refiner.1	finland car industr manufacturer saab sisu	0.3796
INEX_LD-2009053	pred.refiner.10	finland car industr manufacturer saab sisu	0.3796
INEX_LD-2009053	pred.refiner.2	finland car industr manufacturer saab sisu	0.3796
INEX_LD-2009053	pred.refiner.3	finland car industr manufacturer saab sisu	0.3796
INEX_LD-2009053	pred.refiner.4	finland car industr manufacturer saab sisu	0.3796
INEX_LD-2009053	pred.refiner.5	finland car industr manufacturer saab sisu	0.3796
INEX_LD-2009053	pred.refiner.6	finland car industr manufacturer saab sisu	0.3796
INEX_LD-2009053	pred.refiner.7	finland car industr manufacturer saab sisu	0.3796
INEX_LD-2009053	pred.refiner.8	finland car industr manufacturer saab sisu	0.3796
INEX_LD-2009053	pred.refiner.9	finland car industr manufacturer saab sisu	0.3796
INEX_LD-2009061	-1	france second world war normandy	0.1636
INEX_LD-2009061	pred.refiner.1	france second world war normandy france southern europe italy france wars involving luxembourg wars involving poland wars involving netherlands world war ii wars involving luxembourg wars involving poland wars involving nether	0.0237
INEX_LD-2009061	pred.refiner.10	france second world war normandy france southern europe italy france wars involving luxembourg wars involving poland wars involving netherlands world war ii wars involving luxembourg wars involving poland wars involving nether	0.0237
INEX_LD-2009061	pred.refiner.2	france second world war normandy france southern europe italy france wars involving luxembourg wars involving poland wars involving netherlands world war ii wars involving luxembourg wars involving poland wars involving nether	0.0237
INEX_LD-2009061	pred.refiner.3	france second world war normandy france southern europe italy france wars involving luxembourg wars involving poland wars involving netherlands world war ii wars involving luxembourg wars involving poland wars involving nether	0.0237
INEX_LD-2009061	pred.refiner.4	france second world war normandy france southern europe italy france wars involving luxembourg wars involving poland wars involving netherlands world war ii wars involving luxembourg wars involving poland wars involving nether	0.0237
INEX_LD-2009061	pred.refiner.5	france second world war normandy france southern europe italy france wars involving luxembourg wars involving poland wars involving netherlands world war ii wars involving luxembourg wars involving poland wars involving nether	0.0237
INEX_LD-2009061	pred.refiner.6	france second world war normandy france southern europe italy france wars involving luxembourg wars involving poland wars involving netherlands world war ii wars involving luxembourg wars involving poland wars involving nether	0.0237
INEX_LD-2009061	pred.refiner.7	france second world war normandy france southern europe italy france wars involving luxembourg wars involving poland wars involving netherlands world war ii wars involving luxembourg wars involving poland wars involving nether	0.0237
INEX_LD-2009061	pred.refiner.8	france second world war normandy france southern europe italy france wars involving luxembourg wars involving poland wars involving netherlands world war ii wars involving luxembourg wars involving poland wars involving nether	0.0237
INEX_LD-2009061	pred.refiner.9	france second world war normandy france southern europe italy france wars involving luxembourg wars involving poland wars involving netherlands world war ii wars involving luxembourg wars involving poland wars involving nether	0.0237
INEX_LD-2009062	-1	social network group selection	0.0053
INEX_LD-2009062	pred.refiner.1	social media is a group	0.0061
INEX_LD-2009062	pred.refiner.10	social media is a group	0.0061
INEX_LD-2009062	pred.refiner.2	social media is a group	0.0061
INEX_LD-2009062	pred.refiner.3	social media is a group	0.0061
INEX_LD-2009062	pred.refiner.4	social media is a group	0.0061
INEX_LD-2009062	pred.refiner.5	social media is a group	0.0061
INEX_LD-2009062	pred.refiner.6	social media is a group	0.0061
INEX_LD-2009062	pred.refiner.7	social media is a group	0.0061
INEX_LD-2009062	pred.refiner.8	social media is a group	0.0061
INEX_LD-2009062	pred.refiner.9	social media is a group	0.0061
INEX_LD-2009063	-1	d-day normandy invasion	0.1086
