,qid,order,query,bm25.ndcg
0,701,-1,U.S. oil industry history,0.0338
1,701,wiki.topn3,u s oil industry history glassforming liquids melts oil natural gas petroleum,0.0316
2,701,glove.topn3,u s oil industry history us u s crude petroleum business historical ever,0.0221
3,701,rm3.topn10.10.0.5.bm25,u s oil industry history energi opec,0.0217
4,701,word2vec.topn3,u s oil industry history usa u s american petroleum industy history,0.0211
5,701,sensedisambiguation,U S united states government oil vegetable oil industry history,0.0201
6,701,conceptnet.topn3,u s oil industry history liquid black fuel commercial enterprise past subject school,0.0192
7,701,glove.topn3.replace,us u s crude petroleum business historical ever,0.0136
8,701,bertqe.topn10.bm25,f ossil nergi e nvir,0.0113
9,701,bertqe.topn10.qld,e nvir onment al dv,0.0097
10,701,rm3.topn10.10.0.5.qld,u s oil industry history fuel ga energi price,0.0089
11,701,word2vec.topn3.replace,usa u s american petroleum industy history,0.0084
12,701,stem.paicehusk,u s oil industry hist,0.0036
13,701,anchor.topn3,u s oil industry history us c alphabet elektrivõrgud sooju recuyel seeg théodrat,0.0
14,701,anchor.topn3.replace,us c alphabet elektrivõrgud sooju industry recuyel seeg théodrat,0.0
15,701,conceptnet.topn3.replace,u s liquid black fuel commercial enterprise past subject school,0.0
16,701,sensedisambiguation.replace,united states government vegetable oil industry history,0.0
17,701,stem.lovins,u s oil industr histor,0.0
18,701,stem.trunc4,u s oil indu hist,0.0
19,701,stem.trunc5,u s oil indus histo,0.0
20,701,tagmee.topn3.replace,Petroleum,0.0
21,701,wiki.topn3.replace,glassforming liquids melts oil natural gas petroleum,0.0
22,701,wordnet.topn3.replace,United States government USA US anoint vegetable oil crude manufacture story chronicle,0.0
23,702,-1,Pearl farming,0.1361
24,702,docluster.topn10.3.qld,pearl farming farm,0.1347
25,702,tagmee.topn3.replace,Pearl,0.1316
26,702,anchor.topn3,pearl farming nanyou namro madlen,0.092
27,702,bt_bing_arabic,Pearl cultivation,0.069
28,702,bt_nllb_french,Cultivation of pearls,0.069
29,702,word2vec.topn3,pearl farming necklace agriculture agricultural,0.0547
30,702,stem.trunc5,pearl farmi,0.0526
31,702,wordnet.topn3,pearl farming drop ivory off white agricultural land raise,0.0512
32,702,relevancefeedback.topn10.qld,pearl farming japan farm jerri option irrig,0.0361
33,702,conceptnet.topn3,pearl farming land crop,0.0266
34,702,bt_nllb_arabic,The pearl planting,0.0158
35,702,glove.topn3,pearl farming harbor http www oklahomacitynationalmemorial org agricultural farmers,0.0091
36,702,bt_bing_persian,Pearl Agriculture,0.007
37,702,conceptnet.topn3.replace,pearl land crop,0.0042
38,702,anchor.topn3.replace,nanyou namro madlen farming,0.0
39,702,bertqe.topn10.bm25,potato program regulatori test servic,0.0
40,702,bertqe.topn10.qld,seed farm,0.0
41,702,bt_nllb_persian,The Pearl of the Caribbean,0.0
42,702,glove.topn3.replace,harbor http www oklahomacitynationalmemorial org agricultural farmers,0.0
43,702,stem.trunc4,pear farm,0.0
44,702,word2vec.topn3.replace,necklace agriculture agricultural,0.0
45,702,wordnet.topn3.replace,off white bead agricultural agrarian,0.0
46,704,-1,Green party political views,0.1912
47,704,bt_bing_persian,The Green Party s Political Views,0.16
48,704,bt_nllb_chinese_yue,The Green Party s political views,0.16
49,704,conceptluster.topn5.3.qld,green party political views ideology politics political party green party united states,0.1439
50,704,tagmee.topn3,green party political views Green Party of the United States Political party Politics Ideology,0.1439
51,704,wiki.topn3,green party political views natural law party united states green national committee maria elizabeth muñoz green party united states political parties portal politics dieter nohlen political party society politics political science politics schools thought social equality egalitarianism ideology,0.1394
52,704,wiki.topn3.replace,natural law party united states green national committee maria elizabeth muñoz green party united states political parties portal politics dieter nohlen political party society politics political science politics schools thought social equality egalitarianism ideology,0.0835
53,704,tagmee.topn3.replace,Green Party of the United States Political party Politics Ideology,0.0681
54,704,sensedisambiguation,Green party political views view,0.0607
55,704,glove.topn3,green party political views red purple democratic politicians opinions,0.0561
56,704,anchor.topn3,green party political views green windi treekrem k cup,0.0429
57,704,word2vec.topn3,green party political views yellow blue red party economic social socio political viewpoints viewpoint,0.0378
58,704,wordnet.topn3,green party political views immature super C honey oil political party company regard take in reckon,0.0344
59,704,stem.lovins,green part polit view,0.0343
60,704,bt_bing_chinese_simplified,The Greens political views,0.0341
61,704,bt_bing_german,Political views of the Greens,0.0341
62,704,bt_nllb_german,Political views of the Greens,0.0341
63,704,anchor.topn3.replace,green windi treekrem k cup party political views,0.0306
64,704,wordnet.topn3.replace,commons unripened viridity company political party political perspective sentiment panorama,0.0222
65,704,word2vec.topn3.replace,yellow blue red party economic social socio political viewpoints viewpoint,0.0076
66,704,rm3.topn10.10.0.5.bm25,green party political views indonesia parti polit,0.0069
67,704,bertqe.topn10.bm25,n warren lisa chac n,0.0
68,704,bertqe.topn10.qld,n warren lisa chac n,0.0
69,704,conceptnet.topn3,green party political views apple plant a color celebration gathering birthday,0.0
70,704,conceptnet.topn3.replace,apple plant a color celebration gathering birthday political views,0.0
71,704,glove.topn3.replace,red purple democratic politicians opinions,0.0
72,704,stem.trunc4,gree part poli view,0.0
73,705,-1,Iraq foreign debt reduction,0.2949
74,705,relevancefeedback.topn10.qld,iraq foreign debt reduction develop,0.2412
75,705,rm3.topn10.10.0.5.qld,iraq foreign debt reduction develop,0.2412
76,705,stem.lovins,iraq foreign debt reduc,0.2362
77,705,stem.paicehusk,iraq foreign debt reduc,0.2362
78,705,glove.topn3,iraq foreign debt reduction iraqi baghdad overseas ministry repay reducing,0.2038
79,705,bt_bing_chinese_simplified,Iraq s external debt relief,0.2025
80,705,bt_bing_swahili,Reducing Iraq s foreign debt,0.1955
81,705,bt_nllb_persian,Reducing Iraq s foreign debt,0.1955
82,705,bt_nllb_swahili,Reducing Iraq s foreign debt,0.1955
83,705,bt_bing_korean,Reduction of Iraq s foreign debt,0.1945
84,705,bt_bing_malay,Reduction of Iraq s foreign debt,0.1945
85,705,bt_nllb_korean,Iraq s foreign debt reduction,0.1945
86,705,bt_nllb_tamil,Iraq s foreign debt reduction,0.1945
87,705,wiki.topn3,iraq foreign debt reduction iraq mesopotamia syria iraq internal debt portfolio investment fixed investment external debt credit finance collateral finance interest debt,0.1573
88,705,wordnet.topn3,iraq foreign debt reduction Irak Al Iraq extraneous alien simplification step down,0.1037
89,705,word2vec.topn3,iraq foreign debt reduction iraq afghanistan iraqi domestic international indebtedness reducing,0.1025
90,705,glove.topn3.replace,iraqi baghdad overseas ministry repay reducing,0.0838
91,705,bt_nllb_arabic,Cut the foreign debt in Iraq,0.0667
92,705,wiki.topn3.replace,iraq mesopotamia syria iraq internal debt portfolio investment fixed investment external debt credit finance collateral finance interest debt,0.04
93,705,word2vec.topn3.replace,iraq afghanistan iraqi domestic international indebtedness reducing,0.0365
94,705,anchor.topn3,iraq foreign debt reduction iraq histori syria fortress syria transport s education s tawheed obligation subprim inclosure delan nonreduct frege church organisation fundament,0.0114
95,705,conceptnet.topn3,iraq foreign debt reduction a country a country in the middle east war other money spending money paying by credit card,0.0048
96,705,anchor.topn3.replace,iraq histori syria fortress syria transport s education s tawheed obligation subprim inclosure delan nonreduct frege church organisation fundament,0.0
97,705,bertqe.topn10.bm25,dc mai,0.0
98,705,bertqe.topn10.qld,unit state gener account offic,0.0
99,705,conceptnet.topn3.replace,a country a country in the middle east war other money spending money paying by credit card reduction,0.0
100,705,wordnet.topn3.replace,Republic of Iraq Irak extraneous strange alien debt simplification step down diminution,0.0
101,706,-1,Controlling type II diabetes,0.1037
102,706,bt_bing_swahili,Managing Type II Diabetes,0.1033
103,706,relevancefeedback.topn10.qld,controlling type ii diabetes diabet word,0.0989
104,706,bt_nllb_malay,Managing type diabetes,0.089
105,706,rm3.topn10.10.0.5.qld,controlling type ii diabetes diabet cost,0.07
106,706,termluster.topn5.3.qld,controlling type ii diabetes type trial studi control diabet diseas type trial studi,0.0586
107,706,conceptluster.topn5.3.qld,controlling type ii diabetes diabetes mellitus,0.0562
108,706,tagmee.topn3,controlling type ii diabetes Diabetes mellitus,0.0562
109,706,stem.paicehusk,control type iy diabet,0.0547
110,706,glove.topn3,controlling type ii diabetes example iii iv hypertension obesity,0.0197
111,706,wordnet.topn3,controlling type ii diabetes assure contain typewrite eccentric deuce,0.0141
112,706,wordnet.topn3.replace,ensure moderate manipulate typewrite character case deuce two diabetes,0.0091
113,706,bertqe.topn10.bm25,assess number us glycat,0.0069
114,706,stem.trunc4,cont type ii diab,0.0046
115,706,conceptnet.topn3,controlling type ii diabetes dominant have a keyboard use a computer use a keyboard two iii polydipsia,0.0039
116,706,anchor.topn3,controlling type ii diabetes umbauwagon percent encoding th ii kara ḫardaš nazi bugaš and the events at end of his reign iii,0.0036
117,706,stem.lovins,control typ ii diabes,0.0036
118,706,stem.trunc5,contr type ii diabe,0.0036
119,706,anchor.topn3.replace,controlling umbauwagon percent encoding th ii kara ḫardaš nazi bugaš and the events at end of his reign iii diabetes,0.0
120,706,bertqe.topn10.qld,evid report technolog assess number,0.0
121,706,conceptnet.topn3.replace,dominant have a keyboard use a computer use a keyboard two iii polydipsia,0.0
122,706,glove.topn3.replace,controlling example iii iv hypertension obesity,0.0
123,706,tagmee.topn3.replace,Diabetes mellitus,0.0
124,706,wiki.topn3,controlling type ii diabetes lymphoma noninfective enteritis colitis cirrhosis diabetes mellitus,0.0
125,706,wiki.topn3.replace,lymphoma noninfective enteritis colitis cirrhosis diabetes mellitus,0.0
126,706,word2vec.topn3,controlling type ii diabetes regulating kind iii iv vii,0.0
127,706,word2vec.topn3.replace,regulating kind iii iv vii diabetes,0.0
128,707,-1,Aspirin cancer prevention,0.4535
129,707,relevancefeedback.topn10.qld,aspirin cancer prevention claim,0.4429
130,707,bt_nllb_tamil,Aspirin is used to prevent cancer,0.4346
131,707,bt_nllb_korean,Aspirin is a cancer prevention drug,0.4315
132,707,rm3.topn10.10.0.5.bm25,aspirin cancer prevention i,0.398
133,707,bt_nllb_chinese_yue,The anti cancer aspirin,0.3802
134,707,stem.lovins,aspirin cancer prevens,0.3317
135,707,wiki.topn3,aspirin cancer prevention antiplatelet drugs salicylates nausea aspirin types neoplasia types cancer oncology cancer cancer prevention,0.2152
136,707,bt_nllb_swahili,How to fight cancer with aspirin,0.2147
137,707,anchor.topn3,aspirin cancer prevention extrusion hydrostat filter modif multi antimicrobi institute upmc insulinoma cancercent,0.1369
138,707,wordnet.topn3,aspirin cancer prevention Bayer St Joseph malignant neoplastic disease bar,0.1316
139,707,wiki.topn3.replace,antiplatelet drugs salicylates nausea aspirin types neoplasia types cancer oncology cancer cancer prevention,0.0957
140,707,bertqe.topn10.qld,known risk factor colorect cancer,0.0952
141,707,glove.topn3,aspirin cancer prevention ibuprofen medications prostate breast combating cdc,0.0567
142,707,wordnet.topn3.replace,acetylsalicylic acid St Joseph genus Cancer Cancer the Crab bar,0.0515
143,707,word2vec.topn3,aspirin cancer prevention ibuprofen paracetamol leukemia lymphoma,0.0298
144,707,bt_nllb_arabic,Prevention of cancer,0.0206
145,707,conceptnet.topn3,aspirin cancer prevention a medicine cabinet smoking a disease cigarette smoking suppression,0.0204
146,707,glove.topn3.replace,ibuprofen medications prostate breast combating cdc,0.007
147,707,bt_nllb_persian,Spraying for cancer prevention,0.0049
148,707,anchor.topn3.replace,extrusion hydrostat filter modif multi antimicrobi institute upmc insulinoma cancercent prevention,0.0
149,707,bertqe.topn10.bm25,health care financ wisconsin depart,0.0
150,707,conceptnet.topn3.replace,a medicine cabinet smoking a disease cigarette smoking suppression,0.0
151,707,stem.paicehusk,aspirin cant prev,0.0
152,707,stem.trunc4,aspi canc prev,0.0
153,707,stem.trunc5,aspir cance preve,0.0
154,707,word2vec.topn3.replace,ibuprofen paracetamol leukemia lymphoma prevention,0.0
155,708,-1,Decorative slate sources,0.3088
