qid	order	query	bm25.ndcg
301	-1	International Organized Crime	0.0586
301	wiki.topn3	international organized crime constitutional law public international law criminal law international law extortion mafia money laundering organized crime	0.1324
301	wiki.topn3.replace	constitutional law public international law criminal law international law extortion mafia money laundering organized crime	0.1232
301	anchor.topn3	international organized crime confédérat föderat kanusport anti corruption anti econom drug	0.1047
301	glove.topn3	international organized crime global which organised criminal	0.091
301	word2vec.topn3	international organized crime national global domestic organised criminality	0.0847
302	-1	Poliomyelitis and Post-Polio	0.7405
302	relevancefeedback.topn10.qld	poliomyelitis and post polio case polio i health hi vaccin china percent	0.7535
302	wordnet.topn3	poliomyelitis post polio polio acute anterior poliomyelitis	0.7491
302	relevancefeedback.topn10.bm25	poliomyelitis and post polio case polio i health vaccin china aid	0.7482
303	-1	Hubble Telescope Achievements	0.5126
303	wiki.topn3	hubble telescope achievements great observatories program hubble space telescope standard candles hubble space telescope	0.6668
303	wiki.topn3.replace	great observatories program hubble space telescope standard candles hubble space telescope	0.6633
303	bt_nllb_swahili	The results of the Hubble Telescope	0.5694
303	conceptnet.topn3	hubble telescope achievements Edwin Powell Hubble scotland heap	0.5226
303	bt_bing_persian	Hubble Telescope	0.515
304	-1	Endangered Species (Mammals)	0.2081
304	conceptluster.topn5.3.bm25	endangered species mammals endangered species	0.2202
304	conceptluster.topn5.3.qld	endangered species mammals endangered species	0.2202
305	-1	Most Dangerous Vehicles	0.0323
305	wordnet.topn3	dangerous vehicles life threatening unsafe fomite	0.0493
305	conceptnet.topn3	dangerous vehicles Explosives driving Some people	0.049
305	wiki.topn3.replace	risk assessment optimism bias risk management risk truck semi trailer motor vehicle vehicle	0.0486
305	wiki.topn3	dangerous vehicles risk assessment optimism bias risk management risk truck semi trailer motor vehicle vehicle	0.0457
305	tagmee.topn3.replace	Risk Vehicle	0.0425
305	conceptluster.topn5.3.bm25	dangerous vehicles risk	0.0377
305	conceptluster.topn5.3.qld	dangerous vehicles risk	0.0377
305	sensedisambiguation	Most Dangerous Vehicles vehicle	0.0375
305	tagmee.topn3	dangerous vehicles Risk Vehicle	0.0375
305	glove.topn3	dangerous vehicles potentially difficult cars	0.0351
306	-1	African Civilian Deaths	0.1539
306	sensedisambiguation	African Civilian Deaths end	0.1639
307	-1	New Hydroelectric Projects	0.3366
307	tagmee.topn3.replace	Hydroelectricity Project	0.3394
308	-1	Implant Dentistry	0.488
308	bt_bing_arabic	Dental implants	0.5856
308	bt_bing_persian	Dental implant	0.5856
308	bt_bing_swahili	Dental implants	0.5856
308	bt_nllb_german	Implant teeth	0.5856
308	bt_nllb_malay	Dental Implantation	0.5856
308	bt_nllb_persian	Dental implant	0.5856
308	conceptluster.topn5.3.bm25	implant dentistry dental implant	0.5856
308	conceptluster.topn5.3.qld	implant dentistry dental implant	0.5856
308	wiki.topn3	implant dentistry soft tissue sinus lift sinus surgery dental implant cardiology physical therapy otolaryngology dentistry	0.5585
308	wiki.topn3.replace	soft tissue sinus lift sinus surgery dental implant cardiology physical therapy otolaryngology dentistry	0.5032
309	-1	Rap and Crime	0.0
309	conceptnet.topn3	rap crime music hip hop	0.0771
309	word2vec.topn3	rap crime hip hop hiphop criminality	0.0753
309	wiki.topn3.replace	reggaeton underground hip hop gangsta rap rapping	0.0744
310	-1	Radio Waves and Brain Cancer	0.3509
310	word2vec.topn3	radio waves brain cancer television brain leukemia lymphoma	0.377
310	bt_nllb_chinese_yue	Radiation and brain cancer	0.3672
310	bt_nllb_korean	Radiation and Brain Cancer	0.3672
311	-1	Industrial Espionage	0.4199
311	conceptnet.topn3	industrial espionage factory postindustrial	0.4481
312	-1	Hydroponics	0.9559
313	-1	Magnetic Levitation-Maglev	0.8249
313	relevancefeedback.topn10.bm25	magnetic levitation maglev magnet la would railwai project train car said	0.8553
313	relevancefeedback.topn10.qld	magnetic levitation maglev magnet train railwai la said would project	0.8496
313	bt_bing_german	Magnetic levitation magnetic levitation train	0.83
314	-1	Marine Vegetation	0.0168
314	bt_nllb_persian	Seaweed	0.4804
314	bt_nllb_swahili	Seaweed	0.4804
314	conceptluster.topn5.3.bm25	marine vegetation ocean	0.1318
314	conceptluster.topn5.3.qld	marine vegetation ocean	0.1318
314	tagmee.topn3	marine vegetation Ocean Vegetation	0.1268
314	wiki.topn3	marine vegetation ocean current seabed continental shelf ocean ecosystem biome biomes vegetation	0.117
314	tagmee.topn3.replace	Ocean Vegetation	0.1112
314	bt_nllb_russian	Sea vegetation	0.1041
314	bt_bing_korean	Marine Plants	0.0716
314	bt_bing_malay	Marine plants	0.0716
314	bt_bing_tamil	Marine plants	0.0716
314	bt_nllb_arabic	Marine plants	0.0716
314	wiki.topn3.replace	ocean current seabed continental shelf ocean ecosystem biome biomes vegetation	0.0653
314	bt_nllb_german	Protection of the seas	0.0534
314	bt_nllb_chinese_yue	Sea plants	0.0312
314	bt_nllb_korean	Sea plants	0.0312
314	bt_nllb_malay	Sea plants	0.0312
314	bt_nllb_tamil	Sea plants	0.0312
315	-1	Unexplained Highway Accidents	0.1104
