,qid,order,query,bm25.recip_rank
0,301,-1,International Organized Crime,0.5
1,301,bt_bing_malay,International Organised Crime,0.3333
2,301,bt_nllb_german,International organised crime,0.3333
3,301,tagmee.topn3.replace,International law Organized crime,0.3333
4,301,conceptnet.topn3,international organized crime re formed reorganised,0.25
5,301,sensedisambiguation,International Organized unionize Crime,0.1667
6,301,stem.porter,intern organiz crime,0.1667
7,301,sensedisambiguation.replace,international unionize crime,0.1429
8,301,bt_nllb_malay,Integrated Crime,0.1111
9,301,relevancefeedback.topn10.bm25,international organized crime state trade govern issu japan us,0.1111
10,301,bt_bing_swahili,International Crime,0.1
11,301,bt_nllb_swahili,International Crime,0.1
12,301,wordnet.topn3,international organized crime external unionise prepare unionize criminal offense criminal offence law breaking,0.0769
13,301,wordnet.topn3.replace,external unionise prepare unionize criminal offense criminal offence law breaking,0.0769
14,301,relevancefeedback.topn10.qld,international organized crime protect organ it feder compens intellectu,0.0588
15,301,bertqe.topn10.qld,intern affair materi from report,0.0227
16,301,stem.lovins,intern organ crim,0.0208
17,301,conceptnet.topn3.replace,international re formed reorganised crime,0.0132
18,301,bertqe.topn10.bm25,jansatta hindi cso articl chitra,0.0
19,301,stem.paicehusk,intern org crim,0.0
20,301,stem.trunc4,inte orga crim,0.0
21,302,-1,Poliomyelitis and Post-Polio,1.0
22,302,bt_bing_arabic,Polio and post polio,0.5
23,302,bt_bing_persian,Polio and post polio,0.5
24,302,bt_bing_tamil,Polio and post polio,0.5
25,302,bt_nllb_french,Polio and the Post Polio,0.5
26,302,stem.trunc5,polio and post polio,0.5
27,302,wiki.topn3,poliomyelitis post polio thrombosis encephalitis renal failure poliomyelitis rett syndrome deep brain stimulation national perinatal epidemiology unit post polio syndrome,0.5
28,302,wiki.topn3.replace,thrombosis encephalitis renal failure poliomyelitis rett syndrome deep brain stimulation national perinatal epidemiology unit post polio syndrome,0.5
29,302,bt_nllb_persian,Polyamide and then polio,0.3333
30,302,glove.topn3.replace,polio measles mangxamba http www kasparovchess com,0.25
31,302,word2vec.topn3.replace,polio poliovirus Guillain Barr amyotrophy,0.2
32,302,bertqe.topn10.bm25,reflect i m probabl most independ,0.0333
33,302,bertqe.topn10.qld,franklin roosevelt geoffrei c ward,0.0
34,302,bt_nllb_korean,Polyamylitis and polyochondrosis,0.0
35,302,stem.lovins,poliomyelit and post poli,0.0
36,302,stem.trunc4,poli and post poli,0.0
37,303,-1,Hubble Telescope Achievements,0.5
38,303,conceptnet.topn3,hubble telescope achievements Edwin Powell Hubble scotland heap,0.3333
39,303,conceptnet.topn3.replace,Edwin Powell Hubble scotland heap telescope achievements,0.3333
40,303,sensedisambiguation,Hubble Telescope Achievements accomplishment,0.3333
41,303,sensedisambiguation.replace,hubble telescope accomplishment,0.3333
42,303,tagmee.topn3.replace,Hubble Space Telescope,0.3333
43,303,wordnet.topn3,hubble telescope achievements Edwin Hubble Edwin Powell Hubble scope accomplishment,0.3333
44,303,wordnet.topn3.replace,Edwin Hubble Edwin Powell Hubble scope accomplishment,0.3333
45,303,bt_bing_swahili,Success of the Hubble Telescope,0.2
46,303,bt_nllb_korean,The Hubble Telescope was completed,0.1
47,303,stem.trunc5,hubbl teles achie,0.0769
48,303,glove.topn3,hubble telescope achievements telescope nasa hubble accomplishments,0.0417
49,303,glove.topn3.replace,telescope nasa hubble accomplishments,0.04
50,303,word2vec.topn3.replace,kepler milkyway moon observatory accomplishments successes,0.0105
51,303,bertqe.topn10.bm25,see full complex movi like,0.0
52,303,bertqe.topn10.qld,wednesdai home edit column on,0.0
53,303,stem.trunc4,hubb tele achi,0.0
54,304,-1,Endangered Species (Mammals),1.0
55,304,bt_nllb_swahili,Endangered Species Animals,0.5
56,304,bt_nllb_tamil,The species in danger of extinction type,0.5
57,304,glove.topn3,endangered species mammals imperiled wildlife endangered mammals reptiles amphibians,0.5
58,304,word2vec.topn3.replace,imperiled endagered subspecies genus genera vertebrates reptiles,0.5
59,304,bt_nllb_chinese_yue,They are endangered,0.3333
60,304,conceptnet.topn3,endangered species mammals plant vulnerable dolphins fur dogs,0.3333
61,304,glove.topn3.replace,imperiled wildlife endangered mammals reptiles amphibians,0.3333
62,304,wordnet.topn3,endangered species mammals queer imperil metal money mintage mammalian,0.3333
63,304,anchor.topn3.replace,endangered abs dissé sous le lud aaaaaaah mammals,0.25
64,304,bt_bing_malay,Endangered Species Mamalia,0.25
65,304,bt_nllb_korean,Endangered species,0.25
66,304,conceptnet.topn3.replace,plant vulnerable species dolphins fur dogs,0.25
67,304,stem.lovins,endanger speci mam,0.25
68,304,stem.paicehusk,endang specy mam,0.25
69,304,bt_nllb_persian,Endangered species clover,0.2
70,304,relevancefeedback.topn10.qld,endangered species mammals wildlif dune oil fox other dolphin we bear lion,0.2
71,304,bt_bing_persian,Mammals,0.0833
72,304,bertqe.topn10.bm25,develop wildlif offici proud work,0.0588
73,304,stem.trunc5,endan speci mamma,0.0588
74,304,bertqe.topn10.qld,suitcas thai intern sundai night,0.0526
75,304,sensedisambiguation.replace,queer coinage mammal,0.0455
76,304,bt_nllb_russian,Threatened species self miners,0.0357
77,304,stem.trunc4,enda spec mamm,0.0
78,304,wordnet.topn3.replace,queer imperil metal money mintage mammalian,0.0
79,305,-1,Most Dangerous Vehicles,0.0154
80,305,bt_bing_tamil,Very Dangerous Vehicles,0.0127
81,305,bertqe.topn10.bm25,smirnov gener cleanup space must,0.0
82,305,bertqe.topn10.qld,counti edit measur school perform,0.0
83,305,relevancefeedback.topn10.bm25,most dangerous vehicles vote govern over close arab space control system plan,0.0
84,305,relevancefeedback.topn10.qld,most dangerous vehicles control govern system pound vote dollar,0.0
85,305,stem.paicehusk,most dang vehic,0.0
86,305,stem.trunc4,most dang vehi,0.0
87,305,stem.trunc5,most dange vehic,0.0
88,305,word2vec.topn3,dangerous vehicles hazardous risky perilous cars trucks,0.0
89,305,word2vec.topn3.replace,hazardous risky perilous cars trucks,0.0
90,306,-1,African Civilian Deaths,1.0
91,306,anchor.topn3,african civilian deaths capensis african grebenchikov chirman ortho phthalaldehyd program histori,0.5
92,306,bertqe.topn10.bm25,nd faction call pullout west,0.5
93,306,bt_bing_chinese_simplified,Civilian deaths in Africa,0.5
94,306,bt_bing_russian,Civilian deaths in Africa,0.5
95,306,bt_nllb_arabic,The killing of civilians in Africa,0.5
96,306,bt_nllb_russian,Death of civilians in Africa,0.5
97,306,relevancefeedback.topn10.qld,african civilian deaths januari death french polic car court,0.5
98,306,stem.krovetz,africa civilian death,0.5
99,306,stem.lovins,african civil death,0.5
100,306,tagmee.topn3,african civilian deaths North African Campaign Civilian Collateral damage,0.5
101,306,tagmee.topn3.replace,North African Campaign Civilian Collateral damage,0.5
102,306,word2vec.topn3.replace,africa sub saharan military non military fatalities killings,0.5
103,306,bt_nllb_korean,African citizens killed,0.3333
104,306,conceptnet.topn3,african civilian deaths Xhosa Mozambican civil civilize fighting war love,0.3333
105,306,relevancefeedback.topn10.bm25,african civilian deaths januari french doe mandela belgian polic rwanda,0.3333
106,306,word2vec.topn3,african civilian deaths africa sub saharan military non military fatalities killings,0.3333
107,306,wordnet.topn3,african civilian deaths decease end,0.25
108,306,wordnet.topn3.replace,african civilian decease end,0.25
109,306,bt_nllb_chinese_yue,African citizens dying,0.1667
110,306,bt_bing_german,African civilian fatalities,0.1429
111,306,anchor.topn3.replace,capensis african grebenchikov chirman ortho phthalaldehyd program histori deaths,0.125
112,306,conceptnet.topn3.replace,Xhosa Mozambican civil civilize fighting war love,0.125
113,306,stem.trunc5,afric civil death,0.0833
114,306,bt_nllb_swahili,The Deaths of Politicians in Africa,0.0769
115,306,stem.paicehusk,afr civil death,0.0667
116,306,bt_nllb_malay,The Death of African Citizens,0.0556
117,306,bt_nllb_persian,Death of African citizens,0.0556
118,306,bt_nllb_tamil,The death of African citizens,0.0556
119,306,glove.topn3.replace,africa military fatalities,0.0455
