qid	order	query	bm25.map
701	-1	U.S. oil industry history	0.0025
701	bt_nllb_german	The history of the US oil industry	0.0505
701	bt_nllb_arabic	The history of the American oil industry	0.0153
701	bt_nllb_french	The history of the American oil industry	0.0153
701	bt_nllb_chinese_yue	The history of the U S oil industry	0.0025
701	bt_nllb_korean	The history of the U S oil industry	0.0025
701	bt_nllb_malay	History of the U S oil industry	0.0025
701	bt_nllb_persian	The history of the U S oil industry	0.0025
701	bt_nllb_russian	The history of the U S oil industry	0.0025
701	bt_nllb_swahili	The history of the U S oil industry	0.0025
701	bt_nllb_tamil	The history of the U S oil industry	0.0025
702	-1	Pearl farming	0.0199
702	bt_nllb_chinese_yue	Pearl farming	0.0199
702	bt_nllb_german	Pearl farming	0.0199
702	bt_nllb_korean	Pearl farming	0.0199
702	bt_nllb_malay	Pearl farming	0.0199
702	bt_nllb_russian	Pearl farming	0.0199
702	bt_nllb_swahili	The pearl farm	0.0199
702	bt_nllb_tamil	pearl farming	0.0199
704	-1	Green party political views	0.0575
704	bt_nllb_arabic	The political views of the Green Party	0.0575
704	bt_nllb_french	The political views of the Green Party	0.0575
704	bt_nllb_korean	The political views of the Green Party	0.0575
704	bt_nllb_malay	Green Party political views	0.0575
704	bt_nllb_persian	The political views of the Green Party	0.0575
704	bt_nllb_russian	Political views of the Green Party	0.0575
704	bt_nllb_swahili	The political views of the Green Party	0.0575
704	bt_nllb_tamil	Green Party political views	0.0575
705	-1	Iraq foreign debt reduction	0.1226
705	bt_nllb_malay	Reduction of external debt to Iraq	0.2287
705	bt_nllb_russian	Reducing Iraq s external debt	0.1818
705	bt_nllb_french	Reduction of Iraq s external debt	0.1743
705	bt_nllb_chinese_yue	Iraq s foreign debt is falling	0.1501
705	bt_nllb_german	Reduction of foreign debt in Iraq	0.1226
706	-1	Controlling type II diabetes	0.025
706	bt_nllb_arabic	Control of type diabetes	0.0398
706	bt_nllb_chinese_yue	Control of type diabetes	0.0398
706	bt_nllb_korean	Control of type diabetes	0.0398
706	bt_nllb_persian	Control of type diabetes	0.0398
706	bt_nllb_french	Control of type II diabetes	0.025
706	bt_nllb_german	Control of type II diabetes	0.025
706	bt_nllb_russian	Control of type II diabetes	0.025
706	bt_nllb_swahili	Control of type II diabetes	0.025
706	bt_nllb_tamil	Control of type II diabetes	0.025
707	-1	Aspirin cancer prevention	0.1885
707	bt_nllb_french	Prevention of cancer by aspirin	0.1885
707	bt_nllb_german	Aspirin for the Prevention of Cancer	0.1885
707	bt_nllb_malay	Aspirin to prevent cancer	0.1885
707	bt_nllb_russian	Prevention of cancer with aspirin	0.1885
708	-1	Decorative slate sources	0.1026
708	bt_nllb_korean	Decorative slate source	0.1026
709	-1	Horse racing jockey weight	0.6481
709	bt_nllb_french	Weight of the horse racing jockey	0.6481
709	bt_nllb_korean	Horse racing jockey weight	0.6481
709	bt_nllb_swahili	Weight of jockeys in horse racing	0.6481
710	-1	Prostate cancer treatments	0.2122
710	bt_nllb_arabic	Treatment for prostate cancer	0.2122
710	bt_nllb_chinese_yue	Treatment of prostate cancer	0.2122
710	bt_nllb_french	Treatment of prostate cancer	0.2122
710	bt_nllb_german	Treatment of prostate cancer	0.2122
710	bt_nllb_korean	Treatment for prostate cancer	0.2122
710	bt_nllb_malay	Treatment of prostate cancer	0.2122
710	bt_nllb_persian	Treatment for prostate cancer	0.2122
710	bt_nllb_russian	Treatment of prostate cancer	0.2122
710	bt_nllb_swahili	Treatment of prostate cancer	0.2122
710	bt_nllb_tamil	The treatment for prostate cancer	0.2122
