qid	order	query	bm25.recip_rank
100653	-1	how do I go about getting copies of letters of commendation prsented to me from city of san diego?	1.0
100653	anchor.topn3	go getting copies letters commendation prsented city san diego c yalag noise a go teeley pyszczynski hnatiw royal san baghdatí srisamart vahinetua	1.0
100653	bertqe.topn10.bm25	what tour i should go	1.0
100653	conceptluster.topn5.3.bm25	go getting copies letters commendation prsented city san diego ignatius antioch san diego go film commendation ceremony getting	1.0
100653	conceptluster.topn5.3.qld	go getting copies letters commendation prsented city san diego go film commendation ceremony san diego getting ignatius antioch	1.0
100653	docluster.topn10.3.bm25	how do i go about getting copies of letters of commendation prsented to me from city of san diego	1.0
100653	docluster.topn10.3.qld	how do i go about getting copies of letters of commendation prsented to me from city of san diego	1.0
100653	relevancefeedback.topn10.bm25	how do i go about getting copies of letters of commendation prsented to me from city of san diego you alwai diego court	1.0
100653	relevancefeedback.topn10.qld	how do i go about getting copies of letters of commendation prsented to me from city of san diego http gum immigr diego court you gold	1.0
100653	rm3.topn10.10.0.5.bm25	how do I go about getting copies of letters of commendation prsented to me from city of san diego?	1.0
100653	rm3.topn10.10.0.5.qld	how do I go about getting copies of letters of commendation prsented to me from city of san diego?	1.0
100653	sensedisambiguation.replace	how do I travel about experience transcript of letter of citation prsented to me from city of san diego	1.0
100653	stem.krovetz	how do i go about get copy of letters of commendation prsente to me from city of san diego	1.0
100653	stem.paicehusk	how do i go about get cop of let of commend prsent to me from city of san diego	1.0
100653	stem.porter	how do i go about gett copi of letter of commend prsent to me from citi of san diego	1.0
100653	stem.porter2	how do i go about get copi of letter of commend prsent to me from citi of san diego	1.0
100653	stem.sstemmer	how do i go about getting copy of letter of commendation prsented to me from city of san diego	1.0
100653	stem.trunc5	how do i go about getti copie of lette of comme prsen to me from city of san diego	1.0
100653	tagmee.topn3	go getting copies letters commendation prsented city san diego Go film Getting In Ignatius of Antioch Commendation ceremony San Diego San Diego	1.0
100653	tagmee.topn3.replace	Go film Getting In Ignatius of Antioch Commendation ceremony San Diego San Diego	1.0
100653	termluster.topn5.3.bm25	go getting copies letters commendation prsented city san diego	1.0
100653	termluster.topn5.3.qld	go getting copies letters commendation prsented city san diego	1.0
100653	thesaurus.topn3	go getting copies letters commendation prsented city san diego	1.0
100653	thesaurus.topn3.replace	go getting copies letters commendation prsented city san diego	1.0
100653	wiki.topn3	go getting copies letters commendation prsented city san diego thguest film suddenly film sicario film go film thphotographer film wheri leavyou straight thheart film getting polycarp irenaeus epistlto titus ignatius antioch france pragmatic sanction bourges parens scientiarum commendation ceremony san diego county california san diego metropolitan area san diego california san diego san diego county california san diego metropolitan area san diego california san diego	1.0
100653	wiki.topn3.replace	thguest film suddenly film sicario film go film thphotographer film wheri leavyou straight thheart film getting polycarp irenaeus epistlto titus ignatius antioch france pragmatic sanction bourges parens scientiarum commendation ceremony san diego county california san diego metropolitan area san diego california san diego san diego county california san diego metropolitan area san diego california san diego	1.0
100653	wordnet.topn3.replace	hold up live on hug drug fuck off incur buzz off written matter imitate transcript varsity letter missive citation approval prsented metropolis urban center san diego	1.0
100653	conceptnet.topn3	go getting copies letters commendation prsented city san diego drop leave turn grow printing copyist trisomic the mail box the mail capital town ϻ	0.5
100653	glove.topn3	go getting copies letters commendation prsented city san diego come got sold correspondence meritorious town francisco diego san francisco	0.5
100653	sensedisambiguation	how do I go travel about getting experience copies transcript of letters letter of commendation citation prsented to me from city of san diego	0.5
100653	stem.trunc4	how do i go abou gett copi of lett of comm prse to me from city of san dieg	0.3333
100653	word2vec.topn3	go getting copies letters commendation prsented city san diego come goes proceed obtaining having got originals correspondence praise presnted soruced rebuted town metropolis francisco bernardino diego francisco mateo joaquin	0.25
100653	anchor.topn3.replace	c yalag noise a go teeley pyszczynski hnatiw copies letters commendation prsented city royal san baghdatí srisamart vahinetua	0.2
100653	stem.lovins	how do i go about ges cop of letter of commens prsens to me from cit of san dieg	0.2
100653	wordnet.topn3	go getting copies letters commendation prsented city san diego hold up live on hug drug fuck off incur buzz off written matter imitate transcript varsity letter missive citation approval metropolis urban center	0.0833
100653	word2vec.topn3.replace	come goes proceed obtaining having got originals correspondence praise presnted soruced rebuted town metropolis francisco bernardino diego francisco mateo joaquin	0.0526
100653	glove.topn3.replace	come got sold correspondence meritorious prsented town francisco diego san francisco	0.0417
100653	conceptnet.topn3.replace	drop leave turn grow printing copyist trisomic the mail box the mail commendation prsented capital town ϻ diego	0.0192
100653	bertqe.topn10.qld	declin ani	0.0
1015624	-1	What's the Definition of a bloody mary?	1.0
1015624	bertqe.topn10.bm25	yeah what said now get	1.0
1015624	bertqe.topn10.qld	she known bloodi mari drink	1.0
1015624	conceptluster.topn5.3.bm25	s definition bloody mary papal infallibility mary england	1.0
1015624	conceptluster.topn5.3.qld	s definition bloody mary papal infallibility mary england	1.0
1015624	docluster.topn10.3.bm25	what s the definition of a bloody mary	1.0
1015624	docluster.topn10.3.qld	what s the definition of a bloody mary	1.0
1015624	relevancefeedback.topn10.bm25	what s the definition of a bloody mary bloodi mari benedict england becaus	1.0
1015624	relevancefeedback.topn10.qld	what s the definition of a bloody mary mari bloodi england	1.0
1015624	rm3.topn10.10.0.5.bm25	Whats the Definition of a bloody mary?	1.0
1015624	rm3.topn10.10.0.5.qld	Whats the Definition of a bloody mary?	1.0
1015624	sensedisambiguation	What s the Definition of a bloody mary	1.0
1015624	sensedisambiguation.replace	What s the definition of a bloody mary	1.0
1015624	stem.krovetz	what s the definition of a bloody mary	1.0
1015624	stem.paicehusk	what s the definit of a bloody mary	1.0
1015624	stem.porter	what s the definit of a bloodi mari	1.0
1015624	stem.porter2	what s the definit of a bloodi mari	1.0
1015624	stem.sstemmer	what s the definition of a bloody mary	1.0
1015624	tagmee.topn3	s definition bloody mary Papal infallibility Mary I of England	1.0
1015624	termluster.topn5.3.bm25	s definition bloody mary	1.0
1015624	termluster.topn5.3.qld	s definition bloody mary	1.0
1015624	thesaurus.topn3	s definition bloody mary	1.0
1015624	thesaurus.topn3.replace	s definition bloody mary	1.0
1015624	tagmee.topn3.replace	Papal infallibility Mary I of England	0.5
1015624	wiki.topn3	s definition bloody mary mirari vos qui pluribus codof canon law papal infallibility catherine aragon counts habsburg catherinof aragon mary england	0.5
1015624	conceptnet.topn3	s definition bloody mary fucking all firedly Blessed Virgin	0.3333
1015624	glove.topn3	s definition bloody mary s whose defined brutal bloodshed elizabeth ann	0.3333
1015624	stem.trunc5	what s the defin of a blood mary	0.25
1015624	stem.trunc4	what s the defi of a bloo mary	0.0909
1015624	wiki.topn3.replace	mirari vos qui pluribus codof canon law papal infallibility catherine aragon counts habsburg catherinof aragon mary england	0.0769
1015624	wordnet.topn3	s definition bloody mary fucking crashing all fired The Virgin Virgin Mary Madonna	0.0588
1015624	anchor.topn3	s definition bloody mary b v v s pop up ad wiki wiki yimam lusaria crockett stark	0.0137
1015624	anchor.topn3.replace	b v v s pop up ad wiki wiki bloody yimam lusaria crockett stark	0.0
1015624	conceptnet.topn3.replace	s definition fucking all firedly Blessed Virgin	0.0
1015624	glove.topn3.replace	s whose defined brutal bloodshed elizabeth ann	0.0
1015624	stem.lovins	what s th definit of a blood mar	0.0
1015624	word2vec.topn3	s definition bloody mary s of s s defintion definiton brutal ghastly sarah elizabeth	0.0
1015624	word2vec.topn3.replace	s of s s defintion definiton brutal ghastly sarah elizabeth	0.0
1015624	wordnet.topn3.replace	s definition fucking crashing all fired The Virgin Virgin Mary Madonna	0.0
1017690	-1	what is the history of indian music?	1.0
1017690	anchor.topn3	history indian music recuyel seeg théodrat waipawan mangaorapan sah ku me hu wassamasaw music arr o swapo laqi	1.0
1017690	conceptluster.topn5.3.bm25	history indian music	1.0
1017690	conceptluster.topn5.3.qld	history indian music	1.0
1017690	docluster.topn10.3.bm25	what is the history of indian music	1.0
1017690	docluster.topn10.3.qld	what is the history of indian music	1.0
1017690	relevancefeedback.topn10.bm25	what is the history of indian music music myth th can i	1.0
1017690	relevancefeedback.topn10.qld	what is the history of indian music i can tribe muscoota music india have	1.0
1017690	rm3.topn10.10.0.5.bm25	what is the history of indian music?	1.0
1017690	rm3.topn10.10.0.5.qld	what is the history of indian music?	1.0
1017690	sensedisambiguation	what is the history of indian music	1.0
1017690	sensedisambiguation.replace	what is the history of indian music	1.0
1017690	stem.krovetz	what is the history of indian music	1.0
1017690	stem.porter	what is the histori of indian music	1.0
1017690	stem.porter2	what is the histori of indian music	1.0
1017690	stem.sstemmer	what is the history of indian music	1.0
1017690	stem.trunc5	what is the histo of india music	1.0
1017690	tagmee.topn3	history indian music	1.0
1017690	termluster.topn5.3.bm25	history indian music	1.0
1017690	termluster.topn5.3.qld	history indian music	1.0
1017690	thesaurus.topn3	history indian music	1.0
1017690	thesaurus.topn3.replace	history indian music	1.0
1017690	wiki.topn3	history indian music	1.0
1017690	word2vec.topn3	history indian music history india non indian music	1.0
1017690	word2vec.topn3.replace	history india non indian music	1.0
1017690	wordnet.topn3	history indian music account story Native American Amerindic medicine euphony	1.0
1017690	conceptnet.topn3	history indian music past subject school chief native dance record rock	0.5
1017690	glove.topn3	history indian music historical ever india pakistani songs	0.25
1017690	glove.topn3.replace	historical ever india pakistani songs	0.0208
1017690	anchor.topn3.replace	recuyel seeg théodrat waipawan mangaorapan sah ku me hu wassamasaw music arr o swapo laqi	0.0
1017690	bertqe.topn10.bm25	build lesson around treat artifact	0.0
1017690	bertqe.topn10.qld	build lesson around treat artifact	0.0
1017690	conceptnet.topn3.replace	past subject school chief native dance record rock	0.0
1017690	stem.lovins	what is th histor of ind mus	0.0
1017690	stem.paicehusk	what is the hist of ind mus	0.0
1017690	stem.trunc4	what is the hist of indi musi	0.0
1017690	tagmee.topn3.replace	nan	0.0
1017690	wiki.topn3.replace	nan	0.0
1017690	wordnet.topn3.replace	account story Native American Amerindic medicine euphony	0.0
1035857	-1	Why are liberals so quick to defend Saddam?	1.0
1035857	anchor.topn3	liberals quick defend saddam ascat quicke quick libero midfield present ngasanya ngasanja iloumi	1.0
1035857	anchor.topn3.replace	liberals ascat quicke quick libero midfield present ngasanya ngasanja iloumi	1.0
1035857	conceptluster.topn5.3.bm25	liberals quick defend saddam modern liberalism united states	1.0
1035857	conceptluster.topn5.3.qld	liberals quick defend saddam modern liberalism united states	1.0
1035857	docluster.topn10.3.bm25	why are liberals so quick to defend saddam	1.0
1035857	docluster.topn10.3.qld	why are liberals so quick to defend saddam	1.0
1035857	glove.topn3	liberals quick defend saddam conservatives easy fast protect hussein iraqi	1.0
1035857	relevancefeedback.topn10.bm25	why are liberals so quick to defend saddam actual i left aclu french liber america answer	1.0
1035857	relevancefeedback.topn10.qld	why are liberals so quick to defend saddam actual answer i we he liber	1.0
1035857	rm3.topn10.10.0.5.bm25	Why are liberals so quick to defend Saddam?	1.0
1035857	rm3.topn10.10.0.5.qld	Why are liberals so quick to defend Saddam?	1.0
1035857	sensedisambiguation	Why are liberals liberal so quick to defend maintain Saddam hussein	1.0
1035857	sensedisambiguation.replace	Why are liberal so quick to maintain hussein	1.0
1035857	stem.krovetz	why are liberal so quick to defend saddam	1.0
1035857	stem.lovins	why ar liber so quick to defens saddam	1.0
1035857	stem.paicehusk	why ar lib so quick to defend saddam	1.0
1035857	stem.porter	why ar liber so quick to defend saddam	1.0
1035857	stem.porter2	whi are liber so quick to defend saddam	1.0
1035857	stem.sstemmer	why are liberal so quick to defend saddam	1.0
1035857	tagmee.topn3	liberals quick defend saddam Modern liberalism in the United States	1.0
1035857	tagmee.topn3.replace	Modern liberalism in the United States	1.0
1035857	termluster.topn5.3.bm25	liberals quick defend saddam	1.0
1035857	termluster.topn5.3.qld	liberals quick defend saddam	1.0
1035857	thesaurus.topn3	liberals quick defend saddam	1.0
1035857	thesaurus.topn3.replace	liberals quick defend saddam	1.0
1035857	wiki.topn3	liberals quick defend saddam social liberalism liberalism thunited states coalition freand open elections modern liberalism united states	1.0
1035857	word2vec.topn3	liberals quick defend saddam conservatives progressives democrats easy swift rapid protect uphold Sadaam sadam hussein	1.0
1035857	conceptnet.topn3	liberals quick defend saddam left wing fast Saddam bin Hussein at Takriti leader of Iraq	0.5
1035857	stem.trunc5	why are liber so quick to defen sadda	0.5
1035857	wiki.topn3.replace	social liberalism liberalism thunited states coalition freand open elections modern liberalism united states	0.5
1035857	conceptnet.topn3.replace	left wing fast defend Saddam bin Hussein at Takriti leader of Iraq	0.3333
1035857	wordnet.topn3	liberals quick defend saddam progressive liberalist flying nimble prompt maintain fight Husain Saddam bin Hussein at Takriti Hussein	0.125
1035857	word2vec.topn3.replace	conservatives progressives democrats easy swift rapid protect uphold Sadaam sadam hussein	0.0833
1035857	wordnet.topn3.replace	progressive liberalist flying nimble prompt maintain fight Husain Saddam bin Hussein at Takriti Hussein	0.0588
1035857	bertqe.topn10.qld	doesn t object saddam be hang	0.0128
1035857	bertqe.topn10.bm25	charg war crime doesn t object	0.0
1035857	glove.topn3.replace	conservatives easy fast protect hussein iraqi	0.0
1035857	stem.trunc4	why are libe so quic to defe sadd	0.0
103830	-1	Why do man Arabs hate the west ?	1.0
103830	anchor.topn3	man arabs hate west man controversi man releas a concepts psychoanalyt hakō west discographi east wjpw cd	1.0
103830	anchor.topn3.replace	man controversi man releas a arabs concepts psychoanalyt hakō west discographi east wjpw cd	1.0
103830	conceptluster.topn5.3.bm25	man arabs hate west tao western world hate speech human	1.0
103830	conceptluster.topn5.3.qld	man arabs hate west hate speech tao human western world	1.0
103830	conceptnet.topn3	man arabs hate west boy person arabophobia arab people an emotion destroy your enemy a strong emotion	1.0
103830	docluster.topn10.3.bm25	why do man arabs hate the west	1.0
103830	docluster.topn10.3.qld	why do man arabs hate the west	1.0
103830	glove.topn3	man arabs hate west woman person egyptians hatred indeed east north	1.0
103830	relevancefeedback.topn10.bm25	why do man arabs hate the west all you i arab east iraq	1.0
103830	rm3.topn10.10.0.5.bm25	Why do man Arabs hate the west ?	1.0
103830	rm3.topn10.10.0.5.qld	Why do man Arabs hate the west ?	1.0
103830	sensedisambiguation	Why do man world Arabs arabian hate the west	1.0
103830	stem.krovetz	why do man arab hate the west	1.0
103830	stem.lovins	why do man arab hat th west	1.0
103830	stem.paicehusk	why do man arab hat the west	1.0
103830	stem.porter	why do man arab hate the west	1.0
103830	stem.porter2	whi do man arab hate the west	1.0
103830	stem.sstemmer	why do man arab hate the west	1.0
103830	stem.trunc4	why do man arab hate the west	1.0
103830	stem.trunc5	why do man arabs hate the west	1.0
103830	tagmee.topn3	man arabs hate west Tao Human Arabs Hate speech Western world	1.0
103830	tagmee.topn3.replace	Tao Human Arabs Hate speech Western world	1.0
103830	termluster.topn5.3.bm25	man arabs hate west	1.0
103830	termluster.topn5.3.qld	man arabs hate west	1.0
103830	thesaurus.topn3	man arabs hate west	1.0
103830	thesaurus.topn3.replace	man arabs hate west	1.0
103830	wiki.topn3	man arabs hate west zhuang zhou confucianism confucius tao apes humans tool using species human muslim communities asia dhimmi druze arabs hatcrime coercion lgbt social movements hate speech eurocentrism eastern world hegemony western world	1.0
103830	wordnet.topn3	man arabs hate west military man serviceman humankind Arabian hatred detest Dame Rebecca West Mae West Cicily Isabel Fairfield	1.0
103830	relevancefeedback.topn10.qld	why do man arabs hate the west were god all jew south arab israel iraq muslim	0.5
103830	sensedisambiguation.replace	Why do world arabian hate the west	0.5
103830	wiki.topn3.replace	zhuang zhou confucianism confucius tao apes humans tool using species human muslim communities asia dhimmi druze arabs hatcrime coercion lgbt social movements hate speech eurocentrism eastern world hegemony western world	0.2
103830	wordnet.topn3.replace	military man serviceman humankind Arabian hatred detest Dame Rebecca West Mae West Cicily Isabel Fairfield	0.0909
103830	word2vec.topn3	man arabs hate west woman guy men palestinians jews hatred despise east north south	0.0312
103830	conceptnet.topn3.replace	boy person arabophobia arab people an emotion destroy your enemy a strong emotion west	0.02
103830	bertqe.topn10.qld	conflict west refus acknowledg even	0.0196
103830	bertqe.topn10.bm25	simpli observ consecut night compar	0.0
103830	glove.topn3.replace	woman person egyptians hatred indeed east north	0.0
103830	word2vec.topn3.replace	woman guy men palestinians jews hatred despise east north south	0.0
1063812	-1	How do I grow taller?	1.0
1063812	anchor.topn3	grow taller critically gross herbland escalada remedio serigrafia	1.0
1063812	conceptluster.topn5.3.bm25	grow taller	1.0
1063812	conceptluster.topn5.3.qld	grow taller	1.0
1063812	docluster.topn10.3.bm25	how do i grow taller	1.0
1063812	docluster.topn10.3.qld	how do i grow taller	1.0
1063812	glove.topn3	grow taller grown tall bulkier	1.0
1063812	relevancefeedback.topn10.qld	how do i grow taller bright you my taller u	1.0
1063812	rm3.topn10.10.0.5.bm25	How do I grow taller?	1.0
1063812	rm3.topn10.10.0.5.qld	How do I grow taller?	1.0
1063812	sensedisambiguation	How do I grow turn taller tall	1.0
1063812	stem.krovetz	how do i grow tall	1.0
1063812	stem.lovins	how do i grow taller	1.0
1063812	stem.porter	how do i grow taller	1.0
1063812	stem.porter2	how do i grow taller	1.0
1063812	stem.sstemmer	how do i grow taller	1.0
1063812	stem.trunc4	how do i grow tall	1.0
1063812	stem.trunc5	how do i grow talle	1.0
1063812	tagmee.topn3	grow taller	1.0
1063812	termluster.topn5.3.bm25	grow taller	1.0
1063812	termluster.topn5.3.qld	grow taller	1.0
1063812	thesaurus.topn3	grow taller	1.0
1063812	thesaurus.topn3.replace	grow taller	1.0
1063812	wiki.topn3	grow taller	1.0
1063812	word2vec.topn3	grow taller evolve develop tall skinnier stockier	1.0
1063812	wordnet.topn3	grow taller arise spring up grandiloquent tall marvellous	1.0
1063812	bertqe.topn10.bm25	year grow depend how	0.5
1063812	conceptnet.topn3	grow taller a tree bigger tallen	0.5
1063812	relevancefeedback.topn10.bm25	how do i grow taller your bright you longer about	0.5
1063812	sensedisambiguation.replace	How do I turn tall	0.25
1063812	glove.topn3.replace	grown tall bulkier	0.0909
