,qid,order,query,qld.recip_rank
0,INEX_LD-2009022,-1,Szechwan dish food cuisine,1.0
1,INEX_LD-2009022,anchor.topn3,szechwan dish food cuisine setzuan sechuan szechuan rasslin m tofu oth neophobia food foods cross solfar,1.0
2,INEX_LD-2009022,anchor.topn3.replace,setzuan sechuan szechuan rasslin m tofu oth neophobia food foods cross solfar cuisine,1.0
3,INEX_LD-2009022,bt_bing_chinese_simplified,Sichuan cuisine,1.0
4,INEX_LD-2009022,bt_bing_french,Sichuan Dish Cuisine,1.0
5,INEX_LD-2009022,bt_bing_korean,Sichuan cuisine food cooking,1.0
6,INEX_LD-2009022,bt_bing_malay,Szechwan dish food cuisine,1.0
7,INEX_LD-2009022,bt_bing_russian,Sichuan Dish Food Cuisine,1.0
8,INEX_LD-2009022,bt_bing_swahili,Diet cuisine of Szechwan,1.0
9,INEX_LD-2009022,bt_bing_tamil,Szechwan dish food,1.0
10,INEX_LD-2009022,bt_nllb_french,Cooking of Szechwan dishes,1.0
11,INEX_LD-2009022,bt_nllb_malay,Szechwan cuisine,1.0
12,INEX_LD-2009022,bt_nllb_swahili,Szechwan dishes food,1.0
13,INEX_LD-2009022,conceptluster.topn5.3.bm25,szechwan dish food cuisine food cuisine sichuan dish food,1.0
14,INEX_LD-2009022,conceptluster.topn5.3.qld,szechwan dish food cuisine sichuan cuisine food dish food,1.0
15,INEX_LD-2009022,conceptnet.topn3,szechwan dish food cuisine Szechuan China plate cake rice rechauffe,1.0
16,INEX_LD-2009022,docluster.topn10.3.bm25,szechwan dish food cuisine,1.0
17,INEX_LD-2009022,docluster.topn10.3.qld,szechwan dish food cuisine,1.0
18,INEX_LD-2009022,glove.topn3,szechwan dish food cuisine mangxamba localweather dessert supplies dishes,1.0
19,INEX_LD-2009022,original,Szechwan dish food cuisine,1.0
20,INEX_LD-2009022,relevancefeedback.topn10.bm25,szechwan dish food cuisine cuisin chines veget rice pepper banitsa tabl pot pölsa octopu,1.0
21,INEX_LD-2009022,rm3.topn10.10.0.5.bm25,Szechwan dish food cuisine,1.0
22,INEX_LD-2009022,rm3.topn10.10.0.5.qld,Szechwan dish food cuisine,1.0
23,INEX_LD-2009022,sensedisambiguation,Szechwan dish serve food cuisine,1.0
24,INEX_LD-2009022,sensedisambiguation.replace,szechwan serve food cuisine,1.0
25,INEX_LD-2009022,stem.krovetz,szechwan dish food cuisine,1.0
26,INEX_LD-2009022,stem.lovins,szechwan dish food cuis,1.0
27,INEX_LD-2009022,stem.porter,szechwan dish food cuisin,1.0
28,INEX_LD-2009022,stem.porter2,szechwan dish food cuisin,1.0
29,INEX_LD-2009022,stem.sstemmer,szechwan dish food cuisine,1.0
30,INEX_LD-2009022,tagmee.topn3,szechwan dish food cuisine Sichuan Dish food Food Cuisine,1.0
31,INEX_LD-2009022,termluster.topn5.3.bm25,szechwan dish food cuisine,1.0
32,INEX_LD-2009022,termluster.topn5.3.qld,szechwan dish food cuisine,1.0
33,INEX_LD-2009022,thesaurus.topn3,szechwan dish food cuisine,1.0
34,INEX_LD-2009022,thesaurus.topn3.replace,szechwan dish food cuisine,1.0
35,INEX_LD-2009022,wiki.topn3,szechwan dish food cuisine sichuan shaanxi hunan sichuan list legumdishes past food batter cooking dish food foods cuisine meat food brunch veal veal cuisine,1.0
36,INEX_LD-2009022,wordnet.topn3,szechwan dish food cuisine Szechuan Sichuan smasher beauty food for thought solid food nutrient culinary art,1.0
37,INEX_LD-2009022,wordnet.topn3.replace,Sichuan Szechuan Szechwan province sweetheart dish out solid food food for thought culinary art,1.0
38,INEX_LD-2009039,-1,roman architecture,1.0
39,INEX_LD-2009039,bt_bing_arabic,Roman architecture,1.0
40,INEX_LD-2009039,bt_bing_chinese_simplified,Roman architecture,1.0
41,INEX_LD-2009039,bt_bing_french,Roman Architecture,1.0
42,INEX_LD-2009039,bt_bing_german,Roman Architecture,1.0
43,INEX_LD-2009039,bt_bing_korean,Roman architecture,1.0
44,INEX_LD-2009039,bt_bing_malay,Roman architecture,1.0
45,INEX_LD-2009039,bt_bing_persian,Roman architecture,1.0
46,INEX_LD-2009039,bt_bing_russian,Roman architecture,1.0
47,INEX_LD-2009039,bt_bing_swahili,Roman architecture,1.0
48,INEX_LD-2009039,bt_bing_tamil,Roman architecture,1.0
49,INEX_LD-2009039,bt_nllb_arabic,Roman architecture,1.0
50,INEX_LD-2009039,bt_nllb_chinese_yue,Roman architecture,1.0
51,INEX_LD-2009039,bt_nllb_french,Roman architecture,1.0
52,INEX_LD-2009039,bt_nllb_german,Roman architecture,1.0
53,INEX_LD-2009039,bt_nllb_korean,Roman architecture,1.0
54,INEX_LD-2009039,bt_nllb_malay,Roman architecture,1.0
55,INEX_LD-2009039,bt_nllb_persian,Roman architecture,1.0
56,INEX_LD-2009039,bt_nllb_russian,Roman architecture,1.0
57,INEX_LD-2009039,bt_nllb_swahili,Roman architecture,1.0
58,INEX_LD-2009039,bt_nllb_tamil,Roman architecture,1.0
59,INEX_LD-2009039,conceptluster.topn5.3.bm25,roman architecture ancient roman architecture,1.0
60,INEX_LD-2009039,conceptluster.topn5.3.qld,roman architecture ancient roman architecture,1.0
61,INEX_LD-2009039,docluster.topn10.3.bm25,roman architecture,1.0
62,INEX_LD-2009039,docluster.topn10.3.qld,roman architecture,1.0
63,INEX_LD-2009039,original,roman architecture,1.0
64,INEX_LD-2009039,rm3.topn10.10.0.5.bm25,roman architecture,1.0
65,INEX_LD-2009039,rm3.topn10.10.0.5.qld,roman architecture,1.0
66,INEX_LD-2009039,stem.krovetz,roman architecture,1.0
67,INEX_LD-2009039,stem.lovins,roman architectur,1.0
68,INEX_LD-2009039,stem.porter,roman architectur,1.0
69,INEX_LD-2009039,stem.porter2,roman architectur,1.0
70,INEX_LD-2009039,stem.sstemmer,roman architecture,1.0
71,INEX_LD-2009039,tagmee.topn3,roman architecture Ancient Roman architecture,1.0
72,INEX_LD-2009039,tagmee.topn3.replace,Ancient Roman architecture,1.0
73,INEX_LD-2009039,termluster.topn5.3.bm25,roman architecture,1.0
74,INEX_LD-2009039,termluster.topn5.3.qld,roman architecture,1.0
75,INEX_LD-2009039,thesaurus.topn3,roman architecture,1.0
76,INEX_LD-2009039,thesaurus.topn3.replace,roman architecture,1.0
77,INEX_LD-2009039,wiki.topn3,roman architecture outlinof classical architecture frigidarium peristyle ancient roman architecture,1.0
78,INEX_LD-2009039,wiki.topn3.replace,outlinof classical architecture frigidarium peristyle ancient roman architecture,1.0
79,INEX_LD-2009053,-1,finland car industry manufacturer saab sisu,0.3333
80,INEX_LD-2009053,anchor.topn3,finland car industry manufacturer saab sisu estonia lithuania norway mashti lc used car x turbo x drakens nalle sisu lahore iii kb,1.0
81,INEX_LD-2009053,bt_bing_chinese_simplified,Sabosisu a Finnish manufacturer of the automotive industry,1.0
82,INEX_LD-2009053,bt_bing_korean,Finnish automotive industry manufacturer Saab Sisu,1.0
83,INEX_LD-2009053,bt_bing_russian,Finnish automotive manufacturer Saab Sisu,1.0
84,INEX_LD-2009053,bt_nllb_arabic,Finnish car manufacturing plant Sap Sisu,1.0
85,INEX_LD-2009053,bt_nllb_russian,Finnish manufacturer of automotive industry Saab Suzi,1.0
86,INEX_LD-2009053,bt_nllb_tamil,Sappha Sysu Finnish automotive manufacturer,1.0
87,INEX_LD-2009053,relevancefeedback.topn10.bm25,finland car industry manufacturer saab sisu patria motor automot associ,1.0
88,INEX_LD-2009053,stem.trunc5,finla car indus manuf saab sisu,1.0
89,INEX_LD-2009053,bt_bing_arabic,Finland manufacturer Saab Sisu,0.5
90,INEX_LD-2009053,bt_bing_french,Finnish car manufacturer Saab Sisu,0.5
91,INEX_LD-2009053,bt_bing_german,Finnish car manufacturer Saab Sisu,0.5
92,INEX_LD-2009053,bt_bing_swahili,Finnish auto industry manufacturer Saab Sisu,0.5
93,INEX_LD-2009053,bt_nllb_chinese_yue,Finnish car manufacturer Saab sisu,0.5
94,INEX_LD-2009053,bt_nllb_french,Finnish car manufacturer saab sisu,0.5
95,INEX_LD-2009053,bt_nllb_german,Finnish car manufacturer Saab sisu,0.5
96,INEX_LD-2009053,bt_nllb_malay,Finnish car manufacturer saab sisu,0.5
97,INEX_LD-2009053,bt_nllb_persian,Finnish car manufacturer Saab sisu,0.5
98,INEX_LD-2009053,bt_nllb_swahili,Finnish car manufacturer saab sisu,0.5
99,INEX_LD-2009053,conceptluster.topn5.3.bm25,finland car industry manufacturer saab sisu sisu auto automotive industry saab automobile finland,0.5
100,INEX_LD-2009053,conceptluster.topn5.3.qld,finland car industry manufacturer saab sisu saab automobile finland automotive industry sisu auto,0.5
101,INEX_LD-2009053,conceptnet.topn3,finland car industry manufacturer saab sisu a country drive commercial enterprise food manufacturer saab monte carlo turbo a brand of car will finnish perseverance,0.5
102,INEX_LD-2009053,relevancefeedback.topn10.qld,finland car industry manufacturer saab sisu motor patria automot sweden,0.5
103,INEX_LD-2009053,stem.trunc4,finl car indu manu saab sisu,0.5
104,INEX_LD-2009053,tagmee.topn3,finland car industry manufacturer saab sisu Finland Automotive industry Automotive industry Saab Automobile Sisu Auto,0.5
105,INEX_LD-2009053,wiki.topn3,finland car industry manufacturer saab sisu finnish speaking countries territories finland states territories established finland list automobilmanufacturers daimler ag vehiclidentification number automotive industry list automobilmanufacturers daimler ag vehiclidentification number automotive industry car manufacturers sweden motor vehicle manufacturers sweden saab saab automobile sisu motor vehicle manufacturers finland sisu ra ds sisu auto,0.5
106,INEX_LD-2009053,wiki.topn3.replace,finnish speaking countries territories finland states territories established finland list automobilmanufacturers daimler ag vehiclidentification number automotive industry list automobilmanufacturers daimler ag vehiclidentification number automotive industry car manufacturers sweden motor vehicle manufacturers sweden saab saab automobile sisu motor vehicle manufacturers finland sisu ra ds sisu auto,0.5
107,INEX_LD-2009053,wordnet.topn3,finland car industry manufacturer saab sisu Republic of Finland Suomi machine railroad car motorcar manufacture manufacturing business maker,0.5
108,INEX_LD-2009053,anchor.topn3.replace,estonia lithuania norway mashti lc used car industry manufacturer x turbo x drakens nalle sisu lahore iii kb,0.3333
109,INEX_LD-2009053,bt_bing_malay,Finnish car industry manufacturer Saab Sisu,0.3333
110,INEX_LD-2009053,bt_bing_tamil,Finland car industry manufacturer Saab Sisu,0.3333
