,qid,order,query,bm25.map
0,1,-1,obama family tree,0.2416
1,1,tagmee.topn3,obama family tree Family of Barack Obama,0.3706
2,1,bt_bing_russian,Obama s Family Tree,0.2764
3,1,wiki.topn3,obama family tree stanley armour dunham madelyn dunham barack obama sr family barack obama,0.2735
4,1,wiki.topn3.replace,stanley armour dunham madelyn dunham barack obama sr family barack obama,0.2694
5,1,conceptluster.topn5.3.qld,obama family tree family barack obama git object,0.2647
6,10,-1,cheap internet,0.0185
7,10,word2vec.topn3,cheap internet inexpensive low cost online intenet,0.0817
8,10,word2vec.topn3.replace,inexpensive low cost online intenet,0.0652
9,11,-1,gmat prep classes,0.1982
10,11,word2vec.topn3,gmat prep classes courses,0.2096
11,12,-1,djs,0.0285
12,13,-1,map,0.0049
13,14,-1,dinosaurs,0.0008
14,14,conceptnet.topn3,dinosaurs ancient reptiles,0.007
15,14,glove.topn3,dinosaurs reptiles,0.006
16,15,-1,espn sports,0.1795
17,15,sensedisambiguation,espn sports sport,0.1911
18,16,-1,arizona game and fish,0.1092
19,17,-1,poker tournaments,0.0658
20,18,-1,wedding budget calculator,0.0624
21,19,-1,the current,0.0
22,2,-1,french lick resort and casino,0.2524
23,2,conceptluster.topn5.3.bm25,french lick resort casino casino french lick resort casino french lick indiana,0.258
24,2,conceptluster.topn5.3.qld,french lick resort casino french lick resort casino casino french lick indiana,0.258
25,2,tagmee.topn3,french lick resort casino French Lick Indiana French Lick Resort Casino Casino,0.258
26,20,-1,defender,0.0
27,21,-1,volvo,0.1797
28,22,-1,rick warren,0.2286
29,23,-1,yahoo,0.0011
30,23,wiki.topn3,yahoo alibaba group websites company companies based sunnyvale california yahoo,0.0076
31,23,wiki.topn3.replace,alibaba group websites company companies based sunnyvale california yahoo,0.0052
32,24,-1,diversity,0.0358
33,25,-1,euclid,0.0412
34,25,relevancefeedback.topn10.bm25,euclid video i geometri,0.1095
35,26,-1,lower heart rate,0.0205
36,27,-1,starbucks,0.0363
37,28,-1,inuyasha,0.0341
38,29,-1,ps 2 games,0.0028
39,29,glove.topn3,ps games brmsg brnws play,0.0062
40,29,rm3.topn10.10.0.5.bm25,ps 2 games,0.0055
41,29,rm3.topn10.10.0.5.qld,ps 2 games,0.0055
42,3,-1,getting organized,0.1179
43,30,-1,diabetes education,0.0994
44,31,-1,atari,0.1348
45,32,-1,website design hosting,0.0268
46,32,relevancefeedback.topn10.qld,website design hosting web websit host,0.0275
47,33,-1,elliptical trainer,0.1686
48,33,sensedisambiguation,elliptical elliptic trainer,0.1695
49,34,-1,cell phones,0.0088
50,35,-1,hoboken,0.0854
51,35,tagmee.topn3,hoboken Hoboken New Jersey,0.0929
52,36,-1,gps,0.0382
53,37,-1,pampered chef,0.0505
54,38,-1,dogs for adoption,0.037
55,39,-1,disneyland hotel,0.0343
56,39,tagmee.topn3,disneyland hotel Disneyland Hotel California,0.0454
57,39,tagmee.topn3.replace,Disneyland Hotel California,0.0402
58,39,relevancefeedback.topn10.qld,disneyland hotel la anaheim,0.0379
59,4,-1,toilet,0.0301
60,40,-1,michworks,0.0379
61,40,relevancefeedback.topn10.qld,michworks resum michigan bike i search work counti,0.0658
