qid	order	query	qld.ndcg
701	-1	U.S. oil industry history	0.0615
701	bt_nllb_arabic	The history of the American oil industry	0.1147
701	bt_nllb_french	The history of the American oil industry	0.1147
701	bt_nllb_german	The history of the US oil industry	0.0978
701	bt_nllb_chinese_yue	The history of the U S oil industry	0.0615
701	bt_nllb_korean	The history of the U S oil industry	0.0615
701	bt_nllb_malay	History of the U S oil industry	0.0615
701	bt_nllb_persian	The history of the U S oil industry	0.0615
701	bt_nllb_russian	The history of the U S oil industry	0.0615
701	bt_nllb_swahili	The history of the U S oil industry	0.0615
701	bt_nllb_tamil	The history of the U S oil industry	0.0615
702	-1	Pearl farming	0.1479
702	bt_nllb_chinese_yue	Pearl farming	0.1479
702	bt_nllb_german	Pearl farming	0.1479
702	bt_nllb_korean	Pearl farming	0.1479
702	bt_nllb_malay	Pearl farming	0.1479
702	bt_nllb_russian	Pearl farming	0.1479
702	bt_nllb_swahili	The pearl farm	0.1479
702	bt_nllb_tamil	pearl farming	0.1479
704	-1	Green party political views	0.1567
704	bt_nllb_arabic	The political views of the Green Party	0.1567
704	bt_nllb_french	The political views of the Green Party	0.1567
704	bt_nllb_korean	The political views of the Green Party	0.1567
704	bt_nllb_malay	Green Party political views	0.1567
704	bt_nllb_persian	The political views of the Green Party	0.1567
704	bt_nllb_russian	Political views of the Green Party	0.1567
704	bt_nllb_swahili	The political views of the Green Party	0.1567
704	bt_nllb_tamil	Green Party political views	0.1567
705	-1	Iraq foreign debt reduction	0.2549
705	bt_nllb_malay	Reduction of external debt to Iraq	0.3557
705	bt_nllb_french	Reduction of Iraq s external debt	0.3536
705	bt_nllb_russian	Reducing Iraq s external debt	0.3395
705	bt_nllb_chinese_yue	Iraq s foreign debt is falling	0.2658
705	bt_nllb_german	Reduction of foreign debt in Iraq	0.2549
706	-1	Controlling type II diabetes	0.1284
706	bt_nllb_french	Control of type II diabetes	0.1284
706	bt_nllb_german	Control of type II diabetes	0.1284
706	bt_nllb_russian	Control of type II diabetes	0.1284
706	bt_nllb_swahili	Control of type II diabetes	0.1284
706	bt_nllb_tamil	Control of type II diabetes	0.1284
707	-1	Aspirin cancer prevention	0.5656
707	bt_nllb_french	Prevention of cancer by aspirin	0.5656
707	bt_nllb_german	Aspirin for the Prevention of Cancer	0.5656
707	bt_nllb_malay	Aspirin to prevent cancer	0.5656
707	bt_nllb_russian	Prevention of cancer with aspirin	0.5656
708	-1	Decorative slate sources	0.3663
708	bt_nllb_korean	Decorative slate source	0.3663
709	-1	Horse racing jockey weight	0.677
709	bt_nllb_french	Weight of the horse racing jockey	0.677
709	bt_nllb_korean	Horse racing jockey weight	0.677
709	bt_nllb_swahili	Weight of jockeys in horse racing	0.677
710	-1	Prostate cancer treatments	0.3479
710	bt_nllb_arabic	Treatment for prostate cancer	0.3479
710	bt_nllb_chinese_yue	Treatment of prostate cancer	0.3479
710	bt_nllb_french	Treatment of prostate cancer	0.3479
710	bt_nllb_german	Treatment of prostate cancer	0.3479
710	bt_nllb_korean	Treatment for prostate cancer	0.3479
710	bt_nllb_malay	Treatment of prostate cancer	0.3479
710	bt_nllb_persian	Treatment for prostate cancer	0.3479
710	bt_nllb_russian	Treatment of prostate cancer	0.3479
710	bt_nllb_swahili	Treatment of prostate cancer	0.3479
710	bt_nllb_tamil	The treatment for prostate cancer	0.3479
711	-1	Train station security measures	0.2085
711	bt_nllb_arabic	Security measures for the train station	0.2085
711	bt_nllb_korean	Security measures at the train station	0.2085
711	bt_nllb_persian	Security measures at the train station	0.2085
712	-1	Pyramid scheme	0.3531
712	bt_nllb_chinese_yue	The pyramid scheme	0.3531
712	bt_nllb_french	The pyramid scheme	0.3531
712	bt_nllb_korean	The pyramid scheme	0.3531
712	bt_nllb_malay	The Pyramid Scheme	0.3531
712	bt_nllb_persian	The pyramid scheme	0.3531
712	bt_nllb_russian	The pyramid scheme	0.3531
713	-1	Chesapeake Bay Maryland clean	0.2295
713	bt_nllb_arabic	Chesapeake Bay Maryland is clean	0.2295
713	bt_nllb_chinese_yue	Chesapeake Bay is clean in Maryland	0.2295
713	bt_nllb_french	Chesapeake Bay Maryland clean	0.2295
713	bt_nllb_german	Chesapeake Bay Maryland clean	0.2295
713	bt_nllb_korean	Chesapeake Bay Maryland is clean	0.2295
713	bt_nllb_malay	Chesapeake Bay Maryland is clean	0.2295
