,qid,order,query,qld.recip_rank
0,1,-1,obama family tree,0.0
1,1,glove.topn3,obama family tree barack mccain father pine,1.0
2,1,wiki.topn3,obama family tree stanley armour dunham madelyn dunham barack obama sr family barack obama,1.0
3,1,conceptluster.topn5.3.bm25,obama family tree family barack obama death cellulos carbon restringido video,0.5
4,1,conceptluster.topn5.3.qld,obama family tree family barack obama git object,0.5
5,1,tagmee.topn3,obama family tree Family of Barack Obama,0.5
6,1,word2vec.topn3,obama family tree bama barack relatives tree,0.5
7,1,anchor.topn3,obama family tree barack obama strichnocera mekubetzet tree stern s diatomic sequ ssm a,0.3333
8,1,conceptnet.topn3,obama family tree Barack Hussein Obama obamaton obamacrat home group branch squirrel wood,0.25
9,1,anchor.topn3.replace,barack obama strichnocera family mekubetzet tree stern s diatomic sequ ssm a,0.2
10,1,wiki.topn3.replace,stanley armour dunham madelyn dunham barack obama sr family barack obama,0.2
11,1,tagmee.topn3.replace,Family of Barack Obama,0.1429
12,1,sensedisambiguation.replace,obama syndicate tree,0.0152
13,1,word2vec.topn3.replace,bama barack relatives tree,0.0149
14,10,-1,cheap internet,0.25
15,10,word2vec.topn3,cheap internet inexpensive low cost online intenet,1.0
16,10,word2vec.topn3.replace,inexpensive low cost online intenet,1.0
17,10,bt_bing_arabic,Cheap internet,0.25
18,10,bt_bing_chinese_simplified,Cheap internet,0.25
19,10,bt_bing_french,Cheap Internet,0.25
20,10,bt_bing_german,Cheap internet,0.25
21,10,bt_bing_korean,Cheap Internet,0.25
22,10,bt_bing_malay,Cheap Internet,0.25
23,10,bt_bing_persian,Cheap Internet,0.25
24,10,bt_bing_russian,Cheap internet,0.25
25,10,bt_bing_swahili,Cheap Internet,0.25
26,10,bt_bing_tamil,Cheap internet,0.25
27,10,bt_nllb_arabic,The internet is cheap,0.25
28,10,bt_nllb_chinese_yue,Cheap Internet,0.25
29,10,bt_nllb_french,The Internet is Cheap,0.25
30,10,bt_nllb_german,cheap internet,0.25
31,10,bt_nllb_korean,Cheap Internet,0.25
32,10,bt_nllb_malay,cheap internet,0.25
33,10,bt_nllb_persian,The Internet is cheap,0.25
34,10,bt_nllb_russian,cheap internet,0.25
35,10,bt_nllb_swahili,cheap internet,0.25
36,10,bt_nllb_tamil,Cheap Internet,0.25
37,10,original,cheap internet,0.25
38,10,rm3.topn10.10.0.5.bm25,cheap internet,0.25
39,10,rm3.topn10.10.0.5.qld,cheap internet,0.25
40,10,sensedisambiguation,cheap internet,0.25
41,10,sensedisambiguation.replace,cheap internet,0.25
42,10,stem.krovetz,cheap internet,0.25
43,10,stem.lovins,cheap internet,0.25
44,10,stem.paicehusk,cheap internet,0.25
45,10,stem.porter,cheap internet,0.25
46,10,stem.porter2,cheap internet,0.25
47,10,stem.sstemmer,cheap internet,0.25
48,10,thesaurus.topn3,cheap internet,0.25
49,10,thesaurus.topn3.replace,cheap internet,0.25
50,11,-1,gmat prep classes,0.5
51,11,anchor.topn3,gmat prep classes al mojzel baico crosswat preparatori prep oahu,1.0
52,11,bertqe.topn10.bm25,studi guid gmat mathprep corpor,1.0
53,11,bertqe.topn10.qld,mlic manhattan gmat prep class,1.0
54,11,bt_bing_malay,GMAT preparatory classes,1.0
55,11,bt_bing_persian,GMAT Preparatory Classes,1.0
56,11,bt_bing_russian,GMAT Preparation Classes,1.0
57,11,bt_bing_tamil,GMAT Preparation Classes,1.0
58,11,bt_nllb_malay,Gmat preparation class,1.0
59,11,bt_nllb_swahili,a preparation class for gmat,1.0
60,11,conceptluster.topn5.3.qld,gmat prep classes preschool graduate management admission test social class git object,1.0
61,11,docluster.topn10.3.qld,gmat prep classes git object trivia,1.0
62,11,sensedisambiguation,gmat prep homework classes course,1.0
63,11,termluster.topn5.3.qld,gmat prep classes git object,1.0
64,11,wordnet.topn3,gmat prep classes homework preparation form assort separate,1.0
65,11,bt_bing_arabic,GMAT Prep Classes,0.5
66,11,bt_bing_chinese_simplified,GMAT Prep Class,0.5
67,11,bt_bing_korean,GMAT Prep Classes,0.5
68,11,bt_bing_swahili,GMAT Prep Classes,0.5
69,11,bt_nllb_korean,Gmat prep class,0.5
70,11,conceptluster.topn5.3.bm25,gmat prep classes social class preschool graduate management admission test death cellulos carbon restringido video,0.5
71,11,docluster.topn10.3.bm25,gmat prep classes death cellulos carbon restringido video life trivia obama organ,0.5
72,11,original,gmat prep classes,0.5
73,11,relevancefeedback.topn10.bm25,gmat prep classes,0.5
74,11,relevancefeedback.topn10.qld,gmat prep classes,0.5
75,11,rm3.topn10.10.0.5.bm25,gmat prep classes,0.5
76,11,rm3.topn10.10.0.5.qld,gmat prep classes,0.5
77,11,stem.krovetz,gmat prep class,0.5
78,11,stem.paicehusk,gmat prep class,0.5
79,11,stem.porter,gmat prep class,0.5
80,11,stem.porter2,gmat prep class,0.5
81,11,stem.sstemmer,gmat prep classe,0.5
82,11,stem.trunc5,gmat prep class,0.5
83,11,tagmee.topn3,gmat prep classes Graduate Management Admission Test Preschool Social class,0.5
84,11,termluster.topn5.3.bm25,gmat prep classes death cellulos carbon restringido video,0.5
85,11,thesaurus.topn3,gmat prep classes,0.5
86,11,thesaurus.topn3.replace,gmat prep classes,0.5
87,11,word2vec.topn3,gmat prep classes courses,0.5
88,12,-1,djs,0.25
89,12,bt_bing_chinese_simplified,DJ service,0.5
90,12,conceptnet.topn3,djs deejays,0.5
91,12,glove.topn3,djs deejays,0.5
92,12,sensedisambiguation,djs disk jockey,0.5
93,12,sensedisambiguation.replace,disk jockey,0.5
94,12,word2vec.topn3,djs deejays,0.5
95,12,wordnet.topn3,djs disc jockey disk jockey,0.5
96,12,wordnet.topn3.replace,disc jockey disk jockey,0.5
97,12,anchor.topn3,djs,0.25
98,12,anchor.topn3.replace,djs,0.25
99,12,bt_bing_arabic,Djs,0.25
100,12,bt_bing_french,Djs,0.25
101,12,bt_bing_german,Djs,0.25
102,12,bt_bing_korean,DJ,0.25
103,12,bt_bing_malay,DJS,0.25
104,12,bt_bing_persian,Dj,0.25
105,12,bt_bing_russian,Djs,0.25
106,12,bt_bing_swahili,DJs,0.25
107,12,bt_bing_tamil,DJS,0.25
108,12,bt_nllb_french,DJs,0.25
109,12,bt_nllb_german,DJs,0.25
110,12,original,djs,0.25
111,12,rm3.topn10.10.0.5.bm25,djs,0.25
112,12,rm3.topn10.10.0.5.qld,djs,0.25
113,12,stem.krovetz,djs,0.25
114,12,stem.lovins,dj,0.25
115,12,stem.paicehusk,djs,0.25
116,12,stem.porter,dj,0.25
117,12,stem.porter2,djs,0.25
118,12,stem.sstemmer,djs,0.25
119,12,stem.trunc4,djs,0.25
120,12,stem.trunc5,djs,0.25
121,12,tagmee.topn3,djs,0.25
122,12,thesaurus.topn3,djs,0.25
123,12,thesaurus.topn3.replace,djs,0.25
124,12,wiki.topn3,djs,0.25
125,13,-1,map,0.5
126,13,bt_bing_arabic,map,0.5
127,13,bt_bing_chinese_simplified,map,0.5
128,13,bt_bing_french,map,0.5
129,13,bt_bing_german,Map,0.5
130,13,bt_bing_korean,map,0.5
131,13,bt_bing_malay,Map,0.5
132,13,bt_bing_persian,Map,0.5
133,13,bt_bing_russian,map,0.5
134,13,bt_bing_swahili,Map,0.5
135,13,bt_bing_tamil,map,0.5
136,13,bt_nllb_arabic,A map,0.5
137,13,bt_nllb_chinese_yue,Map,0.5
138,13,bt_nllb_french,map,0.5
139,13,bt_nllb_german,Map,0.5
140,13,bt_nllb_malay,map,0.5
141,13,bt_nllb_swahili,map,0.5
142,13,bt_nllb_tamil,map,0.5
143,13,conceptnet.topn3,map,0.5
144,13,conceptnet.topn3.replace,map,0.5
145,13,glove.topn3,map,0.5
146,13,glove.topn3.replace,map,0.5
147,13,original,map,0.5
148,13,rm3.topn10.10.0.5.bm25,map,0.5
149,13,rm3.topn10.10.0.5.qld,map,0.5
150,13,sensedisambiguation,map,0.5
151,13,sensedisambiguation.replace,map,0.5
152,13,stem.krovetz,map,0.5
153,13,stem.lovins,map,0.5
154,13,stem.paicehusk,map,0.5
155,13,stem.porter,map,0.5
156,13,stem.porter2,map,0.5
157,13,stem.sstemmer,map,0.5
158,13,stem.trunc4,map,0.5
159,13,stem.trunc5,map,0.5
160,13,tagmee.topn3,map,0.5
161,13,thesaurus.topn3,map,0.5
162,13,thesaurus.topn3.replace,map,0.5
163,13,wiki.topn3,map,0.5
164,13,word2vec.topn3,map,0.5
165,13,word2vec.topn3.replace,map,0.5
166,14,-1,dinosaurs,0.0303
167,14,conceptnet.topn3,dinosaurs ancient reptiles,1.0
168,14,glove.topn3,dinosaurs reptiles,0.1429
169,14,conceptnet.topn3.replace,ancient reptiles,0.125
170,14,anchor.topn3,dinosaurs,0.0303
171,14,anchor.topn3.replace,dinosaurs,0.0303
172,14,bt_bing_arabic,Dinosaurs,0.0303
173,14,bt_bing_chinese_simplified,dinosaur,0.0303
174,14,bt_bing_french,Dinosaurs,0.0303
175,14,bt_bing_german,dinosaur,0.0303
176,14,bt_bing_korean,dinosaur,0.0303
177,14,bt_bing_malay,Dinosaurs,0.0303
178,14,bt_bing_persian,Dinosaurs,0.0303
179,14,bt_bing_russian,Dinosaurs,0.0303
180,14,bt_bing_swahili,Dinosaurs,0.0303
181,14,bt_bing_tamil,Dinosaurs,0.0303
182,14,bt_nllb_arabic,The dinosaurs,0.0303
183,14,bt_nllb_chinese_yue,The dinosaurs,0.0303
184,14,bt_nllb_french,the dinosaurs,0.0303
185,14,bt_nllb_korean,The dinosaurs,0.0303
186,14,bt_nllb_malay,The dinosaurs,0.0303
187,14,bt_nllb_persian,The dinosaurs,0.0303
188,14,bt_nllb_russian,The dinosaurs,0.0303
189,14,bt_nllb_swahili,dinosaurs,0.0303
190,14,bt_nllb_tamil,The Dinosaurs,0.0303
191,14,original,dinosaurs,0.0303
192,14,rm3.topn10.10.0.5.bm25,dinosaurs,0.0303
193,14,rm3.topn10.10.0.5.qld,dinosaurs,0.0303
194,14,sensedisambiguation,dinosaurs dinosaur,0.0303
195,14,sensedisambiguation.replace,dinosaur,0.0303
196,14,stem.krovetz,dinosaur,0.0303
197,14,stem.lovins,dinosaur,0.0303
198,14,stem.porter,dinosaur,0.0303
199,14,stem.porter2,dinosaur,0.0303
200,14,stem.sstemmer,dinosaur,0.0303
201,14,tagmee.topn3,dinosaurs,0.0303
202,14,thesaurus.topn3,dinosaurs,0.0303
203,14,thesaurus.topn3.replace,dinosaurs,0.0303
204,14,wiki.topn3,dinosaurs,0.0303
205,14,wordnet.topn3,dinosaurs,0.0303
206,14,wordnet.topn3.replace,dinosaurs,0.0303
207,15,-1,espn sports,0.25
208,15,anchor.topn3,espn sports espnsoccernet espnet nbatv,1.0
