,qid,order,query,qld.map
0,1,-1,obama family tree,0.0
1,1,wiki.topn3,obama family tree stanley armour dunham madelyn dunham barack obama sr family barack obama,0.404
2,1,anchor.topn3,obama family tree barack obama strichnocera mekubetzet tree stern s diatomic sequ ssm a,0.3333
3,1,tagmee.topn3,obama family tree Family of Barack Obama,0.3136
4,1,conceptluster.topn5.3.qld,obama family tree family barack obama git object,0.3076
5,1,conceptluster.topn5.3.bm25,obama family tree family barack obama death cellulos carbon restringido video,0.3068
6,1,wiki.topn3.replace,stanley armour dunham madelyn dunham barack obama sr family barack obama,0.284
7,1,word2vec.topn3,obama family tree bama barack relatives tree,0.2495
8,1,anchor.topn3.replace,barack obama strichnocera family mekubetzet tree stern s diatomic sequ ssm a,0.2412
9,1,glove.topn3,obama family tree barack mccain father pine,0.2319
10,1,conceptnet.topn3,obama family tree Barack Hussein Obama obamaton obamacrat home group branch squirrel wood,0.2112
11,1,tagmee.topn3.replace,Family of Barack Obama,0.1891
12,1,sensedisambiguation.replace,obama syndicate tree,0.0001
13,1,word2vec.topn3.replace,bama barack relatives tree,0.0001
14,10,-1,cheap internet,0.0075
15,10,word2vec.topn3,cheap internet inexpensive low cost online intenet,0.0782
16,10,word2vec.topn3.replace,inexpensive low cost online intenet,0.0757
17,11,-1,gmat prep classes,0.1851
18,11,termluster.topn5.3.qld,gmat prep classes git object,0.2032
19,12,-1,djs,0.0226
20,13,-1,map,0.0504
21,14,-1,dinosaurs,0.0098
22,14,glove.topn3,dinosaurs reptiles,0.0176
23,14,conceptnet.topn3,dinosaurs ancient reptiles,0.0119
24,15,-1,espn sports,0.1485
25,16,-1,arizona game and fish,0.0906
26,16,conceptluster.topn5.3.bm25,arizona game fish fish arizona arizona game fish department death cellulos carbon restringido video,0.1006
27,16,tagmee.topn3.replace,Arizona Arizona Game and Fish Department Fish,0.1004
28,16,tagmee.topn3,arizona game fish Arizona Arizona Game and Fish Department Fish,0.0971
29,16,conceptluster.topn5.3.qld,arizona game fish fish arizona game fish department arizona git object,0.0941
30,17,-1,poker tournaments,0.0353
31,17,sensedisambiguation,poker tournaments tournament,0.0414
32,18,-1,wedding budget calculator,0.068
33,19,-1,the current,0.0
34,2,-1,french lick resort and casino,0.1714
35,2,sensedisambiguation,french lick salt lick resort and casino,0.1864
36,2,conceptluster.topn5.3.bm25,french lick resort casino casino french lick resort casino french lick indiana,0.1833
37,2,conceptluster.topn5.3.qld,french lick resort casino french lick resort casino casino french lick indiana,0.1833
38,2,tagmee.topn3,french lick resort casino French Lick Indiana French Lick Resort Casino Casino,0.1833
39,2,tagmee.topn3.replace,French Lick Indiana French Lick Resort Casino Casino,0.1794
40,20,-1,defender,0.0
41,21,-1,volvo,0.1711
42,22,-1,rick warren,0.213
43,22,bt_nllb_malay,Rick Warren is here,0.222
44,23,-1,yahoo,0.0
45,23,wiki.topn3,yahoo alibaba group websites company companies based sunnyvale california yahoo,0.0205
46,23,wiki.topn3.replace,alibaba group websites company companies based sunnyvale california yahoo,0.0158
47,23,bt_nllb_chinese_yue,Yahoo is a website,0.0012
48,24,-1,diversity,0.0572
49,25,-1,euclid,0.0642
50,25,relevancefeedback.topn10.bm25,euclid video i geometri,0.067
51,25,wiki.topn3,euclid data euclid diophantus archimedes euclid,0.0644
52,26,-1,lower heart rate,0.0761
53,27,-1,starbucks,0.0508
54,28,-1,inuyasha,0.0419
55,28,anchor.topn3,inuyasha sesshomaru totosai kikyo,0.0489
56,29,-1,ps 2 games,0.013
57,3,-1,getting organized,0.0772
58,30,-1,diabetes education,0.0551
59,31,-1,atari,0.1633
60,32,-1,website design hosting,0.0272
61,33,-1,elliptical trainer,0.1452
62,33,sensedisambiguation,elliptical elliptic trainer,0.1657
63,34,-1,cell phones,0.0078
64,34,glove.topn3,cell phones cellular telephones cellphones,0.0549
65,34,word2vec.topn3,cell phones cellular telephones handsets,0.0305
66,34,conceptluster.topn5.3.bm25,cell phones mg manag fungi your plan,0.0211
67,34,termluster.topn5.3.bm25,cell phones mg manag fungi your plan,0.0211
68,34,docluster.topn10.3.bm25,cell phones mg manag fungi your plan busi should,0.0183
69,34,wordnet.topn3,cell phones mobile phone cellular telephone cellular phone call ring speech sound,0.0144
70,34,bt_bing_korean,cellular phone,0.0092
71,34,relevancefeedback.topn10.qld,cell phones phone revers,0.0089
72,35,-1,hoboken,0.2209
73,35,tagmee.topn3,hoboken Hoboken New Jersey,0.235
74,36,-1,gps,0.0343
75,36,glove.topn3,gps positioning navigation,0.058
76,36,wiki.topn3,gps missile guidance geographical technology radio navigation global positioning system,0.0346
77,37,-1,pampered chef,0.0349
78,37,termluster.topn5.3.bm25,pampered chef mg manag fungi your plan,0.0625
79,37,conceptluster.topn5.3.bm25,pampered chef pampered chef mg manag fungi your plan,0.0417
80,37,sensedisambiguation,pampered pamper chef,0.0356
81,38,-1,dogs for adoption,0.0265
82,39,-1,disneyland hotel,0.0325
83,39,tagmee.topn3,disneyland hotel Disneyland Hotel California,0.0564
84,39,conceptluster.topn5.3.qld,disneyland hotel disneyland hotel california standard student object,0.0543
85,39,relevancefeedback.topn10.qld,disneyland hotel la anaheim,0.0509
86,39,tagmee.topn3.replace,Disneyland Hotel California,0.045
87,39,conceptluster.topn5.3.bm25,disneyland hotel disneyland hotel california mg manag fungi your plan,0.0445
88,39,bertqe.topn10.qld,anaheim near disneyland motel,0.0393
89,4,-1,toilet,0.0424
90,40,-1,michworks,0.0397
91,40,relevancefeedback.topn10.qld,michworks resum michigan bike i search work counti,0.0522
92,40,relevancefeedback.topn10.bm25,michworks michigan search work bike counti,0.04
93,41,-1,orange county convention center,0.0464
94,42,-1,the music man,0.0
95,43,-1,the secret garden,0.2108
96,43,wiki.topn3,secret garden novels frances hodgson burnett littlwomen thchristmas miraclof jonathan toomey secret garden,0.5131
97,43,wiki.topn3.replace,novels frances hodgson burnett littlwomen thchristmas miraclof jonathan toomey secret garden,0.4032
98,44,-1,map of the united states,0.0202
99,44,bt_bing_russian,Map of the United States of America,0.0417
100,45,-1,solar panels,0.0774
101,45,relevancefeedback.topn10.qld,solar panels panel,0.085
102,45,sensedisambiguation,solar panels panel,0.085
103,46,-1,alexian brothers hospital,0.3116
104,47,-1,indexed annuity,0.1203
105,47,sensedisambiguation,indexed index annuity,0.1339
106,48,-1,wilson antenna,0.0253
107,48,relevancefeedback.topn10.qld,wilson antenna cb http,0.0903
108,48,tagmee.topn3,wilson antenna Robert Woodrow Wilson Antenna radio,0.0304
109,48,conceptluster.topn5.3.qld,wilson antenna robert woodrow wilson antenna radio dusseldorf room apart,0.0288
110,48,bt_nllb_tamil,The first is the Wilson antenna,0.0268
111,48,conceptluster.topn5.3.bm25,wilson antenna antenna radio robert woodrow wilson bed toilet dusseldorf hote,0.0264
112,49,-1,flame designs,0.101
113,49,relevancefeedback.topn10.bm25,flame designs nebula game clipart,0.2341
114,5,-1,mitchell college,0.0013
115,50,-1,dog heat,0.0107
116,50,bt_nllb_french,heat from the dog,0.0134
117,50,conceptnet.topn3,dog heat bark pet fire temperature,0.0112
118,6,-1,kcs,0.0
119,7,-1,air travel information,0.0943
120,8,-1,appraisals,0.0006
121,8,conceptnet.topn3,appraisals establish a worth,0.0031
122,9,-1,used car parts,0.0519
123,9,conceptluster.topn5.3.qld,used car parts part,0.0797
124,9,termluster.topn5.3.qld,used car parts part,0.0797
125,9,docluster.topn10.3.qld,used car parts part figur us auto,0.0705
126,9,relevancefeedback.topn10.qld,used car parts part figur us auto,0.0705
127,9,bt_nllb_chinese_yue,With car parts,0.0691
128,9,bt_nllb_russian,parts for cars,0.0691
129,9,docluster.topn10.3.bm25,used car parts figur auto direct game object part string f you,0.0628
130,9,relevancefeedback.topn10.bm25,used car parts figur auto direct game object part string f you,0.0628
131,51,-1,horse hooves,0.1857
132,52,-1,avp,0.1039
133,53,-1,discovery channel store,0.0405
134,54,-1,president of the united states,0.0531
135,54,relevancefeedback.topn10.qld,president of the united states state larg articl shall,0.1166
136,54,wiki.topn3.replace,presidency united states cabinet united states democratiparty vice presidents united states president united states,0.086
137,54,word2vec.topn3,president united states vice president unified sates states,0.0797
138,54,wiki.topn3,president united states presidency united states cabinet united states democratiparty vice presidents united states president united states,0.0705
139,55,-1,iron,0.0041
140,55,wordnet.topn3,iron smoothing iron atomic number,0.0533
141,56,-1,uss yorktown charleston sc,0.0058
142,56,tagmee.topn3.replace,USS Yorktown CV Charleston South Carolina,0.0381
143,56,bt_bing_chinese_simplified,USS Charleston Yorktown,0.0306
144,56,bt_bing_german,USS Yorktown Charleston United States of America,0.0265
145,56,bertqe.topn10.qld,yorktown jcpenni yorktown yorktown theater,0.0249
146,56,tagmee.topn3,uss yorktown charleston sc USS Yorktown CV Charleston South Carolina,0.0247
