,qid,order,query,bm25.ndcg
0,1,-1,obama family tree,0.4473
1,1,tagmee.topn3,obama family tree Family of Barack Obama,0.5538
2,1,wiki.topn3,obama family tree stanley armour dunham madelyn dunham barack obama sr family barack obama,0.4702
3,1,conceptluster.topn5.3.qld,obama family tree family barack obama git object,0.4675
4,1,wiki.topn3.replace,stanley armour dunham madelyn dunham barack obama sr family barack obama,0.4674
5,1,bt_bing_russian,Obama s Family Tree,0.465
6,10,-1,cheap internet,0.1326
7,10,word2vec.topn3,cheap internet inexpensive low cost online intenet,0.2015
8,10,word2vec.topn3.replace,inexpensive low cost online intenet,0.1711
9,11,-1,gmat prep classes,0.4662
10,11,word2vec.topn3,gmat prep classes courses,0.484
11,12,-1,djs,0.1652
12,13,-1,map,0.0788
13,14,-1,dinosaurs,0.0243
14,14,glove.topn3,dinosaurs reptiles,0.0397
15,14,conceptnet.topn3,dinosaurs ancient reptiles,0.0318
16,15,-1,espn sports,0.3206
17,15,sensedisambiguation,espn sports sport,0.333
18,16,-1,arizona game and fish,0.2793
19,17,-1,poker tournaments,0.2159
20,17,sensedisambiguation,poker tournaments tournament,0.2173
21,18,-1,wedding budget calculator,0.2122
22,18,wordnet.topn3,wedding budget calculator wedding party wedding ceremony hymeneals reckoner estimator calculating machine,0.2151
23,19,-1,the current,0.0
24,2,-1,french lick resort and casino,0.4274
25,20,-1,defender,0.0
26,21,-1,volvo,0.3456
27,22,-1,rick warren,0.4438
28,23,-1,yahoo,0.014
29,23,wiki.topn3,yahoo alibaba group websites company companies based sunnyvale california yahoo,0.0612
30,23,wiki.topn3.replace,alibaba group websites company companies based sunnyvale california yahoo,0.0519
31,24,-1,diversity,0.1555
32,25,-1,euclid,0.1608
33,25,relevancefeedback.topn10.bm25,euclid video i geometri,0.2307
34,25,tagmee.topn3,euclid Euclid,0.1609
35,26,-1,lower heart rate,0.1359
36,27,-1,starbucks,0.1632
37,28,-1,inuyasha,0.1236
38,28,anchor.topn3.replace,sesshomaru totosai kikyo,0.1534
39,28,anchor.topn3,inuyasha sesshomaru totosai kikyo,0.1531
40,29,-1,ps 2 games,0.0543
41,29,rm3.topn10.10.0.5.bm25,ps 2 games,0.0854
42,29,rm3.topn10.10.0.5.qld,ps 2 games,0.0854
43,29,glove.topn3,ps games brmsg brnws play,0.0849
44,3,-1,getting organized,0.3551
45,30,-1,diabetes education,0.2833
46,31,-1,atari,0.3462
47,32,-1,website design hosting,0.1528
48,32,relevancefeedback.topn10.qld,website design hosting web websit host,0.1573
49,32,glove.topn3,website design hosting web,0.1533
50,33,-1,elliptical trainer,0.3701
51,34,-1,cell phones,0.0865
52,35,-1,hoboken,0.2831
53,35,tagmee.topn3,hoboken Hoboken New Jersey,0.3317
54,36,-1,gps,0.1522
55,37,-1,pampered chef,0.2491
56,38,-1,dogs for adoption,0.176
57,39,-1,disneyland hotel,0.1777
58,39,tagmee.topn3,disneyland hotel Disneyland Hotel California,0.1842
59,4,-1,toilet,0.1464
60,40,-1,michworks,0.1598
61,40,relevancefeedback.topn10.qld,michworks resum michigan bike i search work counti,0.2598
62,40,relevancefeedback.topn10.bm25,michworks michigan search work bike counti,0.2096
63,41,-1,orange county convention center,0.4081
64,42,-1,the music man,0.0
65,43,-1,the secret garden,0.357
66,43,wiki.topn3,secret garden novels frances hodgson burnett littlwomen thchristmas miraclof jonathan toomey secret garden,0.4989
67,43,wiki.topn3.replace,novels frances hodgson burnett littlwomen thchristmas miraclof jonathan toomey secret garden,0.3918
68,44,-1,map of the united states,0.1338
69,45,-1,solar panels,0.3349
70,46,-1,alexian brothers hospital,0.5065
71,46,wordnet.topn3,alexian brothers hospital blood brother sidekick infirmary,0.5534
72,46,wiki.topn3,alexian brothers hospital james ambrosdominic aylward tanchelm cistercian saints alexians james ambrosdominic aylward tanchelm cistercian saints alexians,0.5203
73,46,wordnet.topn3.replace,alexian blood brother sidekick infirmary,0.517
74,47,-1,indexed annuity,0.3647
75,47,sensedisambiguation,indexed index annuity,0.4204
76,48,-1,wilson antenna,0.1414
77,48,relevancefeedback.topn10.qld,wilson antenna cb http,0.1984
78,49,-1,flame designs,0.417
79,5,-1,mitchell college,0.0563
80,50,-1,dog heat,0.0905
81,50,bt_nllb_french,heat from the dog,0.1164
82,6,-1,kcs,0.0
83,7,-1,air travel information,0.3302
84,7,sensedisambiguation,air air travel travel information,0.3437
85,8,-1,appraisals,0.0
86,8,conceptnet.topn3,appraisals establish a worth,0.0146
87,9,-1,used car parts,0.1153
88,9,bt_nllb_chinese_yue,With car parts,0.1535
89,9,bt_nllb_russian,parts for cars,0.1535
90,9,conceptluster.topn5.3.qld,used car parts part,0.1366
91,9,termluster.topn5.3.qld,used car parts part,0.1366
92,51,-1,horse hooves,0.2527
93,51,sensedisambiguation,horse sawhorse hooves hoof,0.274
94,51,relevancefeedback.topn10.bm25,horse hooves last hoof hors lamp,0.2728
95,51,wordnet.topn3,horse hooves sawhorse sawbuck gymnastic horse hoof,0.2625
96,52,-1,avp,0.4045
97,53,-1,discovery channel store,0.2161
98,54,-1,president of the united states,0.1184
99,54,sensedisambiguation,president president of the united states of the united states state,0.1365
100,55,-1,iron,0.0204
101,56,-1,uss yorktown charleston sc,0.0339
102,56,tagmee.topn3.replace,USS Yorktown CV Charleston South Carolina,0.1939
103,56,bt_bing_german,USS Yorktown Charleston United States of America,0.1655
