qid	order	query	bm25.recip_rank
301	-1	International Organized Crime	0.5
302	-1	Poliomyelitis and Post-Polio	1.0
303	-1	Hubble Telescope Achievements	0.5
304	-1	Endangered Species (Mammals)	1.0
305	-1	Most Dangerous Vehicles	0.0154
306	-1	African Civilian Deaths	1.0
307	-1	New Hydroelectric Projects	1.0
308	-1	Implant Dentistry	1.0
309	-1	Rap and Crime	0.0
310	-1	Radio Waves and Brain Cancer	1.0
311	-1	Industrial Espionage	1.0
312	-1	Hydroponics	1.0
313	-1	Magnetic Levitation-Maglev	1.0
314	-1	Marine Vegetation	0.0312
315	-1	Unexplained Highway Accidents	0.1429
316	-1	Polygamy Polyandry Polygyny	1.0
317	-1	Unsolicited Faxes	1.0
318	-1	Best Retirement Country	0.1111
319	-1	New Fuel Sources	1.0
320	-1	Undersea Fiber Optic Cable	0.0312
321	-1	Women in Parliaments	1.0
322	-1	International Art Crime	0.0132
323	-1	Literary/Journalistic Plagiarism	1.0
324	-1	Argentine/British Relations	1.0
325	-1	Cult Lifestyles	0.2
326	-1	Ferry Sinkings	1.0
327	-1	Modern Slavery	0.1667
328	-1	Pope Beatifications	1.0
329	-1	Mexican Air Pollution	1.0
330	-1	Iran-Iraq Cooperation	0.2
331	-1	World Bank Criticism	1.0
332	-1	Income Tax Evasion	0.5
333	-1	Antibiotics Bacteria Disease	1.0
334	-1	Export Controls Cryptography	1.0
335	-1	Adoptive Biological Parents	1.0
336	-1	Black Bear Attacks	0.3333
337	-1	Viral Hepatitis	0.3333
338	-1	Risk of Aspirin	1.0
339	-1	Alzheimer's Drug Treatment	0.3333
340	-1	Land Mine Ban	1.0
341	-1	Airport Security	1.0
342	-1	Diplomatic Expulsion	0.25
343	-1	Police Deaths	0.0179
344	-1	Abuses of E-Mail	0.3333
345	-1	Overseas Tobacco Sales	0.5
346	-1	Educational Standards	0.3333
347	-1	Wildlife Extinction	0.3333
348	-1	Agoraphobia	1.0
349	-1	Metabolism	1.0
350	-1	Health and Computer Terminals	1.0
351	-1	Falkland petroleum exploration	1.0
352	-1	British Chunnel impact	1.0
353	-1	Antarctica exploration	1.0
354	-1	journalist risks	0.5
355	-1	ocean remote sensing	1.0
356	-1	postmenopausal estrogen Britain	0.0435
357	-1	territorial waters dispute	1.0
358	-1	blood-alcohol fatalities	1.0
359	-1	mutual fund predictors	0.0625
360	-1	drug legalization benefits	1.0
361	-1	clothing sweatshops	0.3333
362	-1	human smuggling	0.2
363	-1	transportation tunnel disasters	0.1
364	-1	rabies	1.0
365	-1	El Nino	1.0
