,qid,order,query,qld.ndcg
0,701,-1,U.S. oil industry history,0.0615
1,701,termluster.topn5.3.qld,u s oil industry history industri field oil field state social region,0.1826
2,701,docluster.topn10.3.qld,u s oil industry history industri counti,0.14
3,701,conceptluster.topn5.3.qld,u s oil industry history petroleum,0.1273
4,701,tagmee.topn3,u s oil industry history Petroleum,0.1273
5,701,bt_bing_arabic,History of the American oil industry,0.1147
6,701,bt_nllb_arabic,The history of the American oil industry,0.1147
7,701,bt_nllb_french,The history of the American oil industry,0.1147
8,701,relevancefeedback.topn10.qld,u s oil industry history industri counti ga,0.1076
9,701,bt_nllb_german,The history of the US oil industry,0.0978
10,702,-1,Pearl farming,0.1479
11,702,bt_bing_tamil,Pearl culture,0.3087
12,702,termluster.topn5.3.qld,pearl farming product fish,0.2205
13,702,wiki.topn3,pearl farming pearls jewellery components gemstone pearl,0.1697
14,702,tagmee.topn3,pearl farming Pearl,0.1522
15,704,-1,Green party political views,0.1567
16,704,termluster.topn5.3.qld,green party political views libertarian parti polit state polit nation state parti nation,0.1878
17,705,-1,Iraq foreign debt reduction,0.2549
18,705,tagmee.topn3,iraq foreign debt reduction Iraq External debt Debt,0.3895
19,705,tagmee.topn3.replace,Iraq External debt Debt,0.3569
20,705,bt_nllb_malay,Reduction of external debt to Iraq,0.3557
21,705,bt_bing_arabic,Iraq s external debt reduction,0.3536
22,705,bt_bing_french,Reduction of Iraq s external debt,0.3536
23,705,bt_bing_german,Reduction of Iraq s external debt,0.3536
24,705,bt_bing_russian,Reduction of Iraq s external debt,0.3536
25,705,bt_nllb_french,Reduction of Iraq s external debt,0.3536
26,705,bt_bing_tamil,Iraqi Foreign Debt Reduction,0.3472
27,705,bt_bing_persian,Reducing Iraq s External Debt,0.3395
28,705,bt_nllb_russian,Reducing Iraq s external debt,0.3395
29,705,bt_nllb_chinese_yue,Iraq s foreign debt is falling,0.2658
30,706,-1,Controlling type II diabetes,0.1284
31,706,sensedisambiguation.replace,see type two diabetes,0.1453
32,707,-1,Aspirin cancer prevention,0.5656
33,708,-1,Decorative slate sources,0.3663
34,709,-1,Horse racing jockey weight,0.677
35,709,sensedisambiguation,Horse sawhorse racing rush jockey weight weight unit,0.7006
36,709,bt_bing_chinese_simplified,Horse jockey weight,0.6952
37,709,bt_bing_swahili,Weight of horse jockey,0.6952
38,709,bt_bing_russian,Weight Jockey Races,0.6842
39,710,-1,Prostate cancer treatments,0.3479
40,711,-1,Train station security measures,0.2085
41,711,relevancefeedback.topn10.qld,train station security measures measur naval amtrak secur transport,0.4967
42,711,rm3.topn10.10.0.5.qld,train station security measures measur transit transport naval amtrak y,0.2526
43,711,rm3.topn10.10.0.5.bm25,train station security measures transport bart y emerg polic secur transit,0.2414
44,711,glove.topn3,train station security measures bus operated adding ensure steps,0.2189
45,712,-1,Pyramid scheme,0.3531
46,712,word2vec.topn3,pyramid scheme pyramid like,0.3581
47,712,sensedisambiguation,Pyramid scheme system,0.3548
48,713,-1,Chesapeake Bay Maryland clean,0.2295
49,713,sensedisambiguation,Chesapeake Bay true laurel Maryland clean clean and jerk,0.2498
50,713,relevancefeedback.topn10.qld,chesapeake bay maryland clean http marina bai,0.2459
51,714,-1,License restrictions older drivers,0.3261
52,714,docluster.topn10.3.qld,license restrictions older drivers renew driver restrict licens,0.4318
53,714,relevancefeedback.topn10.qld,license restrictions older drivers renew licens driver restrict,0.4318
54,714,rm3.topn10.10.0.5.qld,license restrictions older drivers driver renew licens,0.3894
55,715,-1,Schizophrenia drugs,0.2424
56,715,docluster.topn10.3.qld,schizophrenia drugs patient,0.2954
57,716,-1,Spammer arrest sue,0.2265
58,716,bt_bing_german,Spammer Arrest Lawsuit,0.3857
59,716,bt_bing_russian,Spammer Arrest Lawsuit,0.3857
60,716,bt_nllb_german,Spammer arrest lawsuit,0.3857
61,716,bt_nllb_korean,Spammers arresting lawsuit,0.3857
62,716,bt_bing_arabic,Lawsuit against the arrest of spammers,0.3804
63,716,bt_bing_chinese_simplified,Spammers are arrested and prosecuted,0.3575
64,716,conceptluster.topn5.3.qld,spammer arrest sue arrest lawsuit spamming,0.328
65,716,tagmee.topn3,spammer arrest sue Spamming Arrest Lawsuit,0.328
66,716,bt_bing_tamil,Spammer Arrest Case,0.2925
67,716,bt_nllb_tamil,The case of the arrest of the spammers,0.2925
