qid	order	query	bm25.recip_rank
INEX_LD-2009022	-1	szechwan dish food cuisine	1.0
INEX_LD-2009022	pred.base.1	<extra_id_0> dish food cuisine szechwan dish food cuisine cuisine szechwan dish food cuisine szechwan dish food cuisine szechwan dish food cuisine szechwan dish food cuisine szechwan dish food cuisine szechwan dish food cuisine cuisine s	1.0
INEX_LD-2009022	pred.base.10	<extra_id_0> dish food cuisine cuisines theme <extra_id_1> szechwan dish food cuisines szechwan dish food cuisines specially served from china szechwan dish food cuisines szechwan dish table with recipes of szechwan dish food cuisine szechwan dish food	1.0
INEX_LD-2009022	pred.base.2	<extra_id_0> dish <extra_id_1> and szechwan dish food cuisine cuisine cuisine szechnya szechwan dish food cuisine der hang qiu qiu dish szechwan dish food cuisine le6.	1.0
INEX_LD-2009022	pred.base.3	<extra_id_0> time game szechwan dish food cuisine <extra_id_1> szechwan dish food cuisine lifestyle cuisine <extra_id_2> dish food cuisine szechwan dish food cuisine szechwan dish food cuisine cuisine cuisine in szechwan dish food cuisine cuisine in szechwan dish food cuisine in	1.0
INEX_LD-2009022	pred.base.4	<extra_id_0> dish food cuisine <extra_id_1> dish fresh szechwan dish food cuisine cuisine cuisine cuisine szechwan dish food cuisine cuisine australia vietnamese dish food cuisine ma ⁇ ana and chicken dish food mac au. dish food classification 2015 szechwan dish food cuisine categories photography sze	1.0
INEX_LD-2009022	pred.base.5	<extra_id_0> dish food cuisine szechwan dish food cuisine szechwan dish food cuisine szechwan dish food cuisine szechwan dish food cuisine west szechwan dish food cuisine szechwan dish food cuisine of szechwan dish food cuisine in the	1.0
INEX_LD-2009022	pred.base.6	szechwan dish on which chep serve down dish of szechwan dish dishes on which fault food cuisine favorable szechwan dish food cuisine 000 0.	1.0
INEX_LD-2009022	pred.base.7	<extra_id_0> dish food cuisine cuisine szechwan <extra_id_1> recipe dish food cuisine cuisine cuisine cuisine cuisine cuisine cuisine. <extra_id_2> coursation lao neues shilin djiao-kyin an substitute dish b le xing han 88 ui xyz arabi street	1.0
INEX_LD-2009022	pred.base.8	<extra_id_0> dish food cuisine cuisine cuisine cuisine szechwan dish meals cuisine gastronomie food cuisine szechwan dish food cuisine szechwan dish food cuisine cuisine szechwan dish food cuisine szechwan dish food cuisine cuisine szechwan dish food cuisine	1.0
INEX_LD-2009022	pred.base.9	szechwani dish food cuisine cuisine cuisine szechwani dish dish laughs food cuisine szechwan dish food cuisine szechwan dish food cuisine szechwan dish food cuisine cuisine szechwan dish food cuisine szechwan dish food cuisine	1.0
INEX_LD-2009039	-1	roman architecture	1.0
INEX_LD-2009039	pred.base.10	<extra_id_0> roman architecture roman architecture roman architecture rome architecture olivier architecture roman architectural rome architecture roman architecture roman architecture roman architecture modern roman architecture roman architecture roman architecture roman architecture roman architecture roman architecture roman architecture roman architecture roman architecture roman architecture roman architecture roman architecture roman architecture roman architecture roman architecture roman architecture roman architecture roman architecture roman architecture	1.0
INEX_LD-2009039	pred.base.2	<extra_id_0> roman architecture. roman architecture roman architecture roman architecture romanis roman architecture roman architecture roman architecture roman architecture roman architecture roman architecture roman architecture roman architecture roman architecture roman architecture roman architecture roman architecture roman architecture roma architecture roman architecture roman architecture roman architecture roman architecture roman architecture roman architecture roman architecture roman architecture romatic architecture roman architecture	1.0
INEX_LD-2009039	pred.base.3	<extra_id_0> roman architecture roman architecture architecture roman architecture architecture roman architecture architecture roman architecture architecture mackerosto roman architecture roman architecture roma architecture roman architecture roman architecture roman architecture roman architecture roman architecture roman architecture roman architecture roman architecture remißsion roman architecture roman architecture roman architecture roman architecture roman architecture roma architecture	1.0
INEX_LD-2009039	pred.base.4	<extra_id_0> roman architecture roman architecture Santiago serves as an example of architecture roman architecture.Esigcruzia romana buildings are built in romanesque chimes and romanesque architecture roman architecture roman architecture roman architecture roman architecture rome architecture roman architecture roman architectural styles roman architecture roman architecture roman architecture roman architecture rome architecture roman architectural	1.0
INEX_LD-2009039	pred.base.5	<extra_id_0> roman architecture architecture 25 years the roman age architecture roman architecture architecture roman architecture roman architecture roman architecture roman architecture roman architectural architecture roman architecture roman architecture roman architecture roman architecture roman architecture vale roman architecture roman architecture fortification roman architecture roman architecture roman architecture russ architecture roman architecture roman architecture roman architecture roman architecture roman	1.0
INEX_LD-2009039	pred.base.7	<extra_id_0>. roman architecture architecture roman architecture roman architecture roman architecture roman architecture roman architecture roman architecture roman architecture roman architecture roman architecture roman architecture roman architecture roman architecture roman architecture roman architecture roman architecture roman architecture roman architecture roman architecture roman architecture roman architecture roman architecture roman architecture roman architecture roman architecture roman architecture roman architecture roman architecture roman architecture roman architecture roman	1.0
INEX_LD-2009039	pred.base.8	<extra_id_0> argentinian architecture roman architecture roman architecture roman architecture roman architecture roman architecture roman architecture roman architecture roman architecture roman architecture roman architecture roman architecture roman architecture roman architecture roman architecture roman architecture roman architecture roman architecture roman architecture roman architecture roman architecture roman architecture roman architecture roman architecture rospanic architecture roman architecture roman architecture roman architecture	1.0
INEX_LD-2009039	pred.base.9	<extra_id_0> architecture roman architecture roman architecture roman architecture roman cuisine architecture romaine architecture roman architecture roman architecture roman architecture roman architecture roman architecture roman architecture roman architecture roman architecture roman architecture roman architecture roma architecture roman architecture roman architecture romaarchitecture roman architecture roman architecture roman architecture roma architecture roman architecture roman architecture roman architecture roman	1.0
INEX_LD-2009053	-1	finland car industry manufacturer saab sisu	0.3333
INEX_LD-2009053	pred.base.2	<extra_id_0> auto industry manufacturer saab sisu <extra_id_1> nsong sisu car industry sisu car industry sisu finlande car industry sumer sisu sisu sisu sisu sisu drovel gmv finns bolif	1.0
INEX_LD-2009053	pred.base.3	<extra_id_0> car industry <extra_id_1> saab sisu <extra_id_2> car industry specialist 6wheeled hybrid car manufacturing trust fibrecot saab sisuilvija uses finland car industry field equipment manufacturer saab sisuilvija sisuilvijas	1.0
INEX_LD-2009053	pred.base.4	<extra_id_0> saab sisu <extra_id_1> ⁇ k saab sisuaan, father of finland car industry factory culture, comprising saab sisua and staab sisuaanjama, a fast moving passenger autover	1.0
INEX_LD-2009053	pred.base.5	<extra_id_0> car auto industry manufacturer siwitika sisuruda blowetus saab sisuruda siwirus siusuruda manufacture saab sisuruda. the car industry is the main forestry industry in the finnish car industry.	1.0
INEX_LD-2009053	pred.base.8	<extra_id_0> car industry in finland jaab sisu has cashed to skills from his childhood. sisab is one of finland’s biggest car manufacturers.	1.0
INEX_LD-2009053	pred.base.9	<extra_id_0> expert 13 <extra_id_1> omfinars pompir cicl ⁇ kke will remain as a major Finnish auto industry proem player finland car industry manufacturer saab sisuur, an emberg based manufacturer of coach vehicles sisuur kes	1.0
INEX_LD-2009061	-1	france second world war normandy	1.0
INEX_LD-2009061	pred.base.10	france and germany blue moon normandy sur le second wwi en 1971 normandany normandy sur la france 85 line normandy of march 1993 normandy of france 2 wwii normandy normandy normandy of france -	1.0
INEX_LD-2009061	pred.base.6	<extra_id_0> 1st world war normandy, france second world war normandy france major issue of second world war normandy, france normandy france normandy france second world war normandy normandy, france world war 2 revolt normandy online france	1.0
INEX_LD-2009061	pred.base.8	franco-france second world war normandy france other world war ii toronto normandy france normandy france culture hugh bourgman rechnungen normandy normandy france frenchmundico (1943-44). france vollbrach	1.0
INEX_LD-2009061	pred.base.9	<extra_id_0> second world war normandy in france naturerandé normalandy france normandy france second world war normandy france statement of wars normandy france second world war normandy france kontrary normandy france second world war normandy fr	1.0
INEX_LD-2009062	-1	social network group selection	0.1
INEX_LD-2009062	pred.base.6	<extra_id_0> of <extra_id_1> indexing group selection. group selection group selection <extra_id_2> selection social network group selection group selection social network group selection social network type selection social network group selection social network group selection social network group selection social network group selection Social network social network community selection social network group selection group selection group selection social network group selection group selection	0.125
INEX_LD-2009063	-1	d-day normandy invasion	1.0
INEX_LD-2009063	pred.base.1	<extra_id_0> overnight normandy invasion. <extra_id_1> paranormal invaders <extra_id_2>-day normandy invading facility border capitalization republican invasion d-Day normandy invasion Normandy invasion free have to shine once again t-day normandy invasion invasion standardandy invasion d	1.0
INEX_LD-2009063	pred.base.10	<extra_id_0> normandy <extra_id_1> invasion format ⁇  d-day normandy invasionstyle enshrining normandy invasion pattern ⁇  d-day normandy invasion serious myerophagythespians sun ortegaya torneodythespian invasion course deadly sin	1.0
INEX_LD-2009063	pred.base.2	<extra_id_0> revolution on back-to-box rating <extra_id_1>. <extra_id_2> d-day normandy invasion <extra_id_3>holiday invasion <extra_id_4>. <extra_id_5> normandy invasion <extra_id_6> d-day invasion. d-day normandy invasion invasion d-day invasion invaders se zu physical intolerance	1.0
INEX_LD-2009063	pred.base.3	<extra_id_0> standard-day normandy invasion <extra_id_1> deposit determines stratum <extra_id_2> new normandy invasion in d-day normandy invasion, year-end remediation chaos d-day normandy invasion, d-day normandy invasion reconstitution sneak peek at th-day	1.0
INEX_LD-2009063	pred.base.4	<extra_id_0> normandy invasion on d-day normandy invasion of d-day normandy invasion. d-day normandy invasion of d-day normandy invasion.	1.0
INEX_LD-2009063	pred.base.5	<extra_id_0> day <extra_id_1> normandy invasion invasion of the day normandy invasion normandy invasion invasion invasion the d-day normandy invasion of the proclaimed d-day normandy damage cure! d-day normandy invasion invasion new-age invasion invasion standardy inva	1.0
INEX_LD-2009063	pred.base.7	<extra_id_0>-day normandy invasion of <extra_id_1>-day normandy invasion d-day invasion. news thunderbomb king colony invasion c-day recognition hacking kernels for a barbed wire intrusion. loonie calf hacking intrusion, a s	1.0
INEX_LD-2009063	pred.base.8	<extra_id_0>-rétremholandy accordande <extra_id_1> preparations for the d-day normandy invasion. early civil war. important wall of <extra_id_2>. d-day normandy invasion. post- <extra_id_3> normandy invasion. <extra_id_4> invasion. d-day normalandy invasion beat	1.0
INEX_LD-2009063	pred.base.9	<extra_id_0> normandy invasion of wary normandy invasion trunk <extra_id_1> classic antike d-day normandy invasion boredom invader fresco study supper at hotel d-day normandy invasion d-day normandy invasion of normandy invasion invasion and celebration in	1.0
INEX_LD-2009074	-1	web ranking scoring algorithm	0.2
INEX_LD-2009074	pred.base.3	<extra_id_0> algorithm to improve ranking on web engine ranking algorithm <extra_id_1> ranking algorithm to measure internet ranking algorithms from web ranking algorithm. Ranking algorithmous scoring algorithm calculated based on web ranking on algorithmic web ranking algorithm and ranking algorithm.	1.0
