,qid,order,query,qld.ndcg
0,1,-1,obama family tree,0.0
1,10,-1,cheap internet,0.0925
2,10,glove.topn3,cheap internet inexpensive cheaper web online,0.0107
3,10,anchor.topn3,cheap internet gar restrictions ot nowiki ot installshield theory censorship,0.0
4,10,anchor.topn3.replace,gar restrictions ot nowiki ot installshield theory censorship,0.0
5,10,bertqe.topn10.bm25,dom tutori dom home dom,0.0
6,10,bertqe.topn10.qld,format rfc txt rfc txt pdf,0.0
7,10,conceptluster.topn5.3.bm25,cheap internet generic top level domain internet death cellulos carbon restringido video,0.0
8,10,conceptluster.topn5.3.qld,cheap internet generic top level domain internet git object,0.0
9,10,conceptnet.topn3,cheap internet sale dirt cheap,0.0
10,10,conceptnet.topn3.replace,sale dirt cheap internet,0.0
11,10,docluster.topn10.3.bm25,cheap internet death cellulos carbon restringido video life trivia obama organ,0.0
12,10,docluster.topn10.3.qld,cheap internet git object trivia,0.0
13,10,glove.topn3.replace,inexpensive cheaper web online,0.0
14,10,relevancefeedback.topn10.bm25,cheap internet furnitur you onlin dom tip,0.0
15,10,relevancefeedback.topn10.qld,cheap internet string furnitur object,0.0
16,10,stem.trunc4,chea inte,0.0
17,10,stem.trunc5,cheap inter,0.0
18,10,tagmee.topn3,cheap internet Generic top level domain Internet,0.0
19,10,tagmee.topn3.replace,Generic top level domain Internet,0.0
20,10,termluster.topn5.3.bm25,cheap internet death cellulos carbon restringido video,0.0
21,10,termluster.topn5.3.qld,cheap internet git object,0.0
22,10,wiki.topn3,cheap internet sponsored top level domain info sunrisperiod generic top level domain internet introductions virtual reality internet,0.0
23,10,wiki.topn3.replace,sponsored top level domain info sunrisperiod generic top level domain internet introductions virtual reality internet,0.0
24,10,wordnet.topn3,cheap internet gaudy loud brassy net cyberspace,0.0
25,10,wordnet.topn3.replace,gaudy loud brassy net cyberspace,0.0
26,11,-1,gmat prep classes,0.4591
27,11,termluster.topn5.3.bm25,gmat prep classes death cellulos carbon restringido video,0.45
28,11,word2vec.topn3,gmat prep classes courses,0.429
29,11,docluster.topn10.3.bm25,gmat prep classes death cellulos carbon restringido video life trivia obama organ,0.3941
30,11,sensedisambiguation,gmat prep homework classes course,0.3811
31,11,anchor.topn3,gmat prep classes al mojzel baico crosswat preparatori prep oahu,0.3625
32,11,bt_bing_russian,GMAT Preparation Classes,0.3491
33,11,bt_bing_tamil,GMAT Preparation Classes,0.3491
34,11,bt_nllb_malay,Gmat preparation class,0.3491
35,11,bt_nllb_swahili,a preparation class for gmat,0.3491
36,11,conceptluster.topn5.3.qld,gmat prep classes preschool graduate management admission test social class git object,0.349
37,11,bt_bing_french,GMAT Prep Courses,0.3461
38,11,word2vec.topn3.replace,gmat prep courses,0.3461
39,11,bertqe.topn10.qld,mlic manhattan gmat prep class,0.3281
40,11,wordnet.topn3,gmat prep classes homework preparation form assort separate,0.3196
41,11,stem.lovins,gmat prep clas,0.2965
42,11,stem.trunc4,gmat prep clas,0.2965
43,11,tagmee.topn3,gmat prep classes Graduate Management Admission Test Preschool Social class,0.2962
44,11,conceptluster.topn5.3.bm25,gmat prep classes social class preschool graduate management admission test death cellulos carbon restringido video,0.2951
45,11,bt_nllb_german,Preparation hours for the Gmat study,0.2667
46,11,bt_bing_german,GMAT Preparation Courses,0.2469
47,11,bertqe.topn10.bm25,studi guid gmat mathprep corpor,0.2411
48,11,bt_nllb_tamil,Gmat ready classes,0.226
49,11,glove.topn3,gmat prep classes s a t gre bdb k students,0.1996
50,11,bt_bing_malay,GMAT preparatory classes,0.1947
51,11,bt_bing_persian,GMAT Preparatory Classes,0.1947
52,11,sensedisambiguation.replace,gmat homework course,0.1571
53,11,conceptnet.topn3,gmat prep classes graduate school entrance test homework prepper a gymnasium school a classroom,0.115
54,11,wordnet.topn3.replace,gmat homework preparation form assort separate,0.0894
55,11,anchor.topn3.replace,al mojzel baico crosswat preparatori prep oahu classes,0.0085
56,11,bt_nllb_arabic,Teacher preparation classes,0.0
57,11,bt_nllb_chinese_yue,Pre K through grade,0.0
58,11,bt_nllb_french,Preparatory courses for secondary education,0.0
59,11,bt_nllb_persian,Preparatory classes,0.0
60,11,bt_nllb_russian,Classes on preparation for gymnasium,0.0
61,11,conceptnet.topn3.replace,graduate school entrance test homework prepper a gymnasium school a classroom,0.0
62,11,glove.topn3.replace,s a t gre bdb k students,0.0
63,11,tagmee.topn3.replace,Graduate Management Admission Test Preschool Social class,0.0
64,11,wiki.topn3,gmat prep classes graduatrecord examinations sat subject tests master sciencin information technology graduate management admission test early childhood education fifth grade sixth grade preschool social status working class individualism social class,0.0
