,qid,order,query,qld.ndcg
0,100653,-1,how do I go about getting copies of letters of commendation prsented to me from city of san diego?,0.3464
1,100653,bt_bing_tamil,How do I get copies of appreciation letters sent to me from the city of San Diego,0.4577
2,100653,bt_bing_russian,How do I get copies of thank you letters from the City of San Diego,0.3997
3,100653,bt_nllb_korean,How do we get compliments from the city of San Diego,0.3924
4,100653,anchor.topn3,go getting copies letters commendation prsented city san diego c yalag noise a go teeley pyszczynski hnatiw royal san baghdatí srisamart vahinetua,0.3913
5,100653,stem.trunc5,how do i go about getti copie of lette of comme prsen to me from city of san diego,0.3899
6,100653,bt_bing_swahili,How do i get copies of congratulatory letters given to me from the city of san diego,0.3815
7,100653,bt_bing_german,How do I get copies of letters of recommendation provided to me by the City of San Diego,0.369
8,100653,termluster.topn5.3.bm25,go getting copies letters commendation prsented city san diego,0.3676
9,100653,termluster.topn5.3.qld,go getting copies letters commendation prsented city san diego,0.3676
10,100653,thesaurus.topn3,go getting copies letters commendation prsented city san diego,0.3676
11,100653,thesaurus.topn3.replace,go getting copies letters commendation prsented city san diego,0.3676
12,100653,bt_bing_malay,How can I get a copy of the letter of praise given to me from the city of San Diego,0.3663
13,100653,relevancefeedback.topn10.bm25,how do i go about getting copies of letters of commendation prsented to me from city of san diego you alwai diego court,0.3624
14,100653,tagmee.topn3,go getting copies letters commendation prsented city san diego Go film Getting In Ignatius of Antioch Commendation ceremony San Diego San Diego,0.3575
15,100653,bt_nllb_french,How do I get copies of congratulatory letters sent by the city of San Diego,0.3561
16,100653,stem.paicehusk,how do i go about get cop of let of commend prsent to me from city of san diego,0.3519
17,100653,bt_nllb_persian,How do I get the mail from San Diego City that s been sent to me,0.3494
18,100653,bt_bing_french,How do I get copies of the letters of recommendation sent to me by the City of San Diego,0.3483
19,1015624,-1,What's the Definition of a bloody mary?,0.7924
20,1015624,bertqe.topn10.qld,she known bloodi mari drink,0.8246
21,1015624,bt_bing_arabic,What is the definition of Bloody Mary,0.7946
22,1015624,bt_bing_chinese_simplified,What is the definition of a Bloody Mary,0.7946
23,1015624,bt_bing_french,What is the definition of a bloody mary,0.7946
24,1015624,bt_bing_german,What is the definition of a Bloody Mary,0.7946
25,1015624,bt_bing_korean,What is the definition of a Bloody Mary,0.7946
26,1015624,bt_bing_malay,What is the definition of bloody mary,0.7946
27,1015624,bt_bing_persian,What is the definition of the Bloody Mary,0.7946
28,1015624,bt_bing_russian,What is the definition of a Bloody Mary,0.7946
29,1015624,bt_bing_tamil,What is the definition of Bloody Mary,0.7946
30,1015624,bt_nllb_arabic,What is the definition of Bloody Mary,0.7946
31,1015624,bt_nllb_korean,What is the definition of a bloody Mary,0.7946
32,1015624,bt_nllb_persian,What is the definition of bloody Mary,0.7946
33,1015624,bt_nllb_swahili,What is the definition of bloody Mary,0.7946
34,1015624,bt_nllb_tamil,What is the definition of a bloody Mary,0.7946
35,1015624,rm3.topn10.10.0.5.bm25,Whats the Definition of a bloody mary?,0.7946
36,1015624,rm3.topn10.10.0.5.qld,Whats the Definition of a bloody mary?,0.7946
37,1015624,relevancefeedback.topn10.qld,what s the definition of a bloody mary mari bloodi england,0.7935
38,1017690,-1,what is the history of indian music?,0.5123
39,1017690,conceptluster.topn5.3.bm25,history indian music,0.5228
40,1017690,conceptluster.topn5.3.qld,history indian music,0.5228
41,1017690,tagmee.topn3,history indian music,0.5228
42,1017690,termluster.topn5.3.bm25,history indian music,0.5228
43,1017690,termluster.topn5.3.qld,history indian music,0.5228
44,1017690,thesaurus.topn3,history indian music,0.5228
45,1017690,thesaurus.topn3.replace,history indian music,0.5228
46,1017690,wiki.topn3,history indian music,0.5228
47,1035857,-1,Why are liberals so quick to defend Saddam?,0.5941
48,1035857,termluster.topn5.3.bm25,liberals quick defend saddam,0.5974
49,1035857,termluster.topn5.3.qld,liberals quick defend saddam,0.5974
