qid	order	query	bm25.map
701	-1	U.S. oil industry history	0.0025
701	bt_nllb_german	The history of the US oil industry	0.0505
701	termluster.topn5.3.qld	u s oil industry history industri field oil field state social region	0.0396
701	relevancefeedback.topn10.qld	u s oil industry history industri counti ga	0.027
701	docluster.topn10.3.qld	u s oil industry history industri counti	0.025
701	bt_bing_arabic	History of the American oil industry	0.0153
701	bt_nllb_arabic	The history of the American oil industry	0.0153
701	bt_nllb_french	The history of the American oil industry	0.0153
701	conceptluster.topn5.3.qld	u s oil industry history petroleum	0.004
701	tagmee.topn3	u s oil industry history Petroleum	0.004
701	wordnet.topn3	u s oil industry history USA United States United States government rock oil petroleum oil color manufacture diligence account chronicle	0.0037
701	wiki.topn3	u s oil industry history glassforming liquids melts oil natural gas petroleum	0.0032
702	-1	Pearl farming	0.0199
702	bt_bing_tamil	Pearl culture	0.1764
702	termluster.topn5.3.qld	pearl farming product fish	0.1033
702	wiki.topn3	pearl farming pearls jewellery components gemstone pearl	0.069
702	wiki.topn3.replace	pearls jewellery components gemstone pearl	0.0614
702	rm3.topn10.10.0.5.qld	pearl farming farm japan jerri product	0.029
702	tagmee.topn3.replace	Pearl	0.027
702	docluster.topn10.3.qld	pearl farming farm	0.0231
702	tagmee.topn3	pearl farming Pearl	0.0218
702	rm3.topn10.10.0.5.bm25	pearl farming coliform cumberland option japan our jerri ocean	0.0207
704	-1	Green party political views	0.0575
704	termluster.topn5.3.qld	green party political views libertarian parti polit state polit nation state parti nation	0.1084
704	docluster.topn10.3.qld	green party political views parti	0.0962
704	relevancefeedback.topn10.qld	green party political views parti	0.0962
704	rm3.topn10.10.0.5.qld	green party political views parti	0.0962
705	-1	Iraq foreign debt reduction	0.1226
705	tagmee.topn3	iraq foreign debt reduction Iraq External debt Debt	0.2779
705	tagmee.topn3.replace	Iraq External debt Debt	0.2512
705	stem.trunc5	iraq forei debt reduc	0.2441
705	bt_nllb_malay	Reduction of external debt to Iraq	0.2287
705	bt_bing_tamil	Iraqi Foreign Debt Reduction	0.2229
705	rm3.topn10.10.0.5.bm25	iraq foreign debt reduction develop we	0.1834
705	bt_bing_persian	Reducing Iraq s External Debt	0.1818
705	bt_nllb_russian	Reducing Iraq s external debt	0.1818
705	termluster.topn5.3.qld	iraq foreign debt reduction debt depart state depart iraq state unit state servic	0.1759
705	bt_bing_arabic	Iraq s external debt reduction	0.1743
705	bt_bing_french	Reduction of Iraq s external debt	0.1743
705	bt_bing_german	Reduction of Iraq s external debt	0.1743
705	bt_bing_russian	Reduction of Iraq s external debt	0.1743
705	bt_nllb_french	Reduction of Iraq s external debt	0.1743
705	stem.trunc4	iraq fore debt redu	0.1632
705	conceptluster.topn5.3.qld	iraq foreign debt reduction debt external debt	0.1525
705	bt_nllb_chinese_yue	Iraq s foreign debt is falling	0.1501
706	-1	Controlling type II diabetes	0.025
706	sensedisambiguation.replace	see type two diabetes	0.0438
706	bt_bing_korean	Type Diabetes Control	0.0398
706	bt_nllb_arabic	Control of type diabetes	0.0398
706	bt_nllb_chinese_yue	Control of type diabetes	0.0398
706	bt_nllb_korean	Control of type diabetes	0.0398
706	bt_nllb_persian	Control of type diabetes	0.0398
706	docluster.topn10.3.qld	controlling type ii diabetes diabet	0.0301
706	rm3.topn10.10.0.5.bm25	controlling type ii diabetes diabet	0.0301
706	sensedisambiguation	Controlling see type II two diabetes	0.0277
707	-1	Aspirin cancer prevention	0.1885
707	termluster.topn5.3.qld	aspirin cancer prevention cancer colon effect aspirin colon effect studi screen risk	0.3019
