qid	order	query	qld.map
701	-1	U.S. oil industry history	0.008
702	-1	Pearl farming	0.0264
704	-1	Green party political views	0.0489
705	-1	Iraq foreign debt reduction	0.1034
706	-1	Controlling type II diabetes	0.0321
707	-1	Aspirin cancer prevention	0.2795
708	-1	Decorative slate sources	0.1784
709	-1	Horse racing jockey weight	0.6158
710	-1	Prostate cancer treatments	0.2001
711	-1	Train station security measures	0.0419
712	-1	Pyramid scheme	0.2003
713	-1	Chesapeake Bay Maryland clean	0.0949
714	-1	License restrictions older drivers	0.0769
715	-1	Schizophrenia drugs	0.0737
716	-1	Spammer arrest sue	0.0532
717	-1	Gifted talented student programs	0.1056
718	-1	Controlling acid rain	0.1113
719	-1	Cruise ship damage sea life	0.0312
720	-1	Federal welfare reform	0.0556
721	-1	Census data applications	0.0088
722	-1	Iran terrorism	0.2975
723	-1	Executive privilege	0.0901
724	-1	Iran Contra	0.1415
725	-1	Low white blood cell count	0.09
726	-1	Hubble telescope repairs	0.206
727	-1	Church arson	0.3459
728	-1	whales save endangered	0.1226
729	-1	Whistle blower department of defense	0.0023
730	-1	Gastric bypass complications	0.4508
731	-1	Kurds history	0.0203
732	-1	U.S. cheese production	0.0085
733	-1	Airline overbooking	0.2811
734	-1	Recycling successes	0.0809
735	-1	Afghan women condition	0.0927
736	-1	location BSE infections	0.1919
737	-1	Enron California energy crisis	0.2743
738	-1	Anthrax hoaxes	0.3146
739	-1	Habitat for Humanity	0.0382
740	-1	regulate assisted living Maryland	0.1694
741	-1	Artificial Intelligence	0.025
742	-1	hedge funds fraud protection	0.2041
743	-1	Freighter ship registration	0.0147
744	-1	Counterfeit ID punishments	0.0
745	-1	Doomsday cults	0.4984
746	-1	Outsource job India	0.3152
747	-1	Library computer oversight	0.0552
748	-1	Nuclear reactor types	0.0391
749	-1	Puerto Rico state	0.1397
750	-1	John Edwards womens issues	0.0284
751	-1	Scrabble Players	0.2139
752	-1	Dam removal	0.2294
753	-1	bullying prevention programs	0.2582
754	-1	domestic adoption laws	0.0258
755	-1	Scottish Highland Games	0.4493
756	-1	Volcanic Activity	0.0647
757	-1	Murals	0.045
758	-1	Embryonic stem cells	0.1943
759	-1	civil war battle reenactments	0.17
760	-1	american muslim mosques schools	0.1189
761	-1	Problems of Hmong Immigrants	0.2256
762	-1	History of Physicians in America	0.0071
763	-1	Hunting deaths	0.046
764	-1	Increase mass transit use	0.0479
765	-1	ephedra ma huang deaths	0.2742
766	-1	diamond smuggling	0.2857
767	-1	Pharmacist License requirements	0.134
768	-1	Women in state legislatures	0.0908
769	-1	Kroll Associates Employees	0.0046
770	-1	Kyrgyzstan-United States relations	0.1142
771	-1	deformed leopard frogs	0.3091
772	-1	flag display rules	0.2408
773	-1	Pennsylvania slot machine gambling	0.4615
774	-1	Causes of Homelessness	0.0786
775	-1	Commercial candy makers	0.0419
776	-1	Magnet schools success	0.0721
777	-1	hybrid alternative fuel cars	0.0925
778	-1	golden ratio	0.0896
779	-1	Javelinas range and description	0.2772
780	-1	Arable land	0.0612
781	-1	Squirrel control and protections	0.1092
782	-1	Orange varieties seasons	0.3217
783	-1	school mercury poisoning	0.1186
784	-1	mersenne primes	0.4507
785	-1	Ivory-billed woodpecker	0.1572
786	-1	Yew trees	0.1022
787	-1	Sunflower Cultivation	0.2268
788	-1	Reverse mortgages	0.3143
789	-1	abandoned mine reclamation	0.0593
790	-1	women's rights in Saudi Arabia	0.4166
791	-1	Gullah geechee language culture	0.3272
792	-1	Social Security means test	0.0582
793	-1	Bagpipe Bands	0.0823
794	-1	pet therapy	0.0366
795	-1	notable cocker spaniels	0.0118
796	-1	Blue Grass Music Festival history	0.0822
797	-1	reintroduction of gray wolves	0.3499
798	-1	Massachusetts textile mills	0.1274
799	-1	Animals in Alzheimer's research	0.0412
800	-1	Ovarian Cancer Treatment	0.0678
801	-1	Kudzu Pueraria lobata	0.2762
802	-1	Volcano eruptions global temperature	0.2008
803	-1	May Day	0.0
804	-1	ban on human cloning	0.1982
805	-1	Identity Theft Passport	0.0364
806	-1	Doctors Without Borders	0.0618
807	-1	Sugar tariff-rate quotas	0.3045
808	-1	North Korean Counterfeiting	0.5556
809	-1	wetlands wastewater treatment	0.1953
810	-1	timeshare resales	0.2967
811	-1	handwriting recognition	0.2265
812	-1	total knee replacement surgery	0.3357
813	-1	Atlantic Intracoastal Waterway	0.2324
814	-1	Johnstown flood	0.3748
815	-1	Coast Guard rescues	0.0546
816	-1	USAID assistance to Galapagos	0.7736
