qid	order	query	qld.ndcg
100653	-1	how do I go about getting copies of letters of commendation prsented to me from city of san diego?	0.3464
100653	bt_nllb_chinese_yue	How do I get letters from San Diego	0.3366
100653	bt_nllb_malay	How do I get a copy of the letter of credit sent from the city of San Diego	0.3349
100653	bt_nllb_german	How do I get copies of the San Diego letter of credit	0.3297
100653	bt_nllb_arabic	How do I get copies of the letters of encouragement I sent her from the city of San Diego	0.3295
100653	bt_nllb_swahili	How can I get copies of congratulatory letters from San Diego	0.3281
100653	bt_nllb_tamil	How can I get copies of congratulatory letters sent to me from San Diego	0.308
100653	bt_nllb_russian	How can I get copies of the complimentary letters sent to me from the city of San Diego	0.302
1015624	-1	What's the Definition of a bloody mary?	0.7924
1015624	bt_nllb_german	What s the definition of a fucking Mary	0.2494
1015624	bt_nllb_french	What s the definition of a holy Mary	0.1538
1015624	bt_nllb_chinese_yue	What is the definition of a virgin	0.0326
1017690	-1	what is the history of indian music?	0.5123
1035857	-1	Why are liberals so quick to defend Saddam?	0.5941
1035857	bt_nllb_french	Why are the Liberals defending Saddam so fast	0.5698
1035857	bt_nllb_chinese_yue	Why did liberals defend Saddam so quickly	0.4744
1035857	bt_nllb_russian	Why are the liberals protecting Saddam so quickly	0.3072
1035857	bt_nllb_persian	Why are the liberals defending my voice so quickly	0.218
103830	-1	Why do man Arabs hate the west ?	0.4862
103830	bt_nllb_arabic	Why are Arabs turning to the West	0.2932
1063812	-1	How do I grow taller?	0.6383
1063812	bt_nllb_korean	How can you grow taller	0.6343
1063812	bt_nllb_persian	How can I get taller	0.4129
1063812	bt_nllb_malay	How can I be taller	0.4085
1063812	bt_nllb_swahili	How can I be taller	0.4085
1063812	bt_nllb_arabic	How do I get to the height	0.0681
1063812	bt_nllb_russian	How can I grow up	0.0511
1063812	bt_nllb_french	How can I get bigger	0.0
1063812	bt_nllb_german	How do I get bigger	0.0
1063812	bt_nllb_tamil	How can I get high	0.0
1077370	-1	Why do only Humans have Finger prints?	0.6154
1077370	bt_nllb_arabic	Why do only humans have fingerprints	0.1937
1077370	bt_nllb_tamil	Why do only humans have fingerprints	0.1937
1077370	bt_nllb_chinese_yue	Why are only humans fingerprinted	0.1933
1077370	bt_nllb_french	Why are only humans fingerprinted	0.1933
1077370	bt_nllb_malay	Why are only humans fingerprinted	0.1933
1077370	bt_nllb_swahili	Why are only humans fingerprinted	0.1933
1077370	bt_nllb_korean	Why is it that only humans have fingerprints	0.1923
1077370	bt_nllb_german	Why are only people fingerprinted	0.1569
1077370	bt_nllb_russian	Why are only people having fingerprints	0.1544
1077370	bt_nllb_persian	Why do only humans have fingers	0.0717
1082595	-1	what is meant by mobile technology?	0.5169
1119420	-1	Well the black light is UV light.So if it is "black" how can it be "light" ?	0.5809
1119420	bt_nllb_swahili	Well black light is UV light So if it s black how can it be light	0.5729
1119420	bt_nllb_chinese_yue	Black light is ultraviolet light so if it s black why is it light	0.2864
1119420	bt_nllb_russian	Well black light is ultraviolet light so if it s black how can it be light	0.2848
