,qid,order,query,qld.map
0,INEX_LD-2009022,-1,Szechwan dish food cuisine,0.1299
1,INEX_LD-2009022,bt_bing_chinese_simplified,Sichuan cuisine,0.4428
2,INEX_LD-2009022,bt_bing_french,Sichuan Dish Cuisine,0.4405
3,INEX_LD-2009022,wordnet.topn3.replace,Sichuan Szechuan Szechwan province sweetheart dish out solid food food for thought culinary art,0.2832
4,INEX_LD-2009022,bt_bing_russian,Sichuan Dish Food Cuisine,0.2696
5,INEX_LD-2009022,bt_bing_german,Szechuan Dish Kitchen,0.2387
6,INEX_LD-2009022,wordnet.topn3,szechwan dish food cuisine Szechuan Sichuan smasher beauty food for thought solid food nutrient culinary art,0.217
7,INEX_LD-2009022,conceptluster.topn5.3.bm25,szechwan dish food cuisine food cuisine sichuan dish food,0.1997
8,INEX_LD-2009022,conceptluster.topn5.3.qld,szechwan dish food cuisine sichuan cuisine food dish food,0.1997
9,INEX_LD-2009022,tagmee.topn3,szechwan dish food cuisine Sichuan Dish food Food Cuisine,0.1997
10,INEX_LD-2009022,bt_bing_korean,Sichuan cuisine food cooking,0.1941
11,INEX_LD-2009022,conceptnet.topn3,szechwan dish food cuisine Szechuan China plate cake rice rechauffe,0.1855
12,INEX_LD-2009022,anchor.topn3,szechwan dish food cuisine setzuan sechuan szechuan rasslin m tofu oth neophobia food foods cross solfar,0.1803
13,INEX_LD-2009022,tagmee.topn3.replace,Sichuan Dish food Food Cuisine,0.1553
14,INEX_LD-2009022,anchor.topn3.replace,setzuan sechuan szechuan rasslin m tofu oth neophobia food foods cross solfar cuisine,0.1433
15,INEX_LD-2009022,bt_bing_persian,Sichuan Food,0.1394
16,INEX_LD-2009022,sensedisambiguation.replace,szechwan serve food cuisine,0.1373
17,INEX_LD-2009022,bt_bing_swahili,Diet cuisine of Szechwan,0.1353
18,INEX_LD-2009022,bt_bing_malay,Szechwan dish food cuisine,0.1299
19,INEX_LD-2009022,docluster.topn10.3.bm25,szechwan dish food cuisine,0.1299
20,INEX_LD-2009022,docluster.topn10.3.qld,szechwan dish food cuisine,0.1299
21,INEX_LD-2009022,original,Szechwan dish food cuisine,0.1299
22,INEX_LD-2009022,rm3.topn10.10.0.5.bm25,Szechwan dish food cuisine,0.1299
23,INEX_LD-2009022,rm3.topn10.10.0.5.qld,Szechwan dish food cuisine,0.1299
24,INEX_LD-2009022,stem.krovetz,szechwan dish food cuisine,0.1299
25,INEX_LD-2009022,stem.porter,szechwan dish food cuisin,0.1299
26,INEX_LD-2009022,stem.porter2,szechwan dish food cuisin,0.1299
27,INEX_LD-2009022,stem.sstemmer,szechwan dish food cuisine,0.1299
28,INEX_LD-2009022,termluster.topn5.3.bm25,szechwan dish food cuisine,0.1299
29,INEX_LD-2009022,termluster.topn5.3.qld,szechwan dish food cuisine,0.1299
30,INEX_LD-2009022,thesaurus.topn3,szechwan dish food cuisine,0.1299
31,INEX_LD-2009022,thesaurus.topn3.replace,szechwan dish food cuisine,0.1299
32,INEX_LD-2009022,bt_nllb_malay,Szechwan cuisine,0.1252
33,INEX_LD-2009022,sensedisambiguation,Szechwan dish serve food cuisine,0.1195
34,INEX_LD-2009022,bt_bing_tamil,Szechwan dish food,0.1193
35,INEX_LD-2009022,bt_nllb_swahili,Szechwan dishes food,0.1193
36,INEX_LD-2009022,bt_nllb_french,Cooking of Szechwan dishes,0.1161
37,INEX_LD-2009022,conceptnet.topn3.replace,Szechuan China plate cake rice rechauffe,0.1138
38,INEX_LD-2009022,wiki.topn3,szechwan dish food cuisine sichuan shaanxi hunan sichuan list legumdishes past food batter cooking dish food foods cuisine meat food brunch veal veal cuisine,0.1021
39,INEX_LD-2009022,stem.lovins,szechwan dish food cuis,0.0882
40,INEX_LD-2009022,relevancefeedback.topn10.bm25,szechwan dish food cuisine cuisin chines veget rice pepper banitsa tabl pot pölsa octopu,0.0803
41,INEX_LD-2009022,relevancefeedback.topn10.qld,szechwan dish food cuisine cuisin chines veget pepper rice tabl indian,0.0757
42,INEX_LD-2009022,glove.topn3,szechwan dish food cuisine mangxamba localweather dessert supplies dishes,0.0533
43,INEX_LD-2009022,wiki.topn3.replace,sichuan shaanxi hunan sichuan list legumdishes past food batter cooking dish food foods cuisine meat food brunch veal veal cuisine,0.0383
44,INEX_LD-2009022,word2vec.topn3.replace,szechwan cuisine dessert foodstuffs cusine,0.0369
45,INEX_LD-2009022,word2vec.topn3,szechwan dish food cuisine cuisine dessert foodstuffs cusine,0.0241
46,INEX_LD-2009022,bt_bing_arabic,Sichuan Platter Food,0.0158
47,INEX_LD-2009022,stem.paicehusk,szechw dish food cuisin,0.0056
48,INEX_LD-2009022,bertqe.topn10.qld,attribut indian singaporean cuisin refer,0.0035
49,INEX_LD-2009022,stem.trunc5,szech dish food cuisi,0.0024
50,INEX_LD-2009022,bertqe.topn10.bm25,pot nabeyaki yosenab soup nabe,0.0019
51,INEX_LD-2009022,bt_nllb_korean,Cooking the dishes,0.0012
52,INEX_LD-2009022,bt_nllb_german,Chequan buffalo cuisine,0.0009
53,INEX_LD-2009022,stem.trunc4,szec dish food cuis,0.0003
54,INEX_LD-2009022,bt_nllb_arabic,Seizuan food,0.0
55,INEX_LD-2009022,bt_nllb_chinese_yue,The recipe,0.0
56,INEX_LD-2009022,bt_nllb_persian,Cooking Sheep s Meals,0.0
57,INEX_LD-2009022,bt_nllb_russian,The kitchen of the sequoia,0.0
58,INEX_LD-2009022,bt_nllb_tamil,The food is cooked by Tshuang,0.0
59,INEX_LD-2009022,glove.topn3.replace,mangxamba localweather dessert supplies dishes,0.0
60,INEX_LD-2009039,-1,roman architecture,0.2
61,INEX_LD-2009039,conceptluster.topn5.3.bm25,roman architecture ancient roman architecture,0.2995
62,INEX_LD-2009039,conceptluster.topn5.3.qld,roman architecture ancient roman architecture,0.2995
63,INEX_LD-2009039,tagmee.topn3,roman architecture Ancient Roman architecture,0.2995
64,INEX_LD-2009039,tagmee.topn3.replace,Ancient Roman architecture,0.2481
65,INEX_LD-2009039,bt_bing_arabic,Roman architecture,0.2
66,INEX_LD-2009039,bt_bing_chinese_simplified,Roman architecture,0.2
67,INEX_LD-2009039,bt_bing_french,Roman Architecture,0.2
68,INEX_LD-2009039,bt_bing_german,Roman Architecture,0.2
69,INEX_LD-2009039,bt_bing_korean,Roman architecture,0.2
70,INEX_LD-2009039,bt_bing_malay,Roman architecture,0.2
71,INEX_LD-2009039,bt_bing_persian,Roman architecture,0.2
72,INEX_LD-2009039,bt_bing_russian,Roman architecture,0.2
73,INEX_LD-2009039,bt_bing_swahili,Roman architecture,0.2
74,INEX_LD-2009039,bt_bing_tamil,Roman architecture,0.2
75,INEX_LD-2009039,bt_nllb_arabic,Roman architecture,0.2
76,INEX_LD-2009039,bt_nllb_chinese_yue,Roman architecture,0.2
77,INEX_LD-2009039,bt_nllb_french,Roman architecture,0.2
78,INEX_LD-2009039,bt_nllb_german,Roman architecture,0.2
79,INEX_LD-2009039,bt_nllb_korean,Roman architecture,0.2
80,INEX_LD-2009039,bt_nllb_malay,Roman architecture,0.2
81,INEX_LD-2009039,bt_nllb_persian,Roman architecture,0.2
82,INEX_LD-2009039,bt_nllb_russian,Roman architecture,0.2
83,INEX_LD-2009039,bt_nllb_swahili,Roman architecture,0.2
84,INEX_LD-2009039,bt_nllb_tamil,Roman architecture,0.2
85,INEX_LD-2009039,docluster.topn10.3.bm25,roman architecture,0.2
86,INEX_LD-2009039,docluster.topn10.3.qld,roman architecture,0.2
87,INEX_LD-2009039,original,roman architecture,0.2
88,INEX_LD-2009039,rm3.topn10.10.0.5.bm25,roman architecture,0.2
89,INEX_LD-2009039,rm3.topn10.10.0.5.qld,roman architecture,0.2
90,INEX_LD-2009039,stem.krovetz,roman architecture,0.2
91,INEX_LD-2009039,stem.lovins,roman architectur,0.2
