qid	order	query	qld.map
701	-1	U.S. oil industry history	0.008
701	termluster.topn5.3.qld	u s oil industry history industri field oil field state social region	0.0494
701	docluster.topn10.3.qld	u s oil industry history industri counti	0.0327
701	relevancefeedback.topn10.qld	u s oil industry history industri counti ga	0.0252
701	conceptluster.topn5.3.qld	u s oil industry history petroleum	0.0205
701	tagmee.topn3	u s oil industry history Petroleum	0.0205
701	bt_nllb_arabic	The history of the American oil industry	0.02
701	bt_nllb_french	The history of the American oil industry	0.02
701	bt_nllb_german	The history of the US oil industry	0.0166
701	bt_nllb_chinese_yue	The history of the U S oil industry	0.008
701	bt_nllb_korean	The history of the U S oil industry	0.008
701	bt_nllb_malay	History of the U S oil industry	0.008
701	bt_nllb_persian	The history of the U S oil industry	0.008
701	bt_nllb_russian	The history of the U S oil industry	0.008
701	bt_nllb_swahili	The history of the U S oil industry	0.008
701	bt_nllb_tamil	The history of the U S oil industry	0.008
701	stem.krovetz	u s oil industry history	0.008
701	stem.porter	u s oil industri histori	0.008
701	stem.porter2	u s oil industri histori	0.008
701	stem.sstemmer	u s oil industry history	0.008
701	thesaurus.topn3	u s oil industry history	0.008
701	thesaurus.topn3.replace	u s oil industry history	0.008
701	sensedisambiguation	U S united states government oil vegetable oil industry history	0.0039
701	rm3.topn10.10.0.5.qld	u s oil industry history fuel ga energi price	0.0036
701	bertqe.topn10.bm25	f ossil nergi e nvir	0.0033
701	wiki.topn3	u s oil industry history glassforming liquids melts oil natural gas petroleum	0.0024
701	word2vec.topn3	u s oil industry history usa u s american petroleum industy history	0.0021
701	bertqe.topn10.qld	e nvir onment al dv	0.0018
701	sensedisambiguation.replace	united states government vegetable oil industry history	0.0013
701	glove.topn3	u s oil industry history us u s crude petroleum business historical ever	0.0008
701	rm3.topn10.10.0.5.bm25	u s oil industry history energi opec	0.0007
701	conceptnet.topn3	u s oil industry history liquid black fuel commercial enterprise past subject school	0.0005
701	wordnet.topn3	u s oil industry history USA United States United States government rock oil petroleum oil color manufacture diligence account chronicle	0.0004
701	word2vec.topn3.replace	usa u s american petroleum industy history	0.0001
701	anchor.topn3	u s oil industry history us c alphabet elektrivõrgud sooju recuyel seeg théodrat	0.0
701	anchor.topn3.replace	us c alphabet elektrivõrgud sooju industry recuyel seeg théodrat	0.0
701	conceptnet.topn3.replace	u s liquid black fuel commercial enterprise past subject school	0.0
701	glove.topn3.replace	us u s crude petroleum business historical ever	0.0
701	stem.lovins	u s oil industr histor	0.0
701	stem.paicehusk	u s oil industry hist	0.0
701	stem.trunc4	u s oil indu hist	0.0
