,qid,order,query,qld.ndcg
0,301,-1,International Organized Crime,0.064
1,301,conceptnet.topn3,international organized crime re formed reorganised,0.0621
2,301,sensedisambiguation,International Organized unionize Crime,0.0505
3,301,anchor.topn3.replace,confédérat föderat kanusport organized anti corruption anti econom drug,0.0502
4,301,stem.trunc5,inter organ crime,0.0488
5,301,conceptluster.topn5.3.bm25,international organized crime international law organized crime,0.0444
6,301,conceptluster.topn5.3.qld,international organized crime international law organized crime,0.0444
7,301,tagmee.topn3,international organized crime International law Organized crime,0.0444
8,301,bt_bing_swahili,International Crime,0.0431
9,301,bt_nllb_swahili,International Crime,0.0431
10,301,bt_bing_malay,International Organised Crime,0.0429
11,301,bt_nllb_german,International organised crime,0.0429
12,301,bt_nllb_malay,Integrated Crime,0.0378
13,301,glove.topn3.replace,global which organised criminal,0.0355
14,301,wordnet.topn3,international organized crime external unionise prepare unionize criminal offense criminal offence law breaking,0.0333
15,301,relevancefeedback.topn10.qld,international organized crime protect organ it feder compens intellectu,0.0315
16,301,tagmee.topn3.replace,International law Organized crime,0.0309
17,301,word2vec.topn3.replace,national global domestic organised criminality,0.0268
18,301,sensedisambiguation.replace,international unionize crime,0.0248
19,301,stem.porter,intern organiz crime,0.0234
20,301,relevancefeedback.topn10.bm25,international organized crime state trade govern issu japan us,0.0204
21,301,stem.lovins,intern organ crim,0.0158
22,301,conceptnet.topn3.replace,international re formed reorganised crime,0.0123
23,301,bertqe.topn10.qld,intern affair materi from report,0.0075
24,301,wordnet.topn3.replace,external unionise prepare unionize criminal offense criminal offence law breaking,0.0057
25,301,bertqe.topn10.bm25,jansatta hindi cso articl chitra,0.0
26,301,stem.paicehusk,intern org crim,0.0
27,301,stem.trunc4,inte orga crim,0.0
28,302,-1,Poliomyelitis and Post-Polio,0.7466
29,302,glove.topn3,poliomyelitis post polio polio measles mangxamba http www kasparovchess com,0.7193
30,302,conceptluster.topn5.3.bm25,poliomyelitis post polio post polio syndrome,0.6952
31,302,conceptluster.topn5.3.qld,poliomyelitis post polio post polio syndrome,0.6952
32,302,wordnet.topn3.replace,polio acute anterior poliomyelitis post polio,0.6807
33,302,tagmee.topn3.replace,Poliomyelitis Post polio syndrome,0.6799
34,302,bt_bing_arabic,Polio and post polio,0.6564
35,302,bt_bing_persian,Polio and post polio,0.6564
36,302,bt_bing_tamil,Polio and post polio,0.6564
37,302,bt_nllb_french,Polio and the Post Polio,0.6564
38,302,stem.trunc5,polio and post polio,0.6564
39,302,bt_nllb_arabic,Polio and polio,0.6559
40,302,bt_nllb_german,Polio and postpolio,0.6559
41,302,bt_nllb_russian,Polio and postpolio,0.6559
42,302,bt_nllb_swahili,Polio and Afterpolio,0.6559
43,302,bt_bing_malay,Polyomyelitis and Post Polio,0.6527
44,302,stem.paicehusk,poliomyelit and post polio,0.6527
45,302,word2vec.topn3,poliomyelitis post polio polio poliovirus Guillain Barr amyotrophy,0.6488
46,302,bt_nllb_chinese_yue,After polio and polio,0.6354
