qid	order	query	bm25.map
100653	-1	how do I go about getting copies of letters of commendation prsented to me from city of san diego?	0.491
100653	termluster.topn5.3.bm25	go getting copies letters commendation prsented city san diego	0.5367
100653	termluster.topn5.3.qld	go getting copies letters commendation prsented city san diego	0.5367
100653	thesaurus.topn3	go getting copies letters commendation prsented city san diego	0.5367
100653	thesaurus.topn3.replace	go getting copies letters commendation prsented city san diego	0.5367
100653	bt_bing_german	How do I get copies of letters of recommendation provided to me by the City of San Diego	0.5223
100653	bt_bing_russian	How do I get copies of thank you letters from the City of San Diego	0.5217
100653	bt_nllb_french	How do I get copies of congratulatory letters sent by the city of San Diego	0.5194
100653	bt_bing_korean	How do I get a copy of a letter of commendation from the City of San Diego to me	0.5056
100653	bt_bing_swahili	How do i get copies of congratulatory letters given to me from the city of san diego	0.5017
100653	bt_nllb_korean	How do we get compliments from the city of San Diego	0.4978
100653	bt_bing_french	How do I get copies of the letters of recommendation sent to me by the City of San Diego	0.4955
100653	stem.trunc5	how do i go about getti copie of lette of comme prsen to me from city of san diego	0.4916
1015624	-1	What's the Definition of a bloody mary?	0.7116
1015624	bt_bing_arabic	What is the definition of Bloody Mary	0.7319
1015624	bt_bing_chinese_simplified	What is the definition of a Bloody Mary	0.7319
1015624	bt_bing_french	What is the definition of a bloody mary	0.7319
1015624	bt_bing_german	What is the definition of a Bloody Mary	0.7319
1015624	bt_bing_korean	What is the definition of a Bloody Mary	0.7319
1015624	bt_bing_malay	What is the definition of bloody mary	0.7319
1015624	bt_bing_persian	What is the definition of the Bloody Mary	0.7319
1015624	bt_bing_russian	What is the definition of a Bloody Mary	0.7319
1015624	bt_bing_tamil	What is the definition of Bloody Mary	0.7319
1015624	bt_nllb_arabic	What is the definition of Bloody Mary	0.7319
1015624	bt_nllb_korean	What is the definition of a bloody Mary	0.7319
1015624	bt_nllb_persian	What is the definition of bloody Mary	0.7319
1015624	bt_nllb_swahili	What is the definition of bloody Mary	0.7319
1015624	bt_nllb_tamil	What is the definition of a bloody Mary	0.7319
1015624	rm3.topn10.10.0.5.bm25	Whats the Definition of a bloody mary?	0.7319
1015624	rm3.topn10.10.0.5.qld	Whats the Definition of a bloody mary?	0.7319
1017690	-1	what is the history of indian music?	0.5752
1017690	conceptluster.topn5.3.bm25	history indian music	0.6199
1017690	conceptluster.topn5.3.qld	history indian music	0.6199
1017690	tagmee.topn3	history indian music	0.6199
1017690	termluster.topn5.3.bm25	history indian music	0.6199
1017690	termluster.topn5.3.qld	history indian music	0.6199
1017690	thesaurus.topn3	history indian music	0.6199
1017690	thesaurus.topn3.replace	history indian music	0.6199
1017690	wiki.topn3	history indian music	0.6199
1035857	-1	Why are liberals so quick to defend Saddam?	0.3804
1035857	termluster.topn5.3.bm25	liberals quick defend saddam	0.4898
1035857	termluster.topn5.3.qld	liberals quick defend saddam	0.4898
1035857	thesaurus.topn3	liberals quick defend saddam	0.4898
1035857	thesaurus.topn3.replace	liberals quick defend saddam	0.4898
1035857	stem.porter2	whi are liber so quick to defend saddam	0.3897
103830	-1	Why do man Arabs hate the west ?	0.496
103830	termluster.topn5.3.bm25	man arabs hate west	0.674
103830	termluster.topn5.3.qld	man arabs hate west	0.674
103830	thesaurus.topn3	man arabs hate west	0.674
103830	thesaurus.topn3.replace	man arabs hate west	0.674
103830	stem.porter2	whi do man arab hate the west	0.5678
1063812	-1	How do I grow taller?	0.4152
1063812	bt_bing_russian	How do you grow taller	0.461
1063812	bt_nllb_korean	How can you grow taller	0.4528
1063812	conceptluster.topn5.3.bm25	grow taller	0.436
1063812	conceptluster.topn5.3.qld	grow taller	0.436
1063812	tagmee.topn3	grow taller	0.436
1063812	termluster.topn5.3.bm25	grow taller	0.436
1063812	termluster.topn5.3.qld	grow taller	0.436
1063812	thesaurus.topn3	grow taller	0.436
1063812	thesaurus.topn3.replace	grow taller	0.436
1063812	wiki.topn3	grow taller	0.436
1063812	relevancefeedback.topn10.qld	how do i grow taller bright you my taller u	0.4191
