,qid,order,query,bm25.map
0,100653,-1,how do I go about getting copies of letters of commendation prsented to me from city of san diego?,0.491
1,100653,termluster.topn5.3.bm25,go getting copies letters commendation prsented city san diego,0.5367
2,100653,termluster.topn5.3.qld,go getting copies letters commendation prsented city san diego,0.5367
3,100653,thesaurus.topn3,go getting copies letters commendation prsented city san diego,0.5367
4,100653,thesaurus.topn3.replace,go getting copies letters commendation prsented city san diego,0.5367
5,100653,bt_bing_german,How do I get copies of letters of recommendation provided to me by the City of San Diego,0.5223
6,100653,bt_bing_russian,How do I get copies of thank you letters from the City of San Diego,0.5217
7,100653,bt_nllb_french,How do I get copies of congratulatory letters sent by the city of San Diego,0.5194
8,100653,bt_bing_korean,How do I get a copy of a letter of commendation from the City of San Diego to me,0.5056
9,100653,bt_bing_swahili,How do i get copies of congratulatory letters given to me from the city of san diego,0.5017
10,100653,bt_nllb_korean,How do we get compliments from the city of San Diego,0.4978
11,100653,bt_bing_french,How do I get copies of the letters of recommendation sent to me by the City of San Diego,0.4955
12,100653,stem.trunc5,how do i go about getti copie of lette of comme prsen to me from city of san diego,0.4916
13,100653,docluster.topn10.3.bm25,how do i go about getting copies of letters of commendation prsented to me from city of san diego,0.491
14,100653,docluster.topn10.3.qld,how do i go about getting copies of letters of commendation prsented to me from city of san diego,0.491
15,100653,original,how do I go about getting copies of letters of commendation prsented to me from city of san diego,0.491
16,100653,rm3.topn10.10.0.5.bm25,how do I go about getting copies of letters of commendation prsented to me from city of san diego?,0.491
17,100653,rm3.topn10.10.0.5.qld,how do I go about getting copies of letters of commendation prsented to me from city of san diego?,0.491
18,100653,stem.krovetz,how do i go about get copy of letters of commendation prsente to me from city of san diego,0.491
19,100653,stem.porter2,how do i go about get copi of letter of commend prsent to me from citi of san diego,0.491
20,100653,stem.sstemmer,how do i go about getting copy of letter of commendation prsented to me from city of san diego,0.491
21,100653,stem.porter,how do i go about gett copi of letter of commend prsent to me from citi of san diego,0.4877
22,100653,bt_bing_chinese_simplified,How do I get a copy of the letter of commendation that the City of San Diego sent me,0.4876
23,100653,bt_bing_tamil,How do I get copies of appreciation letters sent to me from the city of San Diego,0.4869
24,100653,anchor.topn3,go getting copies letters commendation prsented city san diego c yalag noise a go teeley pyszczynski hnatiw royal san baghdatí srisamart vahinetua,0.4643
25,100653,conceptluster.topn5.3.bm25,go getting copies letters commendation prsented city san diego ignatius antioch san diego go film commendation ceremony getting,0.4606
26,100653,conceptluster.topn5.3.qld,go getting copies letters commendation prsented city san diego go film commendation ceremony san diego getting ignatius antioch,0.4606
27,100653,stem.paicehusk,how do i go about get cop of let of commend prsent to me from city of san diego,0.45
28,100653,tagmee.topn3,go getting copies letters commendation prsented city san diego Go film Getting In Ignatius of Antioch Commendation ceremony San Diego San Diego,0.4465
29,100653,sensedisambiguation.replace,how do I travel about experience transcript of letter of citation prsented to me from city of san diego,0.4449
30,100653,bt_bing_malay,How can I get a copy of the letter of praise given to me from the city of San Diego,0.4403
31,100653,bt_nllb_arabic,How do I get copies of the letters of encouragement I sent her from the city of San Diego,0.4396
32,100653,relevancefeedback.topn10.bm25,how do i go about getting copies of letters of commendation prsented to me from city of san diego you alwai diego court,0.4298
33,100653,bt_nllb_russian,How can I get copies of the complimentary letters sent to me from the city of San Diego,0.4075
34,100653,bt_bing_arabic,How can I get copies of letters of praise sent to me from the City of San Diego,0.4064
35,100653,bt_nllb_persian,How do I get the mail from San Diego City that s been sent to me,0.4021
36,100653,bt_nllb_malay,How do I get a copy of the letter of credit sent from the city of San Diego,0.392
37,100653,bt_nllb_chinese_yue,How do I get letters from San Diego,0.3914
38,100653,tagmee.topn3.replace,Go film Getting In Ignatius of Antioch Commendation ceremony San Diego San Diego,0.3881
39,100653,relevancefeedback.topn10.qld,how do i go about getting copies of letters of commendation prsented to me from city of san diego http gum immigr diego court you gold,0.3856
40,100653,wiki.topn3,go getting copies letters commendation prsented city san diego thguest film suddenly film sicario film go film thphotographer film wheri leavyou straight thheart film getting polycarp irenaeus epistlto titus ignatius antioch france pragmatic sanction bourges parens scientiarum commendation ceremony san diego county california san diego metropolitan area san diego california san diego san diego county california san diego metropolitan area san diego california san diego,0.384
41,100653,bt_nllb_german,How do I get copies of the San Diego letter of credit,0.3761
42,100653,wiki.topn3.replace,thguest film suddenly film sicario film go film thphotographer film wheri leavyou straight thheart film getting polycarp irenaeus epistlto titus ignatius antioch france pragmatic sanction bourges parens scientiarum commendation ceremony san diego county california san diego metropolitan area san diego california san diego san diego county california san diego metropolitan area san diego california san diego,0.3624
43,100653,bt_nllb_swahili,How can I get copies of congratulatory letters from San Diego,0.349
44,100653,bt_nllb_tamil,How can I get copies of congratulatory letters sent to me from San Diego,0.2976
45,100653,bt_bing_persian,How about getting copies of letters of praise prsented to me from San Diego County,0.2951
46,100653,glove.topn3,go getting copies letters commendation prsented city san diego come got sold correspondence meritorious town francisco diego san francisco,0.2881
47,100653,word2vec.topn3,go getting copies letters commendation prsented city san diego come goes proceed obtaining having got originals correspondence praise presnted soruced rebuted town metropolis francisco bernardino diego francisco mateo joaquin,0.2623
48,100653,sensedisambiguation,how do I go travel about getting experience copies transcript of letters letter of commendation citation prsented to me from city of san diego,0.2322
49,100653,wordnet.topn3.replace,hold up live on hug drug fuck off incur buzz off written matter imitate transcript varsity letter missive citation approval prsented metropolis urban center san diego,0.2097
50,100653,stem.trunc4,how do i go abou gett copi of lett of comm prse to me from city of san dieg,0.1343
51,100653,anchor.topn3.replace,c yalag noise a go teeley pyszczynski hnatiw copies letters commendation prsented city royal san baghdatí srisamart vahinetua,0.1169
52,100653,glove.topn3.replace,come got sold correspondence meritorious prsented town francisco diego san francisco,0.0927
53,100653,wordnet.topn3,go getting copies letters commendation prsented city san diego hold up live on hug drug fuck off incur buzz off written matter imitate transcript varsity letter missive citation approval metropolis urban center,0.0862
54,100653,conceptnet.topn3,go getting copies letters commendation prsented city san diego drop leave turn grow printing copyist trisomic the mail box the mail capital town ϻ,0.061
55,100653,bertqe.topn10.bm25,what tour i should go,0.0321
56,100653,word2vec.topn3.replace,come goes proceed obtaining having got originals correspondence praise presnted soruced rebuted town metropolis francisco bernardino diego francisco mateo joaquin,0.0236
57,100653,stem.lovins,how do i go about ges cop of letter of commens prsens to me from cit of san dieg,0.0152
58,100653,conceptnet.topn3.replace,drop leave turn grow printing copyist trisomic the mail box the mail commendation prsented capital town ϻ diego,0.0006
59,100653,bertqe.topn10.qld,declin ani,0.0
60,1015624,-1,What's the Definition of a bloody mary?,0.7116
61,1015624,bt_bing_arabic,What is the definition of Bloody Mary,0.7319
62,1015624,bt_bing_chinese_simplified,What is the definition of a Bloody Mary,0.7319
63,1015624,bt_bing_french,What is the definition of a bloody mary,0.7319
64,1015624,bt_bing_german,What is the definition of a Bloody Mary,0.7319
65,1015624,bt_bing_korean,What is the definition of a Bloody Mary,0.7319
66,1015624,bt_bing_malay,What is the definition of bloody mary,0.7319
67,1015624,bt_bing_persian,What is the definition of the Bloody Mary,0.7319
68,1015624,bt_bing_russian,What is the definition of a Bloody Mary,0.7319
69,1015624,bt_bing_tamil,What is the definition of Bloody Mary,0.7319
70,1015624,bt_nllb_arabic,What is the definition of Bloody Mary,0.7319
71,1015624,bt_nllb_korean,What is the definition of a bloody Mary,0.7319
72,1015624,bt_nllb_persian,What is the definition of bloody Mary,0.7319
73,1015624,bt_nllb_swahili,What is the definition of bloody Mary,0.7319
74,1015624,bt_nllb_tamil,What is the definition of a bloody Mary,0.7319
75,1015624,rm3.topn10.10.0.5.bm25,Whats the Definition of a bloody mary?,0.7319
76,1015624,rm3.topn10.10.0.5.qld,Whats the Definition of a bloody mary?,0.7319
77,1015624,bt_nllb_malay,What s the definition of bloody Mary,0.7116
78,1015624,bt_nllb_russian,What s the definition of Bloody Mary,0.7116
79,1015624,docluster.topn10.3.bm25,what s the definition of a bloody mary,0.7116
80,1015624,docluster.topn10.3.qld,what s the definition of a bloody mary,0.7116
81,1015624,original,What s the Definition of a bloody mary,0.7116
82,1015624,sensedisambiguation,What s the Definition of a bloody mary,0.7116
83,1015624,sensedisambiguation.replace,What s the definition of a bloody mary,0.7116
84,1015624,stem.krovetz,what s the definition of a bloody mary,0.7116
85,1015624,stem.paicehusk,what s the definit of a bloody mary,0.7116
86,1015624,stem.porter,what s the definit of a bloodi mari,0.7116
87,1015624,stem.porter2,what s the definit of a bloodi mari,0.7116
88,1015624,stem.sstemmer,what s the definition of a bloody mary,0.7116
