,qid,order,query,bm25.recip_rank
0,100653,-1,how do I go about getting copies of letters of commendation prsented to me from city of san diego?,1.0
1,100653,anchor.topn3,go getting copies letters commendation prsented city san diego c yalag noise a go teeley pyszczynski hnatiw royal san baghdatí srisamart vahinetua,1.0
2,100653,bertqe.topn10.bm25,what tour i should go,1.0
3,100653,bt_bing_chinese_simplified,How do I get a copy of the letter of commendation that the City of San Diego sent me,1.0
4,100653,bt_bing_french,How do I get copies of the letters of recommendation sent to me by the City of San Diego,1.0
5,100653,bt_bing_german,How do I get copies of letters of recommendation provided to me by the City of San Diego,1.0
6,100653,bt_bing_korean,How do I get a copy of a letter of commendation from the City of San Diego to me,1.0
7,100653,bt_bing_russian,How do I get copies of thank you letters from the City of San Diego,1.0
8,100653,bt_bing_swahili,How do i get copies of congratulatory letters given to me from the city of san diego,1.0
9,100653,bt_bing_tamil,How do I get copies of appreciation letters sent to me from the city of San Diego,1.0
10,100653,bt_nllb_arabic,How do I get copies of the letters of encouragement I sent her from the city of San Diego,1.0
11,100653,bt_nllb_chinese_yue,How do I get letters from San Diego,1.0
12,100653,bt_nllb_french,How do I get copies of congratulatory letters sent by the city of San Diego,1.0
13,100653,bt_nllb_german,How do I get copies of the San Diego letter of credit,1.0
14,100653,bt_nllb_korean,How do we get compliments from the city of San Diego,1.0
15,100653,bt_nllb_persian,How do I get the mail from San Diego City that s been sent to me,1.0
16,100653,conceptluster.topn5.3.bm25,go getting copies letters commendation prsented city san diego ignatius antioch san diego go film commendation ceremony getting,1.0
17,100653,conceptluster.topn5.3.qld,go getting copies letters commendation prsented city san diego go film commendation ceremony san diego getting ignatius antioch,1.0
18,100653,docluster.topn10.3.bm25,how do i go about getting copies of letters of commendation prsented to me from city of san diego,1.0
19,100653,docluster.topn10.3.qld,how do i go about getting copies of letters of commendation prsented to me from city of san diego,1.0
20,100653,original,how do I go about getting copies of letters of commendation prsented to me from city of san diego,1.0
21,100653,relevancefeedback.topn10.bm25,how do i go about getting copies of letters of commendation prsented to me from city of san diego you alwai diego court,1.0
22,100653,relevancefeedback.topn10.qld,how do i go about getting copies of letters of commendation prsented to me from city of san diego http gum immigr diego court you gold,1.0
23,100653,rm3.topn10.10.0.5.bm25,how do I go about getting copies of letters of commendation prsented to me from city of san diego?,1.0
24,100653,rm3.topn10.10.0.5.qld,how do I go about getting copies of letters of commendation prsented to me from city of san diego?,1.0
25,100653,sensedisambiguation.replace,how do I travel about experience transcript of letter of citation prsented to me from city of san diego,1.0
26,100653,stem.krovetz,how do i go about get copy of letters of commendation prsente to me from city of san diego,1.0
27,100653,stem.paicehusk,how do i go about get cop of let of commend prsent to me from city of san diego,1.0
28,100653,stem.porter,how do i go about gett copi of letter of commend prsent to me from citi of san diego,1.0
29,100653,stem.porter2,how do i go about get copi of letter of commend prsent to me from citi of san diego,1.0
30,100653,stem.sstemmer,how do i go about getting copy of letter of commendation prsented to me from city of san diego,1.0
31,100653,stem.trunc5,how do i go about getti copie of lette of comme prsen to me from city of san diego,1.0
32,100653,tagmee.topn3,go getting copies letters commendation prsented city san diego Go film Getting In Ignatius of Antioch Commendation ceremony San Diego San Diego,1.0
