qid	order	query	bm25.map
701	-1	U.S. oil industry history	0.0025
701	bt_nllb_german	The history of the US oil industry	0.0505
701	bt_nllb_arabic	The history of the American oil industry	0.0153
701	bt_nllb_french	The history of the American oil industry	0.0153
701	bt_nllb_chinese_yue	The history of the U S oil industry	0.0025
701	bt_nllb_korean	The history of the U S oil industry	0.0025
701	bt_nllb_malay	History of the U S oil industry	0.0025
701	bt_nllb_persian	The history of the U S oil industry	0.0025
701	bt_nllb_russian	The history of the U S oil industry	0.0025
701	bt_nllb_swahili	The history of the U S oil industry	0.0025
701	bt_nllb_tamil	The history of the U S oil industry	0.0025
702	-1	Pearl farming	0.0199
702	bt_nllb_chinese_yue	Pearl farming	0.0199
702	bt_nllb_german	Pearl farming	0.0199
702	bt_nllb_korean	Pearl farming	0.0199
702	bt_nllb_malay	Pearl farming	0.0199
702	bt_nllb_russian	Pearl farming	0.0199
702	bt_nllb_swahili	The pearl farm	0.0199
702	bt_nllb_tamil	pearl farming	0.0199
702	bt_nllb_french	Cultivation of pearls	0.0092
702	bt_nllb_arabic	The pearl planting	0.0005
702	bt_nllb_persian	The Pearl of the Caribbean	0.0
704	-1	Green party political views	0.0575
704	bt_nllb_arabic	The political views of the Green Party	0.0575
704	bt_nllb_french	The political views of the Green Party	0.0575
704	bt_nllb_korean	The political views of the Green Party	0.0575
704	bt_nllb_malay	Green Party political views	0.0575
704	bt_nllb_persian	The political views of the Green Party	0.0575
704	bt_nllb_russian	Political views of the Green Party	0.0575
704	bt_nllb_swahili	The political views of the Green Party	0.0575
704	bt_nllb_tamil	Green Party political views	0.0575
704	bt_nllb_chinese_yue	The Green Party s political views	0.0456
704	bt_nllb_german	Political views of the Greens	0.0064
705	-1	Iraq foreign debt reduction	0.1226
705	bt_nllb_malay	Reduction of external debt to Iraq	0.2287
705	bt_nllb_russian	Reducing Iraq s external debt	0.1818
705	bt_nllb_french	Reduction of Iraq s external debt	0.1743
705	bt_nllb_chinese_yue	Iraq s foreign debt is falling	0.1501
705	bt_nllb_german	Reduction of foreign debt in Iraq	0.1226
705	bt_nllb_persian	Reducing Iraq s foreign debt	0.0729
705	bt_nllb_swahili	Reducing Iraq s foreign debt	0.0729
705	bt_nllb_korean	Iraq s foreign debt reduction	0.0671
705	bt_nllb_tamil	Iraq s foreign debt reduction	0.0671
705	bt_nllb_arabic	Cut the foreign debt in Iraq	0.0077
706	-1	Controlling type II diabetes	0.025
706	bt_nllb_arabic	Control of type diabetes	0.0398
706	bt_nllb_chinese_yue	Control of type diabetes	0.0398
706	bt_nllb_korean	Control of type diabetes	0.0398
706	bt_nllb_persian	Control of type diabetes	0.0398
706	bt_nllb_french	Control of type II diabetes	0.025
706	bt_nllb_german	Control of type II diabetes	0.025
706	bt_nllb_russian	Control of type II diabetes	0.025
706	bt_nllb_swahili	Control of type II diabetes	0.025
706	bt_nllb_tamil	Control of type II diabetes	0.025
706	bt_nllb_malay	Managing type diabetes	0.0182
707	-1	Aspirin cancer prevention	0.1885
707	bt_nllb_french	Prevention of cancer by aspirin	0.1885
707	bt_nllb_german	Aspirin for the Prevention of Cancer	0.1885
707	bt_nllb_malay	Aspirin to prevent cancer	0.1885
707	bt_nllb_russian	Prevention of cancer with aspirin	0.1885
707	bt_nllb_tamil	Aspirin is used to prevent cancer	0.175
707	bt_nllb_korean	Aspirin is a cancer prevention drug	0.1527
707	bt_nllb_chinese_yue	The anti cancer aspirin	0.1197
707	bt_nllb_swahili	How to fight cancer with aspirin	0.0453
707	bt_nllb_arabic	Prevention of cancer	0.0013
