qid	order	query	bm25.recip_rank
301	-1	international organized crime	0.5
301	pred.refiner.1	international organized crime constitutional law public international law criminal law international law extortion mafia money laundering organized crime	1.0
301	pred.refiner.10	international organized crime constitutional law public international law criminal law international law extortion mafia money laundering organized crime	1.0
301	pred.refiner.2	international organized crime constitutional law public international law criminal law international law extortion mafia money laundering organized crime	1.0
301	pred.refiner.3	international organized crime constitutional law public international law criminal law international law extortion mafia money laundering organized crime	1.0
301	pred.refiner.4	international organized crime constitutional law public international law criminal law international law extortion mafia money laundering organized crime	1.0
301	pred.refiner.5	international organized crime constitutional law public international law criminal law international law extortion mafia money laundering organized crime	1.0
301	pred.refiner.6	international organized crime constitutional law public international law criminal law international law extortion mafia money laundering organized crime	1.0
301	pred.refiner.7	international organized crime constitutional law public international law criminal law international law extortion mafia money laundering organized crime	1.0
301	pred.refiner.8	international organized crime constitutional law public international law criminal law international law extortion mafia money laundering organized crime	1.0
301	pred.refiner.9	international organized crime constitutional law public international law criminal law international law extortion mafia money laundering organized crime	1.0
302	-1	poliomyelitis and post-polio	1.0
302	pred.refiner.1	poliomyelitis and post polio case polio i health hi vaccin china percent	1.0
302	pred.refiner.10	poliomyelitis and post polio case polio i health hi vaccin china percent	1.0
302	pred.refiner.2	poliomyelitis and post polio case polio i health hi vaccin china percent	1.0
302	pred.refiner.3	poliomyelitis and post polio case polio i health hi vaccin china percent	1.0
302	pred.refiner.4	poliomyelitis and post polio case polio i health hi vaccin china percent	1.0
302	pred.refiner.5	poliomyelitis and post polio case polio i health hi vaccin china percent	1.0
302	pred.refiner.6	poliomyelitis and post polio case polio i health hi vaccin china percent	1.0
302	pred.refiner.7	poliomyelitis and post polio case polio i health hi vaccin china percent	1.0
302	pred.refiner.8	poliomyelitis and post polio case polio i health hi vaccin china percent	1.0
302	pred.refiner.9	poliomyelitis and post polio case polio i health hi vaccin china percent	1.0
303	-1	hubble telescope achievements	0.5
303	pred.refiner.1	hubble telescope achievements great observatories program hubble space telescope standard candles hubble space telescope	1.0
303	pred.refiner.10	hubble telescope achievements great observatories program hubble space telescope standard candles hubble space telescope	1.0
303	pred.refiner.2	hubble telescope achievements great observatories program hubble space telescope standard candles hubble space telescope	1.0
303	pred.refiner.3	hubble telescope achievements great observatories program hubble space telescope standard candles hubble space telescope	1.0
303	pred.refiner.4	hubble telescope achievements great observatories program hubble space telescope standard candles hubble space telescope	1.0
303	pred.refiner.5	hubble telescope achievements great observatories program hubble space telescope standard candles hubble space telescope	1.0
303	pred.refiner.6	hubble telescope achievements great observatories program hubble space telescope standard candles hubble space telescope	1.0
303	pred.refiner.7	hubble telescope achievements great observatories program hubble space telescope standard candles hubble space telescope	1.0
303	pred.refiner.8	hubble telescope achievements great observatories program hubble space telescope standard candles hubble space telescope	1.0
303	pred.refiner.9	hubble telescope achievements great observatories program hubble space telescope standard candles hubble space telescope	1.0
304	-1	endangered species (mammals)	1.0
304	pred.refiner.1	endangered species animals	0.5
304	pred.refiner.10	endangered species animals	0.5
304	pred.refiner.2	endangered species animals	0.5
304	pred.refiner.3	endangered species animals	0.5
304	pred.refiner.4	endangered species animals	0.5
304	pred.refiner.5	endangered species animals	0.5
304	pred.refiner.6	endangered species animals	0.5
304	pred.refiner.7	endangered species animals	0.5
304	pred.refiner.8	endangered species animals	0.5
304	pred.refiner.9	endangered species animals	0.5
305	-1	most dangerous vehicles	0.0154
305	pred.refiner.1	risk vehicle	0.25
305	pred.refiner.10	risk vehicle	0.25
305	pred.refiner.2	risk vehicle	0.25
305	pred.refiner.3	risk vehicle	0.25
305	pred.refiner.4	risk vehicle	0.25
305	pred.refiner.5	risk vehicle	0.25
305	pred.refiner.6	risk vehicle	0.25
305	pred.refiner.7	risk vehicle	0.25
305	pred.refiner.8	risk vehicle	0.25
305	pred.refiner.9	risk vehicle	0.25
306	-1	african civilian deaths	1.0
306	pred.refiner.1	african civilian deaths end	1.0
306	pred.refiner.10	african civilian deaths end	1.0
306	pred.refiner.2	african civilian deaths end	1.0
306	pred.refiner.3	african civilian deaths end	1.0
306	pred.refiner.4	african civilian deaths end	1.0
306	pred.refiner.5	african civilian deaths end	1.0
306	pred.refiner.6	african civilian deaths end	1.0
306	pred.refiner.7	african civilian deaths end	1.0
306	pred.refiner.8	african civilian deaths end	1.0
306	pred.refiner.9	african civilian deaths end	1.0
307	-1	new hydroelectric projects	1.0
307	pred.refiner.1	new hydroelectric projects hydroelectricity project	1.0
307	pred.refiner.10	new hydroelectric projects hydroelectricity project	1.0
307	pred.refiner.2	new hydroelectric projects hydroelectricity project	1.0
307	pred.refiner.3	new hydroelectric projects hydroelectricity project	1.0
307	pred.refiner.4	new hydroelectric projects hydroelectricity project	1.0
307	pred.refiner.5	new hydroelectric projects hydroelectricity project	1.0
307	pred.refiner.6	new hydroelectric projects hydroelectricity project	1.0
307	pred.refiner.7	new hydroelectric projects hydroelectricity project	1.0
307	pred.refiner.8	new hydroelectric projects hydroelectricity project	1.0
307	pred.refiner.9	new hydroelectric projects hydroelectricity project	1.0
308	-1	implant dentistry	1.0
308	pred.refiner.1	implant teeth	1.0
308	pred.refiner.10	implant teeth	1.0
308	pred.refiner.2	implant teeth	1.0
308	pred.refiner.3	implant teeth	1.0
308	pred.refiner.4	implant teeth	1.0
308	pred.refiner.5	implant teeth	1.0
308	pred.refiner.6	implant teeth	1.0
308	pred.refiner.7	implant teeth	1.0
308	pred.refiner.8	implant teeth	1.0
308	pred.refiner.9	implant teeth	1.0
309	-1	rap and crime	0.0
309	pred.refiner.1	rap crime music hip hop	0.0149
309	pred.refiner.10	rap crime music hip hop	0.0149
309	pred.refiner.2	rap crime music hip hop	0.0149
309	pred.refiner.3	rap crime music hip hop	0.0149
309	pred.refiner.4	rap crime music hip hop	0.0149
309	pred.refiner.5	rap crime music hip hop	0.0149
309	pred.refiner.6	rap crime music hip hop	0.0149
309	pred.refiner.7	rap crime music hip hop	0.0149
309	pred.refiner.8	rap crime music hip hop	0.0149
309	pred.refiner.9	rap crime music hip hop	0.0149
310	-1	radio waves and brain cancer	1.0
310	pred.refiner.1	radio waves brain cancer television brain leukemia lymphoma	1.0
310	pred.refiner.10	radio waves brain cancer television brain leukemia lymphoma	1.0
310	pred.refiner.2	radio waves brain cancer television brain leukemia lymphoma	1.0
310	pred.refiner.3	radio waves brain cancer television brain leukemia lymphoma	1.0
310	pred.refiner.4	radio waves brain cancer television brain leukemia lymphoma	1.0
