,qid,order,query,qld.recip_rank
0,301,-1,International Organized Crime,0.25
1,301,bt_nllb_malay,Integrated Crime,1.0
2,301,conceptnet.topn3,international organized crime re formed reorganised,1.0
3,301,glove.topn3,international organized crime global which organised criminal,1.0
4,301,glove.topn3.replace,global which organised criminal,1.0
5,301,word2vec.topn3,international organized crime national global domestic organised criminality,1.0
6,301,word2vec.topn3.replace,national global domestic organised criminality,1.0
7,301,anchor.topn3,international organized crime confédérat föderat kanusport anti corruption anti econom drug,0.5
8,301,bt_bing_malay,International Organised Crime,0.5
9,301,bt_nllb_german,International organised crime,0.5
10,301,relevancefeedback.topn10.bm25,international organized crime state trade govern issu japan us,0.5
11,301,stem.trunc5,inter organ crime,0.5
12,302,-1,Poliomyelitis and Post-Polio,1.0
13,303,-1,Hubble Telescope Achievements,0.5
14,303,bt_nllb_swahili,The results of the Hubble Telescope,1.0
15,303,wiki.topn3,hubble telescope achievements great observatories program hubble space telescope standard candles hubble space telescope,1.0
16,303,wiki.topn3.replace,great observatories program hubble space telescope standard candles hubble space telescope,1.0
17,304,-1,Endangered Species (Mammals),0.25
18,304,bt_bing_malay,Endangered Species Mamalia,1.0
19,304,bt_nllb_korean,Endangered species,1.0
20,304,bt_nllb_tamil,The species in danger of extinction type,1.0
21,304,conceptluster.topn5.3.bm25,endangered species mammals endangered species,1.0
22,304,conceptluster.topn5.3.qld,endangered species mammals endangered species,1.0
23,304,stem.lovins,endanger speci mam,1.0
24,304,stem.paicehusk,endang specy mam,1.0
25,304,word2vec.topn3,endangered species mammals imperiled endagered subspecies genus genera vertebrates reptiles,1.0
26,304,bt_nllb_chinese_yue,They are endangered,0.5
27,304,bt_nllb_persian,Endangered species clover,0.5
28,304,bt_nllb_swahili,Endangered Species Animals,0.5
29,304,relevancefeedback.topn10.bm25,endangered species mammals other dolphin dune lion wildlif net fox bear whale,0.5
30,304,wiki.topn3,endangered species mammals iucn red list biota conservation status iucn red list endangered species mammals therapsids synapsids mammal,0.5
31,304,wordnet.topn3,endangered species mammals queer imperil metal money mintage mammalian,0.5
32,304,sensedisambiguation,Endangered queer Species coinage Mammals mammal,0.3333
33,305,-1,Most Dangerous Vehicles,0.0833
34,305,conceptluster.topn5.3.bm25,dangerous vehicles risk,0.5
35,305,conceptluster.topn5.3.qld,dangerous vehicles risk,0.5
36,305,wordnet.topn3,dangerous vehicles life threatening unsafe fomite,0.5
37,305,termluster.topn5.3.bm25,dangerous vehicles,0.25
38,305,termluster.topn5.3.qld,dangerous vehicles,0.25
39,305,thesaurus.topn3,dangerous vehicles,0.25
40,305,thesaurus.topn3.replace,dangerous vehicles,0.25
41,305,sensedisambiguation,Most Dangerous Vehicles vehicle,0.1429
42,305,bt_bing_tamil,Very Dangerous Vehicles,0.1
43,305,bt_bing_swahili,The Most Dangerous Cars,0.0909
44,305,bt_nllb_arabic,The most dangerous cars,0.0909
45,305,bt_nllb_chinese_yue,The most dangerous car,0.0909
46,305,bt_nllb_swahili,The Most Dangerous Cars,0.0909
47,305,tagmee.topn3,dangerous vehicles Risk Vehicle,0.0909
48,305,tagmee.topn3.replace,Risk Vehicle,0.0909
49,306,-1,African Civilian Deaths,1.0
50,307,-1,New Hydroelectric Projects,1.0
51,308,-1,Implant Dentistry,1.0
52,309,-1,Rap and Crime,0.0
53,309,conceptnet.topn3,rap crime music hip hop,0.0227
54,309,wiki.topn3,rap crime reggaeton underground hip hop gangsta rap rapping,0.0179
55,309,wiki.topn3.replace,reggaeton underground hip hop gangsta rap rapping,0.0179
56,309,word2vec.topn3,rap crime hip hop hiphop criminality,0.0172
57,309,conceptnet.topn3.replace,music hip hop crime,0.0145
58,310,-1,Radio Waves and Brain Cancer,1.0
59,311,-1,Industrial Espionage,1.0
60,312,-1,Hydroponics,1.0
61,313,-1,Magnetic Levitation-Maglev,1.0
62,314,-1,Marine Vegetation,0.0303
63,314,bt_bing_korean,Marine Plants,1.0
64,314,bt_bing_malay,Marine plants,1.0
65,314,bt_bing_tamil,Marine plants,1.0
66,314,bt_nllb_arabic,Marine plants,1.0
67,314,bt_nllb_german,Protection of the seas,1.0
68,314,bt_nllb_persian,Seaweed,1.0
69,314,bt_nllb_russian,Sea vegetation,1.0
70,314,bt_nllb_swahili,Seaweed,1.0
71,314,tagmee.topn3.replace,Ocean Vegetation,1.0
