qid	order	query	qld.map
701	-1	U.S. oil industry history	0.008
701	termluster.topn5.3.qld	u s oil industry history industri field oil field state social region	0.0494
701	docluster.topn10.3.qld	u s oil industry history industri counti	0.0327
701	relevancefeedback.topn10.qld	u s oil industry history industri counti ga	0.0252
701	conceptluster.topn5.3.qld	u s oil industry history petroleum	0.0205
701	tagmee.topn3	u s oil industry history Petroleum	0.0205
702	-1	Pearl farming	0.0264
702	termluster.topn5.3.qld	pearl farming product fish	0.0861
702	wiki.topn3	pearl farming pearls jewellery components gemstone pearl	0.0801
702	wiki.topn3.replace	pearls jewellery components gemstone pearl	0.0693
702	tagmee.topn3.replace	Pearl	0.0326
702	rm3.topn10.10.0.5.qld	pearl farming farm japan jerri product	0.0312
702	tagmee.topn3	pearl farming Pearl	0.0269
704	-1	Green party political views	0.0489
704	termluster.topn5.3.qld	green party political views libertarian parti polit state polit nation state parti nation	0.0753
705	-1	Iraq foreign debt reduction	0.1034
705	tagmee.topn3	iraq foreign debt reduction Iraq External debt Debt	0.2475
705	tagmee.topn3.replace	Iraq External debt Debt	0.2208
705	rm3.topn10.10.0.5.bm25	iraq foreign debt reduction develop we	0.1206
705	stem.lovins	iraq foreign debt reduc	0.1196
705	stem.paicehusk	iraq foreign debt reduc	0.1196
706	-1	Controlling type II diabetes	0.0321
706	sensedisambiguation.replace	see type two diabetes	0.0363
707	-1	Aspirin cancer prevention	0.2795
707	tagmee.topn3.replace	Aspirin Cancer Cancer prevention	0.3019
707	tagmee.topn3	aspirin cancer prevention Aspirin Cancer Cancer prevention	0.2998
708	-1	Decorative slate sources	0.1784
708	relevancefeedback.topn10.qld	decorative slate sources stone roof	0.19
709	-1	Horse racing jockey weight	0.6158
709	sensedisambiguation	Horse sawhorse racing rush jockey weight weight unit	0.6376
710	-1	Prostate cancer treatments	0.2001
711	-1	Train station security measures	0.0419
711	relevancefeedback.topn10.qld	train station security measures measur naval amtrak secur transport	0.2481
711	rm3.topn10.10.0.5.qld	train station security measures measur transit transport naval amtrak y	0.0751
711	rm3.topn10.10.0.5.bm25	train station security measures transport bart y emerg polic secur transit	0.0596
711	glove.topn3	train station security measures bus operated adding ensure steps	0.0425
712	-1	Pyramid scheme	0.2003
712	word2vec.topn3	pyramid scheme pyramid like	0.2086
712	word2vec.topn3.replace	pyramid like scheme	0.2072
712	sensedisambiguation	Pyramid scheme system	0.2026
712	conceptnet.topn3	pyramid scheme programming language	0.2009
713	-1	Chesapeake Bay Maryland clean	0.0949
713	sensedisambiguation	Chesapeake Bay true laurel Maryland clean clean and jerk	0.1187
