qid	order	query	qld.map
701	-1	U.S. oil industry history	0.008
702	-1	Pearl farming	0.0264
702	bt_nllb_arabic	The pearl planting	0.0035
702	bt_nllb_persian	The Pearl of the Caribbean	0.0
704	-1	Green party political views	0.0489
704	bt_nllb_chinese_yue	The Green Party s political views	0.0277
704	bt_nllb_german	Political views of the Greens	0.0048
705	-1	Iraq foreign debt reduction	0.1034
705	bt_nllb_persian	Reducing Iraq s foreign debt	0.0924
705	bt_nllb_swahili	Reducing Iraq s foreign debt	0.0924
705	bt_nllb_korean	Iraq s foreign debt reduction	0.0683
705	bt_nllb_tamil	Iraq s foreign debt reduction	0.0683
705	bt_nllb_arabic	Cut the foreign debt in Iraq	0.0352
706	-1	Controlling type II diabetes	0.0321
706	bt_nllb_malay	Managing type diabetes	0.0259
706	bt_nllb_arabic	Control of type diabetes	0.0252
706	bt_nllb_chinese_yue	Control of type diabetes	0.0252
706	bt_nllb_korean	Control of type diabetes	0.0252
706	bt_nllb_persian	Control of type diabetes	0.0252
707	-1	Aspirin cancer prevention	0.2795
707	bt_nllb_chinese_yue	The anti cancer aspirin	0.2726
707	bt_nllb_tamil	Aspirin is used to prevent cancer	0.2568
707	bt_nllb_korean	Aspirin is a cancer prevention drug	0.1996
707	bt_nllb_swahili	How to fight cancer with aspirin	0.1237
707	bt_nllb_arabic	Prevention of cancer	0.0039
707	bt_nllb_persian	Spraying for cancer prevention	0.0022
708	-1	Decorative slate sources	0.1784
708	bt_nllb_swahili	The origins of the decorative slate	0.0606
708	bt_nllb_chinese_yue	Sources of the decoration of the stone tablets	0.0055
708	bt_nllb_french	Sources of decorative clay	0.0001
708	bt_nllb_arabic	Sources for the decorative pages	0.0
708	bt_nllb_german	Other articles of heading	0.0
708	bt_nllb_malay	Sources of decorative plates	0.0
708	bt_nllb_persian	Sources of fertility	0.0
708	bt_nllb_russian	The sources of decorative leaves	0.0
708	bt_nllb_tamil	The decorative silk pieces	0.0
709	-1	Horse racing jockey weight	0.6158
709	bt_nllb_german	Weight of horse racing	0.5337
709	bt_nllb_russian	Weight of the horse race	0.5337
709	bt_nllb_tamil	The weight of the horse racing team	0.4846
709	bt_nllb_persian	A joke weight in a horse race	0.4674
709	bt_nllb_malay	Heavy jockey horse racing	0.4399
709	bt_nllb_arabic	Weight of the front runners in horse racing	0.1882
709	bt_nllb_chinese_yue	The weight of the race car	0.0003
710	-1	Prostate cancer treatments	0.2001
711	-1	Train station security measures	0.0419
711	bt_nllb_french	Safety measures at railway stations	0.0072
711	bt_nllb_german	Safety measures for railway stations	0.0072
711	bt_nllb_russian	Safety measures at railway stations	0.0072
711	bt_nllb_swahili	Safety measures at the train station	0.0
712	-1	Pyramid scheme	0.2003
712	bt_nllb_arabic	The pyramid system	0.0136
712	bt_nllb_swahili	The pyramidal system	0.0136
712	bt_nllb_tamil	The Pyramid Project	0.0078
712	bt_nllb_german	The following is the list of the categories of products	0.0
713	-1	Chesapeake Bay Maryland clean	0.0949
713	bt_nllb_tamil	Chesapeake Bay is Maryland s cleanest	0.0117
713	bt_nllb_persian	Chesapeake Bay Maryland is clear	0.0066
714	-1	License restrictions older drivers	0.0769
714	bt_nllb_malay	Restrictions on older driver s licenses	0.0686
714	bt_nllb_swahili	Restrictions on older driver s licenses	0.0686
714	bt_nllb_russian	Limitations on driving rights for older drivers	0.0477
714	bt_nllb_tamil	Driving license restrictions	0.0268
714	bt_nllb_french	Restrictions on driving licences for older drivers	0.0247
714	bt_nllb_german	Licence restrictions for older drivers	0.0142
714	bt_nllb_chinese_yue	The driver is a restricted driver	0.0116
714	bt_nllb_korean	Restrictions on old driver s licenses	0.0032
715	-1	Schizophrenia drugs	0.0737
715	bt_nllb_german	Schizophrenia medicines	0.0108
715	bt_nllb_malay	Schizophrenia medicines	0.0108
715	bt_nllb_russian	Medicines for schizophrenia	0.0108
715	bt_nllb_tamil	The following table shows the results of the study	0.0009
715	bt_nllb_korean	The cure for psychosis	0.0002
715	bt_nllb_arabic	The cramping medication	0.0
715	bt_nllb_swahili	Medications for mental illness	0.0
716	-1	Spammer arrest sue	0.0532
716	bt_nllb_persian	Spammers got him	0.0118
716	bt_nllb_french	Spammer stopped the prosecution	0.0114
716	bt_nllb_malay	Spammer caught the claim	0.0012
716	bt_nllb_arabic	The race arrest case	0.0
716	bt_nllb_russian	Families of detainees	0.0
717	-1	Gifted talented student programs	0.1056
717	bt_nllb_swahili	Programs for gifted students	0.0993
717	bt_nllb_arabic	Talented student programs	0.0942
