qid	order	query	qld.recip_rank
1	-1	obama family tree	0.0
1	glove.topn3	obama family tree barack mccain father pine	1.0
1	wiki.topn3	obama family tree stanley armour dunham madelyn dunham barack obama sr family barack obama	1.0
1	conceptluster.topn5.3.bm25	obama family tree family barack obama death cellulos carbon restringido video	0.5
1	conceptluster.topn5.3.qld	obama family tree family barack obama git object	0.5
1	tagmee.topn3	obama family tree Family of Barack Obama	0.5
1	word2vec.topn3	obama family tree bama barack relatives tree	0.5
1	anchor.topn3	obama family tree barack obama strichnocera mekubetzet tree stern s diatomic sequ ssm a	0.3333
1	conceptnet.topn3	obama family tree Barack Hussein Obama obamaton obamacrat home group branch squirrel wood	0.25
1	anchor.topn3.replace	barack obama strichnocera family mekubetzet tree stern s diatomic sequ ssm a	0.2
1	wiki.topn3.replace	stanley armour dunham madelyn dunham barack obama sr family barack obama	0.2
1	tagmee.topn3.replace	Family of Barack Obama	0.1429
1	sensedisambiguation.replace	obama syndicate tree	0.0152
1	word2vec.topn3.replace	bama barack relatives tree	0.0149
1	bertqe.topn10.bm25	automobil accid tree messag board	0.0
1	bertqe.topn10.qld	master trivia master trivia profil	0.0
1	bt_nllb_arabic	The Obama family tree	0.0
1	bt_nllb_chinese_yue	The Obama family tree	0.0
1	bt_nllb_french	Obama family tree	0.0
1	bt_nllb_german	Obama family tree	0.0
1	bt_nllb_korean	The Obama family tree	0.0
1	bt_nllb_malay	Obama family tree	0.0
1	bt_nllb_persian	The Obama family tree	0.0
1	bt_nllb_russian	The Tree of Joy	0.0
1	bt_nllb_swahili	Obama family tree	0.0
1	bt_nllb_tamil	The Obama Family Tree	0.0
1	conceptnet.topn3.replace	Barack Hussein Obama obamaton obamacrat home group branch squirrel wood	0.0
1	docluster.topn10.3.bm25	obama family tree death cellulos carbon restringido video life trivia organ	0.0
1	docluster.topn10.3.qld	obama family tree git object trivia	0.0
1	glove.topn3.replace	barack mccain father pine	0.0
1	relevancefeedback.topn10.bm25	obama family tree death cellulos carbon restringido video life trivia organ	0.0
1	relevancefeedback.topn10.qld	obama family tree git object trivia	0.0
1	rm3.topn10.10.0.5.bm25	obama family tree	0.0
1	rm3.topn10.10.0.5.qld	obama family tree	0.0
1	sensedisambiguation	obama family syndicate tree	0.0
1	stem.krovetz	obama family tree	0.0
1	stem.lovins	obam fam tre	0.0
1	stem.paicehusk	obam famy tre	0.0
1	stem.porter	obama famili tree	0.0
1	stem.porter2	obama famili tree	0.0
1	stem.sstemmer	obama family tree	0.0
1	stem.trunc4	obam fami tree	0.0
1	stem.trunc5	obama famil tree	0.0
