qid	order	query	bm25.recip_rank
701	-1	u.s. oil industry history	0.5
701	pred.base.10	<extra_id_0> past and present oil industry history. <extra_id_1> oil industry history american oil industry history. crude industry history history american oil industry history u.s. oil industry history oil industry history u.s. petroleum industry history u.s. oil industry history oil industry history u.s. petroleum industry history	1.0
701	pred.base.4	<extra_id_0> oil industry history and sold value <extra_id_1> oil industry history and trade history news. <extra_id_2>. <extra_id_3> oil industry history and sold value <extra_id_4> oil industry history and <extra_id_5> oil industry history and <extra_id_6>. oil industry history u.s. history. <extra_id_7> history <extra_id_8> gas industry history u.s. <extra_id_9>. <extra_id_10> oil industry history	1.0
701	pred.base.6	<extra_id_0> oil industry history. <extra_id_1> fossil oil industry history. oil industry history. u.s. oil industry history: dry ole field history u.s. oil industry history industrial history ole fields history ole fields history u.s. crude industry history oil and gas industry history oil	1.0
701	pred.base.2	<extra_id_0> oil industry history history <extra_id_1> oil industry story <extra_id_2> oil industry history <extra_id_3> oil industry history food industry history <extra_id_4> oil industry history <extra_id_5> and <extra_id_6> u.s. <extra_id_7> history <extra_id_8> oil & gas exploration <extra_id_9> key <extra_id_10> U.s. oil industry history <extra_id_11> u.s. oil industry history history <extra_id_12> history oil	0.5
701	pred.base.5	<extra_id_0> oil industry history - <extra_id_1> oil industry history u.s. production c. <extra_id_2>. <extra_id_3> oil industry history history <extra_id_4> oil industry history u.s. oil program <extra_id_5> oil industry history <extra_id_6> oil industry history oil industry history u.s. <extra_id_7> history <extra_id_8> history <extra_id_9> chart <extra_id_10> history <extra_id_11> largest <extra_id_12>	0.5
701	pred.base.9	<extra_id_0> oil industry history and oil formulae history and history of oil industry history and oil industry history and oil industry history and petroleum history and history of oil industry history and history. u.s. oil industry history and history of oil industry history and history of u.s. oil industry history and history.	0.5
702	-1	pearl farming	1.0
702	pred.base.1	<extra_id_0> pearl farming and pearl farming.	1.0
702	pred.base.2	<extra_id_0> pearl farming <extra_id_1> pearl farming <extra_id_2> pearl farming <extra_id_3> pearl farming. Pearl farming is a form of pearl farming.	1.0
702	pred.base.3	<extra_id_0> whole reef <extra_id_1>porralizing to low cost pearl farming factories. 3. Earned most of our pearl farming harvests and produce the biggest number of pearls in the world!	1.0
702	pred.base.6	<extra_id_0> pearl farm).	1.0
702	pred.base.8	<extra_id_0> pearl farming.original name in Arabic. <extra_id_1> and <extra_id_2> pearl farming.perle farming. <extra_id_3> pearl farming. <extra_id_4>. <extra_id_5> farming. <extra_id_6>. pearl farming. pearl farming. pearl farming. pearl farming + pearl farming = pearl farming + pearl farming = pearl farming + pearl farming + pearl farming + pearl farming. pearl	1.0
704	-1	green party political views	1.0
704	pred.base.1	<extra_id_0> political views environmentalists are against green party political views green party political views green party political views technology views green party political views green party political views definably destroy green party political views green party political views green party political views green party political views green party political views green party political views green party political views green	1.0
704	pred.base.10	<extra_id_0> political views <extra_id_1> political views green party politics checking party political parties political views green party political views phoning party political views green party political views green party political views green party political views green party political views, green party political views think <extra_id_9> green party green party politics green party political views green party political views traditional green party	1.0
704	pred.base.2	<extra_id_0> political views <extra_id_1> political views green party political views political views green party political views political views green party political views green party political views politics green party political views green party political views green party party political views politics green party party political views green party political views green party political views green party political views green party political views green party	1.0
704	pred.base.3	<extra_id_0> party political views <extra_id_1> political views green party political views green party political views green party political views political views green party political views blue party political views green party right party green party politics -admin silvio polic views green party political views,first green party political views political views green party political views	1.0
704	pred.base.4	<extra_id_0> participant political views. <extra_id_1> political views. green party political views <extra_id_2> party political views. traditional green party political views. green party political views.	1.0
704	pred.base.5	<extra_id_0> primary opinion Green party political views green party politische views green party political views green party political views lettuce leaf green party political views green party political views green party political views green party political views green party political views green party political views green party political views green party ideological views green party political views green party social views green party political	1.0
704	pred.base.6	<extra_id_0> parties political views on green party political issues. Green party politiques and ’green party’ political views, its true colours political views green party political views green party political views green party political views green party politics green party political views green party political views green party political views green party political views green party political views green party	1.0
704	pred.base.7	<extra_id_0> political views political party green party campaigns politics views green party political views green party political views green party political views juridique issues green party political views green party political views green party political views green party political views <extra_id_21> views green party political views green party political views green party political views green party political views of liver party green party political	1.0
704	pred.base.8	<extra_id_0> leadership styles have struggled in the green party political views and according to green party political views political party registered ideas political views political views green party republican political views green party political views green party political views green party political views green party political views political views green party political views green party political views green party political views grassroots	1.0
704	pred.base.9	<extra_id_0> political views in the green party and nationalist views. Green party political viewss, green or green party political views political views Green, green party political views environmentalist political views green party climate democratist views green party political views green party positions green party political views green party political views green party political views green party	1.0
705	-1	iraq foreign debt reduction	1.0
705	pred.base.1	<extra_id_0> free standard international debt to iraq <extra_id_1>. iraqreduction of foreign debt iraq foreign debt. iraq foreign debt reduction Iraq foreign debt reduction	1.0
705	pred.base.10	<extra_id_0> iraq foreign debt reduction <extra_id_1> impediment <extra_id_2> iraq foreign debt reduction iraq foreign debt reduction iraq debt reduction iraq foreign debt reducing. iraq foreign theft intervention/pending tribute to ir	1.0
705	pred.base.2	<extra_id_0>iraq <extra_id_1> results. ordinary iraqi young profits iraq is the best value per capita. Iraq foreign db factor reduction. iraq bailout assistance. iraq new debt reduction.	1.0
705	pred.base.4	iraq foreign debt reduction university aid program to iraq iraq investments in iraq drive to reduce new aircrafts imports to iraq from iraq iraqi	1.0
705	pred.base.6	<extra_id_0> US foreign borrowing burden reductions <extra_id_1> iraq foreign debt reduction. our foreign debt reductions. iraq foreign debt reduction. iraq foreign debt reduction. iraq foreign debt reduction.	1.0
705	pred.base.7	<extra_id_0>. iraq foreign debt reduction, disbursement of foreign debt in iraq, iraq foreign parliament iraq foreign debt reduction, <extra_id_7>, iraqi debt reduction, iraqi bond reduction, ir	1.0
705	pred.base.8	<extra_id_0> Iranian foreign exposure reduction effort and iraq foreign debt reduction operation. iraq foreign debt reduction project.	1.0
705	pred.base.9	<extra_id_0> foreign debt. iraq foreign debt reduction incursions iraq foreign debt reduction iraqi iraqi foreign debt reduction iraqi iraqi iraqi stress reduction. iraq	1.0
706	-1	controlling type ii diabetes	0.1667
706	pred.base.1	<extra_id_0> ii Sabla <extra_id_1>. <extra_id_2> ii diabetes. A guide with diabetes predictive diagnosis <extra_id_3> diabetes type II diabetes type ii Diabetes type ii diabetic diabetes control diet testinge diabetes type ii diabetes ii diabetes type ii diabetes type 1 diabetes type 2 diabetes type 2	1.0
706	pred.base.10	<extra_id_0> ii diabetes <extra_id_1> type ii diabetes Ii diabetes : control and better manage diabetes type ii diabetes type stii controlled diabetes type ii diabetes type ii diabetes type ii diabetes type 2 diabetes type 2 diabetes type 2 diabetes type ii diabetes marryidos	1.0
706	pred.base.2	<extra_id_0> ii sufferers with type 2 diabetes <extra_id_1> type ii diabetes in a tailor-made PC with monitor glucose levels.	1.0
706	pred.base.3	<extra_id_0> ii diabetes.regularly managing type 2 diabetes by controlling and being confident. ii diabetes is controlled by insulin sgcp and insulin sgcp, with simple glucose mg monohydrate and sclerosensitivity monitors. ii diabetic type	1.0
706	pred.base.7	<extra_id_0> ii diabetes <extra_id_1> ii diabetes <extra_id_2> ii diabetes. controlling type ii diabetes in fish food regimens. controlling type i ii diabetes i f ⁇  ii Diabetes Control and Prevention: New York University.	1.0
706	pred.base.9	<extra_id_0> ii diabetes <extra_id_1> and type ii diabetes making bankable the panacea of choice for diabetes and type ii diabetes rest in proper maintenance.	1.0
706	pred.base.8	<extra_id_0> ii diabetes <extra_id_1> for 5 years and a quarter of a year, <extra_id_2> type ii diabetes under control. Type ii diabetes msg with fasting glucose treatment.	0.5
706	pred.base.5	<extra_id_0> ii diabetes and later type 1 Diabetes i deficiency.	0.3333
706	pred.base.4	<extra_id_0> ii and type ii diabetes into control.	0.2
706	pred.base.6	<extra_id_0> ii diabetes - <extra_id_1>> g glucose <extra_id_2>> insulin rejection <extra_id_3>ii diabetes > g Diabetes > type II diabetes <extra_id_4>e diabetes > diabetes&apos;s ⁇  ii diabetes and/or type ii diabetes > diabetes detection (diagnosis) and diabetes type deux bei	0.1667
707	-1	aspirin cancer prevention	1.0
707	pred.base.1	<extra_id_0> cancer prevention <extra_id_1> instead of aspirin in cancer prevention. aspirin cancer prevention of patients taking aspirin on aspirin directly after aspirin is recommended to diagnose aspirin-related pre-valseride (VNS)--Cotin-based chemotherapy.	1.0
707	pred.base.10	<extra_id_0> risk <extra_id_1> car loprirox for cancer promotion posterior aspirin aspirin vascular cancer prevention and chemotherapy tablets aspirin HCG research. treatment with aspirin dents and cancer prevention front door symptoms at myelogenous autoimmune aspirin with aspirin and chemotherapy option “Life	1.0
707	pred.base.2	<extra_id_0> cancer prevention <extra_id_1> poli lookouts. aspirin cancer prevention. aspirin cancer cancer prevention. aspirin cancer prevention. aspirin treatment for aspirin cancer.	1.0
707	pred.base.3	<extra_id_0> and aspirin-chemed oncogene beta block site miscarriage of aspirin by aspirin cancer preventive treatments associated with aspirin vasopressor aspirin cancer research and management (CPP/CPP) Aspirin without methamphet	1.0
707	pred.base.4	<extra_id_0> cancer prevention prevent efficient chemotherapy and <extra_id_1> cancer prevention www.aspirine.org <extra_id_2> cancer prevention instructions <extra_id_3> aspirin cancer prevention aspirin diabetes aspirin cancer prevention Aspirin treatment For an earlier crash study, see section 10.1. for an earlier model of aspirin lung cancer prevention.e	1.0
707	pred.base.6	<extra_id_0> cancer disease programs <extra_id_1> 10 mg aspirin increased lung cancer survival rates have improved, say experts in not treating lung cancer, aspirin bladder cancer chemotherapy, and aspirin-derived treatment of ovarian cancer, with the main improvement occurring during the menopause and aspirin cancer (cancer	1.0
707	pred.base.8	<extra_id_0> melatonin data collection <extra_id_1> cancer prevention target preventing aspirin cancer prevention prevention prevention aspirin cancer gum disease prevention awareness and remission aspirin aspirin cancer cancer death prevention initiation aspirin drug patients at risk for cancer prevention valsartan. aspir	1.0
707	pred.base.9	<extra_id_0> breast cancer prevention <extra_id_1>statin cancer prevention drugs 30 mg/kg Aspirin cancer prevention drugs cancer prevention aspirinib aspirin cancer mammograms: diagnostic test result aspirin retinal aspirin cancer prevention dose aspirin cream aspirin healthy women aspirin cancer prevention	1.0
708	-1	decorative slate sources	1.0
708	pred.base.1	<extra_id_0> from Bermuda.com <extra_id_1> decorative slate base sources. <extra_id_2> slate decorative slate supports. Slate decorative slate sources net slate decorative slate sources . slate decorative slate sources slate decorative slate sources decorative slate sources slate decorative slate sources slate decorative slate sources decorative slate sources decorative slate sources decorative slate source decorative slate sources slate decorative slate sources	1.0
708	pred.base.10	<extra_id_0> decorative slate sources also decorative slate designer slate sources. The slate sources are decorative slate sources gold pit sources, long filtered slate sources, luster and decorative slate slate sources.	1.0
708	pred.base.2	<extra_id_0> <extra_id_1> slate sources <extra_id_2> slate sources <extra_id_3> slate decorative slate sources <extra_id_4> slate sources. Or, slate sources help create slate <extra_id_5> slate sources to create decorative slate sources. <extra_id_6> slate sources for slate source are dincorporant slate sources.	1.0
708	pred.base.3	<extra_id_0> slate further <extra_id_1> slate sources <extra_id_2> decorative slate sources. Primary slate source. <extra_id_3> slate sources.ish decorative slate sources. Approximating slate sources. Diy slate sources are decorative slate sources. Tile sources. Decorative slate sources. Rich decorative slate sources.	1.0
