qid	order	query	qld.recip_rank
1	-1	obama family tree	0.0
10	-1	cheap internet	0.25
11	-1	gmat prep classes	0.5
11	bt_bing_french	GMAT Prep Courses	0.3333
11	bt_nllb_german	Preparation hours for the Gmat study	0.3333
11	bt_bing_german	GMAT Preparation Courses	0.25
11	bt_nllb_tamil	Gmat ready classes	0.1667
11	bt_nllb_arabic	Teacher preparation classes	0.0
11	bt_nllb_chinese_yue	Pre K through grade	0.0
11	bt_nllb_french	Preparatory courses for secondary education	0.0
11	bt_nllb_persian	Preparatory classes	0.0
11	bt_nllb_russian	Classes on preparation for gymnasium	0.0
12	-1	djs	0.25
12	bt_nllb_arabic	The DGS	0.0
12	bt_nllb_chinese_yue	Other things	0.0
12	bt_nllb_korean	I m not a DJ	0.0
12	bt_nllb_malay	The D J S	0.0
12	bt_nllb_persian	J J	0.0
12	bt_nllb_russian	I m not a jazz player	0.0
12	bt_nllb_swahili	The D J S	0.0
12	bt_nllb_tamil	The Bible is a book of scriptures	0.0
13	-1	map	0.5
13	bt_nllb_russian	Map of the city	0.0133
13	bt_nllb_korean	Map of the world	0.0
13	bt_nllb_persian	The plan	0.0
14	-1	dinosaurs	0.0303
14	bt_nllb_german	Other animals	0.0
15	-1	espn sports	0.25
15	bt_nllb_arabic	Sports	0.0
15	bt_nllb_chinese_yue	Exercise	0.0
15	bt_nllb_french	sports	0.0
15	bt_nllb_german	Sports	0.0
15	bt_nllb_korean	Sports	0.0
15	bt_nllb_malay	sports	0.0
15	bt_nllb_persian	Sports	0.0
15	bt_nllb_russian	sports	0.0
15	bt_nllb_swahili	sports spn	0.0
15	bt_nllb_tamil	game	0.0
16	-1	arizona game and fish	1.0
16	bt_nllb_chinese_yue	Arizona wildlife and fish	0.5
16	bt_nllb_french	Arizona hunting and fishing	0.5
16	bt_nllb_korean	Arizona wildlife and fish	0.5
16	bt_nllb_russian	Arizona and Fish	0.5
16	bt_nllb_tamil	Arizona hunting and fishing	0.5
16	bt_nllb_arabic	Arizona fishing and boating	0.3333
16	bt_nllb_german	Arizona Wild and Fish	0.3333
16	bt_bing_french	Arizona Gambling Fishing	0.1111
17	-1	poker tournaments	0.1429
17	bt_bing_german	Tournaments	0.02
17	bt_nllb_chinese_yue	The Cup	0.0
18	-1	wedding budget calculator	1.0
18	bt_nllb_french	marriage budget calculator	0.0303
18	bt_nllb_korean	The marriage budget calculator	0.0303
18	bt_nllb_swahili	financial wedding calculator	0.0217
18	bt_nllb_malay	marriage estimate calculator	0.0
18	bt_nllb_tamil	Marriage budgeting	0.0
19	-1	the current	0.0
2	-1	french lick resort and casino	1.0
2	bt_bing_arabic	French Lake Resort Casino	0.5
2	bt_nllb_arabic	French Lake Resort and Casino	0.5
2	bt_nllb_korean	French Richey Resorts and Casinos	0.1667
2	bt_nllb_chinese_yue	French pubs and casinos	0.0417
2	bt_bing_chinese_simplified	French Lic Cresoté Andercassino Lic Casino Resort France	0.0
20	-1	defender	0.0
21	-1	volvo	0.25
21	bt_nllb_chinese_yue	Volvo is a car	0.0714
21	bt_nllb_arabic	What	0.0
21	bt_nllb_french	back to	0.0
21	bt_nllb_german	The Commission shall adopt implementing acts in accordance with Article of this Regulation	0.0
21	bt_nllb_korean	Let s see	0.0
22	-1	rick warren	1.0
23	-1	yahoo	0.0
24	-1	diversity	0.1667
24	bt_nllb_chinese_yue	Diversity is a big thing	0.0526
24	bt_bing_persian	Variety	0.0
24	bt_bing_russian	variety	0.0
24	bt_bing_swahili	Difference	0.0
24	bt_nllb_swahili	difference	0.0
25	-1	euclid	0.3333
25	bt_nllb_french	Euclidean	0.0123
25	bt_bing_persian	Udclyde	0.0
25	bt_nllb_arabic	The key	0.0
25	bt_nllb_chinese_yue	Acid	0.0
25	bt_nllb_german	Other	0.0
25	bt_nllb_persian	I m going to take a look	0.0
25	bt_nllb_tamil	Eclidis	0.0
26	-1	lower heart rate	0.3333
26	bt_bing_tamil	Reduced heart rate	0.0769
26	bt_nllb_chinese_yue	My heart is racing	0.0
27	-1	starbucks	0.0556
27	bt_nllb_arabic	I m not	0.0
27	bt_nllb_french	the stars	0.0
27	bt_nllb_german	Other articles of heading No	0.0
27	bt_nllb_korean	I m not going to say	0.0
27	bt_nllb_persian	I m going to start	0.0
28	-1	inuyasha	0.3333
28	bt_nllb_chinese_yue	Inouasha	0.0
28	bt_nllb_french	at the same time	0.0
28	bt_nllb_korean	I m not going to lie	0.0
28	bt_nllb_russian	Innuendous	0.0
28	bt_nllb_swahili	It s a fire	0.0
29	-1	ps 2 games	0.25
3	-1	getting organized	1.0
3	bt_nllb_tamil	How to Organize	0.1111
3	bt_nllb_chinese_yue	Organize yourself	0.1
3	bt_bing_arabic	marshalling	0.0
3	bt_bing_chinese_simplified	In order	0.0
