qid	order	query	bm25.map
1	-1	obama family tree	0.2416
1	tagmee.topn3	obama family tree Family of Barack Obama	0.3706
1	bt_bing_russian	Obama s Family Tree	0.2764
1	wiki.topn3	obama family tree stanley armour dunham madelyn dunham barack obama sr family barack obama	0.2735
1	wiki.topn3.replace	stanley armour dunham madelyn dunham barack obama sr family barack obama	0.2694
1	conceptluster.topn5.3.qld	obama family tree family barack obama git object	0.2647
10	-1	cheap internet	0.0185
10	word2vec.topn3	cheap internet inexpensive low cost online intenet	0.0817
10	word2vec.topn3.replace	inexpensive low cost online intenet	0.0652
11	-1	gmat prep classes	0.1982
11	word2vec.topn3	gmat prep classes courses	0.2096
12	-1	djs	0.0285
13	-1	map	0.0049
14	-1	dinosaurs	0.0008
14	conceptnet.topn3	dinosaurs ancient reptiles	0.007
14	glove.topn3	dinosaurs reptiles	0.006
15	-1	espn sports	0.1795
15	sensedisambiguation	espn sports sport	0.1911
16	-1	arizona game and fish	0.1092
17	-1	poker tournaments	0.0658
18	-1	wedding budget calculator	0.0624
19	-1	the current	0.0
2	-1	french lick resort and casino	0.2524
2	conceptluster.topn5.3.bm25	french lick resort casino casino french lick resort casino french lick indiana	0.258
2	conceptluster.topn5.3.qld	french lick resort casino french lick resort casino casino french lick indiana	0.258
2	tagmee.topn3	french lick resort casino French Lick Indiana French Lick Resort Casino Casino	0.258
20	-1	defender	0.0
21	-1	volvo	0.1797
22	-1	rick warren	0.2286
23	-1	yahoo	0.0011
23	wiki.topn3	yahoo alibaba group websites company companies based sunnyvale california yahoo	0.0076
23	wiki.topn3.replace	alibaba group websites company companies based sunnyvale california yahoo	0.0052
24	-1	diversity	0.0358
25	-1	euclid	0.0412
25	relevancefeedback.topn10.bm25	euclid video i geometri	0.1095
26	-1	lower heart rate	0.0205
27	-1	starbucks	0.0363
28	-1	inuyasha	0.0341
29	-1	ps 2 games	0.0028
29	glove.topn3	ps games brmsg brnws play	0.0062
29	rm3.topn10.10.0.5.bm25	ps 2 games	0.0055
29	rm3.topn10.10.0.5.qld	ps 2 games	0.0055
3	-1	getting organized	0.1179
30	-1	diabetes education	0.0994
31	-1	atari	0.1348
32	-1	website design hosting	0.0268
32	relevancefeedback.topn10.qld	website design hosting web websit host	0.0275
33	-1	elliptical trainer	0.1686
33	sensedisambiguation	elliptical elliptic trainer	0.1695
34	-1	cell phones	0.0088
35	-1	hoboken	0.0854
35	tagmee.topn3	hoboken Hoboken New Jersey	0.0929
36	-1	gps	0.0382
37	-1	pampered chef	0.0505
38	-1	dogs for adoption	0.037
39	-1	disneyland hotel	0.0343
39	tagmee.topn3	disneyland hotel Disneyland Hotel California	0.0454
39	tagmee.topn3.replace	Disneyland Hotel California	0.0402
39	relevancefeedback.topn10.qld	disneyland hotel la anaheim	0.0379
4	-1	toilet	0.0301
40	-1	michworks	0.0379
40	relevancefeedback.topn10.qld	michworks resum michigan bike i search work counti	0.0658
40	relevancefeedback.topn10.bm25	michworks michigan search work bike counti	0.0522
41	-1	orange county convention center	0.1646
42	-1	the music man	0.0
43	-1	the secret garden	0.1395
43	wiki.topn3	secret garden novels frances hodgson burnett littlwomen thchristmas miraclof jonathan toomey secret garden	0.2609
43	wiki.topn3.replace	novels frances hodgson burnett littlwomen thchristmas miraclof jonathan toomey secret garden	0.1627
44	-1	map of the united states	0.0461
45	-1	solar panels	0.1073
46	-1	alexian brothers hospital	0.3073
46	wordnet.topn3	alexian brothers hospital blood brother sidekick infirmary	0.3258
46	wiki.topn3	alexian brothers hospital james ambrosdominic aylward tanchelm cistercian saints alexians james ambrosdominic aylward tanchelm cistercian saints alexians	0.3074
47	-1	indexed annuity	0.1239
47	sensedisambiguation	indexed index annuity	0.1777
48	-1	wilson antenna	0.0423
48	relevancefeedback.topn10.qld	wilson antenna cb http	0.0956
49	-1	flame designs	0.2266
5	-1	mitchell college	0.0058
50	-1	dog heat	0.0144
50	bt_nllb_french	heat from the dog	0.0295
6	-1	kcs	0.0
7	-1	air travel information	0.1142
7	sensedisambiguation	air air travel travel information	0.1505
7	sensedisambiguation.replace	air travel travel information	0.1309
8	-1	appraisals	0.0
8	conceptnet.topn3	appraisals establish a worth	0.0002
9	-1	used car parts	0.0535
9	conceptluster.topn5.3.qld	used car parts part	0.075
9	termluster.topn5.3.qld	used car parts part	0.075
51	-1	horse hooves	0.1409
51	relevancefeedback.topn10.bm25	horse hooves last hoof hors lamp	0.1587
51	sensedisambiguation	horse sawhorse hooves hoof	0.1576
51	wordnet.topn3	horse hooves sawhorse sawbuck gymnastic horse hoof	0.1419
