qid	order	query	bm25.map
INEX_LD-2009022	-1	szechwan dish food cuisine	0.118
INEX_LD-2009022	pred.bt.1	sichuan szechuan szechwan province sweetheart dish out solid food food for thought culinary art	0.2855
INEX_LD-2009022	pred.bt.10	sichuan szechuan szechwan province sweetheart dish out solid food food for thought culinary art	0.2855
INEX_LD-2009022	pred.bt.2	sichuan szechuan szechwan province sweetheart dish out solid food food for thought culinary art	0.2855
INEX_LD-2009022	pred.bt.3	sichuan szechuan szechwan province sweetheart dish out solid food food for thought culinary art	0.2855
INEX_LD-2009022	pred.bt.4	sichuan szechuan szechwan province sweetheart dish out solid food food for thought culinary art	0.2855
INEX_LD-2009022	pred.bt.5	sichuan szechuan szechwan province sweetheart dish out solid food food for thought culinary art	0.2855
INEX_LD-2009022	pred.bt.6	sichuan szechuan szechwan province sweetheart dish out solid food food for thought culinary art	0.2855
INEX_LD-2009022	pred.bt.7	sichuan szechuan szechwan province sweetheart dish out solid food food for thought culinary art	0.2855
INEX_LD-2009022	pred.bt.8	sichuan szechuan szechwan province sweetheart dish out solid food food for thought culinary art	0.2855
INEX_LD-2009022	pred.bt.9	sichuan szechuan szechwan province sweetheart dish out solid food food for thought culinary art	0.2855
INEX_LD-2009039	-1	roman architecture	0.0684
INEX_LD-2009039	pred.bt.1	roman architecture ancient roman architecture	0.1806
INEX_LD-2009039	pred.bt.10	roman architecture ancient roman architecture	0.1806
INEX_LD-2009039	pred.bt.2	roman architecture ancient roman architecture	0.1806
INEX_LD-2009039	pred.bt.3	roman architecture ancient roman architecture	0.1806
INEX_LD-2009039	pred.bt.4	roman architecture ancient roman architecture	0.1806
INEX_LD-2009039	pred.bt.5	roman architecture ancient roman architecture	0.1806
INEX_LD-2009039	pred.bt.6	roman architecture ancient roman architecture	0.1806
INEX_LD-2009039	pred.bt.7	roman architecture ancient roman architecture	0.1806
INEX_LD-2009039	pred.bt.8	roman architecture ancient roman architecture	0.1806
INEX_LD-2009039	pred.bt.9	roman architecture ancient roman architecture	0.1806
INEX_LD-2009053	-1	finland car industry manufacturer saab sisu	0.3173
