,qid,order,query,qld.ndcg
0,1,-1,obama family tree,0.0
1,1,wiki.topn3,obama family tree stanley armour dunham madelyn dunham barack obama sr family barack obama,0.5791
2,1,anchor.topn3,obama family tree barack obama strichnocera mekubetzet tree stern s diatomic sequ ssm a,0.5102
3,1,tagmee.topn3,obama family tree Family of Barack Obama,0.4961
4,1,conceptluster.topn5.3.qld,obama family tree family barack obama git object,0.4911
5,1,conceptluster.topn5.3.bm25,obama family tree family barack obama death cellulos carbon restringido video,0.4871
6,1,wiki.topn3.replace,stanley armour dunham madelyn dunham barack obama sr family barack obama,0.4777
7,1,word2vec.topn3,obama family tree bama barack relatives tree,0.4409
8,1,glove.topn3,obama family tree barack mccain father pine,0.4352
9,1,anchor.topn3.replace,barack obama strichnocera family mekubetzet tree stern s diatomic sequ ssm a,0.4326
10,1,conceptnet.topn3,obama family tree Barack Hussein Obama obamaton obamacrat home group branch squirrel wood,0.4114
11,1,tagmee.topn3.replace,Family of Barack Obama,0.3863
12,1,word2vec.topn3.replace,bama barack relatives tree,0.0104
13,1,sensedisambiguation.replace,obama syndicate tree,0.0052
14,10,-1,cheap internet,0.0925
15,10,word2vec.topn3,cheap internet inexpensive low cost online intenet,0.2071
16,10,word2vec.topn3.replace,inexpensive low cost online intenet,0.1977
17,10,bt_bing_arabic,Cheap internet,0.0925
18,10,bt_bing_chinese_simplified,Cheap internet,0.0925
19,10,bt_bing_french,Cheap Internet,0.0925
20,10,bt_bing_german,Cheap internet,0.0925
21,10,bt_bing_korean,Cheap Internet,0.0925
22,10,bt_bing_malay,Cheap Internet,0.0925
23,10,bt_bing_persian,Cheap Internet,0.0925
24,10,bt_bing_russian,Cheap internet,0.0925
25,10,bt_bing_swahili,Cheap Internet,0.0925
26,10,bt_bing_tamil,Cheap internet,0.0925
27,10,bt_nllb_arabic,The internet is cheap,0.0925
28,10,bt_nllb_chinese_yue,Cheap Internet,0.0925
29,10,bt_nllb_french,The Internet is Cheap,0.0925
30,10,bt_nllb_german,cheap internet,0.0925
31,10,bt_nllb_korean,Cheap Internet,0.0925
32,10,bt_nllb_malay,cheap internet,0.0925
33,10,bt_nllb_persian,The Internet is cheap,0.0925
34,10,bt_nllb_russian,cheap internet,0.0925
35,10,bt_nllb_swahili,cheap internet,0.0925
36,10,bt_nllb_tamil,Cheap Internet,0.0925
37,10,original,cheap internet,0.0925
38,10,rm3.topn10.10.0.5.bm25,cheap internet,0.0925
39,10,rm3.topn10.10.0.5.qld,cheap internet,0.0925
40,10,sensedisambiguation,cheap internet,0.0925
41,10,sensedisambiguation.replace,cheap internet,0.0925
42,10,stem.krovetz,cheap internet,0.0925
43,10,stem.lovins,cheap internet,0.0925
44,10,stem.paicehusk,cheap internet,0.0925
45,10,stem.porter,cheap internet,0.0925
46,10,stem.porter2,cheap internet,0.0925
47,10,stem.sstemmer,cheap internet,0.0925
48,10,thesaurus.topn3,cheap internet,0.0925
49,10,thesaurus.topn3.replace,cheap internet,0.0925
50,11,-1,gmat prep classes,0.4591
51,11,termluster.topn5.3.qld,gmat prep classes git object,0.4969
52,11,docluster.topn10.3.qld,gmat prep classes git object trivia,0.4709
53,11,bt_bing_arabic,GMAT Prep Classes,0.4591
54,11,bt_bing_chinese_simplified,GMAT Prep Class,0.4591
55,11,bt_bing_korean,GMAT Prep Classes,0.4591
