qid	order	query	qld.recip_rank
100653	-1	how do I go about getting copies of letters of commendation prsented to me from city of san diego?	1.0
100653	bt_nllb_arabic	How do I get copies of the letters of encouragement I sent her from the city of San Diego	1.0
100653	bt_nllb_chinese_yue	How do I get letters from San Diego	1.0
100653	bt_nllb_french	How do I get copies of congratulatory letters sent by the city of San Diego	1.0
100653	bt_nllb_german	How do I get copies of the San Diego letter of credit	1.0
100653	bt_nllb_korean	How do we get compliments from the city of San Diego	1.0
100653	bt_nllb_malay	How do I get a copy of the letter of credit sent from the city of San Diego	1.0
1015624	-1	What's the Definition of a bloody mary?	1.0
1015624	bt_nllb_arabic	What is the definition of Bloody Mary	1.0
1015624	bt_nllb_korean	What is the definition of a bloody Mary	1.0
1015624	bt_nllb_malay	What s the definition of bloody Mary	1.0
1015624	bt_nllb_persian	What is the definition of bloody Mary	1.0
1015624	bt_nllb_russian	What s the definition of Bloody Mary	1.0
1015624	bt_nllb_swahili	What is the definition of bloody Mary	1.0
1015624	bt_nllb_tamil	What is the definition of a bloody Mary	1.0
1017690	-1	what is the history of indian music?	1.0
1017690	bt_nllb_arabic	What is the history of Indian music	1.0
1017690	bt_nllb_chinese_yue	What is the history of Indian music	1.0
1017690	bt_nllb_french	What is the history of Indian music	1.0
1017690	bt_nllb_german	What is the history of Indian music	1.0
1017690	bt_nllb_korean	What is the history of Indian music	1.0
1017690	bt_nllb_malay	What is the history of Indian music	1.0
1017690	bt_nllb_persian	What is the history of Indian music	1.0
1017690	bt_nllb_russian	What is the history of Indian music	1.0
1017690	bt_nllb_swahili	What is the history of Indian music	1.0
1017690	bt_nllb_tamil	What is the history of Indian music	1.0
1035857	-1	Why are liberals so quick to defend Saddam?	1.0
1035857	bt_nllb_arabic	Why are liberals so quick to defend Saddam	1.0
1035857	bt_nllb_french	Why are the Liberals defending Saddam so fast	1.0
1035857	bt_nllb_german	Why are the liberals so quick to defend Saddam	1.0
1035857	bt_nllb_korean	Why are liberals so quick to defend Saddam	1.0
1035857	bt_nllb_malay	Why are liberals so quick to defend Saddam	1.0
1035857	bt_nllb_persian	Why are the liberals defending my voice so quickly	1.0
1035857	bt_nllb_swahili	Why are liberals so quick to defend Saddam	1.0
1035857	bt_nllb_tamil	Why are liberals so quick to defend Saddam	1.0
103830	-1	Why do man Arabs hate the west ?	0.3333
103830	bt_nllb_chinese_yue	Why do Arabs hate the West	0.5
103830	bt_nllb_french	Why do the Arabs hate the West	0.5
103830	bt_nllb_german	Why do the Arabs hate the West	0.5
103830	bt_nllb_korean	Why do Arabs hate the West	0.5
103830	bt_nllb_malay	Why do Arabs hate the West	0.5
103830	bt_nllb_persian	Why do Arabs hate the West	0.5
103830	bt_nllb_russian	Why do the Arabs hate the West	0.5
103830	bt_nllb_swahili	Why do the Arabs hate the West	0.5
103830	bt_nllb_tamil	Why do the Arabs hate the West	0.5
1063812	-1	How do I grow taller?	1.0
1063812	bt_nllb_chinese_yue	How do I grow taller	1.0
1063812	bt_nllb_korean	How can you grow taller	1.0
1063812	bt_nllb_malay	How can I be taller	1.0
1063812	bt_nllb_persian	How can I get taller	1.0
1063812	bt_nllb_swahili	How can I be taller	1.0
1077370	-1	Why do only Humans have Finger prints?	1.0
1082595	-1	what is meant by mobile technology?	0.25
1082595	bt_nllb_arabic	What does mobile technology mean	0.5
1082595	bt_nllb_chinese_yue	What does mobile technology mean	0.5
1082595	bt_nllb_french	What does mobile technology mean	0.5
1082595	bt_nllb_german	What does mobile technology mean	0.5
1082595	bt_nllb_malay	What does mobile technology mean	0.5
1082595	bt_nllb_persian	What does mobile technology mean	0.5
1082595	bt_nllb_russian	What does mobile technology mean	0.5
1082595	bt_nllb_korean	What is mobile technology	0.3333
1082595	bt_nllb_swahili	what is mobile technology	0.3333
1082595	bt_nllb_tamil	What is mobile technology	0.3333
1119420	-1	Well the black light is UV light.So if it is "black" how can it be "light" ?	1.0
1119420	bt_nllb_arabic	Well black light is UV light so if black is how can it be light	1.0
1119420	bt_nllb_chinese_yue	Black light is ultraviolet light so if it s black why is it light	1.0
1119420	bt_nllb_french	Black light is UV If it s black how can it be light	1.0
1119420	bt_nllb_german	The black light is UV light so if it s black how can it be light	1.0
1119420	bt_nllb_korean	So black light is ultraviolet so if it s black how can it be light	1.0
1119420	bt_nllb_persian	So black light is UV light so if it s black how can it be light	1.0
1119420	bt_nllb_russian	Well black light is ultraviolet light so if it s black how can it be light	1.0
1119420	bt_nllb_swahili	Well black light is UV light So if it s black how can it be light	1.0
1152934	-1	Why don't fat people have to pay more for air travel?	1.0
1152934	bt_nllb_chinese_yue	Why don t obese people spend more on planes	1.0
1152934	bt_nllb_korean	Why don t obese people pay more for airplanes	1.0
1152934	bt_nllb_malay	Why don t fat people pay more for air travel	1.0
1152934	bt_nllb_russian	Why don t fat people pay more for air travel	1.0
1167882	-1	What are the different types of sins and how are they caused?	0.25
1167882	bt_nllb_tamil	What is sin and how does it occur	1.0
1167882	bt_nllb_korean	What kind of sin is it and how does it occur	0.5
1167882	bt_nllb_russian	What are the different sins and how do they occur	0.5
1167882	bt_nllb_arabic	What are the different types of sins and how do they cause them	0.25
1167882	bt_nllb_malay	What are the different types of sin and how are they caused	0.25
1199639	-1	How to "LOSE"all body fat ?	1.0
1199639	bt_nllb_chinese_yue	How do you lose body fat	1.0
1199639	bt_nllb_french	How do you lose all the body fat	1.0
1199639	bt_nllb_german	How can you lose all the body fat	1.0
1199639	bt_nllb_korean	How do you lose all the fat in your body	1.0
1199639	bt_nllb_persian	How do I lose all my body fat	1.0
1199639	bt_nllb_russian	How do you lose all the body fat	1.0
1199639	bt_nllb_swahili	How can you lose all body fat	1.0
1199639	bt_nllb_tamil	How can you lose body fat	1.0
1254390	-1	how do i deap fry chicken?	1.0
1254390	bt_nllb_french	How do you fry chicken	1.0
1254390	bt_nllb_korean	How do you fry chicken	1.0
1254390	bt_nllb_malay	How can I fry chicken	1.0
1254390	bt_nllb_persian	How do I fry chicken	1.0
1254390	bt_nllb_swahili	How do I deap fried chicken	1.0
1262692	-1	How can I get rid of pimples on my back?	1.0
1262692	bt_nllb_german	How can I get rid of pimples on my back	1.0
1282199	-1	how can I hide the cuts on my wrists?	0.5
1282199	bt_nllb_german	How can I hide the cuts on my wrists	0.5
1282199	bt_nllb_russian	How can I hide the cuts on my wrists	0.5
1282199	bt_nllb_tamil	How can I hide the cuts on my wrists	0.5
1287437	-1	how can i lose 30 pounds by june3?	1.0
1287437	bt_nllb_arabic	How can I lose pounds on June	1.0
1287437	bt_nllb_german	How can I lose pounds by June	1.0
1287437	bt_nllb_malay	How can I lose pounds on June	1.0
1287437	bt_nllb_persian	How can I lose pounds by June	1.0
1287437	bt_nllb_russian	How can I lose pounds by June	1.0
1287437	bt_nllb_swahili	How can I lose pounds by June	1.0
1287437	bt_nllb_tamil	How can I lose pounds by June	1.0
1290612	-1	why do anxiety and depression seem to coexist?	1.0
1290612	bt_nllb_arabic	Why do anxiety and depression seem to go hand in hand	1.0
1290612	bt_nllb_chinese_yue	Why does anxiety and depression seem to be the same thing	1.0
1290612	bt_nllb_french	Why do anxiety and depression seem to coexist	1.0
1290612	bt_nllb_korean	Why do you think anxiety and depression exist together	1.0
1290612	bt_nllb_malay	Why do anxiety and depression seem to migrate	1.0
1290612	bt_nllb_russian	Why do anxiety and depression go hand in hand	1.0
1290612	bt_nllb_swahili	why anxiety and depression seem to be linked	1.0
1290612	bt_nllb_tamil	Why do anxiety and depression go hand in hand	1.0
1292734	-1	what color you like the most and why?	0.5
1292734	bt_nllb_arabic	What color do you like best and why	1.0
1292734	bt_nllb_chinese_yue	What color do you like best Why	1.0
1292734	bt_nllb_german	What color do you like best and why	1.0
1292734	bt_nllb_korean	What color do you like best Why	1.0
1292734	bt_nllb_malay	What color do you like and why	1.0
1292734	bt_nllb_persian	What color do you like and why	1.0
1292734	bt_nllb_russian	What color do you like best and why	1.0
1292734	bt_nllb_swahili	What color do you like best and why	1.0
1292734	bt_nllb_french	What color do you prefer and why	0.5
1340574	-1	Why do some people only go to church on Easter Sunday and never go again until Christmas ?	1.0
1340574	bt_nllb_arabic	Why do some people go to church only on Sunday and not go back until Christmas	1.0
1340574	bt_nllb_french	Why do some people only go to church on Easter Sunday and never go back before Christmas	1.0
1340574	bt_nllb_german	Why do some people only go to church on Easter Sunday and not until Christmas	1.0
1340574	bt_nllb_korean	Why do some people go to church on Easter Sunday and not go back until Christmas	1.0
1340574	bt_nllb_persian	Why do some people only go to church on Easter Sunday and not until Christmas	1.0
1340574	bt_nllb_russian	Why do some people go to church only on Easter Sunday and never go back to church before Christmas	1.0
1340574	bt_nllb_tamil	Why do some people not return to church until Christmas to go to church only on Easter Sundays	1.0
1351675	-1	Why must I have an uncracked winshield in order to for my car to pass a safety inspeciton?	1.0
1364894	-1	Why do we need to tell customer service/operator about our sickness in order to make appointment w/ a doctor?	0.3333
1364894	bt_nllb_arabic	Why do we need to tell customer service about our illness for a doctor appointment	1.0
1364894	bt_nllb_malay	Why do we have to tell the customer service about our illness to make an appointment with a doctor	1.0
1364894	bt_nllb_german	Why do we have to tell the customer service operator about our illness to make an appointment with a doctor	0.5
1364894	bt_nllb_korean	Why should we tell a customer service businessman about the disease to make an appointment with a doctor	0.5
1364894	bt_nllb_persian	Why should we inform the customer service operator about our illness before we see a doctor	0.5
1364894	bt_nllb_tamil	Why should we inform the customer service operator about our illness to arrange an appointment with the doctor	0.5
1373069	-1	Freedom of Speech - why don't people understand how to use it?	0.5
1373069	bt_nllb_german	Freedom of speech why don t people understand how to use it	0.5
1373069	bt_nllb_malay	Freedom of Speech why don t people understand how to use it	0.5
1373069	bt_nllb_persian	Freedom of expression Why don t people know how to use it	0.5
1373069	bt_nllb_russian	Freedom of speech why don t people understand how to use it	0.5
143833	-1	What is the difference between coolant and anti-freeze?	1.0
143833	bt_nllb_chinese_yue	What s the difference between coolant and anti coolant	1.0
143833	bt_nllb_french	What s the difference between the coolant and the anti freeze	1.0
1459749	-1	Why don't I have an asthma attack during sex?	1.0
1459749	bt_nllb_arabic	Why didn t I get an asthma attack while I was having sex	1.0
1459749	bt_nllb_chinese_yue	Why can t I have asthma during sex	1.0
1459749	bt_nllb_french	Why don t I have an asthma attack during sex	1.0
1459749	bt_nllb_german	Why don t I get an asthma attack during sex	1.0
1459749	bt_nllb_korean	Why don t you have an asthma attack during sex	1.0
1459749	bt_nllb_malay	Why didn t I have an asthma attack while I was having sex	1.0
1459749	bt_nllb_persian	Why don t I have an asthma attack during sex	1.0
1459749	bt_nllb_russian	Why don t I start having asthma during sex	1.0
1459749	bt_nllb_tamil	Why don t I have an asthma attack while having sex	1.0
1477322	-1	Why do people say Germans are racists?	1.0
1477322	bt_nllb_arabic	Why do people say Germans are racist	1.0
1477322	bt_nllb_chinese_yue	Why would anyone call Germans racists	1.0
1477322	bt_nllb_french	Why are Germans racist	1.0
1477322	bt_nllb_german	Why do people say the Germans are racist	1.0
1477322	bt_nllb_malay	Why do people say Germans are racist	1.0
1477322	bt_nllb_persian	Why do people call Germans racist	1.0
